1. W|carys|pinot gris|??|w|pinot gris|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
461. W|casa bianchi|enzo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
462. W|casa bianchi|new age red|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
463. W|casa bianco|bianco|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
464. W|casa blanca|and red roses inaugural|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
465. W|casa blanca|blanc de noir|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
466. W|casa boher|alto agrelo malbec|??|r|malbec|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
467. W|casa boher|alto agrelo viognier|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
468. W|casa boher|alto agrelo viognier|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
469. W|casa boher|cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
470. W|casa boher|cabernet franc|??|r|cabernet franc|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
471. W|casa boher|cabernet franc|??|r|cabernet franc|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=470
472. X
473. W|casa boher|cabernet sauvignon|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
474. W|casa boher|cabernet sauvignon|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=473
475. W|casa boher|extra brut|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut nature
476. W|casa boher|extra brut|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut nature|=475
477. W|casa boher|extra brut|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut nature|=475
478. W|casa boher|extra brut|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut nature|=475
479. W|casa boher|extra brut|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut nature|=475
480. W|casa boher|extra brut 750cc|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut nature
481. W|casa boher|extra brut argentina|ar|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut nature
482. X
483. W|casa boher|extra brut estuche x|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut nature
484. W|casa boher|extra brut nv|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut nature
485. W|casa boher|extra brut x|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut nature
486. W|casa boher|finca san pablo malbec|??|r|malbec|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
487. W|casa boher|finca san pablo malbec|??|r|malbec|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
488. W|casa boher|fincas san pablo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
489. W|casa boher|gran chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
490. W|casa boher|gran chardonnay|??|w|chardonnay|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
491. W|casa boher|gran chardonnay|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
492. X
493. W|casa boher|gran corte|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
494. W|casa boher|gran corte|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
495. W|casa boher|gran reserva|??|r|??|??|??|2020|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
496. W|casa boher|gran reserva blend|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
497. W|casa boher|gran reserva blend|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=496
498. W|casa boher|gran reserva blend|??|r|??|??|??|2020|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
499. W|casa boher|gran reserva blend|??|r|??|??|??|2020|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=498
500. W|casa boher|gran reserva chardonnay x|??|w|chardonnay|??|??|NV|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
501. W|casa boher|gran reserva mt|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
502. W|casa boher|gran viognier|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
503. W|casa boher|malbec|??|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
504. W|casa boher|malbec|??|r|malbec|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
505. W|casa boher|malbec|??|r|malbec|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
506. W|casa boher|malbec san pablo|??|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
507. W|casa boher|malbec x|??|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
508. W|casa boher|merlot|??|r|merlot|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
509. W|casa boher|merlot|??|r|merlot|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=508
510. W|casa boher|sauvignon blanc|??|w|sauvignon blanc|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
511. W|casa boher|sauvignon blanc|??|w|sauvignon blanc|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
512. W|casa boher|sauvignon blanc fermentado en barrica x|??|w|sauvignon blanc|??|??|NV|12.5|do|leve|peixes, frutos do mar, saladas|seco
513. W|casa bolachas|c musica e led r 81514|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
514. W|casa bollen|carmenere|??|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
515. W|casa bollen|sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
516. W|casa bollen|syrah rose|??|p|syrah|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
517. W|casa boquera|balance joven|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
518. W|casa boquera|semicrianza|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
519. W|casa borghetto|merlot tannat|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
520. W|casa boschi|grk|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
521. W|casa boschi|rukatac|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
522. W|casa bottega|115 075|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
523. W|casa bottega|prosecco|it|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
524. W|casa bottega|prosecco brut|it|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
525. W|casa bottega|prosecco rose|it|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
526. W|casa bottega|spumante doc brut|??|s|??|??|??|NV|12|doc|leve|frutos do mar, aperitivos, sushi|brut
527. W|casa botti|gift set no1|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
528. W|casa botti|gift set no2|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
529. W|casa botti|gift set no3|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
530. W|casa botti|gift set no4|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
531. W|casa botti|gift set no5|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
532. W|casa botti|gift set no6|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
533. W|casa botti|gift set no7|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
534. W|casa botti|gift set no8|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
535. W|casa brancaia|brancaia cabernet sauvignon|??|r|cabernet sauvignon|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
536. W|casa brancaia|chianti classico|it|r|??|chianti classico|??|2023|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
537. W|casa brancaia|chianti classico|it|r|??|chianti classico|??|2024|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
538. W|casa brancaia|chianti classico gran selezione organic|it|r|??|chianti classico|??|2020|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
539. W|casa brancaia|chianti classico riserva|it|r|??|chianti classico|??|2022|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
540. W|casa brancaia|il bianco|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
541. W|casa brancaia|il blu rosso di toscana|it|r|??|toscana|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
542. W|casa brancaia|ilatraia|??|r|??|??|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco
543. W|casa brancaia|ilatraia|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
544. W|casa brancaia|ilatraia maremma|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
545. W|casa brancaia|ilatraia rosso igt|??|r|??|??|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
546. W|casa brancaia|rose|??|p|??|??|??|2024|12|??|leve|carne vermelha, massas, queijos curados|seco
547. W|casa brancaia|tre igt rosso di toscana|it|r|??|toscana|??|2024|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
548. W|casa brecceto|bianco|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
549. W|casa brecceto|guizzo rosso|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
550. W|casa brecceto|guizzo rosso|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=549
551. W|casa brecceto|nadar|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
552. W|casa brecceto|pitatza|??|r|??|??|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco
553. W|casa brecceto|rosso|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
554. W|casa brecceto|sassafrass|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
555. W|casa brecceto|scazzuso|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
556. W|casa bruja|bicho 6pk can|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
557. W|casa bruja|gose frambuesa 6pk can|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
558. W|casa bruja|gose guayaba 6pk can|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
559. W|casa bruja|gose limon kaffir 6pk can|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
560. W|casa bruxel|sauvignon blanc|??|w|sauvignon blanc|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
561. S
562. W|casa burmester|tinto|??|r|??|??|??|1995|13.5|??|medio|carne vermelha, massas, queijos curados|seco
563. W|casa burmester|tinto|??|r|??|??|??|1996|13.5|??|medio|carne vermelha, massas, queijos curados|seco
564. W|casa burmester|tinto|??|r|??|??|??|1997|13.5|??|medio|carne vermelha, massas, queijos curados|seco
565. W|casa burmester|red|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
566. W|casa burmester|reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
567. W|casa burmester|reserva branco white wine|??|w|??|??|??|NV|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
568. W|casa burmester|reserva doc douro branco|it|w|??|douro|??|2019|12.5|doc|medio|peixes, frutos do mar, saladas|seco
569. W|casa burmester|reserva doc douro branco|it|w|??|douro|??|2021|12.5|doc|medio|peixes, frutos do mar, saladas|seco
570. W|casa burmester|reserva doc douro branco|it|w|??|douro|??|2022|12.5|doc|medio|peixes, frutos do mar, saladas|seco
571. W|casa burmester|reserva doc douro branco|it|w|??|douro|??|2023|12.5|doc|medio|peixes, frutos do mar, saladas|seco
572. W|casa burmester|reserva doc douro tinto|it|r|??|douro|??|2017|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
573. W|casa burmester|reserva doc douro tinto|it|r|??|douro|??|2019|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
574. W|casa burmester|reserva doc douro tinto|it|r|??|douro|??|2020|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
575. W|casa burmester|reserva douro branco|it|w|??|douro|??|2009|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
576. W|casa burmester|reserva red wine|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
577. W|casa burmester|touriga nacional|??|r|touriga nacional|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
578. W|casa burmester|touriga nacional red|??|r|touriga nacional|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
579. W|casa burti|dolce moscato|??|w|moscato|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
580. W|casa burti|extra dry|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
581. W|casa burti|flute bianco brut vinho espumante italiano|it|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
582. W|casa burti|flute dolce|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
583. W|casa burti|flute dolce spumante|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
584. W|casa burti|flute en rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
585. W|casa burti|flute millesimato spumante extra dry|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
586. W|casa burti|flute vino bianco frizzante wochy 0|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
587. W|casa burti|party set|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
588. W|casa burti|spumante brut|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
589. W|casa burti|white dolce|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
590. W|casa cadaval|pinot noir tinto|??|r|pinot noir|??|??|2005|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
591. W|casa cadaval|pinot noir tinto|??|r|pinot noir|??|??|2012|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
592. W|casa cadaval|blanc de noirs|??|w|??|??|??|2022|12.5|ava|medio|peixes, frutos do mar, saladas|seco
593. W|casa cadaval|blanc des noirs|??|w|??|??|??|NV|12.5|ava|medio|peixes, frutos do mar, saladas|seco
594. W|casa cadaval|blanc des noirs|??|w|??|??|??|2022|12.5|ava|medio|peixes, frutos do mar, saladas|seco
595. W|casa cadaval|branco|??|w|??|??|??|NV|12.5|ava|medio|peixes, frutos do mar, saladas|seco
596. W|casa cadaval|branco|??|w|??|??|??|NV|12.5|ava|medio|peixes, frutos do mar, saladas|seco|=595
597. W|casa cadaval|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|ava|encorpado|carne vermelha, massas, queijos curados|seco
598. W|casa cadaval|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|ava|encorpado|carne vermelha, massas, queijos curados|seco|=597
599. W|casa cadaval|cabernet sauvignon|??|r|cabernet sauvignon|??|??|2018|13.5|ava|encorpado|carne vermelha, massas, queijos curados|seco
600. W|casa cadaval|cabernet sauvignon tinto|??|r|cabernet sauvignon|??|??|2021|13.5|ava|encorpado|carne vermelha, massas, queijos curados|seco
601. W|casa cadaval|colheita|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
602. W|casa cadaval|colheita branco|??|w|??|??|??|NV|12.5|ava|medio|peixes, frutos do mar, saladas|seco
603. W|casa cadaval|colheita branco|??|w|??|??|??|2022|12.5|ava|medio|peixes, frutos do mar, saladas|seco
604. W|casa cadaval|colheita rose|??|p|??|??|??|NV|12|ava|leve|carne vermelha, massas, queijos curados|seco
605. W|casa cadaval|colheita rose|??|p|??|??|??|NV|12|ava|leve|carne vermelha, massas, queijos curados|seco|=604
606. W|casa cadaval|colheita tardia|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
607. W|casa cadaval|colheita tardia branco|??|w|??|??|??|2016|12.5|ava|medio|peixes, frutos do mar, saladas|seco
608. W|casa cadaval|colheita tejo tinto|??|r|??|??|??|2020|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
609. W|casa cadaval|colheita tinto|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
610. W|casa cadaval|colheita tinto|??|r|??|??|??|2021|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
611. W|casa cadaval|colheita tinto|??|r|??|??|??|2023|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
612. W|casa cadaval|espumante tuisca|??|s|??|??|??|NV|12|ava|leve|frutos do mar, aperitivos, sushi|brut
613. W|casa cadaval|espumante tuisca|??|s|??|??|??|2019|12|ava|leve|frutos do mar, aperitivos, sushi|brut
614. W|casa cadaval|espumante tuisca bruto|??|s|??|??|??|NV|12|ava|leve|frutos do mar, aperitivos, sushi|brut
615. W|casa cadaval|fernao pires|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
616. W|casa cadaval|fernao pires|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco|=615
617. W|casa cadaval|fernao pires branco|??|w|??|??|??|2022|12.5|ava|medio|peixes, frutos do mar, saladas|seco
618. W|casa cadaval|fernao pires branco|??|w|??|??|??|2022|12.5|ava|medio|peixes, frutos do mar, saladas|seco|=617
619. W|casa cadaval|gouveio|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
620. W|casa cadaval|marquesa cadaval branco|??|w|??|??|??|2021|12.5|ava|medio|peixes, frutos do mar, saladas|seco
621. W|casa cadaval|marquesa cadaval tinto|??|r|??|??|??|2015|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
622. W|casa cadaval|marquesa de cadaval|??|r|??|??|??|2015|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
623. W|casa cadaval|merlot|??|r|merlot|??|??|NV|13.5|ava|encorpado|carne vermelha, massas, queijos curados|seco
624. W|casa cadaval|merlot|??|r|merlot|??|??|NV|13.5|ava|encorpado|carne vermelha, massas, queijos curados|seco|=623
625. W|casa cadaval|merlot|??|r|merlot|??|??|2021|13.5|ava|encorpado|carne vermelha, massas, queijos curados|seco
626. W|casa cadaval|merlot tinto|??|r|merlot|??|??|2021|13.5|ava|encorpado|carne vermelha, massas, queijos curados|seco
627. W|casa cadaval|muge cabernet sauvignon|??|r|cabernet sauvignon|??|??|2022|13.5|ava|encorpado|carne vermelha, massas, queijos curados|seco
628. W|casa cadaval|padre pedro branco|??|w|??|??|??|NV|12.5|ava|medio|peixes, frutos do mar, saladas|seco
629. W|casa cadaval|padre pedro branco|??|w|??|??|??|2023|12.5|ava|medio|peixes, frutos do mar, saladas|seco
630. W|casa cadaval|padre pedro colheita branco|??|w|??|??|??|NV|12.5|ava|medio|peixes, frutos do mar, saladas|seco
631. W|casa cadaval|padre pedro colheita tinto|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
632. W|casa cadaval|padre pedro tinto|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
633. W|casa cadaval|padre pedro tinto|??|r|??|??|??|2023|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
634. W|casa cadaval|pinot noir|??|r|pinot noir|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
635. W|casa cadaval|pinot noir|??|r|pinot noir|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco|=634
636. W|casa cadaval|pinot noir|??|r|pinot noir|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco|=634
637. W|casa cadaval|pinot noir tinto|??|r|pinot noir|??|??|2017|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
638. W|casa cadaval|pinot noir tinto|??|r|pinot noir|??|??|2022|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
639. W|casa cadaval|red|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
640. W|casa cadaval|reserva|??|r|??|??|??|2021|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
641. W|casa cadaval|reserva branco|??|w|??|??|??|NV|12.5|ava|medio|peixes, frutos do mar, saladas|seco
642. W|casa cadaval|reserva branco|??|w|??|??|??|NV|12.5|ava|medio|peixes, frutos do mar, saladas|seco|=641
643. W|casa cadaval|reserva branco|??|w|??|??|??|2022|12.5|ava|medio|peixes, frutos do mar, saladas|seco
644. W|casa cadaval|reserva branco|??|w|??|??|??|2022|12.5|ava|medio|peixes, frutos do mar, saladas|seco|=643
645. W|casa cadaval|reserva tinto|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
646. W|casa cadaval|reserva tinto|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco|=645
647. W|casa cadaval|reserva tinto|??|r|??|??|??|2021|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
648. W|casa cadaval|riesling|??|w|riesling|??|??|NV|12.5|ava|leve|peixes, frutos do mar, saladas|seco
649. W|casa cadaval|riesling|??|w|riesling|??|??|NV|12.5|ava|leve|peixes, frutos do mar, saladas|seco|=648
650. W|casa cadaval|riesling branco|??|w|riesling|??|??|NV|12.5|ava|leve|peixes, frutos do mar, saladas|seco
651. W|casa cadaval|riesling branco|??|w|riesling|??|??|2021|12.5|ava|leve|peixes, frutos do mar, saladas|seco
652. W|casa cadaval|riesling tejo branco|??|w|riesling|??|??|2017|12.5|ava|leve|peixes, frutos do mar, saladas|seco
653. W|casa cadaval|rose|??|p|??|??|??|NV|12|ava|leve|carne vermelha, massas, queijos curados|seco
654. W|casa cadaval|sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|ava|leve|peixes, frutos do mar, saladas|seco
655. W|casa cadaval|sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|ava|leve|peixes, frutos do mar, saladas|seco|=654
656. W|casa cadaval|sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|ava|leve|peixes, frutos do mar, saladas|seco|=654
657. W|casa cadaval|sauvignon blanc|??|w|sauvignon blanc|??|??|2022|12.5|ava|leve|peixes, frutos do mar, saladas|seco
658. W|casa cadaval|sauvignon blanc|??|w|sauvignon blanc|??|??|2023|12.5|ava|leve|peixes, frutos do mar, saladas|seco
659. W|casa cadaval|tinto|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
660. W|casa cadaval|tinto|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco|=659
661. W|casa cadaval|trincadeira preta|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
662. W|casa cadaval|trincadeira preta|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco|=661
663. W|casa cadaval|trincadeira preta|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco|=661
664. W|casa cadaval|trincadeira preta|??|r|??|??|??|2022|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
665. W|casa cadaval|trincadeira preta vinhas velhas|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
666. W|casa cadaval|trincadeira preta vinhas velhas|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco|=665
667. W|casa cadaval|trincadeira preta vinhas velhas|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco|=665
668. W|casa cadaval|trincadeira preta vinhas velhas|??|r|??|??|??|2023|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
669. W|casa cadaval|trincadeira preta vinhas velhas tinto|??|r|??|??|??|2022|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
670. W|casa cadaval|tuisca blanc de noirs|??|w|??|??|??|NV|12.5|ava|medio|peixes, frutos do mar, saladas|seco
671. W|casa cadaval|vinha padre pedro colheita|??|r|??|??|??|2023|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
672. W|casa cadaval|vinha padre pedro colheita branco|??|w|??|??|??|2023|12.5|ava|medio|peixes, frutos do mar, saladas|seco
673. W|casa campo|azul 2013 extra anejo|??|r|??|??|??|2013|13.5|??|medio|carne vermelha, massas, queijos curados|seco
674. W|casa canavel|prosecco extra dry nv|it|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
675. W|casa canevel|brut prosecco|it|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
676. W|casa canevel|brut prosecco schaumwein italien doc|it|s|??|??|??|NV|12|doc|leve|frutos do mar, aperitivos, sushi|brut
677. W|casa canevel|brut prosecco schaumwein italien doc|it|s|??|??|??|NV|12|doc|leve|frutos do mar, aperitivos, sushi|brut|=676
678. W|casa canevel|brut prosecco schaumwein italien doc|it|s|??|??|??|NV|12|doc|leve|frutos do mar, aperitivos, sushi|brut|=676
679. W|casa canevel|cuvee oro spumante brut prosecco schaumwein italien|it|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
680. W|casa canevel|cuvee oro spumante brut prosecco schaumwein italien|it|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut|=679
681. W|casa canevel|cuvee oro spumante brut prosecco schaumwein italien|it|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut|=679
682. W|casa canevel|cuvee rosa extra dry|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
683. W|casa canevel|cuvee rosa extra dry|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=682
684. W|casa canevel|cuvee rosa extra dry rose schaumwein trocken italien|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
685. W|casa canevel|cuvee rosa extra dry rose schaumwein trocken italien|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco|=684
686. W|casa canevel|cuvee rosa extra dry rose schaumwein trocken italien|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco|=684
687. W|casa canevel|prosecco brut nv|it|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
688. W|casa canevel|prosecco doc brut|it|s|??|??|??|NV|12|doc|leve|frutos do mar, aperitivos, sushi|brut
689. W|casa canevel|prosecco doc extra dry|it|s|??|??|??|NV|12|doc|leve|frutos do mar, aperitivos, sushi|brut
