1. W|casteddu|rouge|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
403. W|castel huniade|feteasca regala cramele recas|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
404. W|castel huniade|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
405. W|castel huniade|merlot 14|??|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
406. W|castel huniade|merlot cramele recas|??|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
407. W|castel huniade|merlot doc cmd sgr|??|r|merlot|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
408. W|castel huniade|merlot pinot noir|??|r|pinot noir, merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
409. W|castel huniade|merlot pinot noir 14|??|r|pinot noir, merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
410. W|castel huniade|merlot pinot noir cramele recas|??|r|pinot noir, merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
411. W|castel huniade merlotpinot|noir doc cmd sgr|??|r|pinot noir, merlot|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
412. W|castel huniade muscat|ottonel|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
413. W|castel huniade muscat ottonel|123|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
414. W|castel huniade muscat ottonel demidulce cramele|recas|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
415. W|castel huniade muscat ottonel|doc sgr|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
416. W|castel huniade recas mini|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
417. W|castel huniade recas mini|roze|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
418. W|castel huniade recas mini|sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
419. W|castel huniade|riesling 123|??|w|riesling|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
420. W|castel huniade|riesling cramele recas|??|w|riesling|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
421. W|castel huniade|rose miniatura|??|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
422. W|castel huniade|rose sgr|??|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
423. W|castel huniade|roze|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
424. W|castel huniade roze|13|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
425. W|castel huniade roze|13|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=424
426. W|castel huniade roze cramele|recas|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
427. W|castel huniade sauv|blanc sgr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
428. W|castel huniade|sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
429. W|castel huniade|sauvignon blanc 125|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
430. W|castel huniade|sauvignon blanc cramele recas|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
431. W|castel huniade|sauvignon blanc ig sgr|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
432. W|castel huniade|sauvignon blanc powytrawne|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
433. W|castel huniade|sauvignon blanc vin alb demisec 6 x 0|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
434. W|castel huniade vin|rose demisec 6 x 0|??|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
435. W|castel ice cuve blanche demi|sec|??|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|demi-sec
436. W|castel juval alto adige val venosta|riesling unterortl 2022|??|w|riesling|??|??|2022|12.5|??|leve|frutos do mar, peixes, saladas|seco
437. W|castel juval blauburgunder|pinot nero riserva 2021|??|r|??|??|??|2021|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
438. W|castel juval gletscherschliff|riesling alto adige 2022|??|w|riesling|??|??|2022|12.5|??|leve|frutos do mar, peixes, saladas|seco
439. W|castel juval gletscherschliff|riesling alto adige 2023|??|w|riesling|??|??|2023|12.5|??|leve|frutos do mar, peixes, saladas|seco
440. W|castel juval|pinot bianco alto adige 2024|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
441. W|castel juval|pinot bianco himmelsleiter 2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
442. W|castel juval|pinot bianco val venosta|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
443. W|castel juval|pinot bianco val venosta 2024|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
444. W|castel juval|riesling unterortl 2023|??|w|riesling|??|??|2023|12.5|??|leve|frutos do mar, peixes, saladas|seco
445. W|castel juval|rosato 2022|??|p|??|??|??|2022|12.5|??|leve|saladas, aves, queijos leves|seco
446. W|castel la|red white vie gift pack israeli wine|??|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
447. W|castel la vie|blanc du castel|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
448. W|castel la vie|blanc du castel 2016|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
449. W|castel la vie|blanc du castel 2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
450. W|castel la vie|blanc du castel 2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=449
451. W|castel la vie|rouge du castel|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
452. W|castel leonardo|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
453. W|castel leonardo|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
454. W|castel leonardo|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
455. W|castel leonardo|muscat|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
456. W|castel m du castel ice|wine 2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
457. W|castel maison|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
458. W|castel mare amarone|classico|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
459. W|castel mare amarone della valpolicella|classico|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
460. W|castel merle bordeaux superieur|1963|fr|r|??|bordeaux|??|1963|13.5|??|medio|carne vermelha, massas, queijos curados|seco
461. W|castel|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
462. W|castel|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=461
463. W|castel mimi|9 muses dry red wine cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
464. W|castel mimi|9 muses dry white wine sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
465. W|castel mimi|9 muses feteasca alba sparkling white wine brut 0|??|s|feteasca alba|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
466. W|castel mimi|9 muses feteasca alba spumant alb brut|??|s|feteasca alba|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
467. W|castel mimi|9 muses viorica spumant alb brut|??|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
468. W|castel mimi animaliens carlas dreams|alb|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
469. W|castel mimi animaliens carlas dreams|rose 125|??|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
470. W|castel mimi animaliens carlas dreams rosu|14|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
471. W|castel mimi animaliens|feteasca albamuscat|??|r|feteasca alba|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
472. W|castel mimi animaliens|pinot noir 13|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
473. W|castel mimi animaliens|saperavi|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
474. W|castel mimi|cabernet sauvignon reserve 2012|??|r|cabernet sauvignon|??|??|2012|13.5|reserve|encorpado|carne vermelha, massas, queijos curados|seco
475. W|castel mimi chef|chardonnay 2021|??|w|chardonnay|??|??|2021|12.5|??|leve|frutos do mar, peixes, saladas|seco
476. W|castel mimi|classic cabernet sauvignon barique sgr|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
477. W|castel mimi|classic feteasca neagra barique|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
478. W|castel mimi|classic feteasca neagra barique sgr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
479. W|castel mimi|classic merlot barique sgr|??|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
480. W|castel mimi|classic rara neagra rose sgr|??|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
481. W|castel mimi|classic sauvignon blanc sgr|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
482. W|castel mimi|cucoanele|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
483. W|castel mimi|cucoanele|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=482
484. W|castel mimi|feteasca neagra|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
485. W|castel mimi|feteasca neagra classic|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
486. W|castel mimi|frati|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
487. W|castel mimi|frati|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=486
488. W|castel mimi frati barique|2018 14|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
489. W|castel mimi frati|merlot malbec red wine from moldova|??|r|malbec, merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
490. W|castel mimi frati|merlot malbec rotwein aus moldawien|??|r|malbec, merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
491. W|castel mimi fudul|chardonnay sgr|??|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
492. W|castel mimi governors|feteasca neagra barique 14|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
493. W|castel mimi governors first lady|rose barique 135|??|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
494. W|castel mimi governors|red blend barique 2019 14|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
495. W|castel mimi governors|white blend cupaj baric|??|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
496. W|castel mimi ice|wine riesling|??|w|riesling|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
497. W|castel mimi ice|wine riesling sgr|??|w|riesling|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
498. W|castel mimi|isterie|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
499. W|castel mimi isterie|2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
500. W|castel mimi isterie barique|2019 14|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
501. W|castel mimi isterie dry|red wine|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
502. W|castel mimi isterie dry|red wine 2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
503. W|castel mimi isterie|sgr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
504. W|castel mimi isterie trockener rotwein|2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
505. W|castel mimi limited edition rosu de bulboaca|sgr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
506. W|castel mimi limited edition saperavi|sgr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
507. W|castel mimi limited edition sfaditele|sgr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
508. W|castel mimi maini in sold barique|2018 14|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
509. W|castel mimi maini in sold|tinto moldavia rara neagra|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
510. W|castel mimi|merlot barique 2018 14|??|r|merlot|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
511. W|castel mimi|merlot reserve 2012|??|r|merlot|??|??|2012|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
512. W|castel mimi negru de bulboaca|grand reserve 2018|??|r|??|??|??|2018|13.5|grand reserve|medio|carne vermelha, massas, queijos curados|seco
513. W|castel mimi oak|aged cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
514. W|castel mimi oak|aged frati|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
515. W|castel mimi oak|aged frati|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=514
516. W|castel mimi rara neagra dry|red wine|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
517. W|castel mimi rara neagra|rose|??|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
518. W|castel mimi rara neagra|rose 125|??|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
519. W|castel mimi rara neagra|rose dry|??|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
520. W|castel mimi rara neagra trockener|rotwein|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
521. W|castel mimi|riesling de bulboaca|??|w|riesling|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
522. W|castel mimi|riesling de bulboaca demisec sgr|??|w|riesling|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
523. W|castel mimi|riesling de bulboaca editie limitata|??|w|riesling|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
524. W|castel mimi|riesling eiswein|??|w|riesling|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
525. W|castel mimi|riesling icewine|??|d|riesling|??|??|NV|10|icewine|encorpado|sobremesas, queijos azuis, foie gras|doce
526. W|castel mimi|rose de bulboaca 13|??|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
527. W|castel mimi|rose de bulboaca demisec sgr|??|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
528. W|castel mimi rosu de|bulboaca|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
529. W|castel mimi rosu de|bulboaca|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=528
530. W|castel mimi rosu de bulboaca baric|14|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
531. W|castel mimi rosu de bulboaca editie|limitata|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
532. W|castel mimi rosu de bulboaca limited|edition|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
533. W|castel mimi|sanzienele|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
534. W|castel mimi sanzienele|2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
535. W|castel mimi sanzienele dry|white wine|??|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
536. W|castel mimi sanzienele|sgr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
537. W|castel mimi saperavi barique|2020 14|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
538. W|castel mimi seria chef cuvee|rouge 2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
539. W|castel mimi|sfaditele|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
540. W|castel mimi sfaditele barique|2020 14|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
541. W|castel mimi sfaditele editie|limitata|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
542. W|castel mimi the governor|chardonnay riesling|??|w|chardonnay, riesling|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
543. W|castel mimi the governor|chardonnay riesling sgr|??|w|chardonnay, riesling|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
544. W|castel mimi the governor|feteasca neagra|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
545. W|castel mimi the governor|feteasca neagra 2019 sgr|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
546. W|castel mimi the governor first|lady|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
547. W|castel mimi the governor first lady|rose sgr|??|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
548. W|castel mimi the governor fume|blanc|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
549. W|castel mimi the governor fume|blanc sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
550. W|castel mimi the governor fumee|blanc barique|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
551. W|castel mimi the governors|blend|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
552. W|castel mimi the governors|blend|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=551
553. W|castel mimi the governors|blend|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=551
554. W|castel mimi the governors|blend|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=551
555. W|castel mimi the governors|red blend 2020 sgr|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
556. W|castel mimi the governors|red blend barique 2018 magnum 1|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
557. W|castel mimi viorica de|bulboaca|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
558. W|castel mimi viorica de bulboaca demisec|sgr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
559. S
560. W|castel muscat ottonel|2017|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
561. W|castel muscat ottonel|2017|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=560
562. W|castel noarna dolomiti mercuria|2018|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
563. W|castel noarna lagrein cimber|2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
564. W|castel noarna marco zani mercuria|2018|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
565. W|castel noarna|rethium|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
566. W|castel noarna|sauvignon blanc 2019|??|w|sauvignon blanc|??|??|2019|12.5|??|leve|frutos do mar, peixes, saladas|seco
567. W|castel nou|rouge 2020 frankrig|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
568. W|castel oualou lirac|blanc 2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
569. W|castel oualou lirac cuvee signature|2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
570. W|castel oualou lirac|reserve fut de chene 2021|??|r|??|??|??|2021|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
571. W|castel oualou lirac|reserve syrah|??|r|syrah|??|??|NV|13.5|reserve|encorpado|carne vermelha, massas, queijos curados|seco
572. W|castel oualou lirac|rose|??|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
573. W|castel|petit castel|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
574. W|castel|petit castel 2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
575. W|castel|petit castel 2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
576. W|castel|petit castel 23|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
577. W|castel|petit castel damaged label|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
578. W|castel pietra|merlot dolomiti 2018|??|r|merlot|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
579. W|castel pietra|pinot grigio 2022 6 bottles|??|w|pinot grigio|??|??|2022|12.5|??|leve|frutos do mar, peixes, saladas|seco
580. W|castel pietra|pinot grigio igt dolomiti 2020|??|w|pinot grigio|??|??|2020|12.5|igt|leve|frutos do mar, peixes, saladas|seco
581. W|castel pujol|altos|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
582. W|castel pujol altos|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
583. W|castel pujol altos|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
584. W|castel pujol altos|chardonnay uruguai|??|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
585. W|castel pujol altos|tannat|??|r|tannat|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
586. W|castel pujol altos|tannat rose saignee|??|p|tannat|??|??|NV|12.5|??|encorpado|saladas, aves, queijos leves|seco
587. W|castel pujol altos|tannatmerlot|??|r|merlot, tannat|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
588. W|castel pujol clasico|blanco|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
589. W|castel pujol clasico|blanco|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=588
590. W|castel pujol clasicos|rose|??|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
591. W|castel pujol clasicos|tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
592. W|castel pujol folklore|blanco|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
593. W|castel pujol folklore|blanco|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=592
594. W|castel pujol folklore|blanco|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=592
595. W|castel pujol folklore|blanco 2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
596. W|castel pujol folklore|blanco trebbianomalvasia|??|r|trebbiano|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
597. W|castel pujol folklore|carbonica|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
598. W|castel pujol folklore|carbonica|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=597
599. W|castel pujol folklore carbonica|arinarnoa|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
600. W|castel pujol folklore manseng|noir|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
601. W|castel pujol folklore manseng|noir|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=600
602. W|castel pujol folklore|naranja|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
603. W|castel pujol folklore pet|nat|??|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
604. W|castel pujol folklore pet nat|2022|??|s|??|??|??|2022|12|??|leve|aperitivos, frutos do mar, sushi|brut
605. W|castel pujol folklore pet nat|trebbiano malvasia rivera uruguay|??|s|trebbiano|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
606. W|castel pujol folklore petnat|2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
607. W|castel pujol folklore skin contact trebbianopetit manseng rivera|uruguay|??|r|trebbiano|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
608. W|castel pujol folklore|tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
609. W|castel pujol folklore|tinto 2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
610. W|castel pujol folklore|tinto tannat petit manseng rivera uruguay|??|r|tannat|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
611. W|castel pujol folklore|tinto tannatpetit manseng|??|r|tannat|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
612. W|castel pujol|reserva cabernet|??|r|??|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
613. W|castel pujol|reserva cabernet|??|r|??|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=612
614. W|castel pujol|reserva sauv blanc folklore|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
615. W|castel pujol|reserva sauv blanc folklore|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=614
616. W|castel pujol|rose saigenee altos tanat uruguai|??|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
617. W|castel ramets weissburgunder|1966|??|r|??|??|??|1966|13.5|??|medio|carne vermelha, massas, queijos curados|seco
618. W|castel raziel|2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
619. W|castel raziel|brut blanc de blanc|??|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
620. W|castel raziel|brut rose|??|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
621. W|castel raziel|brut sparkling|??|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
622. W|castel raziel non|vintage champagne|fr|s|??|champagne|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
623. W|castel raziel|rose 2021|??|p|??|??|??|2021|12.5|??|leve|saladas, aves, queijos leves|seco
