W|grangehurst|pinotage|??|r|??|??|??|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granoro|dedicato gnocchetti rigati 500g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granoro|dedicato gomiti 500g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granoro|dedicato tagliatelle 500g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granoro|elicoidali 500g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granoro|fagiolini rigati elbow 500g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granoro|farfalloni 500g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granoro|farina pizza 1 kg pack|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granoro|farina 00 1 kg pack|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granoro|fettuccine 500g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granoro|filini tel sehriye 500g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granoro|fusili spirali grandi 500g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granoro|gluten free casarecce 400g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granoro|gluten free fusilli 400g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granoro|gluten free lasagne 250g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granoro|gluten free penne rigate 400g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granoro|gluten free spaghetti 400g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granoro|gluten free spaghetti 400g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=480
W|granoro|gnocchi di patate 500gr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granoro|lasagne semola 500 g pack|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granoro|linguine 500g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granoro|linguine 500g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=484
W|granoro|mezzi gomiti 500g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granoro|no180 500|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granoro|pappardelle teszta 500g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granoro|paste calamari 500g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granoro|paste cannelloni 250g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granoro|paste conchiglioni 500g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granoro|paste granfusilli 500g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granoro|paste lasagne 500g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granoro|paste millerighi 500g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granoro|paste tagliatelle verdi 500g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granoro|penne rigate 500g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granoro|penne rigate 500g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=496
W|granoro|pennoni rigati 500g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granoro|pennoni rigati bio 500 g pack|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granoro|rigatoni 500g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granoro|rigatoni gr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granoro|seme cicoria arpa sehriye 500g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granoro|semola rimacinata 1 kg pack|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granoro|semolina lasagna 500g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granoro|spaghetti ristoranti 500g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granoro|spaghetti vermicelloni 500g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granoro|spenotos tagliatelle teszta 500g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granoro|sugo alla bolognese con aceite extra virgen gr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granoro|tagliatelle 500g pack|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granos|granos|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granos|de elote dorado herdez 8p220g zk|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granos|de elote herdez 220g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granos|de elote herdez 220gr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granos|de elote herdez 400g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granos|de elote herdez 400gr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granos|de elote selecto brand congelados 500g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granos|de granada cong 500 g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granpa|bbs premium toasted muesli|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granpanzerotti|with ricotta spinach and lemon zest|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granpasso|pian delle vette|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granpecher|granpecher|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granpecher|granpecher|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=521
W|granpecher|20o|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granpecher|melocoton|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granpomier|granpomier|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granpomier|granpomier|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=525
W|granpomier|20o|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granranke|mkogler 180 cm|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
W|grans|fassian leiwen alte reben old vines riesling dry|??|w|riesling|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grans|fassian mineralschiefer mineral slate riesling dry|??|w|riesling|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grans|fassian mineralschiefer mineral slate riesling dry|??|w|riesling|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grans|fassian apotheke gg|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grans|fassian mineralschiefer riesling|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grans|moments cava semiseco|es|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|grans|muralles|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grans|muralles|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=536
W|grans|muralles|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=536
W|grans|muralles|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grans|muralles|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=539
W|grans|muralles ensamblaje|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grans|muralles torres|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gransegreto|fondo del bosco chardonnay ticino doc|??|w|chardonnay|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gransegreto|forte airolo merlot riserva|??|r|merlot|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gransegreto|forte airolo merlot riserva ticino doc|??|r|merlot|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gransegreto|riserva merlot ticino doc|??|r|merlot|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|granselva|il cavallino di sauro maule|es|s|??|??|??|2018|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|granselva|granselva|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|granselva|il cavallino sauro maule|es|s|??|??|??|2023|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gransfassian|laurentiuslay riesling grand cru dry|??|w|riesling|??|??|2022|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
W|gransfassian|leiwen alte reben old vines riesling dry|??|w|riesling|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gransfassian|trittenheim apotheke riesling auslese|??|d|riesling|??|??|2022|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|gransfassian|trittenheim apotheke riesling grand cru dry|??|w|riesling|??|??|2022|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
W|gransfassian|goldtropchen riesling grand cru dry|??|w|riesling|??|??|2023|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
W|gransfassian|laurentiuslay riesling grand cru dry|??|w|riesling|??|??|2023|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
W|gransfassian|trittenheim apotheke riesling grand cru dry|??|w|riesling|??|??|2023|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
W|gransfassian|flussterrassen river terrace riesling offdry|??|w|riesling|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gransfassian|goldtropchen riesling grand cru dry|??|w|riesling|??|??|2024|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
W|gransfassian|laurentiuslay riesling grand cru dry|??|w|riesling|??|??|2024|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
W|gransfassian|trittenheim apotheke riesling grand cru dry|??|w|riesling|??|??|2024|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
W|gransfassian|cuvee 9 riesling 95|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gransfassian|dhroner hofberg riesling gg|??|w|riesling|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gransfassian|leiwener laurentiuslay riesling gg|??|w|riesling|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gransfassian|mineralchiefer 12|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gransfassian|mineralschiefer mineral slate riesling|??|w|riesling|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gransfassian|piesporter goldtropfchen riesling gg|??|w|riesling|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gransfassian|piesporter goldtropfchen riesling gg|??|w|riesling|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gransfassian|trittenheimer apotheke riesling gg|??|w|riesling|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gransfassian|trittenheimer apotheke riesling gg|??|w|riesling|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gransjean|30 kaas|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gransjean|belegen kaas|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gransjean|jonge kaas|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gransjean|oude kaas|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|1ltr with coke and chips|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|4 in 1 usb fast charging cable keychain|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge 10 year old muscat|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge 10 year old muscat|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=577
W|grant|burge 10 year old muscat|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=577
W|grant|burge 10 year old tawny|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge 10 year old tawny|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=580
W|grant|burge 10 year old tawny|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=580
W|grant|burge 10 year old tawny|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=580
W|grant|burge 10 year old tawny barossa valley|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge 10 year old tawny nv australia|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge 10 year old tawny port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge 10 year old tawny port nv australia|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge 10yo tawny|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge 10yo tawny port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge 20 year old muscat|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge 20 year old tawny|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge 20 year old tawny barossa|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge 5th gen cab merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge 5th gen merlot|??|r|merlot|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge 5th gen merlot 750|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge 5th gen merlot 750|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=595
W|grant|burge 5th gen shiraz 750|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge 5th generation adelaide hills pinot gris|??|w|pinot gris|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grant|burge 5th generation adelaide hills pinot gris case of 6|??|w|pinot gris|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grant|burge 5th generation adelaide hills sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grant|burge 5th generation adelaide hills sauvignon blanc case of 6|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grant|burge 5th generation barossa cabernet merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge 5th generation barossa cabernet merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=602
W|grant|burge 5th generation barossa cabernet merlot australia|??|r|merlot|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge 5th generation barossa cabernet merlot australia|??|r|merlot|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge 5th generation barossa cabernet merlot australia|??|r|merlot|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge 5th generation barossa cabernet merlot australia|??|r|merlot|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge 5th generation barossa cabernet merlot australia|??|r|merlot|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge 5th generation barossa cabernet merlot blend|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge 5th generation barossa cabernet merlot case of 6|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge 5th generation barossa chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grant|burge 5th generation barossa chardonnay australia|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grant|burge 5th generation barossa chardonnay australia|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grant|burge 5th generation barossa chardonnay australia|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grant|burge 5th generation barossa chardonnay case of 6|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grant|burge 5th generation barossa merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge 5th generation barossa merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=616
W|grant|burge 5th generation barossa merlot australia|??|r|merlot|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge 5th generation barossa merlot australia|??|r|merlot|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge 5th generation barossa merlot australia|??|r|merlot|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge 5th generation barossa merlot australia|??|r|merlot|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge 5th generation barossa merlot australia|??|r|merlot|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge 5th generation barossa merlot case of 6|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge 5th generation barossa shiraz|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge 5th generation barossa shiraz|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=624
W|grant|burge 5th generation barossa shiraz australia|??|r|shiraz|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge 5th generation barossa shiraz australia|??|r|shiraz|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge 5th generation barossa shiraz australia|??|r|shiraz|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge 5th generation barossa shiraz australia|??|r|shiraz|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge 5th generation barossa shiraz australia|??|r|shiraz|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge 5th generation barossa shiraz australia|??|r|shiraz|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge 5th generation barossa shiraz case of 6|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge 5th generation cabernet merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge 5th generation cabernet merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=633
W|grant|burge 5th generation cabernet merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=633
W|grant|burge 5th generation chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grant|burge 5th generation chardonnay|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grant|burge 5th generation merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge 5th generation merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=638
W|grant|burge 5th generation merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=638
W|grant|burge 5th generation merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=638
W|grant|burge 5th generation petite bubbles|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge 5th generation petite bubbles dry sparkling|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|grant|burge 5th generation petite bubbles nv australia|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge 5th generation pinot gris|??|w|pinot gris|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grant|burge 5th generation pinot gris|??|w|pinot gris|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=645
W|grant|burge 5th generation sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grant|burge 5th generation sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=647
W|grant|burge 5th generation sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=647
W|grant|burge 5th generation sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=647
W|grant|burge 5th generation sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=647
W|grant|burge 5th generation shiraz|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge 5th generation shiraz|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=652
W|grant|burge 5th generation shiraz|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=652
W|grant|burge 5th generation shiraz|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=652
W|grant|burge 5th generation shiraz|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=652
W|grant|burge 5th generation shiraz|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=652
W|grant|burge 5th generation shiraz|??|r|shiraz|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge 5th generation shiraz|??|r|shiraz|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge 5th generation shiraz 2324|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge abednego grenache shiraz mourvedre|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge abednego mourvedre grenache shiraz|??|r|shiraz|??|??|2003|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge abednego shiraz grenache mourvedre|??|r|shiraz|??|??|2002|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge abednego shiraz grenache mourvedre barossa|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge abednego shiraz mourvedre grenache|??|r|shiraz|??|??|2004|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge abednego|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge aged tawny|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge aged tawny|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=667
W|grant|burge aged tawny|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=667
W|grant|burge aged tawny|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=667
W|grant|burge aged tawny 185|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge aged tawny port|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge aged tawny port case of 6|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge aged tawny port nv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge aged tawny port nv australia|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge balthasar eden valley shiraz|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge balthasar shiraz|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge balthasar shiraz|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=677
W|grant|burge balthasar shiraz|??|r|shiraz|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge balthasar shiraz|??|r|shiraz|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge balthasar shiraz|??|r|shiraz|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge balthasar shiraz|??|r|shiraz|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=681
W|grant|burge balthasar shiraz|??|r|shiraz|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=681
W|grant|burge balthasar shiraz|??|r|shiraz|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grant|burge balthasar shiraz|??|r|shiraz|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
