W|vinho|tinto seco pinot noir gradevole dom bernardo|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco foye reserva carmenere|??|r|carmenere|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco flor de ping|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco flor de crasto douro doc|pt|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco flor de cardon malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco fino tannat galiotto 1un de|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto seco fino tannat dom lauro|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto seco fino tannat casta noble|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto seco fino pinot noir casta noble|??|f|pinot noir|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto seco fino pinot noir casta noble|??|f|pinot noir|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry|=430
W|vinho|tinto seco fino merlot viapiana|??|f|merlot|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto seco fino merlot dom lauro|??|f|merlot|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto seco fino merlot casa galiotto 1un de|??|f|merlot|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto seco fino merlot|??|f|merlot|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto seco fino marselan cx c 6 unidades|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto seco fino marselan cx c 6 unidades|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry|=436
W|vinho|tinto seco fino garzon tannat reserva|??|f|??|??|??|NV|15|reserva|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto seco fino cabernet sauvignon dom lauro|??|f|cabernet sauvignon|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto seco fino cabernet sauvignon|??|f|cabernet sauvignon|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto seco fino cabernet franc viapiana|??|f|cabernet franc|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
X
W|vinho|tinto seco finca las moras black label syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco finca la daniela malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco finca la anita syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco finca la anita malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco finca la anita gran corte|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco finca don leta cabernet sauvignon argentina|ar|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco finca don leta bonarda 2024 argentina|ar|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco ferraton pere e fils chateauneufdupape|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco felino malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco felino cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco faces do brasil merlot 187|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco ezimit vranec doc|??|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco ezimit plavac doc|??|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco evolucao|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco esporao vinho da talha moreto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco esporao private selection|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco esporao colheita organico|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco especial ludico 2 vinicola arteviva|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco especial camila malbec arteviva|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco espanhol rioja reserva marques de riscal|es|r|??|rioja|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco esencial malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco esencial cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco escudo rojo reserva syrah|??|r|syrah|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco escudo rojo gran reserva blend|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco errazuriz 1870 carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco erisioni saperavi reserve|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco epico viii guatambu|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco enzo bartoli barolo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco emilio moro|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco elementar marselan arteviva|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco elementar marselan arteviva|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=472
W|vinho|tinto seco el porvenir icon|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco el porvenir bonarda|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco el picoteo 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco el payador pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco el enemigo cabernet franc desconto|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco el enemigo bonarda los paraisos|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco egiodola reserva pizzato|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco egiodola jolimont|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco edizione cinque autoctoni fantini|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco dv catena historico|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco durbanville hills pinotage|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco dunamis gran reserva teroldego|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco dracula dominion feteasca neagra|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco dourosa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco doudetnaudin pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco don tannat don abel|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco don pascual tannat merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco don pascual tannat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco don pascual reserve tannat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco don merlot don abel|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco don melchor carbenet sauvignon safra 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco don melchor carbenet sauvignon 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco don melchor carbenet sauvignon 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco don cabernet sauvignon don abel|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco dominique laurent beaune 1er cru|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco domaine de montille volnay 1er cru les brouillards 2017|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco domaine de montille les greves beaune 1er cru 2011|??|r|??|??|??|2011|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco domaine albin jacumin chateauneuf du pape la begude des papes|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco dom de minas cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco dom bosco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco dom adamo malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco dog crimes merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco dog crimes cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco dinamo merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco dinamo carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco dinamo cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco diama uvva|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco diama uvva|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=510
X
X
W|vinho|tinto seco di bartolo garibaldi|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco desafinado douro doc|pt|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco de mesa sao victor|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco de mesa sao victor|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=516
W|vinho|tinto seco de mesa pet vinicola cappelletti|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco dark horse cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco danie de wet pinotage|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco damascenos naoussa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco crux cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco crios susana balbo red blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco crios susana balbo malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco crios cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco crasto superior syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco crasto douro doc|pt|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco cousinomacul lota c sauvignonmerlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco cousinomacul finis terrae|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco cousinomacul double u cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco cousinomacul don luis merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco cousinomacul don luis cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco cousinomacul antiguas reservas merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco cousinomacul antiguas reservas carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco cousinomacul antiguas reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco corte tosquia campos de cima|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco corte talento salton|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco corte paradoxo salton|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco corte estilo don laurindo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco corte classico luiz argenta|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco cordero con piel de lobo cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco cordero con piel de lobo blend de tintas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco cordel uvva|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco conte de campiano primitivo de manduria riservaano 2020 pode haver variacao de safracc001ou em ate12xno cartao de creditoa vista5 desconto|??|r|primitivo|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco conde de los andes doc 2003|??|r|??|??|??|2003|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco concentus gran reserva dovv pizzato|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco comte desclos bordeaux|fr|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco columbia crest cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco colome estate malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco collina|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco colleja doc douro|pt|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco colle dei medici brunello di montalcino docg|it|r|??|toscana|montalcino|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco col dorcia vigna nastagio brunello di montalcino docg|it|r|??|toscana|montalcino|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco col dorcia rosso di montalcino doc|it|r|??|toscana|montalcino|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco col dorcia olmaia c sauvignon igt|??|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco cohiba atmosphere 2012 rioja doca|es|r|??|rioja|??|2012|13.5|doca|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco cloudy bay pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco cloudline pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco claude val rouge|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco ciro rosso classico liber pater|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco chorinho|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco chileno cousinomacul syrah don luis|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco chileno carmenere pichilemu|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco chianti leonardo da vinci|it|r|??|toscana|chianti|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco cherry bomb pinot noir clarete garbo|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco chateau vermont bordeaux|fr|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco chateau peyrelongue grand cru merlot cabernet franc|??|r|cabernet franc|??|??|NV|13.5|grand cru|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco chateau lauretan bordeaux superieur|fr|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco chateau latourmartillac grand cru classe de graves pessacleognan 2016|??|r|??|??|??|2016|13.5|grand cru|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco chateau lagrange pomerol 2013|??|r|??|??|??|2013|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco chateau la rose saintgermain bordeaux|fr|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vinho|tinto seco chateau la rose du pin bordeaux|fr|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vinho|tinto seco chateau la grave a pomerol|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco chateau kefraya coteaux|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco chateau kefraya breteches|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco chateau haura graves|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco chateau fombrauge saint emilion grand cru classe|??|r|??|??|??|NV|13.5|grand cru|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco chateau des combes saintemilion grand cru|??|r|??|??|??|NV|13.5|grand cru|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco chateau de la gardine chateauneufdupape|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco chateau bellevue favereau bordeaux superieur desconto|fr|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco chateau bellevue favereau bordeaux superieur desconto|fr|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=580
W|vinho|tinto seco chateau bellevue favereau bordeaux superieur desconto|fr|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=580
W|vinho|tinto seco chamine|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco chac chac reserva tannat|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco chac chac reserva malbec|??|r|malbec|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco cerro del toro tannat reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco cemento don guerino|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco cedro do noval|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco cava negra malbec|??|s|malbec|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vinho|tinto seco catena zapata saint felicien bonarda|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco catena zapata birth of cabernet 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco catena malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco catena lunlunta malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco catena cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco castlebrae pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco castello di volpaia chianti classico docg|it|r|??|toscana|chianti|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco castello di montepo morrelino di scansano 2020 docg|??|r|??|??|??|2020|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco castello di montepo morrelino di scansano 2019 docg|??|r|??|??|??|2019|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco castello del terriccio igt 2017|??|r|??|??|??|2017|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco castello del terriccio igt 2016|??|r|??|??|??|2016|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco castello del terriccio igt 2015|??|r|??|??|??|2015|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco castello del terriccio igt 2013|??|r|??|??|??|2013|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco castellamare|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco castas portuguesas quinta do seival miolo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco castas e barricas dom bernardo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco casillero del diablo cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco casas patronales selected reserve cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco casas patronales gran reserva syrah|??|r|syrah|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco casas patronales gran reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco casas del toqui single estate merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco casas del toqui single estate carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco casas del toqui single estate cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco casas del toqui reserva pinot noir|??|r|pinot noir|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco casas del toqui reserva merlot|??|r|merlot|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco casas del toqui reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco casas del bosque reserva pinot noir|??|r|pinot noir|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco casarena laurens vineyard petit verdot|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco casa valduga villalobos cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco casa valduga terroir merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco casa valduga terroir exclusivo marselan|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco casa valduga terroir exclusivo cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco casa silva romano parras viejas 1912|??|r|??|??|??|1912|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco casa silva reserva syrah|??|r|syrah|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco casa silva reserva pinot noir|??|r|pinot noir|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco casa silva reserva merlot|??|r|merlot|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco casa silva reserva carmenere|??|r|carmenere|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco casa silva reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco casa silva gran terroir do los lingues carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco casa silva gran terroir cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco casa silva gran terroir angostura merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco casa silva gran reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco casa silva edicion limitada petit verdot|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco casa silva coleccion syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco casa silva coleccion carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco casa silva coleccion cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto seco casa silva 5 cepas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
