W|vinho|tinto la celia pioneer reserva cabernet franc|??|r|cabernet franc|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano nobili ditalia nero d avola|??|r|nero d avola|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano nobilduca chianti docg|it|r|??|toscana|chianti|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano nizzardo primitivo di puglia|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano nino negri riserva valtelina superiore docg|??|r|??|??|??|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano nino negri nebbiolo rosso di valtelina doc|??|r|nebbiolo|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano nina merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano nigra negroamaro puglia igp|??|r|??|??|??|NV|13.5|igp|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano niccolo da uzzano chianti classico|it|r|??|toscana|chianti|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano nero davola terre sicilia|it|r|??|sicilia|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano nero davola corbelli|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano nero d avola sicilia mannara|it|r|nero d avola|sicilia|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano nerello mascalese arpeggio|??|r|nerello mascalese|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano negroamaro salento zonin|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano negroamaro primitivo puglia igt contessa carola|??|r|primitivo|??|??|NV|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano negroamaro massa antico|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano naxos rosso terre siciliane igt|??|r|??|sicilia|??|NV|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano natale verga barbera d alba com|??|r|barbera|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano natale verga barbaresco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano musiolo vino rosso 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano morello barolo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano morello barbaresco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano morello barbaresco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=448
W|vinho|tinto italiano morellino di scansano docg|??|r|??|??|??|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano montresor valpolicella ripasso alberini|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano montresor valpolicella classico doc|??|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano montresor rustego della valpolicella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano montresor rustego della valpolicella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=453
W|vinho|tinto italiano montresor recioto re teodorico|??|d|??|??|??|NV|12|??|encorpado|sobremesas; queijos azuis|??
W|vinho|tinto italiano montresor monplaisir|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano montresor capitel della crosara|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano montresor campo madona|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano montepulciano docg|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano montepulciano dabruzzo natale vergaho|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano montepulciano dabruzzo giancarlo|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano montepulciano dabruzzo caldora yume|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano montepulciano dabruzzo|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano monte antico igt toscana|it|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano monte antico igt toscana|it|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; queijos curados|??|=464
W|vinho|tinto italiano monica di sardegna doc|??|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano monferrato nebbiolo|??|r|nebbiolo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano monferrato dolcetto|??|r|dolcetto|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|doce
W|vinho|tinto italiano monalisa sangiovese romagna superiore|??|r|sangiovese|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano michele chiarlo palas barolo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano michele chiarlo palas barbaresco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano michele chiarlo palas barbaresco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=471
W|vinho|tinto italiano michele chiarlo la court nizza riserva docg|??|r|??|??|??|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano michele chiarlo barolo cannubi reserva docg 2016|??|r|??|??|??|2016|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano michele chiarlo barolo cannubi docg|??|r|??|??|??|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano michele chiarlo barollo cerequio docg|??|r|??|??|??|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano michele chiarlo barbera dasti docg|??|r|barbera|??|??|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano michele chiarlo asili barbaresco docg|??|r|??|??|??|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano mediterranico nero davola doc organico|??|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano marsala lombardo fine|??|f|??|??|??|NV|17|??|encorpado|sobremesas; queijos azuis|??
W|vinho|tinto italiano markos vigneto puglia anarkos racemi|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano mario primo toscana rosso piccini|it|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano mario primo toscana rosso igt|it|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano marchesi migliorati montepulciano dabruzzo|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano marchese di borgosole salice salentino reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano marchese antinori chianti classico riserva tenuta tignanello|it|r|??|toscana|chianti|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano manieri primitivo di manduria|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano manieri primitivo di manduria|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=487
W|vinho|tinto italiano manieri montepulciano d abruzzo 2017|it|r|montepulciano|toscana|montepulciano|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano mandato nero davola|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano mandato nero davola|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=490
W|vinho|tinto italiano magma primitivo di manduria dop|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano magliocco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano luminosita alussinante|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano luma sicilia nero davola cantina cellaro|it|r|??|sicilia|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano luigi einaudi langhe nebbiolo doc|??|r|nebbiolo|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano luigi einaudi dolcetto dogliani 2021|it|r|dolcetto|piemonte|dogliani|2021|13.5|??|medio|carnes vermelhas; queijos curados|doce
W|vinho|tinto italiano luigi einaudi barolo ludo docg|??|r|??|??|??|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano luigi einaudi barbera|??|r|barbera|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano luigi arnulfo barolo annate|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano luccarelli signature collection primitivo di manduria dop|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano luccarelli signature collection|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano luccarelli rosso puglia igp|??|r|??|??|??|NV|13.5|igp|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano luccarelli puglia rosso igp|??|r|??|??|??|NV|13.5|igp|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano luccarelli puglia rosso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano luccarelli primitivo puglia igp|??|r|primitivo|??|??|NV|13.5|igp|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano luccarelli primitivo puglia 1|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano luccarelli primitivo puglia 1|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=507
W|vinho|tinto italiano luccarelli primitivo puglia|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano luccarelli primitivo di manduria old vines|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano luccarelli negroamaro puglia igp|??|r|??|??|??|NV|13.5|igp|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano luccarelli negroamaro puglia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano luccarelli negroamaro igp|??|r|??|??|??|NV|13.5|igp|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano luccarelli gold sangiovese|??|r|sangiovese|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano luccarelli gold|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano luccarelli campo marina primitivo merlot tarantino|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano luccarelli campo marina primitivo di manduria|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano luccarelli campo marina malvasia nera salento|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano loro di bacco primitivo di manduria|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano loro di bacco golden signature quatre uve autoctoni|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano leonardo da vinci sangiovese romagna|??|r|sangiovese|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano leonardo da vinci rosso di montalcino|it|r|??|toscana|montalcino|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano leonardo da vinci rosso di montalcino|it|r|??|toscana|montalcino|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=522
W|vinho|tinto italiano leonardo da vinci chianti docg|it|r|??|toscana|chianti|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano leonardo da vinci brunello di montalcino 2017|it|r|??|toscana|montalcino|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano leonardo da vinci brunello di montalcino|it|r|??|toscana|montalcino|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano le difese|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano le casine sangiovese|??|r|sangiovese|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano le casine primitivo|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano le casine montepulciano|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano le casine montepulciano|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=530
W|vinho|tinto italiano le buche 2012|??|r|??|??|??|2012|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano langhe nebbiolo heredis|??|r|nebbiolo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano lambrusco villa giada|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano lambrusco dellemilia roccolo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano lambrusco campetto amabile dellemilia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano labaro chianti docg|it|r|??|toscana|chianti|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano la vite lucente|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano la rosa dei vini rosso ditalia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano la piuma primitivo de manduria|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano la piuma chianti|it|r|??|toscana|chianti|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano la nave primitivo puglia terra de san vincenzo|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano la mora maremma toscana merlot|it|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano la grotta primitivo di salento|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano la grotta barricato primitivo di puglia igp|??|r|primitivo|??|??|NV|13.5|igp|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano la grotta barricato negroamaro di puglia igp|??|r|??|??|??|NV|13.5|igp|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano la cacciatora nero davola sicilia doc|it|r|??|sicilia|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano la cacciatora montepulciano dabruzzo doc|it|r|montepulciano|toscana|montepulciano|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano la cacciatora barbera dasti docg|??|r|barbera|??|??|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano il pumo rosso igp salento san marzano|??|r|??|??|??|NV|13.5|igp|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano il pumo primitivo san marzano|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano il pumo primitivo igp salento san marzano|??|r|primitivo|??|??|NV|13.5|igp|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano igt calabria merlot|??|r|merlot|??|??|NV|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano i muri negroamaro|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano i giusti e zanza vigneti nemorino|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano i giusti e zanza vigneti belcore|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano i giusti e zanza perbruno|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano i giusti e zanza dulcamara supertoscano|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano guerrieri galileo riserva|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano greppicante bolgheri|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano greppicaia bolgheri doc superiore|??|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano granduca dei sani chianti docg|it|r|??|toscana|chianti|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano gran sasso montepulciano dabruzzo|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano gran sasso montepulciano dabruzzo|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=563
W|vinho|tinto italiano gran maestro rosso puglia appassimento|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano giovanni sarti borgo della roca|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano giancarlo nero davola sicilia|it|r|??|sicilia|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano giaiet barbera dasti docg|??|r|barbera|??|??|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano giacondi chianti|it|r|??|toscana|chianti|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano gelso doro nero di troia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano gaja sperss barolo dop|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano gaja barolo dagromis dop 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano gaja barolo dagromis dop 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??|=572
W|vinho|tinto italiano fuori porta sangiovese|??|r|sangiovese|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano friuli merlot doc rauscedo|it|r|merlot|friuli|magredi|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano frisante mosketto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano frescobaldi tenuta perano chianti classico docg 1|it|r|??|toscana|chianti|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano frescobaldi tenuta perano chianti classico|it|r|??|toscana|chianti|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano frescobaldi tenuta perano chianti classico|it|r|??|toscana|chianti|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=578
W|vinho|tinto italiano frescobaldi tenuta castiglioni toscana igt|it|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano frescobaldi tenuta castiglioni chianti docg|it|r|??|toscana|chianti|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano frescobaldi tenuta castiglioni chianti classico|it|r|??|toscana|chianti|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano frescobaldi pomino pinot nero doc|??|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano frescobaldi perano chianti classico riserva docg|it|r|??|toscana|chianti|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano frescobaldi perano chianti classico docg|it|r|??|toscana|chianti|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano frescobaldi nipozzano montesodi toscana igt|it|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano frescobaldi nipozzano cecchie viti chianti rufina docg|it|r|??|toscana|chianti|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano frescobaldi luce|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano frescobaldi castelgiocondo rosso di montalcino doc|it|r|??|toscana|montalcino|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano fornino 1903 chianti docg|it|r|??|toscana|chianti|1903|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano folonari la fuga toscana|it|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano folonari il pareto tenute la fuga|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano folonari cabreo il borgo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano firriato santagostino baglio soria|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano firriato santagostino baglio soria|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=594
W|vinho|tinto italiano firriato le sabbie del etna|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano firriato chiaramonte nero davola|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano firriato branciforti nero davola|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano fino chianti sangiovese cecchi|it|f|sangiovese|toscana|chianti|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vinho|tinto italiano fiero toscana ridolfi igt|it|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano feudo arancio pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano feudo arancio cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano fasano barolo docg|??|r|??|??|??|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano famiglia ricciadoro primitivo|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano famiglia castellani arbos sangiovese igt|??|r|sangiovese|??|??|NV|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano famiglia castellani arbos chianti docg|it|r|??|toscana|chianti|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano falestro negroamaro|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano etna rosso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano emozione negroamaro salento igp|??|r|??|??|??|NV|13.5|igp|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano elegia primitivo di manduria reserva produttori manduria|??|r|primitivo|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano edizione fantini|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano duca doro rosso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano dolcetto d alba giacomo fenocchio|??|r|dolcetto|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|doce
W|vinho|tinto italiano dolcetto d alba batasiolo|??|r|dolcetto|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|doce
W|vinho|tinto italiano dalba dolcetto|??|r|dolcetto|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|doce
W|vinho|tinto italiano dal 1947 primitivo di manduria san vicenzo|??|r|primitivo|??|??|1947|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano dal 1947 primitivo|??|r|primitivo|??|??|1947|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano corvo rosso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano cortesole ripasso valpolicella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano corte ottone brindisi doc riserva|??|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano corte magna sangiovese|??|r|sangiovese|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano corte magna puglia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano contrade belussa nerello mascalese|??|r|nerello mascalese|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano conti torraiolo sangiovese igt puglia|??|r|sangiovese|??|??|NV|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano contessa carola sangiovese oro igt|??|r|sangiovese|??|??|NV|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano contessa carola negroamaro puglia igt|??|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano contessa carola negroamaro primitivo puglia igt|??|r|primitivo|??|??|NV|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano conte regale primitivo igt puglia|??|r|primitivo|??|??|NV|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano conte di campiano appassimento negroamaro igt|??|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano collezione primitivo igt puglia seco|??|r|primitivo|??|??|NV|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano collezione chianti docg seco|it|r|??|toscana|chianti|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto italiano collefrisio confronto 14|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
