W|gullon|galleta digestive zero 400 grs|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gun|lighter|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gun|lightersims|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gun|smoke merlot|??|r|merlot|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gun|windproov lighter 1pcs|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gunbun|cabernet sonoma 21|us|r|??|california|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gunbun|pinot noir sonoma 21|us|r|pinot noir|california|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gundagai|barbera|??|r|barbera|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gundagai|chenin blanc|??|w|chenin blanc|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gundagai|chenin blanc|??|w|chenin blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gundelsbach|riesling trocken|??|w|riesling|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gundelsbach|weissburgunder chardonnay|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|nackenheimer rothenberg riesling auslese 3 star|??|d|riesling|??|??|2005|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|gunderloch|rheinhessen nierstein pettenthal riesling gg|??|w|riesling|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|rheinhessen nackenheim rothenberg riesling gg|??|w|riesling|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|rheinhessen nierstein hipping riesling gg|??|w|riesling|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|rheinhessen niersteiner riesling trocken|??|w|riesling|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|rheinhessen riesling trocken vom roter schiefer|??|w|riesling|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|a piece of me als wars ein stuck von mir riesling|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|als wars ein stuck von mir riesling|??|w|riesling|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|als wars ein stuck von mir riesling|??|w|riesling|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|balbach riesling|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|diva riesling spatlese|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|estate riesling dry|??|w|riesling|??|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|fenchelberg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gunderloch|fritz riesling|??|w|riesling|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|fritz riesling|??|w|riesling|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|fritzs riesling|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|fritzs riesling|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=477
W|gunderloch|fritzs riesling|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=477
W|gunderloch|fritzs riesling|??|w|riesling|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|fritzs riesling qba|??|w|riesling|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|fritzs riesling qba occ of|??|w|riesling|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|fritzs rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gunderloch|gewurztraminer|??|w|??|??|??|2015|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|hasselbach dry riesling rheinhessen trocken|??|w|riesling|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|hasselbach riesling trocken|??|w|riesling|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|hipping|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gunderloch|hipping gg riesling|??|w|riesling|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|hipping riesling grosses gewachs|??|w|riesling|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|jean babtiste kabinett riesling|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|jean baptiste kabinett|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gunderloch|jean baptiste kabinett riesling|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|jean baptiste riesling|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|jean baptiste riesling kabinett|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|jean baptiste riesling kabinett|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=494
W|gunderloch|jean baptiste riesling kabinett|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=494
W|gunderloch|jean baptiste riesling kabinett|??|w|riesling|??|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|jean baptiste riesling kabinett|??|w|riesling|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|jean baptiste riesling kabinett|??|w|riesling|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|jean baptiste riesling kabinett|??|w|riesling|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=499
W|gunderloch|jean baptiste riesling kabinett|??|w|riesling|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|jean baptiste riesling kabinett rheinhessen|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|jean baptiste riesling kabinett rheinhessen|??|w|riesling|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|jean baptiste riesling rheinhessen|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|jeanbabtiste riesling kabinett|??|w|riesling|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|jeanbaptiste riesling kabinett|??|w|riesling|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|kabinett riesling|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|nackenheim erste lage|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gunderloch|nackenheim riesling eiswein|??|w|riesling|??|??|2012|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|nackenheim riesling trocken|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|nackenheim rothenberg riesling|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|nackenheim rothenberg riesling auslese goldkapsel|??|d|riesling|??|??|2004|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|gunderloch|nackenheim silvaner xt trocken erste lage|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gunderloch|nackenheimer rothenberg auslese|??|d|??|??|??|2021|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|gunderloch|nackenheimer rothenberg auslese|??|d|??|??|??|2021|10|??|encorpado|sobremesas, queijos, frutas secas|doce|=514
W|gunderloch|nackenheimer rothenberg kabinett|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gunderloch|nackenheimer rothenberg riesling auslese rheinhessen|??|d|riesling|??|??|2011|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|gunderloch|nackenheimer rothenberg riesling grosses gewachs|??|w|riesling|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|nackenheimer rothenberg spatlese|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gunderloch|nierstein riesling|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|nierstein riesling dry|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|nierstein riesling trocken|??|w|riesling|??|??|2016|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|niersteiner pettenthal riesling gg|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|pettenthal|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gunderloch|pettenthal gg riesling|??|w|riesling|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|pettenthal gg riesling trocken|??|w|riesling|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|pettenthal grosses gewachs riesling|??|w|riesling|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|pettenthal riesling gg|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|pettenthal riesling gg|??|w|riesling|??|??|2016|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|pettenthal riesling trocken grosses gewachs|??|w|riesling|??|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|pettenthal riesling trocken grosses gewachs|??|w|riesling|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|pettenthal riesling trocken gg|??|w|riesling|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|pettenthal riesling trocken gg|??|w|riesling|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=532
W|gunderloch|pettenthal riesling trocken grosses gewachs|??|w|riesling|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|pinot gris|??|w|pinot gris|??|??|2013|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|red stone riesling|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|red stone riesling|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=536
W|gunderloch|red stone riesling|??|w|riesling|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|red stone riesling rheinhessen|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|rheinhessen fritzs riesling dry|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|rheinhessen riesling kabinett feinherb jean baptiste|??|w|riesling|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|riesling cru engelsberg|??|w|riesling|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|riesling eiswein half btls|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|riesling eiswein nackenheim rheinhessen|??|w|riesling|??|??|2004|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|riesling gg hipping|??|w|riesling|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|riesling gg pettenthal|??|w|riesling|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|riesling gg pettenthal|??|w|riesling|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|riesling gg rothenberg|??|w|riesling|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|riesling gg rothenberg|??|w|riesling|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|riesling hipping gg|??|w|riesling|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|riesling jean baptiste kabinett|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|riesling jeanbaptiste kabinett rheinhessen|??|w|riesling|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|riesling jeanbaptiste kabinett rheinhessen|??|w|riesling|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|riesling kabinett|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|riesling kabinett jean baptiste|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|riesling kabinett jean baptiste|??|w|riesling|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|riesling kabinett jean baptiste|??|w|riesling|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=556
W|gunderloch|riesling kabinett jeanbaptiste|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|riesling pettenthal grosses gewachs|??|w|riesling|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|riesling rothenberg vdp gg|??|w|riesling|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|riesling spatlese rothenberg nackenheim rheinhessen germany 75 vol|de|w|riesling|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|riesling trocken|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|riesling trocken|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=562
W|gunderloch|roter hang riesling|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|rothenberg|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gunderloch|rothenberg drei sterne auslese|??|d|??|??|??|2014|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|gunderloch|rothenberg gg riesling|??|w|riesling|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|rothenberg gg riesling|??|w|riesling|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|rothenberg riesling auslese|??|d|riesling|??|??|2017|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|gunderloch|rothenberg riesling auslese|??|d|riesling|??|??|2017|10|??|encorpado|sobremesas, queijos, frutas secas|doce|=569
W|gunderloch|rothenberg riesling auslese|??|d|riesling|??|??|2017|10|??|encorpado|sobremesas, queijos, frutas secas|doce|=569
W|gunderloch|rothenberg riesling auslese|??|d|riesling|??|??|2018|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|gunderloch|rothenberg riesling kabinett|??|w|riesling|??|??|2016|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|rothenberg riesling kabinett|??|w|riesling|??|??|2016|12.5|??|medio|peixes, frutos do mar, saladas|seco|=573
W|gunderloch|rothenberg riesling spatlese|??|w|riesling|??|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|rothenberg riesling spatlese|??|w|riesling|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|rothenberg riesling spatlese|??|w|riesling|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=576
W|gunderloch|rothenberg riesling spatlese|??|w|riesling|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=576
W|gunderloch|rothenberg riesling trocken gg|??|w|riesling|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|silvaner xt|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gunderloch|v roten schiefer trocken|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gunderloch|villa riesling qba|??|w|riesling|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|villa riesling qba|??|w|riesling|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|vom roten schiefer riesling trocken|??|w|riesling|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|vom roten schiefer riesling trocken|??|w|riesling|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|vom roten schiefer riesling trocken rheinhessen germany|de|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gunderloch|wurzelwerk riesling pack|??|w|riesling|??|??|2012|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gundersheimer|hollenbrand riesling trocken privat der charaktervolle|??|w|riesling|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gundersheimer|riesling trocken|??|w|riesling|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gundersheimer|riesling vdperste lage|??|w|riesling|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gundersheimer|riesling vdperste lage trocken|??|w|riesling|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gundersheimer|spatburgunder 1g|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gundheimer|sonnenberg chardonnay s holzfassausbau|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gundheimer|sonnenberg spatburgunder trocken privat der premiumspatburgunder|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gundheimer|spatburgunder rotwein trocken|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gundheimer|spatburgunder rotwein trocken der samtig stilvolle vorher bechtheimer|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gundheimer|st laurent rotwein trocken der wurzige rotweinklassiker|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gundlach|bundchu cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gundlach|bundschu cabernet sauvignon sonoma|us|r|cabernet sauvignon|california|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gundlach|bundschu mountain cuvee red|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gundlach|bundschu dry gewurztraminer|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gundlach|bundschu cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gundlach|bundschu cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=602
W|gundlach|bundschu cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=602
W|gundlach|bundschu cabernet sauvignon|??|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gundlach|bundschu cabernet sauvignon|??|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=605
W|gundlach|bundschu cabernet sauvignon|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gundlach|bundschu cabernet sauvignon|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=607
W|gundlach|bundschu cabernet sauvignon|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=607
W|gundlach|bundschu cabernet sauvignon 21|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gundlach|bundschu cabernet sauvignon gunbun|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gundlach|bundschu cabernet sauvignon gunbun|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=611
W|gundlach|bundschu cabernet sauvignon gunbun|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=611
W|gundlach|bundschu cabernet sauvignon reserve 160th|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gundlach|bundschu cabernet sauvignon reserve|??|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gundlach|bundschu cabernet sauvignon sonoma valley|us|r|cabernet sauvignon|california|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gundlach|bundschu cabernet sauvignon sonoma valley|us|r|cabernet sauvignon|california|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gundlach|bundschu chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gundlach|bundschu chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=618
W|gundlach|bundschu chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=618
W|gundlach|bundschu chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=618
W|gundlach|bundschu chardonnay|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gundlach|bundschu chardonnay|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gundlach|bundschu chardonnay 23|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gundlach|bundschu chardonnay sonoma coast|us|w|chardonnay|california|sonoma coast|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gundlach|bundschu chardonnay sonoma coast|us|w|chardonnay|california|sonoma coast|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gundlach|bundschu dry gewurztraminer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gundlach|bundschu dry gewurztraminer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=627
W|gundlach|bundschu dry gewurztraminer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=627
W|gundlach|bundschu estate dry gewurztraminer|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gundlach|bundschu estate merlot|??|r|merlot|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gundlach|bundschu estate vineyard gewurztraminer|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gundlach|bundschu estate vineyard merlot|??|r|merlot|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gundlach|bundschu gewrztraminer estate sonoma coast|us|r|??|california|sonoma coast|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gundlach|bundschu gewurz|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gundlach|bundschu gewurztraminer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gundlach|bundschu gewurztraminer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=636
W|gundlach|bundschu gewurztraminer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=636
W|gundlach|bundschu gewurztraminer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=636
W|gundlach|bundschu gewurztraminer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=636
W|gundlach|bundschu gewurztraminer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=636
W|gundlach|bundschu gewurztraminer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=636
W|gundlach|bundschu gewurztraminer|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gundlach|bundschu gewurztraminer|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gundlach|bundschu gewurztraminer|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gundlach|bundschu gewurztraminer sonoma|us|w|??|california|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gundlach|bundschu gun bun pinot noir|??|r|pinot noir|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gundlach|bundschu gunbun cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gundlach|bundschu gunbun pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gundlach|bundschu gunbun pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=649
W|gundlach|bundschu gunbun pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=649
W|gundlach|bundschu merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gundlach|bundschu merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=652
W|gundlach|bundschu merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=652
W|gundlach|bundschu merlot|??|r|merlot|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gundlach|bundschu merlot sanoma valley|??|r|merlot|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gundlach|bundschu mountain cuvee|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gundlach|bundschu mountain cuvee|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=657
W|gundlach|bundschu mountain cuvee|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=657
W|gundlach|bundschu mountain cuvee|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=657
W|gundlach|bundschu mountain cuvee|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=657
W|gundlach|bundschu mountain cuvee|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=657
W|gundlach|bundschu mountain cuvee|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gundlach|bundschu mountain cuvee|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=663
W|gundlach|bundschu mountain cuvee|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
