W|rose|cabriz|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|ripiano la jovem|jovem|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ripasso valpolicella superiore|doc zenato|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ripanco private selection|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|riondo valpolicella superiore|doc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|riondo valpolicella sup|doc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|riondo valpolicella ripasso|doc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|riondo valpolicella amarone|docg|??|r|??|??|??|NV|14.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|riondo lunardi pinot grigio|grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|riondo lunardi cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|riondo amarone della valpolicella|docg|??|r|??|??|??|NV|14.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|rioja|vina marro vendimia seleccionada|es|r|??|rioja|??|NV|13.5|DOCa|medio|carnes vermelhas, massas, queijos curados|seco
W|rioja|vina marro doc reserva 2012|es|r|??|rioja|??|2012|14.5|DOCa|encorpado|carnes vermelhas, massas, queijos curados|seco
W|rioja|vina marro crianza|es|r|??|rioja|??|NV|14.5|DOCa|medio|carnes vermelhas, massas, queijos curados|seco
W|rioja|tempranillo bodegas ramirez espanhol 2020|es|r|tempranillo|rioja|??|2020|13.5|DOCa|medio|carnes vermelhas, massas, queijos curados|seco
W|rioja|sierra cantabria seleccion doca 2015|es|r|??|rioja|??|2015|13.5|DOCa|medio|carnes vermelhas, massas, queijos curados|seco
W|rioja|bordon gran reserva|es|r|??|rioja|??|NV|14.5|DOCa|encorpado|carnes vermelhas, massas, queijos curados|seco
W|rioja|bordon gran reserva|es|r|??|rioja|??|NV|14.5|DOCa|encorpado|carnes vermelhas, massas, queijos curados|seco|=489
W|rioja|bordon crianza doc|es|r|??|rioja|??|NV|14.5|DOCa|medio|carnes vermelhas, massas, queijos curados|seco
W|rioja|bodegas ramirez reserva tempranillo 2016|es|r|tempranillo|rioja|??|2016|14.5|DOCa|encorpado|carnes vermelhas, massas, queijos curados|seco
W|rioja|alta gran reserva 904 2015|es|r|??|rioja|??|2015|14.5|DOCa|encorpado|carnes vermelhas, massas, queijos curados|seco
W|rio sol tempranillo|tinto seco|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|rio sol tempranillo 1x|1x|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|rio sol tempranillo|tempranillo|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|rio sol syrah meio seco|tinto|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|rio sol syrah meio seco 1x|1x|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|rio sol syrah 1x|1x|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|rio sol syrah|syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|rio sol|tinto seco|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|rio sol|tinto 1x|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|rio sol meio seco syrah|syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|rio sol|touriga nacional|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|rio sol|touriga nacional|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=504
W|rio sol|touriga 1x|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|rio sol|paralelo 8|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|rio sol|alicante tto 1x|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|rio sol|alicante bouschet|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|rio sol|alicante bouchet|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|rio sol chennin blanc 1x|1x|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|rio sol chenin blanc viognier|branco|??|w|viognier|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|rio sol chenin blanc viognier|viognier|??|w|viognier|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|rio sol chenin blanc|blanc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|rio sol cabernet|tinto suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec
W|rio sol cabernet syrah 1x|1x|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|rio sol cabernet|suave 1x|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec
W|rio sol cabernet sauvignon|tinto suave|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec
W|rio sol cabernet sauvignon|tinto seco|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|rio sol cabernet sauvignon|tinto|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|rio sol cabernet sauvignon|suave|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec
W|rio sol cabernet sauvignon com syrah|syrah|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|rio sol cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|rio sol cabernet 1x|1x|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|rio sol assemblage|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|rio sol 8|tinto 1x|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|rio de los pajaros|tannat 2020|??|r|tannat|??|??|2020|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|rio da prata sauvignon blanc|2024|??|w|sauvignon blanc|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|rio da prata|rose 2024|??|p|??|??|??|2024|12.5|??|medio|saladas, sushi, petiscos|seco
W|rio da prata merlot|tinto 2023|??|r|merlot|??|??|2023|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|rio da prata merlot|2023|??|r|merlot|??|??|2023|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|rio da prata cabernet sauvignon|tinto 2023|??|r|cabernet sauvignon|??|??|2023|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|rio costa cabernet sauvignon syrah|syrah|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|rio belo|douro|pt|r|??|douro|??|NV|14.5|DOC|encorpado|carnes vermelhas, massas, queijos curados|seco
W|riglos quinto malbec|tinto|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|riglos quinto malbec|2018|??|r|malbec|??|??|2018|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|riglos|gran corte|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
S|=279
W|riesling schloss johannisberg rheingau trocken bronzelack|2020 branco alemanha|??|w|riesling|??|??|2020|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|riesling scherwiller|scherwiller|??|w|riesling|??|??|NV|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|riesling rittersberg|rittersberg|??|w|riesling|??|??|NV|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|riesling|oscar haussmann 01 rheinhessen 2021 branco alemanha|??|w|riesling|??|??|2021|10.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|riesling oscar haussmann 01 rhein|dry 2022 branco alemanha|??|w|riesling|??|??|2022|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|riesling langenlois hiedler|hiedler|??|w|riesling|??|??|NV|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|riesling la jovem|jovem|??|w|riesling|??|??|NV|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|riesling italico vita eterna|eterna|??|w|riesling|??|??|NV|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|riesling granja uniao garibaldi|garibaldi|??|w|riesling|??|??|NV|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|riesling|grand cru cave hunawihr schoenenbourg|??|w|riesling|??|??|NV|10.5|??|medio|peixes, frutos do mar, saladas|seco
W|riesling deinhard green label|2023 branco alemanha|??|w|riesling|??|??|2023|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|riesling castellamare|castellamare|??|w|riesling|??|??|NV|10.5|??|leve|peixes, frutos do mar, saladas|seco
S|=279
W|riesling|riesling|??|w|riesling|??|??|NV|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|ried wiesthalen riesling|riesling|??|w|riesling|??|??|NV|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|ricossa langhe|dop nebbiolo tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ricossa gavi|docg branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|ricossa barolo|docg reserva tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|ricossa barolo|docg|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ricossa barbera dasti|docg|??|r|barbera|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ricossa barbera asti|docg|??|r|barbera|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ricossa barbaresco|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ricossa barbaresco|docg|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ricossa barbaresco|2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ricossa asti|doc dolcetto|??|r|dolcetto|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|richland shiraz 750mlem ate3xdesem juroscomprar|juroscomprar|??|r|shiraz|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|richland shiraz|shiraz|??|r|shiraz|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|riccitelli this is not another lovely torrontes|torrontes|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|riccitelli this is not another lovely malbec|2021|??|r|malbec|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|riccitelli this is not another lovely malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|riccitelli this is not another lovely malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=568
W|riccitelli this is not another lovely malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=568
W|riccitelli the party malbec|tinto|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|riccitelli the party malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|riccitelli the party malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=572
W|riccitelli pinot noir|noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|riccitelli malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|riccitelli hey|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|riccitelli hey malbec|tinto|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|riccitelli hey malbec|2020|??|r|malbec|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ricamo rosso|rosso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ricamo rosso|rosso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=579
W|ricamo montepulciano dabruzzo|doc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ribo cabernet|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ribera|merlot|??|r|merlot|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|ribera|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|ribera del segura|rose do jumilla|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|ribera del duero una cepa i|2018|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ribera del duero protos 27|27|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ribera del duero petit vega 8 meses|meses|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ribera del duero alion|2013|??|r|??|??|??|2013|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ribeiro santo vinha da neve|tinto 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ribeiro santo vinha da neve|branco 2023|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|ribeiro santo vinha da neve|branco 2021|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|ribeiro santo|tinto 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ribeiro santo pinha|pinha|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ribeiro santo grande escolha|tinto 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ribeiro santo et|tinto 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ribeiro santo envelope|branco 2019|??|w|??|??|??|2019|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|ribeiro santo encruzado|branco 2024|??|w|??|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|ribeiro santo encruzado|branco 2023|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|ribeiro santo|branco 2024|??|w|??|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|ribeiro santo automatico|tinto 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ribeiro santo automatico|branco 2023|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|ribadouro pauliteiros|tinto|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|ribadouro pauliteiros|rose|pt|p|??|douro|??|NV|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|ribadouro pauliteiros|branco|pt|w|??|douro|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|ribadouro olaf|tinto|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|rhinofields sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|rhinofields sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=607
W|rfam margaca vinha|do furo 075|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|rey d copas|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|revoltosa barbera|barbera|??|r|barbera|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
X|=134
X|=134
W|respiro clarete|2023|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|resonance willamette valley pinot noir 135|2021|??|r|pinot noir|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|reseva merlot carmenere dalbosco limari|2013|??|r|merlot|??|??|2013|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|reservado tannat graciema vinicola cavalleri|cavalleri|??|s|chardonnay, pinot noir|??|??|NV|12|Reserva|medio|aperitivos, frutos do mar, canapes|brut
W|reservado moscato seco quinta|do morgado|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|reservado moscato seco quinta|do morgado|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=618
W|reservado moscato seco quinta|do morgado|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=618
W|reservado merlot santa carolina|carolina|??|r|merlot|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|reservado merlot quinta|do morgado|??|r|merlot|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|reservado merlot quinta|do morgado|??|r|merlot|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=622
W|reservado merlot graciema vinicola cavalleri|cavalleri|??|s|chardonnay, pinot noir|??|??|NV|12|Reserva|medio|aperitivos, frutos do mar, canapes|brut
W|reservado meio seco quinta|do morgado|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|reservado meio seco quinta|do morgado|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=625
W|reservado marcus james|rose meio seco|??|p|??|??|??|NV|12.5|Reserva|medio|saladas, sushi, petiscos|seco
W|reservado malbec|rose santa vita|??|p|malbec|??|??|NV|12.5|Reserva|medio|saladas, sushi, petiscos|seco
W|reservado chardonnay pedro jimenez bco 1x|1x|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|reservado cabernet sauvignon seco quinta|do morgado|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|reservado cabernet sauvignon seco quinta|do morgado|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=630
W|reservado cabernet sauvignon graciema vinicola cavalleri|cavalleri|??|s|chardonnay, pinot noir|??|??|NV|12|Reserva|medio|aperitivos, frutos do mar, canapes|brut
W|reserva|toro de piedra rose|??|p|??|??|??|NV|12.5|Reserva|medio|saladas, sushi, petiscos|seco
W|reserva|toro de piedra chardonnay|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|reserva|tinto merlot miolo|??|r|merlot|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|reserva|tannat miolo|??|r|tannat|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|reserva|tannat gimenez mendez|??|r|tannat|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|reserva|syrah dalbosco limari 2015|??|r|syrah|??|??|2015|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|reserva|puerto viejo carmenere|??|r|carmenere|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|reserva|nacional lisboa touriz 2013|??|r|??|??|??|2013|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|reserva|morgadio de mora regional alentejano 2014|??|r|??|??|??|2014|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|reserva|montgras sauvignon blanc chileno|cl|w|sauvignon blanc|valle central|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|reserva|montgras pinot noir chileno|cl|r|pinot noir|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|reserva|montgras merlot chileno|cl|r|merlot|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|reserva|montgras chardonnay chileno|cl|w|chardonnay|valle central|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|reserva|montgras carmenere chileno|cl|r|carmenere|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|reserva|montgras cabernet sauvignon e syrah chileno|cl|r|cabernet sauvignon|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|reserva|montgras cabernet sauvignon chileno|cl|r|cabernet sauvignon|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|reserva|montgras cabernet franc chileno|cl|r|cabernet franc|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|reserva|merlot chileno cremaschi furlotti|cl|r|merlot|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|reserva|malbec pascual toso|??|r|malbec|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|reserva|malbec garziera|??|r|malbec|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|reserva|familiar tannat rose|??|p|tannat|??|??|NV|12.5|Reserva|medio|saladas, sushi, petiscos|seco
W|reserva|familiar tannat rose|??|p|tannat|??|??|NV|12.5|Reserva|medio|saladas, sushi, petiscos|seco|=653
W|reserva|familiar tannat|??|r|tannat|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|reserva|familiar tannat|??|r|tannat|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=655
W|reserva|familiar tannat|??|r|tannat|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=655
W|reserva|familiar tannat|??|r|tannat|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=655
W|reserva|familiar tannat|??|r|tannat|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=655
W|reserva|familiar sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|reserva|familiar cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|reserva|especial courmayeur essencial marselan tinto seco|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|reserva|espanhol estola 2021|??|r|??|??|??|2021|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|reserva|espanhol campo castillo 2012|??|r|??|??|??|2012|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|reserva|dos amigos regional|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|reserva|dos amigos magnun|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|reserva|del camino blend|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|reserva|de los andes tinto malbec|??|r|malbec|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|reserva|conde vimoso falua tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|reserva|chileno casanova sauvignon blanc 2019|cl|w|sauvignon blanc|valle central|??|2019|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|reserva|chardonnay miolo|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|reserva|chardonnay mayos|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|reserva|chardonnay garziera|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|reserva|carmenere santa carolina|??|r|carmenere|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|reserva|cabernet sauvignon toro de piedra 88300|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|reserva|cabernet sauvignon mayos|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|reserva|cabernet sauvignon garziera|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|reserva|cabernet sauvignon 2021|??|r|cabernet sauvignon|??|??|2021|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|reserva|barbaresco spezie doc 2008|??|r|??|??|??|2008|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|reserva|aurora merlot|??|r|merlot|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|reserva|aurora cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|reserva|reserva|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|resalte vendimia|vendimia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|reptil cobos malbec|tinto|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|renwood timberline zinfandel|zinfandel|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|renwood premier old vine zinfandel|zinfandel|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|renwood california zinfandel|zinfandel|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|renute di casalnuovo emocione|emocione|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|reno carmenere|carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|reno cabernet sauvignon 6 unidades|unidades|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
