W|portugues quinta da lixa aromas das castas|castas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues gabarito|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues fronteira|douro tinto meio seco|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues fronteira|douro tinto|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues fronteira|douro reserva tinto|pt|r|??|douro|??|NV|14.5|DOC|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues fronteira|douro gran reserva tinto|pt|r|??|douro|??|NV|14.5|DOC|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues fronteira|douro branco|pt|w|??|douro|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|portugues fraga da galhofa|branco doc douro 2018|pt|w|??|douro|??|2018|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|portugues fonte de menones|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues fonte da galega|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues fonte da galega|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=482
W|portugues fonte da galega|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues fonte da galega|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=484
W|portugues fonte da galega|branco fresco aromatico e versatil|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues fonte da galega|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues floral dos quatro ventos sup|douro tinto|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues floral dos quatro ventos sup|douro|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues flor|do tua superior 17 tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues flor|do tua superior 17 com|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues flor|do tua reserva tinto seco|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues flor|do tua reserva tinto 1|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues flor|do tua reserva tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues flor|do tua grande reserva tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues flor|do tua grande reserva branco|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|portugues flor|do tua colheita tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues flor|do coa tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues flor|do coa reserva tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues flor|do coa reserva especial tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues flor|do coa reserva especial tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=500
W|portugues flor|do coa reserva branco|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|portugues flor|do coa grande reserva tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues flor de tua|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues flor de lisboa|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues flor de lisboa|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues flor de lisboa bco|bco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues flor de crasto tinta roriz seco|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues flor de crasto tinta roriz seco|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=508
W|portugues flor de crasto|douro tinto|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues flor de crasto|douro tinto|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco|=510
W|portugues flor de crasto|douro branco|pt|w|??|douro|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|portugues flor de crasto|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues flor da coutada|coutada|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues fiuza chardonnay|branco|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues|fino tinto seco regiao lisboa|??|f|palomino|??|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|portugues|fino seco adega de lisboa tinto|??|f|palomino|??|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|portugues|fino seco adega de lisboa branco|??|f|palomino|??|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|portugues fine tawny quinta da romaneira|romaneira|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues fine ruby quinta da romaneira|romaneira|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues ferreira|porto branco|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|portugues fernao pires e arinto gans|gans|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues fernao pires arinto e viosinho fado|fado|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues falcoaria|classico doce tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues faisao verde|doc branco garrafa|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues faisao enoport red|blend tinto|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|portugues faisao enoport frutado|rose|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|portugues faisao enoport frutado|rose|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=527
W|portugues faisao enoport frutado|branco|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|portugues faisao|doc verde branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues faisao|doc verde branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=530
W|portugues faisao cantil|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues faisao cantil|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=532
W|portugues estreia arinto verde com|com|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues esteva|douro tinto seco casa ferreirinha|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues esteva|douro tinto|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues esteva|douro tinto|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco|=536
W|portugues esteva|douro 2020|pt|r|??|douro|??|2020|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues esporao|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues esporao|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=539
W|portugues esporao|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=539
W|portugues esporao|tinto alentejo kit 12u|pt|r|??|alentejo|??|NV|14.5|DO|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues esporao|tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues esporao|tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=543
W|portugues esporao|tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=543
W|portugues esporao|branco|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|portugues esporao|branco|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco|=546
W|portugues esporao quinta dos murcas|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues esporao private selection|selection|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues esporao pe|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues esporao pe bco|bco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues esporao monte velho|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues esporao defesa|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues esporao defesa|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues esporao bico amarelo vinho verde seco|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues esporao bico amarelo vinho verde|verde|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues esporao bico amarelo verde|verde|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues esporao assobio touriga dour|rose seco|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues esporao assobio|douro tinto|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues esporao assobio|douro tinto|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco|=559
W|portugues esporao assobio|douro rose|pt|p|??|douro|??|NV|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|portugues esporao assobio|douro branco|pt|w|??|douro|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|portugues esporao alentejano|monte velho tinto seco|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues esporao alentejano monte velho seco|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues esporao alandra|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues entre nos|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues encostas|do minho branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues encostas de la amago|doc reserva especial 2017|??|r|??|??|??|2017|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues encostas da ribeira|tinto alentejano|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues encostas da ribeira|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues encostas da ribeira|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues encostas da ribeira|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues encosta ribeira|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues encosta de sonim|branco|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|portugues eleicao|do enologo tinto paulo laureano|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues ea|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues ea|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=576
W|portugues ea|rose cartuxa mega oferta|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues ea|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues ea|tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues ea cartuxa|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues ea cartuxa|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=581
W|portugues ea cartuxa|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues ea cartuxa|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues ea cartuxa|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=584
W|portugues ea cartuxa|cartuxa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues ea cartuxa|cartuxa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=586
W|portugues ea cartucha|tinto mega oferta|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues ea|branco fundacao eugenio de almeida|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues ea|branco fundacao eugenio de almeida|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=589
W|portugues ea|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues|douro reserva tinto quinta da romaneira|pt|r|??|douro|??|NV|14.5|DOC|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues|douro rabigato gouveio e viosinho quinta da pedra cavada|pt|s|chardonnay, pinot noir|douro|??|NV|12|DOC|leve|aperitivos, frutos do mar, canapes|brut
W|portugues|douro fraga da galhofa tinto doc 2015|pt|r|??|douro|??|2015|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues|douro ed especial iron maiden|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues dorna velha tinta roriz|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues dona antonia 20 anos tawny|tawny|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues dom manuel|porto tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|portugues dom jose rubi|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues doce ruby dom jose touriga|do porto|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|portugues|do porto tinto tawny messias intermare|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|portugues|do porto taylors 40 anos tinto|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|portugues|do porto taylors 10 yaers old tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|portugues|do porto statement tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|portugues|do porto statement ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|portugues|do porto portocaistawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|portugues|do porto messias tawny tinto|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|portugues|do porto messias ruby tinto|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|portugues|do porto lagrima adriano ramos pinto|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|portugues|do porto ferreira tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|portugues dfuas|dao tinto|pt|r|??|dao|??|NV|14.5|DOC|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues desalmado 750mg cartaxo|cartaxo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues|dao titular rose|pt|p|??|dao|??|NV|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|portugues|dao reserva titular|pt|r|??|dao|??|NV|14.5|DOC|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues|dao reserva encruzado titular branco|pt|w|??|dao|??|NV|12.5|DOC|medio|peixes, frutos do mar, saladas|seco
W|portugues|dao monte serra dop 2015|pt|r|??|dao|??|2015|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues|dao meia encosta tinto|pt|r|??|dao|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues|dao colheita titular caminhos cruzados|pt|r|??|dao|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues|dao colheita branco titular|pt|w|??|dao|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|portugues dalamquer|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues csl pinot noir|noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues croft|porto fine tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|portugues croft|porto fine tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=622
W|portugues croft fine tawny|porto|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|portugues crasto|tinto douro doc|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues crasto|tinto douro doc|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco|=625
W|portugues crasto superior|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues crasto superior|douro|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues crasto superior|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues crasto quinta|do crasto rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues crasto|douro tinto|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues crasto|douro tinto|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco|=631
W|portugues crasto|douro rose|pt|p|??|douro|??|NV|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|portugues crasto|douro branco|pt|w|??|douro|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|portugues crasto|douro branco|pt|w|??|douro|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco|=634
X|=37
X|=37
W|portugues cova|do frade tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues cova|do frade reserva tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues cova|do frade reserva branco|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|portugues cova|do frade dao tinto|pt|r|??|dao|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues cova|do frade dao reserva tinto|pt|r|??|dao|??|NV|14.5|DOC|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues cova|do frade dao reserva branco|pt|w|??|dao|??|NV|12.5|DOC|medio|peixes, frutos do mar, saladas|seco
W|portugues cova|do frade dao|pt|r|??|dao|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues courela|tinto cortes de cima|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues cortes de cima|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues cortes de cima dois terroirs|tinto|??|r|??|??|??|NV|14.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues coracao obra prima|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues convento serra|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues convento da vila|tinto 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues convento da vila|tinto 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=650
W|portugues convento da vila|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues congida|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues congida|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues congida|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues condes de barcelos vinho verde|branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|portugues condes barcelos|branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|portugues conde villar verde|verde|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues conde villar alentejano|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues conde de vidigueira|tinto seco|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues conde de barcelos vinho verde|doc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues conde da vidigueira|branco seco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|portugues conde da vidigueira|alentejo grande escolha tinto|pt|r|??|alentejo|??|NV|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues comporta wines|rose regional|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues comporta cw|reserva|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues comporta cw|reserva|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=665
W|portugues comporta 10|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues comeco|tinto 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues colinas de lisboa seco|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues colinas de lisboa casa santos|tinto seco|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues colinas de estremoz|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues colheita|tinto castelo do sulco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues colheita selecionada marques de marialva|marialva|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues clavis aurea|tejo reserva tinto|pt|r|??|tejo|??|NV|14.5|DOC|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues circus nunber fireman|alentejo|pt|r|??|alentejo|??|NV|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues circus nunber canon woman|alentejo|pt|r|??|alentejo|??|NV|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues cigarra|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues cigarra|rose leve 3 pague 2 kit pronto|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues cigarra|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues cigarra|branco leve 3 pague 2 kit pronto|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues cigarra|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues ciconia verde|verde|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues ciconia|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues ciconia syrah|syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues ciconia|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues ciconia relvas|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues ciconia relvas|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues ciconia relvas|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues ciconia 7|alentejo tinto|pt|r|??|alentejo|??|NV|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues ciconia|ciconia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues churchills grafite docdouro bco|bco|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues cheira bem cheira a lisboa|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues chao|do conde reserva tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues chao|do conde privado tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues chao|do conde castelao syrah tinto|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues chao|do conde branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|portugues chao|do conde baga rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues chantel|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues chamine alertejano|alertejano|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
