W|gitton|pere et fils sancerre lamiral|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari la coppia cassetta da collezione el|??|r|??|??|??|2005|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari edizione limitata sboccatura|??|r|??|??|??|2005|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari edizione limitata sboccatura|??|r|??|??|??|2005|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=423
W|giulio|ferrari riserva del fondatore edizione limitata la coppia 2 bottiglie in cassa legno|??|r|??|??|??|2005|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore edizione limitata in cassa legno|??|r|??|??|??|2005|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore edizione limitata la coppia 2 bottiglie in cassa legno|??|r|??|??|??|2006|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore edizione limitata in cassa legno|??|r|??|??|??|2006|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore|??|r|??|??|??|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore astucciato release|??|r|??|??|??|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore|??|r|??|??|??|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore astucciato release|??|r|??|??|??|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore cassa legno 6 bottiglie|??|r|??|??|??|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore la coppia cassa legno 2 bottiglie|??|r|??|??|??|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore|??|r|??|??|??|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore cassa legno 6 bottiglie|??|r|??|??|??|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore con cofanetto|??|r|??|??|??|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore la coppia cassa legno 2 bottiglie|??|r|??|??|??|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore 1 in cassa legno|??|r|??|??|??|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari trento doc riserva del fondatore|??|r|??|??|??|2009|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari brut riserva del fondatore|??|s|??|??|??|2010|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|giulio|ferrari riserva del fondatore|??|r|??|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore cassa legno 2 bottiglie|??|r|??|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore cassa legno 6 bottiglie|??|r|??|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore con cofanetto|??|r|??|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore in cofanetto|??|r|??|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore in cassa legno|??|r|??|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore|??|r|??|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore|??|r|??|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=448
W|giulio|ferrari riserva del fondatore astucciato|??|r|??|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore cassa legno 2 bottiglie|??|r|??|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore cassa legno 6 bottiglie|??|r|??|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore in cassa legno|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore astucciato|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore cassa legno 6 bottiglie|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari brut riserva|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|giulio|ferrari collezione cofanetto legno|??|r|??|??|??|2001|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari collezione no box|??|r|??|??|??|2001|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari collezione|??|r|??|??|??|2004|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari collezione cofanetto legno|??|r|??|??|??|2004|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari collezione cofanetto legno|??|r|??|??|??|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari collezione in elegante cassetta nera|??|r|??|??|??|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari collezione 1 box|??|r|??|??|??|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari collezione cofanetto legno|??|r|??|??|??|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=462
W|giulio|ferrari doc riserva del fondatore extra brut ferrari flli lunelli|??|s|??|??|??|2008|12|doc|leve|aperitivos, frutos do mar, canapes|extra brut
W|giulio|ferrari doc riserva del fondatore extra brut ferrari flli lunelli|??|s|??|??|??|2009|12|doc|leve|aperitivos, frutos do mar, canapes|extra brut
W|giulio|ferrari doc riserva del fondatore extra brut cofanetto legno lunelli|??|s|??|??|??|nv|12|doc|leve|aperitivos, frutos do mar, canapes|extra brut
W|giulio|ferrari doc riserva del fondatore extra brut cofanetto lunelli|??|s|??|??|??|nv|12|doc|leve|aperitivos, frutos do mar, canapes|extra brut
W|giulio|ferrari extra brut riserva del fondatore collezione trento doc cofanetto legno|??|s|??|??|??|2001|12|doc|leve|aperitivos, frutos do mar, canapes|extra brut
W|giulio|ferrari extra brut riserva del fondatore collezione trento doc cofanetto legno|??|s|??|??|??|2001|12|doc|leve|aperitivos, frutos do mar, canapes|extra brut|=470
W|giulio|ferrari extra brut riserva del fondatore collezione trento doc cofanetto legno|??|s|??|??|??|2004|12|doc|leve|aperitivos, frutos do mar, canapes|extra brut
W|giulio|ferrari extra brut riserva del fondatore rose trento doc cofanetto|??|s|??|??|??|2006|12|doc|leve|aperitivos, frutos do mar, canapes|extra brut
W|giulio|ferrari extra brut riserva del fondatore trento doc|??|s|??|??|??|2008|12|doc|leve|aperitivos, frutos do mar, canapes|extra brut
W|giulio|ferrari extra brut riserva del fondatore trento doc|??|s|??|??|??|2009|12|doc|leve|aperitivos, frutos do mar, canapes|extra brut
W|giulio|ferrari extra brut riserva del fondatore trento doc cofanetto|??|s|??|??|??|2010|12|doc|leve|aperitivos, frutos do mar, canapes|extra brut
W|giulio|ferrari millesimato|??|r|??|??|??|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari millesimato|??|r|??|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari millesimato|??|r|??|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=478
W|giulio|ferrari riserva|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva|??|r|??|??|??|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=482
W|giulio|ferrari riserva del fondatore|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=482
W|giulio|ferrari riserva del fondatore|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=482
W|giulio|ferrari riserva del fondatore|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=482
W|giulio|ferrari riserva del fondatore|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=482
W|giulio|ferrari riserva del fondatore ferrari|??|r|??|??|??|1980|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore ferrari|??|r|??|??|??|1988|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore box|??|r|??|??|??|1993|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore trento doc ferrari|??|r|??|??|??|1995|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore ferrari|??|r|??|??|??|1996|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore ferrari|??|r|??|??|??|1997|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore ferrari|??|r|??|??|??|1997|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=493
W|giulio|ferrari riserva del fondatore ferrari|??|r|??|??|??|2000|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore ferrari|??|r|??|??|??|2001|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore ferrari|??|r|??|??|??|2002|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore ed limitata ferrari|??|r|??|??|??|2002|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore ferrari|??|r|??|??|??|2002|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=497
W|giulio|ferrari riserva del fondatore ferrari|??|r|??|??|??|2004|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore|??|r|??|??|??|2005|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore edizione limitata 1 box|??|r|??|??|??|2005|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore|??|r|??|??|??|2006|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore ferrari|??|r|??|??|??|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore ferrari|??|r|??|??|??|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore ferrari con cassa di legno|??|r|??|??|??|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore ferrari con cassa di legno|??|r|??|??|??|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=506
W|giulio|ferrari riserva del fondatore ferrari|??|r|??|??|??|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=505
W|giulio|ferrari riserva del fondatore|??|r|??|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=442
W|giulio|ferrari riserva del fondatore|??|r|??|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=442
W|giulio|ferrari riserva del fondatore ferrari cofanetto|??|r|??|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore ferrari legno|??|r|??|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore|??|r|??|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=448
W|giulio|ferrari riserva del fondatore|??|r|??|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=448
W|giulio|ferrari riserva del fondatore ferrari cofanetto|??|r|??|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore ferrari con cassa di legno|??|r|??|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore in cofanetto|??|r|??|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore trento doc in cofanetto|??|r|??|??|??|2012|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore trentodoc|??|r|??|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore trentodoc millesimato|??|r|??|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=454
W|giulio|ferrari riserva del fondatore|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=454
W|giulio|ferrari riserva del fondatore astucciata|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore ferrari cofanetto|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore ferrari con cassa legno|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore rose box|??|p|??|??|??|2015|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|giulio|ferrari riserva del fondatore trento doc|??|r|??|??|??|2015|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore trento doc|??|r|??|??|??|2015|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=527
W|giulio|ferrari riserva del fondatore collezione trentodoc|??|r|??|??|??|2001|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore collezione certificaat nr 3118|??|r|??|??|??|2004|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore collezione certificaat nr 3121|??|r|??|??|??|2004|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore collezione trentodoc|??|r|??|??|??|2004|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore collezione|??|r|??|??|??|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore collezione trentodoc|??|r|??|??|??|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore edizione limitata|??|r|??|??|??|2005|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore rose|??|p|??|??|??|2007|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|giulio|ferrari riserva del fondatore rose|??|p|??|??|??|2008|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|giulio|ferrari riserva del fondatore rose ferrari cofanetto|??|p|??|??|??|2010|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|giulio|ferrari riserva del fondatore rose in cofanetto|??|p|??|??|??|2010|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|giulio|ferrari riserva del fondatore rose trento doc cofanetto|??|p|??|??|??|2007|12.5|doc|leve|aperitivos, frutos do mar, saladas|seco
W|giulio|ferrari riserva del fondatore rose trento doc cofanetto|??|p|??|??|??|2008|12.5|doc|leve|aperitivos, frutos do mar, saladas|seco
W|giulio|ferrari riserva del fondatore trento doc in cofanetto|??|r|??|??|??|2015|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore trento doc ferrari|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva del fondatore trento spumante brut ferrari|??|s|??|??|??|2012|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|giulio|ferrari riserva lunelli|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari riserva lunelli|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=545
W|giulio|ferrari rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|giulio|ferrari rose riserva del fondatore con cofanetto|??|p|??|??|??|2007|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|giulio|ferrari rose trentodoc millesimato|??|p|??|??|??|2007|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|giulio|ferrari rose riserva del fondatore con cofanetto|??|p|??|??|??|2008|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|giulio|ferrari rose trento doc riserva del fondatore|??|p|??|??|??|2008|12.5|doc|leve|aperitivos, frutos do mar, saladas|seco
W|giulio|ferrari rose trentodoc millesimato|??|p|??|??|??|2008|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|giulio|ferrari rose riserva del fondatore con cofanetto|??|p|??|??|??|2009|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|giulio|ferrari rose riserva del fondatore|??|p|??|??|??|2010|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|giulio|ferrari rose riserva del fondatore con cofanetto|??|p|??|??|??|2010|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|giulio|ferrari rose riserva del fondatore in cofanetto|??|p|??|??|??|2010|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|giulio|ferrari rose riserva del fondatore con cofanetto|??|p|??|??|??|2012|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|giulio|ferrari rose riserva del fondatore in cofanetto|??|p|??|??|??|2015|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|giulio|ferrari rose riserva trento doc|??|p|??|??|??|2010|12.5|doc|leve|aperitivos, frutos do mar, saladas|seco
W|giulio|ferrari rose riserva trento doc in cofanetto|??|p|??|??|??|2010|12.5|doc|leve|aperitivos, frutos do mar, saladas|seco
W|giulio|ferrari rose riserva del fondatore|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|giulio|ferrari rose riserva del fondatore|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=561
W|giulio|ferrari rose spumante brut ferrari|??|s|??|??|??|2012|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|giulio|ferrari trento doc|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari trento doc extra brut riserva del fondatore ferrari|??|s|??|??|??|2008|12|doc|leve|aperitivos, frutos do mar, canapes|extra brut
W|giulio|ferrari trento doc extra brut riserva del fondatore ferrari astucciato|??|s|??|??|??|2008|12|doc|leve|aperitivos, frutos do mar, canapes|extra brut
W|giulio|ferrari trento doc extra brut riserva del fondatore ferrari|??|s|??|??|??|2009|12|doc|leve|aperitivos, frutos do mar, canapes|extra brut
W|giulio|ferrari trento doc extra brut riserva del fondatore ferrari astucciato|??|s|??|??|??|2010|12|doc|leve|aperitivos, frutos do mar, canapes|extra brut
W|giulio|ferrari trento doc extra brut riserva del fondatore rose astucciato ferrari|??|s|??|??|??|2008|12|doc|leve|aperitivos, frutos do mar, canapes|extra brut
W|giulio|ferrari trento doc riserva|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari trento doc riserva del fondatore in astuccio legno|??|r|??|??|??|2009|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferrari trento doc trentino alto adige|it|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ferraririserva del fondatore ferrari con cassa di legno|??|r|??|??|??|1997|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|ii montefalco rosso doc le thadee|??|r|??|??|??|2019|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|larcher trento pas dose|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|larcher trento pas dose|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=575
W|giulio|salvioni rosso di montalcino|it|r|??|??|??|2011|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|salvioni rosso di montalcino|it|r|??|??|??|2011|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=577
W|giulio|scrimaglio alfa romeo|??|r|??|??|??|2003|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|scrimaglio elegant red wine|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|scrimaglio elegante rode wijn|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|straccali bianco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giulio|straccali chianti|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|straccali chianti|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=583
W|giulio|straccali chianti|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=583
W|giulio|straccali chianti|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|straccali chianti tuscany italy|it|r|??|tuscany|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
W|giulio|straccali chianti|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|straccali chianti classico|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|straccali chianti classico tuscany italy|it|r|??|tuscany|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|straccali chianti classico tuscany italy|it|r|??|tuscany|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|straccali chianti classico|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|straccali chianti lassico docg|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|straccali chianti wicker|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|straccali pinot grigio|??|w|pinot grigio|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giulio|straccali pinot grigio|??|w|pinot grigio|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giulio|straccali pinot grigio tuscany italy|it|w|pinot grigio|tuscany|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giulio|straccali pinot grigio di pavia|??|w|pinot grigio|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giulio|straccali pinot grigio di pavia|??|w|pinot grigio|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giulio|straccali rosso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|straccali rosso toscana|it|r|??|tuscany|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|straccali rosso toscana|it|r|??|tuscany|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|straccali toscana rosso|it|r|??|tuscany|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|straccali toscana rosso|it|r|??|tuscany|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=604
W|giulio|straccali vino bianco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giulio|straccali vino rosso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|viglione barbera dalba|??|r|barbera|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulio|viglione dolcetto dalba|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|giulioncello|lemon cream|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giulioncello|lemon cream|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=610
W|giulioncello|lemon cream|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=610
W|giulioncello|lemon cream|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=610
W|giulioncello|lemon cream 17|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giullare|giullare|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giullare|senza merlot blanc fawino|??|w|merlot|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giullianos|jalapeno platky|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuncaro|santa caterina|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giunco|giunco|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giunco|giunco|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=619
W|giunco|bianco doc vermentino|??|w|??|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|giunco|cantina mesa|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giunco|carignano|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giunco|mesa|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giunco|vermentino|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giunco|vermentino|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=625
W|giunco|vermentino di gallura docg cantina mesa|??|w|??|??|??|nv|12.5|docg|medio|peixes, frutos do mar, saladas|seco
W|giunco|vermentino di sardegna doc|??|w|??|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|giunco|vermentino di sardegna doc 90 z|??|w|??|??|??|2023|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|giunco|vermentino di sardegna doc cantina mesa|??|w|??|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|giunco|vermentino di sardegna doc mesa|??|w|??|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|giuno|podere luisa|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giunonico|cantine paololeo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
