W|dalva|10 ars tawny|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva vintage|2019 pure|fr|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva vintage|port 1991|fr|r|??|??|??|1991|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva vintage|port 2000|fr|r|??|??|??|2000|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva vintage|port 2003|fr|r|??|??|??|2003|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva vintage|port 2004|fr|r|??|??|??|2004|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva vintage|port 2007|fr|r|??|??|??|2007|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva vintage|port 2007|fr|r|??|??|??|2007|13.5|??|encorpado|carne vermelha, queijo|seco|=524
W|dalva vintage|port 2011|fr|r|??|??|??|2011|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva vintage|porto 1970|pt|f|??|??|??|1970|20|??|encorpado|sobremesas, queijos|doce
W|dalva vintage|porto 1987|pt|f|??|??|??|1987|20|??|encorpado|sobremesas, queijos|doce
W|dalva vsop|extra especial|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalva white|white|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|dalva white|white|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco|=530
W|dalva white|white|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco|=530
W|dalva white|white|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco|=530
W|dalva white|12 fl|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|dalva white|colheita 2007|fr|w|??|??|??|2007|12.5|??|medio|peixe, frutos do mar|seco
W|dalva white|colheita 2007 port|fr|w|??|??|??|2007|12.5|??|medio|peixe, frutos do mar|seco
W|dalva white|colheita 2011|fr|w|??|??|??|2011|12.5|??|medio|peixe, frutos do mar|seco
W|dalva white|dry colheita 1968|fr|w|??|??|??|1968|12.5|??|medio|peixe, frutos do mar|seco
W|dalva white|port|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|dalva white|port|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco|=539
W|dalva white|port|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco|=539
W|dalva white|port|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco|=539
W|dalva white|reserve|fr|w|??|??|??|NV|12.5|RESERVE|medio|peixe, frutos do mar|seco
W|dalvina amfora|vranec 2016 macedonia|fr|r|??|??|??|2016|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalvina syrah|barrique dioniz 2016|fr|r|syrah|??|??|2016|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinie winters|gold|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|dalwhinnie|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie 12yo|2009 the managers dram sherry cask 575 wb8738|fr|f|??|??|??|2009|20|??|encorpado|sobremesas, queijos|doce
W|dalwhinnie|15|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|15|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=549
W|dalwhinnie|15|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=549
W|dalwhinnie|15|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=549
W|dalwhinnie|15|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=549
W|dalwhinnie|15|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=549
W|dalwhinnie|15|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=549
W|dalwhinnie|15|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=549
W|dalwhinnie|15 ani|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|15 ani|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=557
W|dalwhinnie|15 ani|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=557
W|dalwhinnie|15 anos|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|15 anos|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=560
W|dalwhinnie|15 anos|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=560
W|dalwhinnie|15 anos|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=560
W|dalwhinnie|15 anos|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=560
W|dalwhinnie|15 ans|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|15 ans 43 highlands|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|15 ans highlands|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|15 jahre|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|15 jahre kaufen|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|15 jahre single highland malt 43 vol 0|fr|r|??|??|??|NV|43|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|15 single malt|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|15 year|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|15 year|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=572
W|dalwhinnie|15 year|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=572
W|dalwhinnie|15 year alc 43 vol|fr|r|??|??|??|NV|43|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|15 year old|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|15 year old|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=576
W|dalwhinnie|15 year old|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=576
W|dalwhinnie|15 year old|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=576
W|dalwhinnie|15 year old|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=576
W|dalwhinnie|15 year old|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=576
W|dalwhinnie|15 year old|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=576
W|dalwhinnie|15 year old|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=576
W|dalwhinnie|15 year old|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=576
W|dalwhinnie|15 year old|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=576
W|dalwhinnie|15 year old|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=576
W|dalwhinnie|15 year old|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=576
W|dalwhinnie|15 year old|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=576
W|dalwhinnie|15 year old|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=576
W|dalwhinnie|15 year old|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=576
W|dalwhinnie|15 year old|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=576
W|dalwhinnie|15 year old 100 years centenary edition|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|15 year old highland|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|15 year old old bottling|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|15 year old single highland malt w box|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|15 year old single malt|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|15 year old single malt|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=596
W|dalwhinnie|15 year old single malt highland scotland 43 vol gift box|fr|r|??|??|??|NV|43|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|15 year single malt|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|15 year single malt|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=599
W|dalwhinnie|15 years|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|15 years|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=601
W|dalwhinnie|15 years|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=601
W|dalwhinnie|15 years|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=601
W|dalwhinnie|15 years|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=601
W|dalwhinnie|15 years|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=601
W|dalwhinnie|15 years|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=601
W|dalwhinnie|15 years|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=601
W|dalwhinnie|15 years|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=601
W|dalwhinnie|15 years|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=601
W|dalwhinnie|15 years 0 43|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|15 years 07ltr|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|15 years 2 glazen|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|15 years 43o|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|15 years gb|gb|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|15 years old|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|15 years old|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=616
W|dalwhinnie|15 years old|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=616
W|dalwhinnie|15 years old|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=616
W|dalwhinnie|15 years old|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=616
W|dalwhinnie|15 years old|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=616
W|dalwhinnie|15 years old|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=616
W|dalwhinnie|15 years old|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=616
W|dalwhinnie|15 years old gift box 43 07|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|15 yo|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|15 yo|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=625
W|dalwhinnie|15 yo|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=625
W|dalwhinnie|15 yo|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=625
W|dalwhinnie|15 yo|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=625
W|dalwhinnie|15 yo|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=625
W|dalwhinnie|15 yo 0|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|15 yo 0|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=631
W|dalwhinnie|15 yo 0|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=631
W|dalwhinnie|15 yo gb|gb|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|15 yo gb|gb|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=634
W|dalwhinnie|15 yo ohne gp|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|15 yo single highland malt|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|15 yrs|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|15 yrs|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=638
W|dalwhinnie|15 yrs|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=638
W|dalwhinnie|15 yrs|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=638
W|dalwhinnie|15 yrs|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=638
W|dalwhinnie 15y|15y|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie 15y|15y|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=643
W|dalwhinnie 15y|15y|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=643
W|dalwhinnie 15y|15y|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=643
W|dalwhinnie 15y|15y|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=643
W|dalwhinnie 15y|43|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie 15y|43 0|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie 15y|43 070|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie 15y|highland single malt|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie 15year|old|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie 15yo|15yo|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie 15yo|15yo|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=653
W|dalwhinnie 15yo|15yo|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=653
W|dalwhinnie 15yo|15yo|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=653
W|dalwhinnie 15yo|15yo|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=653
W|dalwhinnie 15yo|15yo|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=653
W|dalwhinnie 15yo|15yo|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=653
W|dalwhinnie 15yo|15yo|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=653
W|dalwhinnie 15yo|15yo|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=653
W|dalwhinnie 15yo|0|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie 15yo|43|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie 15yo|43 0 box|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie 15yo|430|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie 15yo|highland|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie 15yo|kartonik|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie 15yo|single malt|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie 15yo|single malt|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=668
W|dalwhinnie 15yo|single malt|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=668
W|dalwhinnie 15yo|small|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie 15yo|vm|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie 15yr|15yr|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie 15yr|15yr|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=673
W|dalwhinnie 15yr|43|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie 15yr|single malt|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie 15yr|single malt highlands scotland|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie 15yr|single malt highlands scotland|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=677
W|dalwhinnie 15yr|smalt|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie 15yrs|15yrs|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie 15yrs|15yrs|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=680
W|dalwhinnie|1998|fr|r|??|??|??|1998|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|1998 distillers edition single malt|fr|r|??|??|??|1998|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|20 ans special release 2006|fr|r|??|??|??|2006|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|20 year old 1986 cask strength|fr|r|??|??|??|1986|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|20 years|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|2000 distillers edition|fr|r|??|??|??|2000|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|2000 distillers edition single malt|fr|r|??|??|??|2000|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|2003|fr|r|??|??|??|2003|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|2004 distillers edition bot2019|fr|r|??|??|??|2004|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|20062021 distillers edition|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|2019 special release 30 anos|fr|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|2022 distillers edition|fr|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|25 ani|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|25 jahre|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|25 year old|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|25 year old natural cask strength|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|25 years|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|29 year old 2003 limited edition cask strength|fr|r|??|??|??|2003|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|29 years cask strenght|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|30 anos|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|30 ans special release 2019|fr|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|30 ar 519 speciel release 2020|ar|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|30 ars special release 2019 547|fr|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|30 ars special release 2020 519|fr|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|30 year old|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|30 year old 2019 cask strength|fr|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|30 year old 2020 release|fr|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|30 year old single malt|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|30 year old special release 2019|fr|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|30 year old special releases|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|30 year special release|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|30 years|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|30 years old special release 2019 547 alc|fr|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|30 years old special release 2020|fr|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|30 years special release 2019|fr|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|30 yo special release 2019|fr|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie 30yo|30yo|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie 30yo|30yo|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=718
W|dalwhinnie 30yo|2019 single malt|fr|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie 30yo|2019 single malt|fr|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco|=720
W|dalwhinnie 30yo|2019 special edition 547|fr|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie 30yo|2019 special edition 547|fr|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco|=722
W|dalwhinnie 30yo|2020 single malt|fr|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie 30yo|2020 single malt|fr|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco|=724
W|dalwhinnie 30yo|2020 special rerelease 519|fr|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie 30yo|2020 special rerelease 519|fr|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco|=726
W|dalwhinnie 30yo|special release 2020 519 0|fr|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|36 years|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie|8 year old 1980s bottling|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie disted|2006 43o|fr|r|??|??|??|2006|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie disted1990|43o|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie distiller|edition|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie distiller|edition|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=733
W|dalwhinnie distillers|edition|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie distillers|edition|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=735
W|dalwhinnie distillers|edition|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=735
W|dalwhinnie distillers|edition|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=735
W|dalwhinnie distillers|edition|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=735
W|dalwhinnie distillers|edition|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=735
W|dalwhinnie distillers|edition|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=735
W|dalwhinnie distillers|edition|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=735
W|dalwhinnie distillers|edition|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=735
W|dalwhinnie distillers|edition|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=735
W|dalwhinnie distillers|edition|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=735
W|dalwhinnie distillers|edition|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=735
W|dalwhinnie distillers|edition|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=735
W|dalwhinnie distillers|edition|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=735
W|dalwhinnie distillers|edition|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=735
W|dalwhinnie distillers|edition|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=735
W|dalwhinnie distillers|edition|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=735
W|dalwhinnie distillers|edition|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=735
W|dalwhinnie distillers|edition 16 year old|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie distillers|edition 20002016|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie distillers|edition 20022017|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie distillers|edition 2005 bottled 2020|fr|r|??|??|??|2005|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie distillers|edition 2006 2021|fr|r|??|??|??|2006|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie distillers|edition 20062021|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie distillers|edition 20062021 0 43 gb|gb|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie distillers|edition 20062021 43 alc|fr|r|??|??|??|NV|43|??|encorpado|carne vermelha, queijo|seco
W|dalwhinnie distillers|edition 2021|fr|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco
