1. W|casa madero|chardonnay mexico|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
423. W|casa marques pereira|vintage blush|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
424. W|casa marques pereira|vintage blush|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=423
425. W|casa marrazzo pomodorino del piennolo del vesuvio|dop|pt|r|??|??|??|NV|13.5|dop|medio|carne vermelha, massas, queijos curados|seco
426. W|casa marrazzo sugo di pomodoro giallo|ercolano|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
427. W|casa marrazzo sugo di pomodoro san marzano|dop|pt|r|??|??|??|NV|13.5|dop|medio|carne vermelha, massas, queijos curados|seco
428. W|casa marrone appassimento|organic igt 145|pt|r|??|??|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
429. W|casa marrone appassimento puglia|igt|pt|r|??|??|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
430. W|casa marrone appassimento|white blend|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
431. W|casa marrone|blanc de blancs spumante 12 bio|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
432. W|casa marrone|rosato 125|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
433. W|casa martelleti|1700|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
434. W|casa martelletti|blanc de blancs extra dry piemonte italy nv|pt|r|??|piemonte|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
435. W|casa martelletti brachetto|dacqui|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
436. W|casa martelletti dry|vermouth|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
437. W|casa martelletti dry|vermouth|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce|=436
438. W|casa martelletti|moscato dolce piedmont italy nv|pt|w|moscato|piedmont|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
439. W|casa martelletti|prosecco rose|it|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
440. W|casa martelletti vermouth di torino|classico red vermouth|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
441. W|casa martin cartagena|sauvignon blanc 2019|pt|w|sauvignon blanc|??|??|2019|12.5|??|leve|frutos do mar, peixes, saladas|seco
442. W|casa martinez pulque clasico|4pk|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
443. W|casa martinez pulque raw|4pk|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
444. W|casa marzoni appassimento|2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
445. W|casa marzoni|prosecco organic|it|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
446. W|casa mateo|merlot|pt|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
447. W|casa mateus|doce de abobora 345 gr|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
448. W|casa mateus|doce de gila 345 gr|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
449. W|casa mateus|doce de morango 345 gr|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
450. W|casa mateus|doce de tomate 345 gr|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
451. W|casa mateus lbv|2009|pt|r|??|??|??|2009|13.5|??|medio|carne vermelha, massas, queijos curados|seco
452. W|casa medanos desert|sotol|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
453. W|casa|mediana|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
454. X
455. W|casa mejuto frutos del|bosque|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
456. W|casa mexcio|anejo|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
457. W|casa mexcio|blanco|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
458. W|casa mexcio|reposado|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
459. W|casa mexico|anejo|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
460. W|casa mexico|anejo|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=459
461. W|casa mexico|anejo|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=459
462. W|casa mexico|blanco|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
463. W|casa mexico|blanco|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=462
464. W|casa mexico|cristalino|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
465. W|casa mexico cristalino|reposado|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
466. W|casa mexico|reposado|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
467. W|casa mexico|reposado|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=466
468. W|casa mexico|reposado|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=466
469. W|casa meza bozzolo falucho|chardonnay|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
470. W|casa meza bozzolo nirivilo|cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
471. W|casa mia|bianco|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
472. W|casa mia catarratto terre siciliane|igt|pt|r|??|??|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
473. W|casa mia|nero davola 2024 sicilia|pt|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
474. W|casa mia|rosso|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
475. W|casa michela geschenkverpakking duopack olijfolie toscana blend monocultivar olivastra seggianese oogstjaar|2025|pt|r|??|toscana|??|2025|13.5|??|medio|carne vermelha, massas, queijos curados|seco
476. W|casa michela geschenkverpakking monocultivar olivastra seggianese olio extravergine di oliva italiano oogstjaar|2025|pt|r|??|??|??|2025|13.5|??|medio|carne vermelha, massas, queijos curados|seco
477. W|casa michela geschenkverpakking toscana blend olio extravergine di oliva italiano oogstjaar|2025|pt|r|??|toscana|??|2025|13.5|??|medio|carne vermelha, massas, queijos curados|seco
478. W|casa michela monocultivar olivastra seggianese olio extravergine di oliva italiano oogstjaar|2025|pt|r|??|??|??|2025|13.5|??|medio|carne vermelha, massas, queijos curados|seco
479. W|casa michela toscana blend olio extravergine di oliva italiano oogstjaar|2025|pt|r|??|toscana|??|2025|13.5|??|medio|carne vermelha, massas, queijos curados|seco
480. W|casa millaman|3 origenes|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
481. W|casa milo bruschette garlic herb|toasts|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
482. W|casa milo capunto olasz teszta|500g|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
483. W|casa milo cavatello olasz teszta|500g|es|r|??|cava|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
484. W|casa milo|classic taralli|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
485. W|casa milo|crostini|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
486. W|casa milo rosemary|crostini|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
487. W|casa milo strascion olasz teszta|500g|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
488. W|casa milo strozzaprete olasz teszta|500g|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
489. W|casa milo szines orecchiette teszta|500g|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
490. W|casa milo szines teszta treccie dellorto|500g|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
491. W|casa milo tintahalas spagetti|500g|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
492. W|casa milo traditional|taralli|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
493. W|casa|mirador|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
494. W|casa mirafiore barolo|docg paiagallo|it|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
495. W|casa mirafiore barolo|riserva|it|r|??|??|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
496. W|casa mirafiore vermouth di torino|rosso superiore|pt|f|??|??|??|NV|20|superiore|encorpado|sobremesas, queijos azuis, foie gras|doce
497. W|casa miramar|gewurstraminer|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
498. W|casa miramar|riesling|pt|w|riesling|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
499. W|casa miramar|sauvignon blanc cipreses|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
500. W|casa montante|2021 malbec mendoza argentina|ar|r|malbec|mendoza|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
501. W|casa montante|2021 merlot mendoza argentina|ar|r|merlot|mendoza|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
502. W|casa monte|cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
503. W|casa monte|cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=502
504. W|casa monte|cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=502
505. W|casa monte|chardonnay|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
506. W|casa monte|chardonnay|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=505
507. W|casa monte|merlot|pt|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
508. W|casa monte|merlot|pt|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=507
509. W|casa monte|merlot|pt|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=507
510. W|casa monte pio|albarino|pt|w|albarino|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
511. W|casa monte pio raxeira|albarino|pt|w|albarino|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
512. W|casa monte pio raxeira|albarino val do salnes rias baixas|pt|w|albarino|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
513. W|casa monte|sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
514. W|casa monte|sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=513
515. W|casa montepulciano|15ltr|pt|r|montepulciano|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
516. W|casa montero caja|12 casa montero gran reserva bordeaux blend|fr|r|??|bordeaux|??|NV|13.5|gran reserva|medio|carne vermelha, massas, queijos curados|seco
517. W|casa montero caja|12 casa montero gran reserva cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
518. W|casa montero caja|12 casa montero gran reserva carmenere|pt|r|carmenere|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
519. W|casa montero caja|12 misia teresa icono grand cru|pt|r|??|??|??|NV|13.5|grand cru|medio|carne vermelha, massas, queijos curados|seco
520. W|casa montero caja|12 misia teresa icono red blend|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
521. W|casa montero caja|12 reserva de familia reserva cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
522. W|casa montero caja|12 reserva de familia reserva carmenere|pt|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
523. W|casa montero caja|12 reserva de familia reserva merlot|pt|r|merlot|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
524. W|casa montero caja|12 reserva de familia reserva pinot grigio|pt|w|pinot grigio|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
525. W|casa montero caja|12 reserva de familia reserva rose|pt|p|??|??|??|NV|12.5|reserva|leve|saladas, aves, queijos leves|seco
526. W|casa montero caja|6 casa montero gran reserva bordeaux blend|fr|r|??|bordeaux|??|NV|13.5|gran reserva|medio|carne vermelha, massas, queijos curados|seco
527. W|casa montero caja|6 casa montero gran reserva cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
528. W|casa montero caja|6 casa montero gran reserva carmenere|pt|r|carmenere|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
529. W|casa montero caja|6 misia teresa icono grand cru|pt|r|??|??|??|NV|13.5|grand cru|medio|carne vermelha, massas, queijos curados|seco
530. W|casa montero caja|6 misia teresa icono red blend|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
531. W|casa montero caja|6 reserva de familia reserva cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
532. W|casa montero caja|6 reserva de familia reserva carmenere|pt|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
533. W|casa montero caja|6 reserva de familia reserva merlot|pt|r|merlot|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
534. W|casa montero caja|6 reserva de familia reserva pinot grigio|pt|w|pinot grigio|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
535. W|casa montero caja|6 reserva de familia reserva rose|pt|p|??|??|??|NV|12.5|reserva|leve|saladas, aves, queijos leves|seco
536. W|casa montero|gran reserva bordeaux blend|fr|r|??|bordeaux|??|NV|13.5|gran reserva|medio|carne vermelha, massas, queijos curados|seco
537. W|casa montero|gran reserva cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
538. W|casa montero|gran reserva carmenere|pt|r|carmenere|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
539. W|casa montero|gran reserva de familia cabernet sauvignon cabernet franc|pt|r|cabernet sauvignon, cabernet franc|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
540. W|casa montero misia teresa|grand cru|pt|r|??|??|??|NV|13.5|grand cru|medio|carne vermelha, massas, queijos curados|seco
541. W|casa montero misia teresa icono|grand cru|pt|r|??|??|??|NV|13.5|grand cru|medio|carne vermelha, massas, queijos curados|seco
542. W|casa montero misia teresa icono|red blend|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
543. W|casa montero misia teresa|red blend|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
544. W|casa montero|reserva de familia carmenere|pt|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
545. W|casa montero|reserva de familia merlot|pt|r|merlot|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
546. W|casa montero|reserva de familia reserva cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
547. W|casa montero|reserva de familia reserva carmenere|pt|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
548. W|casa montero|reserva de familia reserva merlot|pt|r|merlot|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
549. W|casa montero|reserva de familia reserva pinot grigio|pt|w|pinot grigio|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
550. W|casa montero|reserva de familia reserva rose|pt|p|??|??|??|NV|12.5|reserva|leve|saladas, aves, queijos leves|seco
551. W|casa montero soberbio|assamblage|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
552. W|casa montero soberbio|carmenere|pt|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
553. W|casa montes alzamora|reserva malbec 2016|pt|r|malbec|??|??|2016|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
554. W|casa montes ampakama|malbec 2018|pt|r|malbec|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
555. W|casa montes|don baltazar malbec 2017|pt|r|malbec|??|??|2017|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
556. W|casa moreiras|2024 do ribeira sacra|pt|r|??|ribeira sacra|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
557. W|casa moreiras|barrica|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
558. W|casa moreiras campaza|mencia|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
559. W|casa moreiras|godello|pt|w|godello|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
560. W|casa moreiras|mencia|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
561. W|casa moreiras|seleccion|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
562. W|casa|moro|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
563. W|casa moro medelhavsplattor rahma|2020 cm matt|pt|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
564. W|casa|motter|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
565. W|casa motter bordo|seco|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
566. W|casa motter bordo|seco 1|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
567. W|casa motter bordo|suave|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
568. W|casa motter bordo suave|1|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
569. W|casa motter|branco seco 1|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
570. W|casa motter|branco suave 1|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
571. W|casa motter|moscato|pt|w|moscato|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
572. W|casa motter|rosado seco 1|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
573. W|casa motter|rosado suave 1|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
574. W|casa motter|tinto seco|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
575. W|casa motter|tinto seco 1|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
576. W|casa mouraz|blanco blend dao portugal|pt|r|??|dao|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
577. W|casa mussini|m5400|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
578. W|casa naam pox|artesanal|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
579. W|casa natal|cabernet sauvignon reserva 2020case only|pt|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
580. W|casa natal|gran reserva malbec 2022case only|pt|r|malbec|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
581. W|casa natal|gran reserve malbec|pt|r|malbec|??|??|NV|13.5|reserve|encorpado|carne vermelha, massas, queijos curados|seco
582. W|casa natal|malbec|pt|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
583. W|casa natal|malbec reserva 2020case only|pt|r|malbec|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
584. W|casa|naufrago|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
585. W|casa naufrago blend|cabernet sauvignon shiraz|pt|r|cabernet sauvignon, shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
586. W|casa naufrago|cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
587. W|casa naufrago|chardonnay|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
588. W|casa naufrago el|polp|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
589. W|casa naufrago|malbec|pt|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
590. W|casa naufrago|shiraz|pt|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
591. W|casa naufrago|shiraz rosado|pt|p|shiraz|??|??|NV|12.5|??|encorpado|saladas, aves, queijos leves|seco
592. W|casa naufrago|tempranillo|pt|r|tempranillo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
593. W|casa naufrago vino|blanco chardonnay 2023|pt|w|chardonnay|??|??|2023|12.5|??|leve|frutos do mar, peixes, saladas|seco
594. W|casa naufrago vino|rosado shiraz 2025|pt|p|shiraz|??|??|2025|12.5|??|encorpado|saladas, aves, queijos leves|seco
595. W|casa naufrago vino|tinto cabernet sauvignon 2021 valle de parras|pt|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
596. W|casa naufrago vino|tinto malbec 2022|pt|r|malbec|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
597. W|casa navarone|vinho sem alcool bordo tinto meio seco brasil|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
598. W|casa navarone|vinho sem alcool bordo tinto meio seco brasil|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=597
599. W|casa navarone|vinho sem alcool bordo tinto meio seco brasil|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=597
600. W|casa navarone|vinho sem alcool bordo tinto meio seco brasil|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=597
601. W|casa negra|vermut|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
602. W|casa neri viura|blanco|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
603. W|casa|nero barbera 9|pt|r|barbera|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
604. W|casa|nero primitivo di manduria|pt|r|primitivo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
605. W|casa|nero primitivo di manduria 15|pt|r|primitivo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
606. W|casa nobles|barrel anejo|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
607. W|casa nocera|igt toscana 200456|pt|r|??|toscana|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
608. W|casa nocera|igt toscana 2011|pt|r|??|toscana|??|2011|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
609. W|casa nogal|tinto bib|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
610. W|casa nostra|appassimento|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
611. W|casa nostra appassimento|13|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
612. W|casa nostra|pinot noir|pt|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
613. W|casa nostra|rosso|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
614. W|casa nova isula damore|2023|pt|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
615. W|casa nova isula damore|2023|pt|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=614
616. W|casa nueva|cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
617. W|casa nueva|carmenere|pt|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
618. W|casa nueva|chardonnay reserva|pt|w|chardonnay|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
619. W|casa nueva|gran reserva merlot|pt|r|merlot|??|??|NV|13.5|gran reserva|medio|carne vermelha, massas, queijos curados|seco
620. W|casa nueva|late harvest sauvignon|pt|d|??|??|??|NV|10|??|encorpado|sobremesas, queijos azuis, foie gras|doce
621. W|casa nueva|late reserva|pt|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
622. W|casa nueva|sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
623. W|casa nueva|sauvignon blanc reserva|pt|w|sauvignon blanc|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
624. W|casa nueva|selection merlot|pt|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
625. W|casa obsidiana|anejo|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
626. W|casa obsidiana|blanco|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
627. W|casa obsidiana|reposado|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
628. W|casa olivo|chardonnay|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
629. W|casa olivo|chardonnay barricado|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
630. W|casa olivo passo da caveira|merlot|pt|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
631. W|casa olivo passo da caveira|nobre|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
632. W|casa olivo|pinot grigio|pt|w|pinot grigio|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
633. W|casa olivo|pinot grigio|pt|w|pinot grigio|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=632
634. W|casa olivo|rose mistico|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
635. W|casa olivo|sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
636. W|casa olivo|viognier|pt|w|viognier|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
