W|thomas barton|saintemilion aoc|fr|r|??|bordeaux|saint-emilion|NV|14.5|AOC|encorpado|carnes vermelhas, massas, queijos curados|seco
W|salton paradoxo pinot noir|2020|??|r|pinot noir|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|salton lunae|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|salton lunae frisante|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|salton lunae frisante|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|salton intenso merlot|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|salton intenso merlot|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=433
W|salton intenso cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|salton desejo merlot|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|salton|classic tannat|??|r|tannat|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|salton|classic tannat|??|r|tannat|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=437
W|salton|classic merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|salton|classic merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=439
W|salton|classic merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=439
W|salton|classic lunae clericot|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|salton|classic corte tinto suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec
W|salton|classic chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|salton|classic chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=444
W|salton|classic cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|salton|classic cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=446
W|salton|classic cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|salton|classic branco demisec|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|salton canonico|rosado|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|salton canonico|rosado|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=450
W|salton campanha marselantannat|marselantannat|??|r|tannat|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|salton campanha marselan|marselan|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|salton atos licoroso|licoroso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|salentein|sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|salentein|pinot noir|??|r|pinot noir|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|salentein|malbec|??|r|malbec|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|salentein|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|salentein|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=458
W|salentein portillo sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|salentein portillo sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=460
W|salentein portillo pinot noir|noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|salentein portillo pinot noir|noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=462
W|salentein portillo cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|saint|germain tinto assemblage|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|saint|germain tinto assemblage|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=465
W|saint|germain reservado blend de brancas|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|saint|germain merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|saint|germain blanc de blancs|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|saint|germain assemblage tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|saint|germain assemblage branco 1x|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|saint|germain assemblage branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|saint|felicien malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|saint|felicien malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=473
W|saint|felicien malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=473
W|saint|felicien chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|saint|felicien cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|saint|estephe les pelerins de lafonrochet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|saint|emilion grand cru chateau le loup|fr|r|??|bordeaux|saint-emilion|NV|13.5|AOC|medio|carnes vermelhas, massas, queijos curados|seco
W|sacco dolcetto|doc|??|r|dolcetto|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|sacco barolo|docg tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|sacco barbera asti|doc tinto|??|r|barbera|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|sacco barbaresco|docg tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|s de siegel|carmenere|??|r|carmenere|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|s de siegel|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
S
S|=486
S|=486
S|=486
S|=486
S|=486
W|rutini malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|rutini malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=492
W|rutini malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=492
W|rutini malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=492
W|rutini cabernet syrah|syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|rutini cabernet sauvignon merlot|merlot|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|rutini cabernet sauvignon malbec|malbec|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|rutini cabernet malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|rutini cabernet malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=499
W|rutini cabernet franc malbec|malbec|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|rutini cabernet franc|franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|rutini cabernet franc|franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=502
W|ruffino orvieto|classico doc|??|f|palomino|??|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|ruffino lumina pinot grigio|igt|??|f|palomino|??|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|ruffino|chianti tinto|it|f|palomino|toscana|chianti|NV|15|DOCG|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|ruffino|chianti docg|it|f|palomino|toscana|chianti|NV|15|DOCG|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|ruffino aziano|chianti classico docg|it|f|palomino|toscana|chianti|NV|15|DOCG|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|ruca malen malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ruca malen capitulo dos petit verdot|verdot|??|r|petit verdot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ruca malen aime malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|rossovero primitivo salento|igt|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|rosso di montalcino castelli martinozzi|martinozzi|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|rosso di montalcino camigliano|camigliano|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|rosso di montalcino bersaglio|doc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|rose|yellow tail pink moscato|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|wave rosato 3 und|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|vista calma malbec|??|p|malbec|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|vintage anya flor de frutales|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|villa francioni fino seco|??|f|palomino|??|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|rose|valle central cabernet sauvignon syrah 13 alc|cl|p|cabernet sauvignon|valle central|??|NV|12.5|DO|medio|saladas, sushi, petiscos|seco
W|rose|uruguaio la hacienda sauvignon blanc merlot|??|p|merlot|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|trapiche vineyards|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|tramonto 2021|??|p|??|??|??|2021|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|tramonto 2021|??|p|??|??|??|2021|12.5|??|medio|saladas, sushi, petiscos|seco|=524
W|rose|torresella pinot grigio doc|??|p|pinot grigio|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|toro loco dop utiel requena|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|tempranillo camino de santiago la vina del senor|??|p|tempranillo|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|tempranillo camino de santiago la vina del senor|??|p|tempranillo|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=528
W|rose|tannatmerlot grutinha fratelli|??|p|merlot|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|sul africano the wedge|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|suave fino catania|??|f|palomino|??|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|rose|sem alcool vinoh|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco tempranillo don giusepp|??|p|tempranillo|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco pueblo del sol tannat|??|p|tannat|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco portugues casal mendes garrafa|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco portugues bairrada doc 2022 adega cantanhede|??|p|??|??|??|2022|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco porca de murca douro doc|pt|p|??|douro|??|NV|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|seco pinot noirgamay capoani|??|p|pinot noir|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco pinot noir garibaldi caixa 6|??|p|pinot noir|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco pinot noir faces do brasil lidio carraro|??|p|pinot noir|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco papa figos douro doc|pt|p|??|douro|??|NV|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|seco omikron rose agiorgitiko|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco nobile melnik|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco nieto senetiner|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco nacional syrah pinot noir vivant pack 4 latas cada|??|p|syrah|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco moscato de hamburgo castellamare sao joao|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco monte dos perdigoes|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco miolo selecao blend|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco merlot fausto pizzato|??|p|merlot|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco merlot capella dos campos f lemos de almeida|??|p|merlot|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco mendel rosadia|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco mega spileo|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco marques de casa concha|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco marques de caceres rioja doca|es|p|??|rioja|??|NV|12.5|DOCa|medio|saladas, sushi, petiscos|seco
W|rose|seco mario geisse costero|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco marie gabi rd|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco malbec sinais don guerino|??|p|malbec|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco m de minuty|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco lyngrove collection shiraz|??|p|shiraz|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco luiz argenta terroir xxvii|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco luiz argenta jovem|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco luar do pampa guatambu|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco lola larentis|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco lingal perez cruz|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco libanes rosea ishtar|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco lembrancas tradicao caixa 6|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco lembrancas tradicao|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco le petit cochonnet grenache|??|p|grenache|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco lapostolle le rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco la vieille ferme|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco la piu belle|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco la linda malbec|??|p|malbec|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco koyle cuvee los lingues flor de laberinto grenache|??|p|grenache|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco juliette perico|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco juju arteviva|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco jolie terre mediterranee igp|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco insaciable rioja garnacha|es|p|garnacha|rioja|??|NV|12.5|DOCa|medio|saladas, sushi, petiscos|seco
W|rose|seco hampton water|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco grape angel premium merlot|??|p|merlot|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco gerard bertrand cote des roses granache syrah cinsault|??|p|syrah|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco gerard bertrand cote des roses granache|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco garzon estate pinot noir|??|p|pinot noir|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco frisante natural pinot noir capoani|??|p|pinot noir|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco freixenet rosado|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco fino bag in box vinhar|??|f|palomino|??|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|rose|seco familia bebber giardino|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco faces do brasil pinot noir 187|??|p|pinot noir|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco ezimit pinot noir doc|??|p|pinot noir|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco errazuriz sauvignon blanc blush|??|p|sauvignon blanc|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco el picoteo 2022|??|p|??|??|??|2022|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco ea cartuxa|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco doudetnaudin pinot noir|it|p|pinot noir|sicilia|etna|NV|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|seco de sangiovese tramonto villaggio conti|??|p|sangiovese|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco crios susana balbo malbec|??|p|malbec|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco crasto douro doc|pt|p|??|douro|??|NV|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|seco cousinomacul isidora merlot|??|p|merlot|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco cordero con piel de lobo malbec|??|p|malbec|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco corbelli blush pinot grigio igt|??|p|pinot grigio|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco claude val|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco chateau de pourcieux cotes de provence sain victoire|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco chateau de pourcieux|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco chateau cristi bravoure|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco casas del toqui single estate|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco casa valduga arte blend gewurztraminer malbec|??|p|malbec|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco carmen frida kahlo|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco cappelletti|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco cabernet syrah sem alcool natureo|??|p|syrah|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco cabernet joaquim villa francioni|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco cabernet guriazita campos de cima|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco cabernet franc valmarino|??|p|cabernet franc|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco blend villa francioni|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco blend classico salvattore|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco belle glos oeil de perdrix|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco ave rosa|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco australiano victoria mathilda tournon m chapoutier|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco arrogant frog|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco anarquista sensato garbo|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco amitie merlot|??|p|merlot|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco americano woodbridge white zinfandel|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco alturas de chile|cl|p|??|valle central|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco aldeias das serras bag in box|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco 3 bocas campos de cima|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|seco|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|schroeder saurus pinot noir|??|p|pinot noir|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|sauvignon blanc kabbalah|??|p|sauvignon blanc|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|sauvignon blanc kabbalah|??|p|sauvignon blanc|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=626
W|rose|sauvignon blanc e merlot origem casa valduga|??|p|merlot|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|saroto 2021|??|p|??|??|??|2021|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|sarava rose 2021|??|p|??|??|??|2021|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|sao miguel|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|sao luiz winemakers collection reserva tinto cao magnum 1|??|p|??|??|??|NV|12.5|Reserva|medio|saladas, sushi, petiscos|seco
W|rose|sao luiz winemakers collection reserva tinto cao 2021|??|p|??|??|??|2021|12.5|Reserva|medio|saladas, sushi, petiscos|seco
W|rose|santos e seixo janela aberta vinho verde doc|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|santa margherita trevenezie igt|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|santa margherita trevenezie igt|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=635
W|rose|santa helena reservado|??|p|??|??|??|NV|12.5|Reserva|medio|saladas, sushi, petiscos|seco
W|rose|santa helena reservado|??|p|??|??|??|NV|12.5|Reserva|medio|saladas, sushi, petiscos|seco|=637
W|rose|santa helena margherita trevenezie igt|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|santa helena helena reservado rose|??|p|??|??|??|NV|12.5|Reserva|medio|saladas, sushi, petiscos|seco
W|rose|santa esperanca|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|santa ema blocks reserva rose|??|p|??|??|??|NV|12.5|Reserva|medio|saladas, sushi, petiscos|seco
W|rose|santa cristina rose blend 2018|??|p|??|??|??|2018|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|santa colina merlot|??|p|merlot|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|santa colina merlot|??|p|merlot|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=644
W|rose|santa carolina reservado rose ed especial outubro rosa|??|p|??|??|??|NV|12.5|Reserva|medio|saladas, sushi, petiscos|seco
W|rose|santa carolina reservado cabernet sauvignon|??|p|cabernet sauvignon|??|??|NV|12.5|Reserva|medio|saladas, sushi, petiscos|seco
W|rose|santa carolina estrellas cab sauvignon|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|santa carolina estelar 57 only pink|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|santa augusta pinot noir rose|??|p|pinot noir|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|santa augusta pinot noir 2020|??|p|pinot noir|??|??|2020|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|santa alba winemaker|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|santa alba cabernet sauvignon 2022|??|p|cabernet sauvignon|??|??|2022|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|sangre de toro|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|sancerre rose 2019|??|p|??|??|??|2019|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|san telmo kit 4 garrafas|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|san telmo kit 4 garrafas|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=656
W|rose|san telmo blend 3 unidades|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|salton lunae drinks clericot|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|salton intenso merlot 2020|??|p|merlot|??|??|2020|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|salmonido 2019|??|p|??|??|??|2019|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|salentino rosato del salento negroamaro 2020|??|p|??|??|??|2020|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|salentino rosato del salento negroamaro 2020|??|p|??|??|??|2020|12.5|??|medio|saladas, sushi, petiscos|seco|=662
W|rose|sagrado 2018 douro|pt|p|??|douro|??|2018|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|roxo jose maria da fonseca|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|rouge la vieille ferme|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|rose vulcanico acores|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
