1. W|jeanneret|big fine girl riesling|??|w|riesling|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
445. W|jeanpierre|guyon mes nuages|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
446. W|jeanpierre|guyon moreysaintdenis la bidaude|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
447. W|jeanpierre|guyon moreysaintdenis la bidaude|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
448. W|jeanpierre|guyon moreysaintdenis la bidaude cote de nuits|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
449. W|jeanpierre|guyon nuitssaintgeorges aux herbues|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
450. W|jeanpierre|guyon nuitssaintgeorges les argillats blanc|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
451. W|jeanpierre|guyon vosneromanee|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
452. W|jeanpierre|guyon vosneromanee les charmes de mazieres|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
453. W|jeanpierre|large les delys morgon|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
454. W|jeanpierre|large les delys morgon|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
455. X
456. W|jeanpierre|maldant bourgogne blanc|fr|w|??|bourgogne|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
457. W|jeanpierre|maldant choreylesbeaune|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
458. W|jeanpierre|maldant choreylesbeaune blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
459. X
460. X
461. W|jeanpierre|maldant ladoix blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
462. X
463. W|jeanpierre|marniquet tradition brut champagne brut champagne blend|fr|s|champagne|champagne|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|brut
464. W|jeanpierre|moueix 2020 12btl|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
465. W|jeanpierre|moueix 2020 6btl|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
466. W|jeanpierre|moueix bordeaux|fr|r|??|bordeaux|??|NV|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
467. W|jeanpierre|moueix bordeaux|fr|r|??|bordeaux|??|NV|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=466
468. W|jeanpierre|moueix bordeaux|fr|r|??|bordeaux|??|NV|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=466
469. W|jeanpierre|moueix bordeaux|fr|r|??|bordeaux|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
470. W|jeanpierre|moueix chateau petrus|??|r|??|??|??|2001|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
471. W|jeanpierre|moueix chateau rouget pomerol|fr|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
472. X
473. X
474. X
475. X
476. W|jeanpierre|moueix pomerol|fr|r|??|??|??|2016|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
477. W|jeanpierre|moueix pomerol|fr|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
478. W|jeanpierre|moueix pomerol|fr|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
479. W|jeanpierre|moueix saint emilion|fr|r|??|saint emilion|saint emilion|2016|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
480. X
481. X
482. X
483. X
484. W|jeanpierre|pellegrin domaine grandcour blanc geneva switzerland|??|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
485. W|jeanpierre|pellegrin domaine grandcour gamay sauvage geneva switzerland|??|r|gamay|??|??|2019|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
486. W|jeanpierre|pieracci batti batti igp mediterranee rose|??|p|??|??|??|2022|12.5|igp|leve|carnes brancas, saladas, antepastos|seco
487. W|jeanpierre|pieracci batti batti igp mediterraneo rose|??|p|??|??|??|2022|12.5|igp|leve|carnes brancas, saladas, antepastos|seco
488. W|jeanpierre|rietsch cremant extra brut non dose|??|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|extra brut
489. X
490. W|jeanpierre|rietsch demoiselle vdf|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
491. W|jeanpierre|rietsch entre chien et loup|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
492. X
493. X
494. X
495. W|jeanpierre|rietsch murmure vdf|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
496. W|jeanpierre|rietsch pinot noir stierkopf|??|r|pinot noir|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
497. W|jeanpierre|rietsch quand le chat|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
498. X
499. W|jeanpierre|rietsch tout rouge litre vdf|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
500. W|jeanpierre|rietschtout blanc litre|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
501. X
502. X
503. W|jeanpierre|robinot bistrologie|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
504. X
505. X
506. W|jeanpierre|robinot chenin blanc fetembulles|??|w|chenin blanc|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
507. W|jeanpierre|robinot chenin blanc liris du loire|fr|w|chenin blanc|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
508. W|jeanpierre|robinot chenin blanc lumiere de silex|??|w|chenin blanc|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
509. W|jeanpierre|robinot chenin blanc lumiere de silex|??|w|chenin blanc|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
510. W|jeanpierre|robinot chenin blanc pet nat fetembulles|??|s|chenin blanc|??|??|2022|12|??|medio|aperitivos, frutos do mar, sushi|brut
511. W|jeanpierre|robinot chenin|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
512. W|jeanpierre|robinot chenin can nv 11 abv|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
513. W|jeanpierre|robinot chenin dry white wine can nv|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
514. W|jeanpierre|robinot concerto di venezia|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
515. W|jeanpierre|robinot concerto di venezia|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=514
516. X
517. W|jeanpierre|robinot fetembulles|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
518. W|jeanpierre|robinot fetembulles lopera des vins|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
519. W|jeanpierre|robinot fetembulles vdf sparking|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
520. X
521. W|jeanpierre|robinot iris|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
522. X
523. W|jeanpierre|robinot lange vin bistrologie white|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
524. W|jeanpierre|robinot lange vin concerto di venezia red|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
525. W|jeanpierre|robinot lange vin cuvee bistrologie|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
526. W|jeanpierre|robinot lange vin cuvee bistrologie|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=525
527. W|jeanpierre|robinot lange vin cuvee charme|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
528. W|jeanpierre|robinot lange vin le regard|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
529. W|jeanpierre|robinot lange vin le regard red|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
530. W|jeanpierre|robinot lange vin le regard vdf|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
531. W|jeanpierre|robinot lange vin le regard vdf|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
532. W|jeanpierre|robinot lange vin liris|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
533. W|jeanpierre|robinot lange vin lumiere de sens|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
534. W|jeanpierre|robinot lange vin lumiere de silex|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
535. W|jeanpierre|robinot lange vin lumiere de silex|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=534
536. W|jeanpierre|robinot lange vin lumiere des sens|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
537. W|jeanpierre|robinot lange vin lumiere des sens|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
538. W|jeanpierre|robinot lange vin lumiere des sens red|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
539. W|jeanpierre|robinot lange vin nocturne|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
540. W|jeanpierre|robinot lange vin nocturne|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
541. W|jeanpierre|robinot le regard|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
542. X
543. W|jeanpierre|robinot les annees folles|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
544. W|jeanpierre|robinot les annees folles|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
545. W|jeanpierre|robinot les vignes de lange charme 2023 loire valley france|fr|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
546. W|jeanpierre|robinot les vignes de lange concerto di venezia 2022 loire valley france|fr|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
547. W|jeanpierre|robinot les vignes de lange liris 2020 loire valley france|fr|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
548. W|jeanpierre|robinot les vignes de lange liris 2022 loire valley france|fr|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
549. W|jeanpierre|robinot les vignes de lange liris 2023 loire valley france|fr|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
550. W|jeanpierre|robinot les vignes de lange lumiere des sens 2023 loire valley france|fr|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
551. W|jeanpierre|robinot les vignes de lange nocturne 2023 loire valley france|fr|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
552. X
553. W|jeanpierre|robinot les vignes de lange vin annees folles|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
554. W|jeanpierre|robinot les vignes de lange vin camille elevage longue|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
555. W|jeanpierre|robinot les vignes de lange vin concerto de venise|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
556. W|jeanpierre|robinot les vignes de lange vin cuvee bistrologie|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
557. W|jeanpierre|robinot les vignes de lange vin cuvee bistrologie 2023 loire valley france|fr|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
558. W|jeanpierre|robinot les vignes de lange vin fetembulles|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
559. W|jeanpierre|robinot les vignes de lange vin iris|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
560. W|jeanpierre|robinot les vignes de lange vin juliette|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
561. W|jeanpierre|robinot les vignes de lange vin las des annees folles|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
562. W|jeanpierre|robinot les vignes de lange vin le regard|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
563. W|jeanpierre|robinot les vignes de lange vin le regard 2022 loire valley france|fr|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
564. W|jeanpierre|robinot les vignes de lange vin le regard|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
565. W|jeanpierre|robinot les vignes de lange vin le regard 2023 loire valley france|fr|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
566. W|jeanpierre|robinot les vignes de lange vin lumiere de silex|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
567. W|jeanpierre|robinot les vignes de lange vin lumiere de silex 2023 loire valley france|fr|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
568. W|jeanpierre|robinot les vignes de lange vin lumiere des sens|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
569. W|jeanpierre|robinot les vignes de lange vin nocturne|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
570. W|jeanpierre|robinot les vignes de lange vin prelude|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
571. W|jeanpierre|robinot les vignes de lange vin super juliette|??|r|??|??|??|2010|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
572. W|jeanpierre|robinot liris|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
573. X
574. W|jeanpierre|robinot lopera des vins concerto di venezia|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
575. W|jeanpierre|robinot lopera des vins fetembulles|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
576. W|jeanpierre|robinot lopera des vins fetembulles|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=575
577. W|jeanpierre|robinot lopera des vins fetembulles 2023 loire valley france|fr|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
578. W|jeanpierre|robinot lopera des vins les annees folles|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
579. W|jeanpierre|robinot lopera des vins les annees folles|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
580. W|jeanpierre|robinot lopera des vins les annees folles rose 2023 loire valley france|fr|p|??|??|??|2023|12.5|??|leve|carnes brancas, saladas, antepastos|seco
581. W|jeanpierre|robinot lopera des vins les annees folles vdf sparkling rose|??|p|??|??|??|2023|12.5|??|leve|carnes brancas, saladas, antepastos|seco
582. W|jeanpierre|robinot lopera des vins lumiere de silex|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
583. X
584. W|jeanpierre|robinot lumiere des sens|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
585. W|jeanpierre|robinot lumiere des sens|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
586. X
587. W|jeanpierre|robinot nocturne|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
588. W|jeanpierre|robinot nocturne|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
589. X
590. W|jeanpierre|robinot opera blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
591. W|jeanpierre|robinot opera blanc vdf|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
592. X
593. W|jeanpierre|robinot petnat rose les annees folles|??|p|??|??|??|2019|12.5|??|leve|carnes brancas, saladas, antepastos|seco
594. W|jeanpierre|robinot petnat rose les annees folles|??|p|??|??|??|2021|12.5|??|leve|carnes brancas, saladas, antepastos|seco
595. W|jeanpierre|robinot pineau daunis lumiere des sens|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
596. W|jeanpierre|robinot pineau daunis lumieres des sens|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
597. W|jeanpierre|robinot pineau daunis lumieres des sens|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
598. W|jeanpierre|robinot pineau daunis lumieres des sens|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
599. W|jeanpierre|robinot pineau daunis nocturne|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
600. X
601. X
602. W|jeanpierre|robinot sparkling chenin blanc fetembulles|??|w|chenin blanc|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
603. W|jeanpierre|vacher fils sancerre pinot noir france|fr|r|pinot noir|sancerre|??|NV|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
604. W|jeanpierre|vacher fils sancerre sauvignon blanc france|fr|w|sauvignon blanc|sancerre|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
605. W|jeanpierre|vacher sancerre|fr|r|??|sancerre|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
606. W|jeanrene|germanier cornalin reserve|??|r|??|??|??|NV|13.5|reserve|medio|carnes vermelhas, cordeiro, queijos curados|seco
607. X
608. W|jeanrene|nudant 2020 meursault blanc|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
609. W|jeanrene|nudant aloxecorton clos de la boulotte monopole|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
610. W|jeanrene|nudant aloxecorton clos de la boulotte monopole|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
611. W|jeanrene|nudant aloxecorton clos de la boulotte monopole|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=610
612. W|jeanrene|nudant chardonnay bourgogne|fr|w|chardonnay|bourgogne|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
613. W|jeanrene|nudant echezeaux grand cru|??|r|??|??|??|2022|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
614. W|jeanrene|nudant ladoix|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
615. W|jeanrene|nudant pinot noir bourgogne|fr|r|pinot noir|bourgogne|??|2024|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
616. X
617. X
618. W|jeanyven|peron cotillondes dames|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
619. W|jeanyven|peron i vicini moscato|??|r|moscato|??|??|2019|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
620. W|jeanyven|peron i vicini pinot nero|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
621. W|jeanyves|bizot echezeaux grand cru|??|r|??|??|??|2012|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
622. W|jeanyves|bizot vosneromanee|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
623. W|jeanyves de carlini|blanc de blancs|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
624. W|jeanyves de carlini|blanc de noirs|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
625. W|jeanyves de carlini|brut tradition|??|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|brut
626. X
627. X
628. X
629. X
630. W|jeanyves|peron 2020 i vicini cassa rossa|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
631. W|jeanyves|peron 2022 la petite robe blanc|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
632. W|jeanyves|peron casa rossa|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
633. W|jeanyves|peron casa rossa 2022 savoie france|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
634. W|jeanyves|peron casa rossa vdf red|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
635. W|jeanyves|peron champ levat|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
636. W|jeanyves|peron champ levat|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
637. W|jeanyves|peron champ levat|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
638. W|jeanyves|peron champ levat|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
639. W|jeanyves|peron champ levat|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=638
640. W|jeanyves|peron champ levat|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=638
641. W|jeanyves|peron champ levat|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
642. W|jeanyves|peron champs levat|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
643. W|jeanyves|peron champs levat rouge 2020 savoie france|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
644. W|jeanyves|peron cote pelee|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
645. W|jeanyves|peron cote pelee|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=644
646. W|jeanyves|peron cote pelee|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=644
647. W|jeanyves|peron cote pelee 2019 savoie france|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
648. W|jeanyves|peron cotillion des dames|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
649. W|jeanyves|peron cotillon des dames|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
650. W|jeanyves|peron cotillon des dames|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
651. W|jeanyves|peron cotillon des dames|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
652. W|jeanyves|peron cotillon des dames|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=651
653. W|jeanyves|peron cotillon des dames|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
654. W|jeanyves|peron cotillon des dames blanc|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
655. W|jeanyves|peron cotillon des dames blanc 2022 savoie france|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
656. W|jeanyves|peron cotillon des dames blanc|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
657. W|jeanyves|peron cotillon des dames reserve|??|r|??|??|??|2019|13.5|reserve|medio|carnes vermelhas, cordeiro, queijos curados|seco
658. W|jeanyves|peron cotillon des dames reserve|??|r|??|??|??|2020|13.5|reserve|medio|carnes vermelhas, cordeiro, queijos curados|seco
659. W|jeanyves|peron cotillon des dames reserve|??|r|??|??|??|2020|13.5|reserve|medio|carnes vermelhas, cordeiro, queijos curados|seco|=658
660. W|jeanyves|peron cotillon des dames reserve blanc 2020 savoie france|??|w|??|??|??|2020|12.5|reserve|medio|peixes, frutos do mar, saladas|seco
661. W|jeanyves|peron i vicini barbera 15 liter cee|??|r|barbera|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
662. W|jeanyves|peron i vicini barbera|??|r|barbera|??|??|2019|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
663. W|jeanyves|peron i vicini barbera 2020 savoie france|??|r|barbera|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
664. W|jeanyves|peron i vicini barbera|??|r|barbera|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
665. W|jeanyves|peron i vicini barbera|??|r|barbera|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
666. W|jeanyves|peron i vicini barbera|??|r|barbera|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=665
667. W|jeanyves|peron i vicini barbera|??|r|barbera|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=665
668. W|jeanyves|peron i vicini barbera cee|??|r|barbera|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
669. W|jeanyves|peron i vicini barbere|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
670. W|jeanyves|peron i vicini blanc|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
671. W|jeanyves|peron i vicini casa rossa|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
672. W|jeanyves|peron i vicini casa rossa|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=671
673. W|jeanyves|peron i vicini cortese 2020 savoie france|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
674. W|jeanyves|peron i vicini cortese|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
675. W|jeanyves|peron i vicini cortese|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
676. W|jeanyves|peron i vicini cortese|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=675
677. W|jeanyves|peron i vicini cortese|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
678. W|jeanyves|peron i vicini cortese|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=677
679. W|jeanyves|peron i vicini dolcetto cee|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
