W|quinta barroca da tilia probono|probono|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|primitivo di salento conti uttiere ancile|ancile|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|primitivo di puglia|igp dai terra rossa la grotta barricato 2021 tinto italia|it|r|primitivo|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|primitivo di puglia esperanto|igt 2023 tinto italia|??|r|primitivo|??|??|2023|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|primitivo di puglia esperanto|igt 2023 rose italia|??|p|primitivo|??|??|2023|12.5|??|medio|saladas, sushi, petiscos|seco
W|primitivo di|manduria urceus tto 1x|it|r|primitivo|puglia|manduria|NV|13.5|DOP|medio|carnes vermelhas, massas, queijos curados|seco
W|primitivo di|manduria sessantanni doc|it|r|primitivo|puglia|manduria|NV|13.5|DOP|medio|carnes vermelhas, massas, queijos curados|seco
W|primitivo di|manduria san marzano sessantanni 2019|it|r|primitivo|puglia|manduria|2019|13.5|DOP|medio|carnes vermelhas, massas, queijos curados|seco
W|primitivo di|manduria repetita juvant|it|r|primitivo|puglia|manduria|NV|13.5|DOP|medio|carnes vermelhas, massas, queijos curados|seco
W|primitivo di|manduria penteo|it|r|primitivo|puglia|manduria|NV|13.5|DOP|medio|carnes vermelhas, massas, queijos curados|seco
W|primitivo di|manduria pazzia old vines|it|r|primitivo|puglia|manduria|NV|14.5|DOP|encorpado|carnes vermelhas, massas, queijos curados|seco
W|primitivo di|manduria pazzia dop 2016 tinto italia|it|r|primitivo|puglia|manduria|2016|13.5|DOP|medio|carnes vermelhas, massas, queijos curados|seco
W|primitivo di|manduria pazzia ampelo dop 2021 tinto italia|it|r|primitivo|puglia|manduria|2021|13.5|DOP|medio|carnes vermelhas, massas, queijos curados|seco
W|primitivo di|manduria pazzia|it|r|primitivo|puglia|manduria|NV|13.5|DOP|medio|carnes vermelhas, massas, queijos curados|seco
W|primitivo di|manduria masseria trajone doc|it|r|primitivo|puglia|manduria|NV|13.5|DOP|medio|carnes vermelhas, massas, queijos curados|seco
W|primitivo di|manduria magma dop 2016 tinto italia|it|r|primitivo|puglia|manduria|2016|13.5|DOP|medio|carnes vermelhas, massas, queijos curados|seco
W|primitivo di|manduria magma dop|it|r|primitivo|puglia|manduria|NV|13.5|DOP|medio|carnes vermelhas, massas, queijos curados|seco
W|primitivo di|manduria luccarelli old vines 2018 tinto italia|it|r|primitivo|puglia|manduria|2018|14.5|DOP|encorpado|carnes vermelhas, massas, queijos curados|seco
W|primitivo di|manduria la pruina 2021|it|r|primitivo|puglia|manduria|2021|13.5|DOP|medio|carnes vermelhas, massas, queijos curados|seco
W|primitivo di|manduria la pruina|it|r|primitivo|puglia|manduria|NV|13.5|DOP|medio|carnes vermelhas, massas, queijos curados|seco
W|primitivo di|manduria il morante|it|r|primitivo|puglia|manduria|NV|13.5|DOP|medio|carnes vermelhas, massas, queijos curados|seco
W|primitivo di|manduria farnese il teo 2011 tinto italia|it|r|primitivo|puglia|manduria|2011|13.5|DOP|medio|carnes vermelhas, massas, queijos curados|seco
W|primitivo di|manduria doc riserva|it|r|primitivo|puglia|manduria|NV|13.5|DOP|medio|carnes vermelhas, massas, queijos curados|seco
W|primitivo di|manduria doc masseria santa maria|it|r|primitivo|puglia|manduria|NV|13.5|DOP|medio|carnes vermelhas, massas, queijos curados|seco
W|primitivo di|manduria doc mandorla 2019 tinto italia|it|r|primitivo|puglia|manduria|2019|13.5|DOP|medio|carnes vermelhas, massas, queijos curados|seco
W|primitivo di|manduria doc la passione segreta|it|r|primitivo|puglia|manduria|NV|13.5|DOP|medio|carnes vermelhas, massas, queijos curados|seco
W|primitivo di|manduria dal 1947 vigne vecchie 2018 tinto italia|it|r|primitivo|puglia|manduria|1947|13.5|DOP|medio|carnes vermelhas, massas, queijos curados|seco
W|primitivo di|manduria costantino collezione pirovano 2020 tinto italia|it|r|primitivo|puglia|manduria|2020|13.5|DOP|medio|carnes vermelhas, massas, queijos curados|seco
W|primitivo di|manduria conti|it|r|primitivo|puglia|manduria|NV|13.5|DOP|medio|carnes vermelhas, massas, queijos curados|seco
W|primitivo di|manduria codici masserie 2022 tinto italia|it|r|primitivo|puglia|manduria|2022|13.5|DOP|medio|carnes vermelhas, massas, queijos curados|seco
W|primitivo di|manduria archidano|it|r|primitivo|puglia|manduria|NV|13.5|DOP|medio|carnes vermelhas, massas, queijos curados|seco
W|primitivo di|manduria 1921 reserva dop|it|r|primitivo|puglia|manduria|1921|14.5|DOP|encorpado|carnes vermelhas, massas, queijos curados|seco
W|primitivo colle petrito|tinto|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|primitivo 132 salento|igt|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|primevo selection|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|primevo selection|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=481
W|primevo selection|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|primevo selection|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=483
W|primevo selection|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|primevo selection|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=485
W|primera piedra|rose chile|cl|p|??|valle central|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|primeira estrada|tinto syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|primeira estrada syrah|tinto|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|primeira estrada syrah safra|2022 vinicola estrada real|??|r|syrah|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|primeira estrada syrah|rose|??|p|syrah|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|primeira estrada syrah|rose|??|p|syrah|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=491
W|primeira estrada syrah|2023|??|r|syrah|??|??|2023|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|primeira estrada sauvignon blanc|2024|??|w|sauvignon blanc|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|primeira estrada sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|primeira estrada|rose syrah|??|p|syrah|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|primeira estrada|syrah safra 2021 vinicola estrada real|??|r|syrah|??|??|2021|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|primeira estrada|syrah 2021|??|r|syrah|??|??|2021|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|primeira estrada chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|primeira estrada|branco sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|primeira estrada 127 syrah|2024|??|r|syrah|??|??|2024|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|primeira estrada 127 cab franc marselan|2024|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|prime rocche trebbiano rubicone|2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|primaverina puglia|igt rosso 2018|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|primaverina merlot|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|primavera|tinto reserva cabernet sauvignon 2024|??|r|cabernet sauvignon|??|??|2024|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|primavera|branco reserva chardonnay 2024|??|w|chardonnay|??|??|2024|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|prima pietra super tuscany castiglion del bosco|2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|prima pietra super tuscany castiglion del bosco|2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|prima pietra super tuscany castiglion del bosco|2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|prima pietra super tuscany castiglion del bosco|2018|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|prima pietra super tuscany castiglion del bosco|2016|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|prima alta delle venezie pinot grigio|grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|prima alta delle venezie pinot grigio|grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=513
W|prieure de st laurent|cotes du rhone tinto seco dufouleur pere fils|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|pretexto|tinto 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pretexto|branco 2023|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|pretexto|branco 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|prestige morgon le clachet domaine anita|anita|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|prestige morgon le clachet domaine anita|anita|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=519
W|prestige des tuileries|2016|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pressagio|tinto 2023|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pressagio grande|tinto 2022|??|r|??|??|??|2022|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|pressagio|branco 2023|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|presente carmenere|chile|cl|r|carmenere|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|premo|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|premium|winter 4 estaciones cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|premium|spring 4 estaciones blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|premium|premium|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|premier rendezvous sauvignon blanc|2022|??|w|sauvignon blanc|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|premier rendezvous pinot noir|2022|??|r|pinot noir|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|premier rendezvous pinot noir|noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|premier rendezvous merlot cabernet sauvignon|2020|??|r|cabernet sauvignon|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|premier rendezvous merlot cabernet|cabernet|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|premier rendezvous grande|gsm|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|premier rendezvous grande|chardonnay|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|premier rendezvous cinsault|rose franca|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|premier rendezvous cinsault|rose 2020|??|p|??|??|??|2020|12.5|??|medio|saladas, sushi, petiscos|seco
W|premier rendezvous blanc|blanc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|premier rendez vous sauvignon blanc|2022 branco franca|??|w|sauvignon blanc|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|premier rendez vous sauvignon blanc 1x|1x|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|premier rendez vous pinot noir|2021 tinto franca|??|r|pinot noir|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|premier rendez vous merlot cabernet sauvignon|2022 tinto franca|??|r|cabernet sauvignon|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|premier rendez vous merlot cabernet sauvignon|2020|??|r|cabernet sauvignon|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|premier rendez vous merlot cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|premier rendez vous grande|reserve|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|premier rendez vous grande|reserve|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=546
W|premier rendez vous cinsault|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|premier rendez vous cinsault|2022 rose franca|??|p|??|??|??|2022|12.5|??|medio|saladas, sushi, petiscos|seco
W|preludio n 1 chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|prelude de marsau|marsau|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|prelude de|grand puy ducasse 2016|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|prelude de|grand puy ducasse 2015|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|precioso|tinto demisec|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|precioso|rosado licoroso 1x|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
S|=279
W|prazo de roriz|tinto 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|prazo de roriz|tinto 0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|prazo de roriz|douro doc 2018 tinto portugal|pt|r|??|douro|??|2018|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|prahova valley|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|prahova valley merlot|tinto|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|prahova merlot|2021 rose romenia|??|p|merlot|??|??|2021|12.5|??|medio|saladas, sushi, petiscos|seco
W|prahova merlot|2019 tinto romenia|??|r|merlot|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|prahova merlot|2019 tinto romenia|??|r|merlot|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=563
W|prahova feteasca neagra|2020 tinto romenia|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|prahova feteasca alba|2021 branco romenia|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|prado del rey roble|roble|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|prado del rey roble|roble|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=567
W|pradalupo roero arneis fontanafredda|2020 branco italia|??|w|??|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|pousio selection|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|poulet pere fils cote de brouilly|brouilly|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pouillyfume guy saget|saget|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pouilly fume mademoiselle de t chateau tracy|2021 branco franca|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|pouilly fume clos joanne d orion domaine gitton|gitton|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pouilly fuisse terroirs domaine sangouard guyot|guyot|??|r|??|??|??|NV|14.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pouilly fuisse quintessence|quintessence|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pouilly fuisse louis latour|2018 branco franca|??|w|??|??|??|2018|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|pouilly fuisse louis latour|latour|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pouilly fuisse les petites bruyeres marie pierre manciat|manciat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pouilly fuisse domaine gonon|gonon|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pouilly fuisse authentique|authentique|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pouilly fuisse 1er|cru cave des grands crus blancs|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pouca terra|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pouca terra|branco 2019 0|??|w|??|??|??|2019|12.5|??|leve|peixes, frutos do mar, saladas|seco
X
X|=585
X|=585
X|=585
X|=585
X|=585
X|=585
X|=585
X|=585
X|=585
X|=585
X|=585
X|=585
X|=585
X|=585
W|potugues verde pardalito|2024|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|potugues|rose pardalito 2024|??|p|??|??|??|2024|12.5|??|medio|saladas, sushi, petiscos|seco
W|potugues|rose pardalito|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|potro de piedra family|tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|potro de piedra cabernet sauvignon cabernet franc|franc|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|potre|rose suave|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|demi-sec
W|potre|fino tinto meio seco cabenet sauvignon|??|f|palomino|??|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|potre|fino branco white blend|??|f|palomino|??|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|postquers bical|bical|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|postquers bical|bical|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=608
W|postquers baga|baga|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|postquercus bical|bical|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|postquercus baga|baga|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|post scriptun|tinto 1|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|post scriptum|tinto 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|post scriptum|tinto 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|post scriptum|tinto 0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|post scriptum de chryseia|tinto 2023|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|post scriptum de chryseia|tinto 2023|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=617
W|post quercus baga tto bairrada|bairrada|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues xisto preto|doc reserva 2015|??|r|??|??|??|2015|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues witty verde|doc rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues witty verde|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues vl portugal tto|reserva|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues vinhas|do silvado tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues vinhas|do silvado suave bag in box|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec
W|portugues vinhas|do silvado branco bag in box|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues vinhas|do silvado branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues vinha longa|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues vinha longa|tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues vinha longa|alentejano tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues vinha longa|reserva|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues vinha longa|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues vinha longa bco|bco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues vinha grande|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues vinha grande casa ferreirinha|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues vinha grande casa ferreirinha|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=635
W|portugues vinha grande casa ferreirinha|branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|portugues vinha grande casa ferreirinha|branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=637
W|portugues vinha dourada|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues vinha dourada|douro|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues vinha|do monte tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues vinha|do infante|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues vinha|do conde tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues vinha da coutada velha|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues vinha da coutada velha|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=644
W|portugues vinha da coutada velha|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues vinha da casinha|casinha|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues vinea|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues villa velha|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues villa rosa tto|tto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues villa|do mar rose atlantico|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues vilacetiinho verde|verde|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues vila portugal|tinto seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues vila portugal|branco meio seco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues vila portugal alentejano|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues vila frol|tinto meio seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues vila de frades|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues vidigal chapeu de praia|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues videira da serra|douro tinto|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
X|=585
W|portugues verde|rose doc amo te|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues verde loureiro e alvarinho santa quiteria|quiteria|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues verde levity|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues verde levity|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues verde gatao lata|lata|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues verde gatao 2 garrafas lata|lata|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues verde|doc amo te|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues varanda|do conde branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|portugues vallado|douro tinto|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues trovisco|tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues trovisco|branco|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|portugues trevo da sorte|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues trevo da sorte regional lisboa|tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues trevo da sorte regional lisboa|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portugues transversal touriga nacional|nacional|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues touriz|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues torre estremoz|tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|portugues toca|do esquilo verde rose 2022|??|p|??|??|??|2022|12.5|??|medio|saladas, sushi, petiscos|seco
W|portugues toca|do esquilo verde 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues toca|do esquilo red touriga tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues titular|dao novo tinto|pt|r|??|dao|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|portugues|tinto vinhas velhas palacio dostavoras|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
