W|blanco|lambrusco dell emilia sarsitano|it|w|lambrusco|??|??|NV|11.5|??|medio|peixe, frutos do mar|seco
W|lamborghini|brut oro vino spumante with gift|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lamborghini|brut oro vino spumante|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lamborghini|brut metodo classico bio millesimato|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|lamborghini|brut gold jeroboam drewniane pudeko premium|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|lamborghini|brut gold|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|lamborghini|brut extra dry luminous|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|lamborghini|brut|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|lamborghini|brut|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=579
X
X
W|lamborghini blu umbria|igt wine|it|r|??|??|??|NV|13.5|IGT|medio|carne vermelha, queijo|seco
W|lamborghini blu merlot italy|italy|it|r|merlot|??|??|2021|13.5|??|medio|carne vermelha, queijo|seco
X
X
W|lamborghini alkoholmentes|sparkling gold 0 0|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
X
X
X
W|lamborghini|68 italia red blend|it|r|??|??|??|2015|13.5|??|medio|carne vermelha, queijo|seco
X
W|lamborghini|2 luxe collection rosso oro|??|r|??|??|??|2015|13.5|??|medio|carne vermelha, queijo|seco
W|lamborghini|2 luxe collection rosso|??|r|??|??|??|2015|13.5|??|medio|carne vermelha, queijo|seco
X
W|lamborghini|2 brut vino spumante oro platinum|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
X
W|lamborghini|merlot umbria igt umbria|it|r|merlot|??|??|1968|13.5|IGT|medio|carne vermelha, queijo|seco
X
X
X
X
X
X
X
W|lamblot alexandre|nv vrigny 1er cru intuition brut nature base|??|r|??|??|??|2019|13.5|Grand Cru|medio|carne vermelha, queijo|seco
W|lamblot alexandre|nv champagne brut nature mouvance base|??|s|??|??|??|2021|12|??|leve|aperitivos, saladas|extra brut
W|lamblot alexandre|nv champagne brut nature mouvance base|??|s|??|??|??|2019|12|??|leve|aperitivos, saladas|extra brut
W|lamblin fourchaume chablis|1er cru|fr|r|??|chablis|??|NV|13.5|Grand Cru|medio|carne vermelha, queijo|seco
X
W|lamblin fils chablis|premier cru vaillon ko|fr|r|??|chablis|??|2018|13.5|Grand Cru|medio|carne vermelha, queijo|seco
W|lamblin fils chablis|grand cru vaudesir|fr|r|??|chablis|??|2022|13.5|Grand Cru|medio|carne vermelha, queijo|seco
W|lamblin fils chablis|grand cru vaudesir|fr|r|??|chablis|??|2020|13.5|Grand Cru|medio|carne vermelha, queijo|seco
W|lamblin fils chablis|grand cru les clos|fr|r|??|chablis|??|2022|13.5|Grand Cru|medio|carne vermelha, queijo|seco
W|lamblin fils chablis|grand cru les clos|fr|r|??|chablis|??|2020|13.5|Grand Cru|medio|carne vermelha, queijo|seco
X
X
X
W|lamblin fils chablis|1er cru vaillon|fr|r|??|chablis|??|2023|13.5|Grand Cru|medio|carne vermelha, queijo|seco
W|lamblin fils bourgogne aligote aop|12|fr|r|??|bourgogne|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|lamblin fils bourgogne aligote aop|0|fr|r|??|bourgogne|??|2020|13.5|??|medio|carne vermelha, queijo|seco
W|lamblin et fils chablis|premier cru vaillon burgundy france|fr|r|??|chablis|??|2023|13.5|Grand Cru|medio|carne vermelha, queijo|seco
W|lamblin et fils chablis|chablis|fr|r|??|chablis|??|2023|13.5|??|medio|carne vermelha, queijo|seco
W|lamblin et fils cepage chardonnay bourgogne|blanc|fr|w|??|bourgogne|??|2023|12.5|??|leve|peixe, frutos do mar|seco
W|lamblin chablis|premier cru vaillon|fr|r|??|chablis|??|2022|13.5|Grand Cru|medio|carne vermelha, queijo|seco
W|lamblin chablis|premier cru vaillon|fr|r|??|chablis|??|2020|13.5|Grand Cru|medio|carne vermelha, queijo|seco
X
W|lamblin bourgogne|rouge|fr|r|??|bourgogne|??|2020|13.5|??|medio|carne vermelha, queijo|seco
W|lamblin and fils maligny les chablis france|france|fr|r|??|chablis|??|2023|13.5|??|medio|carne vermelha, queijo|seco
X
W|lambitieuse 2019reserve|grand cru blanc de blancs extra brut|??|w|??|??|??|NV|12.5|Grand Cru|leve|peixe, frutos do mar|seco
X
X
W|lambig de bretagne|aoc les verges de kermao|??|r|??|??|??|NV|13.5|AOC|medio|carne vermelha, queijo|seco
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
W|lamberti valpolicella ripasso|ripasso|it|r|sangiovese|valpolicella|??|NV|13.5|DOCG|medio|carne vermelha, queijo|seco
W|lamberti valpolicella classico|classico|it|r|sangiovese|valpolicella|??|NV|13.5|DOCG|medio|carne vermelha, queijo|seco
W|lamberti valpolicella|valpolicella|it|r|sangiovese|valpolicella|??|NV|13.5|DOCG|medio|carne vermelha, queijo|seco
W|lamberti valpolicella|valpolicella|it|r|sangiovese|valpolicella|??|NV|13.5|DOCG|medio|carne vermelha, queijo|seco|=690
W|lamberti|spumante extra dry rose|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lamberti|sparkling rose italy|it|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lamberti soave classico|classico|it|r|??|soave|??|NV|13.5|DOCG|medio|carne vermelha, queijo|seco
W|lamberti soave classico|classico|it|r|??|soave|??|NV|13.5|DOCG|medio|carne vermelha, queijo|seco|=694
W|lamberti santepietre valpolicella ripasso veneto|doc|it|r|sangiovese|valpolicella|??|NV|13.5|DOCG|medio|carne vermelha, queijo|seco
W|lamberti|rose spumante|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lamberti|rose prosecco|it|s|glera|??|??|NV|12|DOCG|leve|aperitivos, saladas|brut
W|lamberti prossecco|spumante extra dry|??|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
W|lamberti|prosecco sp doc ex dry|it|s|glera|??|??|NV|12|DOCG|leve|aperitivos, saladas|brut
W|lamberti|prosecco rose 23|it|s|glera|??|??|2023|12|DOCG|leve|aperitivos, saladas|brut
W|lamberti|prosecco rose|it|s|glera|??|??|NV|12|DOCG|leve|aperitivos, saladas|brut
W|lamberti|prosecco new label nv|it|s|glera|??|??|NV|12|DOCG|leve|aperitivos, saladas|brut
W|lamberti|prosecco extra dry rose|it|s|glera|??|??|2022|12|DOCG|leve|aperitivos, saladas|brut
W|lamberti|prosecco extra dry rose|it|s|glera|??|??|NV|12|DOCG|leve|aperitivos, saladas|brut
W|lamberti|prosecco extra dry nv|it|s|glera|??|??|NV|12|DOCG|leve|aperitivos, saladas|brut
W|lamberti|prosecco extra dry nv|it|s|glera|??|??|NV|12|DOCG|leve|aperitivos, saladas|brut|=706
W|lamberti|prosecco extra dry livingreen|it|s|glera|??|??|NV|12|DOCG|leve|aperitivos, saladas|brut
W|lamberti|prosecco extra dry|it|s|glera|??|??|NV|12|DOCG|leve|aperitivos, saladas|brut
W|lamberti|prosecco extra dry|it|s|glera|??|??|NV|12|DOCG|leve|aperitivos, saladas|brut|=709
W|lamberti|prosecco doc extra dry|it|s|glera|??|??|NV|12|DOCG|leve|aperitivos, saladas|brut
W|lamberti|prosecco doc extra dry|it|s|glera|??|??|NV|12|DOCG|leve|aperitivos, saladas|brut|=711
W|lamberti|prosecco|it|s|glera|??|??|NV|12|DOCG|leve|aperitivos, saladas|brut
W|lamberti|prosecco|it|s|glera|??|??|NV|12|DOCG|leve|aperitivos, saladas|brut|=713
W|lamberti|prosecco|it|s|glera|??|??|NV|12|DOCG|leve|aperitivos, saladas|brut|=713
W|lamberti pinot grigio garda|garda|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|lamberti pinot grigio delle venezie|venezie|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|lamberti pinot grigio blush|blush|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|lamberti merlot trevenezie|trevenezie|??|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|lamberti merlot garda|garda|??|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|lamberti merlot delle venezie|venezie|??|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|lamberti merlot|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
X
W|lamberti garda|rosso|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, queijo|seco
W|lamberti garda pinot grigio|grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|lamberti garda pinot grigio|grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco|=725
W|lamberti garda|bianco|??|w|??|??|??|2024|12.5|??|leve|peixe, frutos do mar|seco
W|lamberti garda|bianco|??|w|??|??|??|2024|12.5|??|leve|peixe, frutos do mar|seco|=727
W|lamberti extra|dry prosecco doc italian sparkling wine|it|s|glera|??|??|NV|12|DOCG|leve|aperitivos, saladas|brut
W|lamberti extra|dry prosecco|it|s|glera|??|??|NV|12|DOCG|leve|aperitivos, saladas|brut
W|lamberti extra|dry prosecco|it|s|glera|??|??|NV|12|DOCG|leve|aperitivos, saladas|brut|=730
W|lamberti classico valpolicella|doc|it|r|sangiovese|valpolicella|??|NV|13.5|DOCG|medio|carne vermelha, queijo|seco
W|lamberti capreella pinot grigio veneto italy|italy|it|w|pinot grigio|veneto|??|NV|12.5|??|leve|peixe, frutos do mar|seco
X
W|lamberti blush pinot grigio|grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
X
W|lamberti amarone della valpolicella|doc|it|r|sangiovese|valpolicella|??|NV|13.5|DOCG|encorpado|carne vermelha, queijo, churrasco|seco
W|lamberti amarone della valpolicella|valpolicella|it|r|sangiovese|valpolicella|??|2012|13.5|DOCG|encorpado|carne vermelha, queijo, churrasco|seco
W|lamberti amarone della valpolicella|valpolicella|it|r|sangiovese|valpolicella|??|NV|13.5|DOCG|encorpado|carne vermelha, queijo, churrasco|seco
X
X
X
W|lambert years founders|reserve|??|r|??|??|??|NV|13.5|Reserva|medio|carne vermelha, queijo|seco
W|lambert yarra valley syrah|syrah|??|r|syrah|??|??|2023|13.5|??|encorpado|carne vermelha, queijo, churrasco|seco
W|lambert yarra valley syrah|syrah|??|r|syrah|??|??|2023|13.5|??|encorpado|carne vermelha, queijo, churrasco|seco|=744
W|lambert yarra valley nebbiolo|nebbiolo|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carne vermelha, queijo, churrasco|seco
W|lambert yarra valley chardonnay|chardonnay|??|w|??|??|??|2023|12.5|??|leve|peixe, frutos do mar|seco
X
W|lambert wines yarra valley chardonnay|chardonnay|??|w|??|??|??|2020|12.5|??|leve|peixe, frutos do mar|seco
X
X
W|lambert thoroughbred cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, queijo, churrasco|seco
W|lambert the comittment|shiraz|??|r|shiraz|??|??|2018|13.5|??|encorpado|carne vermelha, queijo, churrasco|seco
W|lambert syrah yarra valley|valley|??|r|syrah|??|??|2023|13.5|??|encorpado|carne vermelha, queijo, churrasco|seco
W|lambert syrah yarra valley|valley|??|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, queijo, churrasco|seco
W|lambert syrah|syrah|??|r|syrah|??|??|2024|13.5|??|encorpado|carne vermelha, queijo, churrasco|seco
W|lambert syrah|syrah|??|r|syrah|??|??|2023|13.5|??|encorpado|carne vermelha, queijo, churrasco|seco
W|lambert syrah|syrah|??|r|syrah|??|??|2022|13.5|??|encorpado|carne vermelha, queijo, churrasco|seco
W|lambert syrah|syrah|??|r|syrah|??|??|2021|13.5|??|encorpado|carne vermelha, queijo, churrasco|seco
W|lambert syrah|syrah|??|r|syrah|??|??|2021|13.5|??|encorpado|carne vermelha, queijo, churrasco|seco|=759
X
X
X
W|lambert patrick|chinon rose|??|p|??|??|??|2022|13.5|??|leve|saladas, peixes|seco
W|lambert patrick|chinon gourmandise|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, queijo|seco
W|lambert patrick|chinon rose|??|p|??|??|??|2021|13.5|??|leve|saladas, peixes|seco
W|lambert patrick|chinon vieilles vignes|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, queijo|seco
W|lambert patrick|chinon ame dantan|??|r|??|??|??|2014|13.5|??|medio|carne vermelha, queijo|seco
W|lambert nebbiolo|nebbiolo|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carne vermelha, queijo, churrasco|seco
W|lambert nebbiolo|nebbiolo|??|r|nebbiolo|??|??|2022|13.5|??|encorpado|carne vermelha, queijo, churrasco|seco
W|lambert nebbiolo|nebbiolo|??|r|nebbiolo|??|??|2022|13.5|??|encorpado|carne vermelha, queijo, churrasco|seco|=770
W|lambert nebbiolo|nebbiolo|??|r|nebbiolo|??|??|2022|13.5|??|encorpado|carne vermelha, queijo, churrasco|seco|=770
W|lambert nebbiolo|nebbiolo|??|r|nebbiolo|??|??|2021|13.5|??|encorpado|carne vermelha, queijo, churrasco|seco
X
W|lambert les terrasses cabernet franc|franc|??|r|cabernet franc|??|??|NV|13.5|??|encorpado|carne vermelha, queijo, churrasco|seco
X
X
X
X
X
X
W|lambert estates cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, queijo, churrasco|seco
X
W|lambert estate the prologue|sparkling wine|??|s|??|??|??|2021|12|??|leve|aperitivos, saladas|brut
W|lambert estate the commitment shiraz|shiraz|??|r|shiraz|??|??|2018|13.5|??|encorpado|carne vermelha, queijo, churrasco|seco
W|lambert estate shiraz|shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, queijo, churrasco|seco
W|lambert de seyssel royal seyssel|grand cru traditional method sparkling wine savoie france|fr|s|??|??|??|2019|12|Grand Cru|leve|aperitivos, saladas|brut
W|lambert de seyssel royal|grand cru regional|??|r|??|??|??|NV|13.5|Grand Cru|medio|carne vermelha, queijo|seco
W|lambert de seyssel royal|brut savoie|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, queijo|seco
W|lambert de seyssel royal|brut savoie|??|r|??|??|??|2013|13.5|??|medio|carne vermelha, queijo|seco
W|lambert de seyssel petit royal vdf|brut savoie nv|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|lambert de seyssel petit royal traditional method|sparkling wine savoie france nv|fr|s|??|??|??|NV|12|??|leve|aperitivos, saladas|brut
X
W|lambert de seyssel petit royal methode traditionnelle|brut|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|lambert de seyssel petit royal|brut savoie france nv|fr|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|lambert de seyssel petit royal|brut|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
X
X
X
X
W|lambert de seyssel|brut royal grand cru savoie france|fr|r|??|??|??|2017|13.5|Grand Cru|medio|carne vermelha, queijo|seco
W|lambert de seyssel|brut petit royal nv|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|lambert de seyssel|royal seyssel grand cru sparkling|??|s|??|??|??|2015|12|Grand Cru|leve|aperitivos, saladas|brut
W|lambert crudo shiraz|shiraz|??|r|shiraz|??|??|2024|13.5|??|encorpado|carne vermelha, queijo, churrasco|seco
W|lambert crudo shiraz|shiraz|??|r|shiraz|??|??|2024|13.5|??|encorpado|carne vermelha, queijo, churrasco|seco|=804
W|lambert crudo shiraz|shiraz|??|r|shiraz|??|??|2023|13.5|??|encorpado|carne vermelha, queijo, churrasco|seco
W|lambert crudo shiraz|shiraz|??|r|shiraz|??|??|2023|13.5|??|encorpado|carne vermelha, queijo, churrasco|seco|=806
W|lambert crudo shiraz|shiraz|??|r|shiraz|??|??|2023|13.5|??|encorpado|carne vermelha, queijo, churrasco|seco|=806
W|lambert crudo shiraz|shiraz|??|r|shiraz|??|??|2022|13.5|??|encorpado|carne vermelha, queijo, churrasco|seco
W|lambert crudo shiraz|shiraz|??|r|shiraz|??|??|2022|13.5|??|encorpado|carne vermelha, queijo, churrasco|seco|=809
W|lambert crudo shiraz|shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, queijo, churrasco|seco
W|lambert crudo|rose|??|p|??|??|??|2023|13.5|??|leve|saladas, peixes|seco
W|lambert crudo|rose|??|p|??|??|??|2023|13.5|??|leve|saladas, peixes|seco|=812
W|lambert crudo|rose|??|p|??|??|??|2022|13.5|??|leve|saladas, peixes|seco
W|lambert crudo chardonnay|chardonnay|??|w|??|??|??|2024|12.5|??|leve|peixe, frutos do mar|seco
W|lambert crudo chardonnay|chardonnay|??|w|??|??|??|2023|12.5|??|leve|peixe, frutos do mar|seco
W|lambert crudo chardonnay|chardonnay|??|w|??|??|??|2023|12.5|??|leve|peixe, frutos do mar|seco|=816
X
W|lambert chocolatier australian|tawny port|??|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|doce
W|lambert chinon|rouge cuvee les terrasses|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, queijo|seco
W|lambert chinon les terrasses|terrasses|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, queijo|seco
W|lambert chardonnay|chardonnay|??|w|??|??|??|2024|12.5|??|leve|peixe, frutos do mar|seco
W|lambert chardonnay|chardonnay|??|w|??|??|??|2022|12.5|??|leve|peixe, frutos do mar|seco
W|lambert chardonnay|chardonnay|??|w|??|??|??|2021|12.5|??|leve|peixe, frutos do mar|seco
W|lambert chardonnay|chardonnay|??|w|??|??|??|2021|12.5|??|leve|peixe, frutos do mar|seco|=824
W|lambert bulle|de lair|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, queijo|seco
W|lambert bridge merlot|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|lambert bridge crane creek cuvee|red blend|??|r|??|??|??|2012|13.5|??|medio|carne vermelha, queijo|seco
W|lambert arnaud|nv cremant de loire breze blanc|fr|s|??|loire|??|NV|12|??|leve|aperitivos, saladas|brut
W|lambert arnaud|nv cremant de loire breze|fr|s|??|loire|??|NV|12|??|leve|aperitivos, saladas|brut
W|lambert|barossa shiraz the family tree|au|r|shiraz|barossa|??|2013|13.5|??|encorpado|carne vermelha, queijo, churrasco|seco
W|lambert|barossa shiraz the commitment|au|r|shiraz|barossa|??|2013|13.5|??|encorpado|carne vermelha, queijo, churrasco|seco
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
W|lambardi|rosso di montalcino|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, queijo|seco
W|lambardi|rosso di montal doc annata|??|r|??|??|??|2014|13.5|DOC|medio|carne vermelha, queijo|seco
W|lambardi brunello di montalcino|montalcino|it|r|sangiovese|brunello|??|2019|13.5|DOCG|medio|carne vermelha, queijo|seco
W|lambardi brunello di montalcino|montalcino|it|r|sangiovese|brunello|??|2016|13.5|DOCG|medio|carne vermelha, queijo|seco
W|lambardi|brunello di montalcino|it|r|sangiovese|brunello|??|1993|13.5|DOCG|medio|carne vermelha, queijo|seco
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
