W|ghost|block cabernet sauvignon single vineyard napa valley|us|r|cabernet sauvignon|california|napa valley|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|baraldo il bossolotto toscana igt vino rosso|it|r|??|tuscany|??|2021|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|baraldo laffacciatoio toscana bianco|it|w|??|tuscany|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giacomo|baraldo pozzone toscana igt vino rosso|it|r|??|tuscany|??|2020|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|baraldo risveglio mgm toscana igt vino bianco|it|w|??|tuscany|??|2022|12.5|igt|medio|peixes, frutos do mar, saladas|seco
W|giacomo|baraldo risveglio toscana igt vino bianco|it|w|??|tuscany|??|2022|12.5|igt|medio|peixes, frutos do mar, saladas|seco
W|giacomo|baraldo tullio toscana rosso|it|r|??|tuscany|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|barbero arneis roero|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|barbero roero arneis docg|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|barbero roero arneis spumante|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|giacomo|barbero valtassera nebbiolo dalba doc|??|r|nebbiolo|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|bologna barbera dasti ai suma|??|r|barbera|??|??|1997|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|bologna barbera dasti ai suma|??|r|barbera|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|bologna barbera dasti ai suma|??|r|barbera|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|bologna braida bricco dell uccellone|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|bologna braida bricco della bigotta|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|bologna braida limonte grignolino dasti|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|bologna braida vigna senza nome|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno timorasso derthona colli tortonesi|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno timorasso derthona colli tortonesi|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno and figli barolo|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno and figli no name|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno aperitif wine bianco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giacomo|borgogno aperitivo bianco borgogno|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giacomo|borgogno barbaresco riserva|it|r|??|barbaresco|barbaresco|1967|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno barbera dalba|??|r|barbera|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno barbera dalba|??|r|barbera|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno barbera dalba superiore|??|r|barbera|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno barbera langhe bompe|it|r|barbera|langhe|langhe|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno barolo|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno barolo|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=476
W|giacomo|borgogno barolo|it|r|??|barolo|barolo|1996|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno barolo|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno barolo teoria del successo|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno barolo una vita insieme|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno barolo|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno barolo|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=482
W|giacomo|borgogno barolo|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno barolo|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=484
W|giacomo|borgogno barolo|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=484
W|giacomo|borgogno barolo cannubi|it|r|??|barolo|barolo|2011|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno barolo cannubi|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno barolo cannubi|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno barolo cannubi|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno barolo cannubi|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=490
W|giacomo|borgogno barolo cannubi|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=490
W|giacomo|borgogno barolo cannubi docg 6 x|it|r|??|barolo|barolo|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno barolo chinato docg vino aromatizzato 6 x|it|r|??|barolo|barolo|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno barolo docg 6 x|it|r|??|barolo|barolo|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno barolo fossati|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno barolo fossati|it|r|??|barolo|barolo|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno barolo fossati|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno barolo fossati|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=498
W|giacomo|borgogno barolo fossati|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno barolo fossati|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno barolo fossati|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=501
W|giacomo|borgogno barolo fossati|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=501
W|giacomo|borgogno barolo fossati|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno barolo fossati|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=504
W|giacomo|borgogno barolo fossati|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=504
W|giacomo|borgogno barolo fossati docg 6 x|it|r|??|barolo|barolo|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno barolo liste|it|r|??|barolo|barolo|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno barolo liste|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno barolo liste|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=509
W|giacomo|borgogno barolo liste|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=509
W|giacomo|borgogno barolo liste|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=509
W|giacomo|borgogno barolo liste|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno barolo liste|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno barolo liste|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=514
W|giacomo|borgogno barolo liste docg 6 x|it|r|??|barolo|barolo|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno barolo piedmont italy|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno barolo riserva|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno barolo riserva|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=518
W|giacomo|borgogno barolo riserva|it|r|??|barolo|barolo|1958|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno barolo riserva|it|r|??|barolo|barolo|1964|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno barolo riserva|it|r|??|barolo|barolo|1964|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=521
W|giacomo|borgogno barolo riserva|it|r|??|barolo|barolo|1964|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=521
W|giacomo|borgogno barolo riserva|it|r|??|barolo|barolo|1967|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno barolo riserva|it|r|??|barolo|barolo|1968|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno barolo riserva|it|r|??|barolo|barolo|1968|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=525
W|giacomo|borgogno barolo riserva|it|r|??|barolo|barolo|1971|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno barolo riserva|it|r|??|barolo|barolo|1978|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno barolo riserva|it|r|??|barolo|barolo|1982|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno barolo riserva|it|r|??|barolo|barolo|1982|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=529
W|giacomo|borgogno barolo riserva|it|r|??|barolo|barolo|1988|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno barolo riserva|it|r|??|barolo|barolo|1997|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno barolo riserva|it|r|??|barolo|barolo|1997|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=532
W|giacomo|borgogno barolo riserva|it|r|??|barolo|barolo|2005|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno barolo riserva|it|r|??|barolo|barolo|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno barolo riserva|it|r|??|barolo|barolo|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno barolo riserva|it|r|??|barolo|barolo|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno barolo riserva|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno barolo riserva|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno barolo riserva|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=539
W|giacomo|borgogno barolo riserva|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=539
W|giacomo|borgogno barolo riserva double 378 liter|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno cannubi barolo|it|r|??|barolo|barolo|2011|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno chinato|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno derthona|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno derthona colli tortonesi timorasso doc 6 x|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno derthona timorasso|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno derthona timorasso dei colli tortonesi|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno derthona timorasso scaldapulce|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno derthona timorasso scaldapulce|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=549
W|giacomo|borgogno derthona timorasso scaldapulce|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=549
W|giacomo|borgogno dolcetto dalba|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|giacomo|borgogno dolcetto dalba|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|giacomo|borgogno et figli barolo riserva|it|r|??|barolo|barolo|1952|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno et figli barolo riserva|it|r|??|barolo|barolo|1970|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno et figli barolo riserva|it|r|??|barolo|barolo|1982|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno figli barolo|it|r|??|barolo|barolo|1982|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno figli barolo riserva|it|r|??|barolo|barolo|2000|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno figli barolo fossati|it|r|??|barolo|barolo|2011|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno figli barolo fossati|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno figli dolcetto dalba|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|giacomo|borgogno figli barbaresco docg 1|it|r|??|barbaresco|barbaresco|1998|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno figli barbera dalba|??|r|barbera|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno figli barbera dalba|??|r|barbera|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=563
W|giacomo|borgogno figli barolo|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno figli barolo classico riserva docg|it|r|??|barolo|barolo|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno figli barolo riserva|it|r|??|barolo|barolo|1989|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno figli barolo riserva docg|it|r|??|barolo|barolo|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno figli barolo riserva docg|it|r|??|barolo|barolo|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=568
W|giacomo|borgogno figli barolo teorie|it|r|??|barolo|barolo|2006|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno figli bartome nebbiolo langhe|it|r|nebbiolo|langhe|langhe|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno figli cannubi barolo|it|r|??|barolo|barolo|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno figli chinato nv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno figli langhe rosso nebbiolo|it|r|nebbiolo|langhe|langhe|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno figli nebbiolo riserva|??|r|nebbiolo|??|??|1968|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno figli no name nebbiolo langhe|it|r|nebbiolo|langhe|langhe|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno figli vigna liste barolo|it|r|??|barolo|barolo|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno freisa langhe|it|r|??|langhe|langhe|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno freisa langhe|it|r|??|langhe|langhe|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno langhe barbera bompe|it|r|barbera|langhe|langhe|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno langhe barbera bompe|it|r|barbera|langhe|langhe|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=580
W|giacomo|borgogno langhe barbera bompe|it|r|barbera|langhe|langhe|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=580
W|giacomo|borgogno langhe bartome|it|r|??|langhe|langhe|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno langhe bartome|it|r|??|langhe|langhe|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno langhe bartome|it|r|??|langhe|langhe|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=584
W|giacomo|borgogno langhe dolcetto ancum|it|r|??|langhe|langhe|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|giacomo|borgogno langhe dolcetto ancum|it|r|??|langhe|langhe|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|giacomo|borgogno langhe freisa|it|r|??|langhe|langhe|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno langhe freisa|it|r|??|langhe|langhe|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno langhe freisa|it|r|??|langhe|langhe|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=589
W|giacomo|borgogno langhe freisa doc 6 x|it|r|??|langhe|langhe|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno langhe nebbiolo|it|r|nebbiolo|langhe|langhe|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno langhe nebbiolo doc 6 x|it|r|nebbiolo|langhe|langhe|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno langhe nebbiolo no name|it|r|nebbiolo|langhe|langhe|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno langhe nebbiolo no name|it|r|nebbiolo|langhe|langhe|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno langhe nebbiolo no name|it|r|nebbiolo|langhe|langhe|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=595
W|giacomo|borgogno langhe nebbiolo no name|it|r|nebbiolo|langhe|langhe|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=595
W|giacomo|borgogno langhe nebbiolo no name|it|r|nebbiolo|langhe|langhe|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=595
W|giacomo|borgogno le teorie la curva della vita barolo docg 6 x|it|r|??|barolo|barolo|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno nebbiolo langhe no name|it|r|nebbiolo|langhe|langhe|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno nebbiolo no name etichetta di protesta langhe|it|r|nebbiolo|langhe|langhe|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno no name langhe nebbiolo|it|r|nebbiolo|langhe|langhe|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno no name langhe nebbiolo doc 6 x|it|r|nebbiolo|langhe|langhe|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno no name langhe nebbiolo|it|r|nebbiolo|langhe|langhe|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno riesling era ora|??|w|riesling|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giacomo|borgogno riesling era ora|??|w|riesling|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=605
W|giacomo|borgogno riesling era ora|??|w|riesling|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=605
W|giacomo|borgogno riesling era ora langhe|it|w|riesling|langhe|langhe|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giacomo|borgogno riesling era ora langhe|it|w|riesling|langhe|langhe|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco|=608
W|giacomo|borgogno timorasso derthona colli tortonesi|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|borgogno timorasso derthona colli tortonesi|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=610
W|giacomo|boveri derthona doc timorasso munta le ruma|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|boveri derthona lacrime del bricco|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|boveri piccolo derthona timorasso|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|boveri piccolo derthona timorasso|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|boveri piccolo derthona timorasso|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|braida bologna brachetto d acqui|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|braida bologna montebr 21 750|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|brezza barolo sarmassa nebbiolo|it|r|nebbiolo|barolo|barolo|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=620
W|giacomo|conterno|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=620
W|giacomo|conterno barolo reserve|it|r|??|barolo|barolo|1958|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo reserve|it|r|??|barolo|barolo|1958|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=623
W|giacomo|conterno barolo riserva|it|r|??|barolo|barolo|1958|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo riserva monfortino|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo riserva monfortino 15 liter|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo arione|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barolo cerretta|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno arione barolo|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno arione barolo|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno arione barolo mg|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno arione barolo|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno arione barolo dbmg|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno arione barolo mg|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno arione barolo|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno arione barolo dbmg|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno arione barolo mg|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno arione barolo|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno arione barolo docg italy|it|r|??|barolo|barolo|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno arione barolo docg italy|it|r|??|barolo|barolo|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=640
W|giacomo|conterno arione barolo docg italy|it|r|??|barolo|barolo|2021|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno arione barolo docg italy|it|r|??|barolo|barolo|2021|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=642
W|giacomo|conterno arione barolo docg italy|it|r|??|barolo|barolo|2021|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=642
W|giacomo|conterno arione nebbiolo dalba|??|r|nebbiolo|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno arione nebbiolo dalba|??|r|nebbiolo|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno arione nebbiolo dalba|??|r|nebbiolo|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barbaresco|it|r|??|barbaresco|barbaresco|1965|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barbaresco riserva|it|r|??|barbaresco|barbaresco|1955|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barbera cascina francia|??|r|barbera|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barbera dalba cascina francia|??|r|barbera|??|??|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barbera dalba cascina francia|??|r|barbera|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno barbera dalba cascina francia|??|r|barbera|??|??|2011|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
