W|vinho|tinto franca ferraton las tournee|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto finis terrae cousinomacul|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=427
W|vinho|tinto fincher co show of hands 2020 malborough nova zelandia|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fincafella cala rey tempranillosyrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto finca valpiedra reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto finca torrea doc rioja|es|r|??|rioja|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto finca terranostra malbec 2023|??|r|malbec|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto finca suarez semillon|??|r|semillon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto finca rivadavia malbec varietal|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto finca rivadavia malbec reserva|??|r|malbec|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto finca rivadavia malbec gran reserva|??|r|malbec|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto finca rivadavia bonarda reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto finca premiada cabernet sauvignon 2022|??|r|cabernet sauvignon|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto finca negra gran reserva carmenere 2017|??|r|carmenere|??|??|2017|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto finca negra gran reserva carmenere 2017|??|r|carmenere|??|??|2017|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??|=440
W|vinho|tinto finca munoz artero|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto finca las moras malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto finca las moras cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto finca la daniela malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto finca la daniela cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto finca la celia terrunos paraje altamira|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto finca la celia terrunos paraje altamira|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=447
W|vinho|tinto finca la celia terrunos la consulta|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto finca la celia terrunos la consulta|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=449
W|vinho|tinto finca la celia terrunos eugenio bustos|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto finca la celia terrunos eugenio bustos|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=451
W|vinho|tinto finca la anita petit verdot|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto finca el rubio doca 2017|??|r|??|??|??|2017|13.5|doca|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto finca el origen phi single vineyard 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto finca el origen andes blend 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto finca amadeo gran reserva cabernet franc 2021|??|r|cabernet franc|??|??|2021|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto finca agostino uma wine bar malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto finca agostino uma wine bar malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=458
W|vinho|tinto finca agostino uma parcels malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto finca agostino uma parcels malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=460
W|vinho|tinto finca agostino uma parcels cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto finca agostino uma parcels cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=462
W|vinho|tinto finca agostina uma winemaker blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto finca agostina uma winemaker blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=464
W|vinho|tinto fin del mundo reserva malbec 2019|??|r|malbec|??|??|2019|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fin del mundo malbec 2018|??|r|malbec|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fin del mundo grand reserve blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto filipa pato nossa calcario doc 2016|??|r|??|??|??|2016|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fief du marquis bordeaux|fr|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fidelitas corte i terrasul|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fichimori salento tormaresca|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto feuerheerds anchor doc douro|pt|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto feuerheerds|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto feudo maccari nere 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto feudi di san gregorio taurasi|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto feudi di san gregorio lacryma christi del vesuvio|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto festivo malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto ferro da ferradosa 2021 douro|pt|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto ferrione barbera dalba 2021|??|r|barbera|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto ferreirinha papa figos|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto ferreira e claro samarra 2021 ivv portugal|pt|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto ferreira e claro fonte fria 2021 alentejo|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto ferraton crozes hermitage la mantiniere 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto ferraton cotes du rhone samorens 2019|fr|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto ferradosa vinhas velhas 2018 douro|pt|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fernao magalhaes|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto felitche syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto felitche pinot sweet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|doce
W|vinho|tinto felitche merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto felitche malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto felitche cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto felino red blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto felino malbec 2022|??|r|malbec|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto felino cabernet sauvignon 2021|??|r|cabernet sauvignon|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto felgueiras vinhao|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto felgaria faugeres aop 2015|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto feixa negra do seleccio especial|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto federici roma collezione oro 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fedelho vinhao|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
X
W|vinho|tinto fausto violette suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fausto violette suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=502
W|vinho|tinto fausto tannat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fausto merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fausto cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto faustino vii garnacha 2023|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto faustino rivero ulecia tempranillo|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto faustino rivero ulecia cabernet sauvignon 2020|??|r|cabernet sauvignon|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto faustino rioja crianza|es|r|??|rioja|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fattoria le pupille saffredi 2014 toscana|it|r|??|??|??|2014|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fat bastard syrah igp pays doc|??|r|syrah|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fat bastard pinot noir igp pays doc|??|r|pinot noir|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fat bastard merlot igp pays doc|??|r|merlot|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fat bastard merlot igp pays doc|??|r|merlot|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??|=514
W|vinho|tinto fat bastard cabernet sauvignon igp pays doc|??|r|cabernet sauvignon|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fat bastard cabernet sauvignon igp pays doc|??|r|cabernet sauvignon|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??|=516
W|vinho|tinto fat baron touriga nacional|??|r|touriga|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fat baron shiraz|??|r|shiraz|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fat baron red blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fat baron grande reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fartote|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto faro cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto family vintage merlot tres palacios|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto family vintage merlot tres palacios|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=524
W|vinho|tinto family vintage merlot tres palacios|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=524
W|vinho|tinto family vintage carmenere tres palacios|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto family vintage carmenere tres palacios|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=527
W|vinho|tinto family vintage carmenere tres palacios|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=527
W|vinho|tinto family vintage cabernet sauvignon tres palacios|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto family vintage cabernet sauvignon tres palacios|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=530
W|vinho|tinto family vintage cabernet sauvignon tres palacios|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=530
W|vinho|tinto famille baldes malbec du clos cahors|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto famille baldes chapelle du clos malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto familia viu reserva merlot|??|r|merlot|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto familia viu reserva merlot|??|r|merlot|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=535
W|vinho|tinto familia torres salmos|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto familia schroeder saurus pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto familia schroeder saurus malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto familia margaca touriga nacional|??|r|touriga|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto familia margaca talhao 02 sousao|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto familia margaca talhao 01 touriga nacional|??|r|touriga|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto familia margaca reserva garrafa magnum 1|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto familia margaca reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto familia margaca cabernet sauvigon|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto familia gascon tempranillo|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto familia gascon tempranillo|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=546
W|vinho|tinto familia gascon syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto familia gascon syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=548
W|vinho|tinto familia gascon malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto familia gascon malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=550
W|vinho|tinto familia gascon cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto familia gascon cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=552
W|vinho|tinto familia gascon cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=552
W|vinho|tinto familia gascon cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=552
W|vinho|tinto familia deicas preludio|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto familia deicas preludio|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=556
W|vinho|tinto familia deicas preludio|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=556
W|vinho|tinto familia deicas massimo tannat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto familia brito tannat 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto familia brito merlot 2020|??|r|merlot|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto familia brito corcovado malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto familia brito corcovado malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=562
W|vinho|tinto familia blend caballo dorado|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto familia blend caballo dorado|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=564
W|vinho|tinto familia blanco pampa del sebo reserva malbec 2020|??|r|malbec|??|??|2020|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto familia blanco pampa del sebo malbec reserva 2020|??|r|malbec|??|??|2020|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto familia blanco pampa del sebo malbec gran reserva 2020|??|r|malbec|??|??|2020|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto familia blanco pampa del sebo malbec 2024|??|r|malbec|??|??|2024|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto familia blanco pampa del sebo malbec 2021|??|r|malbec|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto familia blanco pampa del sebo gran reserva malbec|??|r|malbec|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto familia bebber reserva touriga nacional bebber|??|r|touriga|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto familia bebber reserva marselan bebber|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto familia bebber reserva malbec bebber|??|r|malbec|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto familia bebber reserva cabernet franc bebber|??|r|cabernet franc|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto familia bebber bah tannat e touriga|??|r|touriga|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto familia bebber almejo tannat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto familia bebber almejo tannat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=577
W|vinho|tinto famiglia ricciadoro sangiovese puglia|??|r|sangiovese|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto falua tamara|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto falua conde vimioso vinha do convento|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto falua conde vimioso sommelier edition brasil|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto falua conde vimioso sommelier edition|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto falua conde vimioso sommelier edition|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=583
W|vinho|tinto falua conde vimioso reserva 2020|??|r|??|??|??|2020|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto falua conde vimioso reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto falua conde vimioso colheita selecionada|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto falcoaria|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fagote reserva douro|pt|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fagote reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fagote garrafa magnum 1|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto faces lidio carraro|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto faces do brasil lidio carraro merlot 2023|??|r|merlot|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fabrice dodane ploussard le dos d chat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fabrice dodane du quin quin le dos d chat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto ezimit plavac mali 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto extreme vineyard suelo invertido|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto extreme vineyard suelo invertido|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=597
W|vinho|tinto extreme vineyard suelo invert|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto extreme vineyard suelo invert|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=599
W|vinho|tinto extase de bacchus gamay magnum 2018|??|r|gamay|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto explicit rosa santos|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto excava carmenere 2022|??|r|carmenere|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto ex arena brigitte chevalier pays doc 2020|??|r|??|??|??|2020|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto evidencia reserva touriga nacional magnum 2021 1 doc dao|??|r|touriga|??|??|2021|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto evidencia reserva 2021 dao|??|r|??|??|??|2021|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto evidencia colheita 2021 doc dao|??|r|??|??|??|2021|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto evel reserva 2020 douro|pt|r|??|??|??|2020|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto evel reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto evel 2021 douro|pt|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto evel 0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto evel|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto evel|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=612
W|vinho|tinto eureka wines malbec 2021|??|r|malbec|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto eureka wines blend 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto eulila by vina vik|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto eugenio de almeida seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto eugen muller spatburbunder hf|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto eua sutter home zinfandel|??|r|zinfandel|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto eua sutter home pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto eua sutter home merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto eua sutter home cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto eua columbia crest grand states syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto eua columbia crest grand states merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto eua columbia crest grand states cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto etna rosso venturoserughetti doc 2022|??|r|??|??|??|2022|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto etna rosso 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto etna monteleone|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto etc 0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto estremus jp ramos 2019 alentejo|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto estremus|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto estola roble tempranillo vendimia nocturna|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto esteva douro|pt|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto esteva douro|pt|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=633
W|vinho|tinto esteva casa ferreirinha|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto esteva 2023 douro|pt|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto esteva 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto esteva 0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto esteva|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto esteva|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=639
W|vinho|tinto esteva|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=639
W|vinho|tinto esteban martin red blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto esteban martin red blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=642
W|vinho|tinto esteban martin garnachasyrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto estate pinot noircabernet sauvignon 2023|??|r|pinot noir|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto estate carmenere de martino|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
