W|gozenshu|9nine the final|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graca|da pedra alvarinho by quinta da pedra|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graca|da pedra alvarinho|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graca|da pedra alvarinho branco|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graca|da pedra alvarinho branco|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graca|da pedra alvarinho branco|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=468
W|graca|da pedra alvarinho branco 1|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graca|da pedra alvarinho quinta da pedra|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graca|da pedra vinho branco|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graca|da pedra vinho verde alvarinho bw c6|pt|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|graca|rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|graca|rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=474
W|graca|white|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|graca|white|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=476
W|gracce|gracce|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gracciano|della seta rosso di montepulciano|it|r|montepulciano|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gracciano|della seta rosso di montepulciano|it|r|montepulciano|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gracciano|della seta rosso di montepulciano|it|r|montepulciano|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gracciano|della seta rosso di montepulciano|it|r|montepulciano|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=481
W|gracciano|rosso di montepulcia|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gracciano|rosso di montepulciano|it|r|montepulciano|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gracciano|vino nobile|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|grace|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|060725|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|grace|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|grace|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|signoraginni|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|anhydrous winery avantis|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|5|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|580 2 rona|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|akeno|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|akeno|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|akeno|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=495
W|grace|aloe vera drink 15 liter|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|blanc de blancs late disgorged|??|s|??|??|??|2016|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|grace|by three graces|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|by three graces distilling|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|chips banana|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|chips green plantain|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|chips sweet plantain|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|grace|ciao x kibo collection|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|ciao x kibo collectionsydney|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|cuvee misawa blanc|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grace|cuvee misawa blanc|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grace|cuvee misawa blanc|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=507
W|grace|cuvee misawa blanc chardonnay|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grace|distilled|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|euro sham white 65x65|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grace|extra brut|??|s|??|??|??|2011|12|??|leve|aperitivos, frutos do mar, canapes|extra brut
W|grace|family blank cabernet sauvignon|??|r|cabernet sauvignon|??|??|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|family blank cabernet napa|us|r|??|california|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|family blank single vineyard rutherford napa valley cabernet sauvignon|us|r|cabernet sauvignon|california|napa valley|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|family cab sauv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|family cabernet|??|r|??|??|??|2011|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|family cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|family cabernet sauvignon|??|r|cabernet sauvignon|??|??|1985|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|family cabernet sauvignon|??|r|cabernet sauvignon|??|??|1994|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|family cabernet sauvignon|??|r|cabernet sauvignon|??|??|2000|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|family cabernet sauvignon|??|r|cabernet sauvignon|??|??|2002|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|family cabernet sauvignon|??|r|cabernet sauvignon|??|??|2005|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|family cabernet sauvignon|??|r|cabernet sauvignon|??|??|2006|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|family cabernet sauvignon|??|r|cabernet sauvignon|??|??|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|family cabernet sauvignon|??|r|cabernet sauvignon|??|??|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|family cabernet sauvignon|??|r|cabernet sauvignon|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|family cabernet sauvignon|??|r|cabernet sauvignon|??|??|2011|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|family cabernet sauvignon|??|r|cabernet sauvignon|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|family cabernet sauvignon|??|r|cabernet sauvignon|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|family cabernet sauvignon|??|r|cabernet sauvignon|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|family cabernet sauvignon|??|r|cabernet sauvignon|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|family cabernet sauvignon|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|family cabernet sauvignon blank|??|r|cabernet sauvignon|??|??|2004|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|family cabernet sauvignon blank|??|r|cabernet sauvignon|??|??|2005|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|family cabernet sauvignon blank|??|r|cabernet sauvignon|??|??|2006|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|family cabernet sauvignon blank|??|r|cabernet sauvignon|??|??|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|family cabernet sauvignon blank|??|r|cabernet sauvignon|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|family cabernet sauvignon blank|??|r|cabernet sauvignon|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|family cabernet sauvignon cornelius grove|??|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|family cabernet sauvignon cornelius grove|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|family cabernet sauvignon cornelius grove|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|family cabernet sauvignon napa valley|us|r|cabernet sauvignon|california|napa valley|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|family cornelius grove cabernet sauvignon|??|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|family vineyards blank vineyard cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|family vineyards blank vineyard cabernet sauvignon|??|r|cabernet sauvignon|??|??|2002|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|family vineyards cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|family vineyards cabernet sauvignon napa 375|us|r|cabernet sauvignon|california|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|family vineyards cornelius grove vineyard cabernet sauvignon st helena usa|us|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|family vineyards napa valley|us|r|??|california|napa valley|2002|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|family vineyards napa valley|us|r|??|california|napa valley|2006|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|family vineyards napa valley|us|r|??|california|napa valley|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|family vineyards napa valley|us|r|??|california|napa valley|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|family vineyards reliquus cabernet sauvignon st helena usa|us|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|favour|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|favour|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=555
W|grace|funeral stand|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|grandeur|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|gris de koshu|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|hot jamaican jerk seasoning|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|icon by three graces distilling|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|in bloom table flowers|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|kayagatake koshu|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|kelly|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|keten yelek|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|koshu|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|koshu|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=566
W|grace|koshu hishijama private reserve|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|koshu hishiyama vineyard|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|koshu kayagatake|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|koshu kayagatake yamanashi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|koshu misawa vineyard|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|koshu misawa vineyard|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=572
W|grace|koshu private reserve yamanashi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|koshu toriibira vineyard pr|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|koshu toriibira vineyard private reserve|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|lane riesling columbia valley|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grace|men white rose leather watch|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|grace|mini dress plum|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|mini dress sapphire|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|of daises|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|omalley dark char cask|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|omalley dark char cask 43|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|omalley dark char cask limited edition|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
W|grace|omalley independence|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|omalley independence|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=586
W|grace|omalley independence|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=586
W|grace|omalley independence 40|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|omalley independence 40 07|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|omalley independence blended|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|omalley maritime cask|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|omalley maritime cask 40|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|omalley single malt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|patties curry chicken|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|patties mild beef|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|premium|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|rose|??|p|??|??|??|2023|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|grace|rose|??|p|??|??|??|2023|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=598
W|grace|savour|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|seasoning jamaican jerk mild|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|serena extra brut|??|s|??|??|??|2019|12|??|leve|aperitivos, frutos do mar, canapes|extra brut
W|grace|shugoro|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|slave to love vdt dosaggio zero posapiano|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|sleepwear white|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grace|sparkling wine|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|grace|syrah viognier red|??|w|syrah|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grace|touriga franca red|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|touriga nacional|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|town margaret river chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grace|tray|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|under pressure blanc de blanc nv|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grace|under pressure blanc de blancs nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|grace|under pressure methode traditionelle|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|under pressure methode traditionelle|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|vineyard angelina sparkling reserve|??|s|??|??|??|2014|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|grace|vineyard chairmans reserve|??|r|??|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|vineyard chairmans reserve|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|vineyard chairmans reserve bordeaux blend|fr|r|??|bordeaux|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|vineyard deep blue|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|vineyard deep blue|??|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|vineyard deep blue|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|vineyard deep blue|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|vineyard red|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|vineyard sonata series|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|vineyard sonata series|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=625
W|grace|vineyard tasyas reserve aglianico|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|vineyard tasyas reserve aglianico|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=627
W|grace|vineyard tasyas reserve cabernet sauvignon|??|r|cabernet sauvignon|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|vineyard tasyas reserve cabernet sauvignon|??|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|vineyard tasyas reserve cabernet sauvignon|??|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=630
W|grace|vineyard tasyas reserve chardonnay|??|w|chardonnay|??|??|2016|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grace|vineyard tasyas reserve marselan|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|vineyard tasyas reserve marselan|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=633
W|grace|vineyard tasyas reserve marselan|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|vineyards chairmans reserve|??|r|??|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|vineyards deep blue|??|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|vineyards tasyas reserve cabernet sauvignon|??|r|cabernet sauvignon|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|vineyards tasyas reserve chardonnay|??|w|chardonnay|??|??|2016|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grace|viognier white|??|w|viognier|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grace|white pinot new release|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grace|wine akeno|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|wine akeno|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|wine akeno|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=643
W|grace|wine akeno|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=643
W|grace|wine blanc de blancs latedisgorged|??|s|??|??|??|2015|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|grace|wine cabernet franc|??|r|cabernet franc|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|wine cabernet franc|??|r|cabernet franc|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|wine cabernet franc|??|r|cabernet franc|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=648
W|grace|wine cabernet franc|??|r|cabernet franc|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=648
W|grace|wine cabernet franc|??|r|cabernet franc|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=648
W|grace|wine cuvee misawa akeno|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|wine cuvee misawa akeno koshu|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|wine cuvee misawa akeno koshu|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=653
W|grace|wine cuvee misawa rouge|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|wine cuvee misawa rouge|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=655
W|grace|wine cuvee misawa rouge|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=655
W|grace|wine cuvee misawa rouge|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=655
W|grace|wine grace koshu|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|wine grace koshu hishiyama vineyard|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|wine grace rose|??|p|??|??|??|2024|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|grace|wine gris de koshu|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|wine gris de koshu|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|wine gris de koshu|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=663
W|grace|wine gris de koshu|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|wine gris de koshu|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=665
W|grace|wine gris de koshu|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=665
W|grace|wine gris de koshu|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|wine gris de koshu|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=668
W|grace|wine gris de koshu|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=668
W|grace|wine gris de koshu|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=668
W|grace|wine hishiyama koshu|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|wine hishiyama vineyard koshu|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|wine kayagatake koshu|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|wine kayagatake koshu|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|wine kayagatake koshu|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=675
W|grace|wine koshu|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|wine koshu|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=677
W|grace|wine koshu|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=677
W|grace|wine koshu|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=677
W|grace|wine koshu hishiyama vineyard|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|wine koshu hishiyama vineyard|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=681
W|grace|wine koshu kayagatake|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|wine koshu kayagatake|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|wine koshu toriibira private reserve|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|wine koshu toriibira vineyard private reserve|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|wine koshu toriibira vineyard private reserve|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=686
W|grace|wine koshu toriibira vineyard private reserve|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=686
W|grace|wine rose|??|p|??|??|??|2023|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|grace|wine rose|??|p|??|??|??|2023|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=689
W|grace|wine rose|??|p|??|??|??|2023|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=689
W|grace|wine serena extra brut|??|s|??|??|??|2019|12|??|leve|aperitivos, frutos do mar, canapes|extra brut
W|grace|wine serena extra brut|??|s|??|??|??|2019|12|??|leve|aperitivos, frutos do mar, canapes|extra brut|=692
W|grace|wine shugoro|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grace|wine shugoro fortified wine muscat bailey a koshu blend|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
