1. W|casio reloj|mtp1215a2adf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
449. W|cask strength batch|10 586|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
450. W|cask strength batch|11 598|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
451. W|cask strength batch ii|606 2017|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
452. W|cask strength emmer edition|2 finch|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
453. W|cask strength peated cask|finish|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
454. W|cask strength single malt machrie|moore|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
455. W|c|c|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=332
456. X
457. W|casket|spray|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
458. W|casket|spray|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=457
459. W|casket spray coffin top|flower|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
460. W|caskhound aultmore 14yo|20092023 303697 562|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
461. W|caskhound secret speyside 14yo|20092023 560|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
462. W|caskhound secret speyside 15yo|20072023 546|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
463. W|caskmagic|finish|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
464. W|casks of distinction discover the most distinctive liquids in our portfolio selected by master blenders explore|collection|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
465. W|casky bunnahabhain|31 year old 1991 5th anniversary cask 5400|??|r|??|??|??|1991|13.5|??|medio|carne vermelha, massas, queijos curados|seco
466. X
467. W|casky clynelish|28 year old 1996 for casky kanpaikai cask 11444|??|r|??|??|??|1996|13.5|??|medio|carne vermelha, massas, queijos curados|seco
468. W|casky imperial|27 year old 1998 the taste of friendship with bar parkmore cask 102468|??|r|??|??|??|1998|13.5|??|medio|carne vermelha, massas, queijos curados|seco
469. W|casky imperial 27yo|19982025 102468 482|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
470. W|casky irish cooley|32 year old 1991 caskys finest selection cask 845|??|r|??|??|??|1991|13.5|??|medio|carne vermelha, massas, queijos curados|seco
471. W|casky islay bowmore|36 year old 1985 joint bottling with the antelope cask 10|??|r|??|??|??|1985|13.5|??|medio|carne vermelha, massas, queijos curados|seco
472. W|casky kanpaikai clynelish 28yo|19962025 finest selection 499|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
473. X
474. W|casky littlemill 33yo|19892023 finest selection 502|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
475. X
476. X
477. W|casky|old pulteney 25 year old 2000 cask 100239|??|r|??|??|??|2000|13.5|??|medio|carne vermelha, massas, queijos curados|seco
478. W|casky pulteney 25yo|20002025 finest selection 100239 539|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
479. W|casky speyside m|30 year old 1993 7th anniversary bottling|??|r|??|??|??|1993|13.5|??|medio|carne vermelha, massas, queijos curados|seco
480. W|casky speysidem 30yo|19932024 7th anniversary finest selection 497|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
481. W|casky the antelope cask le sens smogen 12yo|20132025 52 1st fill px sherry hogshead 583 wn89|??|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
482. W|caslte lite|lanyard|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
483. W|casnastas|navidenas|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
484. W|casnastas para regalos|navidenos|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
485. W|casnatillas com arcones en|xochimilco|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
486. W|caso falstaff wineexclusive vinkleskab|126|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
487. W|caso falstaff wineexclusive vinkleskab|180|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
488. W|caso falstaff wineexclusive vinkleskab|24|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
489. W|caso falstaff wineexclusive vinkleskab|38|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
490. W|caso falstaff wineexclusive vinkleskab|66|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
491. W|caso isterning maskine|cs3305|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
492. W|caso re capra del|cilento|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
493. W|caso santos limas csl|chardonnay lisboa branco 2017|pt|w|chardonnay|lisboa|??|2017|12.5|??|leve|frutos do mar, peixes, saladas|seco
494. W|caso sj200 slow|juicer|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
495. W|caso unico|tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
496. W|caso vakuum rulle|40 cm professionel|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
497. W|caso varm lufts|friture|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
498. W|caso winecase|6 cs606 1 zone 6 flasker|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
499. W|caso winesafe|12 cs622 1 zone 12 flasker|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
500. W|casolare|rosso montepulciano sangiovese|??|r|sangiovese, montepulciano|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
501. W|casolare scamorza|bianca|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
502. W|cason brusa|brut prosecco spumante doc ca vescovado|it|s|??|??|??|NV|12|doc|leve|aperitivos, frutos do mar, sushi|brut
503. W|cason brusa|cabernet franc|us|r|cabernet franc|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
504. W|cason brusa|pinot grigio|us|w|pinot grigio|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
505. W|cason brusa|pinot grigio doc ca vescovado|us|w|pinot grigio|??|??|NV|12.5|doc|leve|frutos do mar, peixes, saladas|seco
506. W|cason brusa|prosecco spumante doc extra dry ca vescovado|it|s|??|??|??|NV|12|doc|leve|aperitivos, frutos do mar, sushi|brut
507. W|cason brusa|rose prosecco spumante doc ca vescovado|it|p|??|??|??|NV|12.5|doc|leve|saladas, aves, queijos leves|seco
508. W|cason hirschbrunn bianco|bio|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
509. W|cason hirschbrunn|rosso bio|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
510. W|cason hirschprunn bianco vignetti delle dolomiti|igt 2021|??|r|??|??|??|2021|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
511. W|casona|lopez|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
512. W|casona lopez|cabernet sauvignon 2020|??|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
513. W|casona lopez|malbec 2021|??|r|malbec|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
514. W|casona lopez|malbec bodega lopez|??|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
515. W|casona micaela vino|blanco vt costa de cantabria|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
516. W|casoncelli|bergamaschi|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
517. W|casoni|1814 aperitivo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
518. W|casoni|1814 aperitivo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=517
519. W|casoni|1814 aperitivo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=517
520. S
521. S
522. S
523. S
524. W|casoni|1814 bitter|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
525. W|casoni|1814 bitter|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=524
526. W|casoni|1814 bitter|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=524
527. W|casoni|1814 il bitter|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
528. W|casoni|1814 vermouth|??|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
529. W|casoni alamea|pimento|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
530. W|casoni alamea|spiced|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
531. W|casoni|anicione|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
532. W|casoni|aperitivo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
533. W|casoni aperitivo|1814|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
534. W|casoni aperitivo|rosso italiano|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
535. W|casoni bitter|1814|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
536. W|casoni bitter del|ciclista|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
537. W|casoni caffe|anice|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
538. W|casoni gibson|amarotto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
539. W|casoni gibson figs|cherries|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
540. W|casoni gibson wild|berries|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
541. W|casoni giuseppe liquirizia|amara|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
542. W|casoni il bitter|1814|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
543. W|casoni l aperitivo|1814|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
544. W|casoni|lemoncello|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
545. W|casoni nocino|heritage|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
546. W|casoni the gibson edition amarotto cl|50|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
547. W|casoni the gibson edition figs and cherries cl|50|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
548. W|casoni the gibson edition wild berries cl|50|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
549. W|casoni tomaso agnini balsamico di modena|vermouth|??|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
550. W|casoni tomaso agnini balsamico di modena|vermouth|??|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce|=549
551. W|casoni tomaso agnini vermouth di modena|rosso|??|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
552. W|casoni vermouth aceto|balsamico|??|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
553. W|casoni vermouth mallo di|noce|??|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
554. W|casorzo malvasia dasti dolce|doc brigantino 2023 accornero|??|r|??|??|??|2023|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
555. W|casorzo malvasia dasti dolce|doc brigantino 2023 accornero|??|r|??|??|??|2023|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=554
556. W|casorzo malvasia dasti dolce|doc brigantino 2023 accornero|??|r|??|??|??|2023|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=554
557. W|casorzo malvasia dasti dolce|doc brigantino 2023 accornero|??|r|??|??|??|2023|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=554
558. W|casot|1996 barbaresco riserva|it|r|??|??|??|1996|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
559. W|casot des mailloles alain castex|blanc du casot 2014|??|r|??|??|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco
560. W|casot des mailloles|blanc du casot 16|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
561. W|casot des mailloles el nino|2018|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
562. W|casot des mailloles el nino|2018|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=561
563. W|casot des mailloles jordi perez comax ethylix|2016|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
564. W|casot des mailloles jordi perez roc|blanc 2016|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
565. W|casot des mailloles jordi perez soula|2018|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
566. W|casot des mailloles vdf el nino|2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
567. W|casot des mailloles vdf soula|2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
568. W|casot freisa dasti|doc superiore 2018|??|r|??|??|??|2018|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
569. W|casotto del merlo recioto della|valpolicella|??|d|??|??|??|NV|10|??|encorpado|sobremesas, queijos azuis, foie gras|doce
570. W|caspagnolo chianti colli senesi|docg|it|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
571. W|caspagnolo chianti colli senesi|docg 2022|it|r|??|??|??|2022|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
572. W|caspagnolo chianti colli senesi|docg 2024|it|r|??|??|??|2024|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
573. W|caspar|2018|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
574. W|caspar|2018|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=573
575. W|caspar r|riesling 2023|??|w|riesling|??|??|2023|12.5|??|leve|frutos do mar, peixes, saladas|seco
576. W|caspari coaster|set black faux snakeskin round|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
577. W|caspari coaster|set cream canvas round|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
578. W|caspari coaster|set crimson faux snakeskin round|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
579. W|caspari coaster|set ivory faux snakeskin round|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
580. W|caspari coaster|set purple canvas round|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
581. W|caspari coaster|set teal faux snakeskin round|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
582. W|caspari cocktail napkin holder clear|acrylic|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
583. W|caspari|gift bag birthday confetti 625575in|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
584. W|caspari|gift bag striped patchwork bottle bag|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
585. W|caspari|gift bag vintages bottle bag|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
586. W|caspari halloween cocktail napkin booz|ghost|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
587. W|caspari halloween cocktail napkin|parade|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
588. W|caspari halloween cocktail napkin|skullbones|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
589. W|caspari napkins annika ivory gold dinner|paper|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
590. W|caspari napkins annika ivory gold lunch|3ply|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
591. W|caspari napkins annika|red dinner paper|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
592. W|caspari napkins annika|red lunch 3ply paper|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
593. W|caspari napkins balloons confetti bev|nap|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
594. W|caspari napkins balloons confetti lunch|3ply|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
595. W|caspari napkins beach umbrellas lunch 3ply|paper|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
596. W|caspari napkins border silver lunch 3ply|paper|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
597. W|caspari napkins flamingos lunch|3 ply paper|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
598. W|caspari napkins modern moire black bev|nap|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
599. W|caspari napkins vintages lunch|3 ply|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
600. W|caspari tissue sheets balloons|confetti|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
601. W|caspari tissue sheets birthday confetti|brights|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
602. W|caspari tissue sheets rickrack metallic|foil|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
603. W|caspari|wine bottle coaster clear acrylic|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
604. W|casparikappel|2012 mosel enkircher ellergrub riesling spatlese feinherb alte reben|de|w|riesling|mosel|??|2012|12.5|??|leve|frutos do mar, peixes, saladas|seco
605. W|caspea|madrasa|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
606. W|casper sobczyks|special edition rabarber stjerneanis|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
607. W|casper sobczyks|special edition rabarber stjerneanis 25|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
608. W|casper sobczyks|special edition rabarber stjerneanis 25|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=607
609. W|c|c|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=332
610. W|caspian coast|cabernet|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
611. W|caspian coast|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
612. W|caspian sea yogurt starter 1g matsoni makes|1 liter yogurt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
613. W|caspreno|rosso di toscana|it|r|??|toscana|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
614. W|caspreno|vernaccia|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
615. W|caspri|ciliegolo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
616. W|caspri|rosso toscana 2017|it|r|??|toscana|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
617. W|caspri selezione vecchie vigne toscano|rosso igp|??|r|??|??|??|NV|13.5|igp|medio|carne vermelha, massas, queijos curados|seco
618. W|caspri toscana|rosso di caspri 2019|it|r|??|toscana|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
619. W|caspri vita bella toscana|rosso 2020|it|r|??|toscana|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
620. W|caspulas para nespresso reutilozable x|3 unid la cafetiere|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
621. W|caspyn midsummer cucumber and|dill|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
622. W|caspyn summer|cup|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
623. W|casque decoute terra|jphs1000|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
624. W|casqueteers clynelish 20yo|19972017 12355 558|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
625. W|casquette|black|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
626. W|casquette de baseball bio|internet|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
627. W|casquette de baseball bio penso|positivo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
628. W|casquette de baseball bio|ricordati|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
629. W|casquette du|grappiste|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
630. W|casquette snapback|arose|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
631. W|casquillos con|botana|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
632. W|casquinha de bacalhau mare cheia|320g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
633. W|casquinha de bergamota|100g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
634. W|casquinha de laranja|100g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
635. W|casquinha de limao|100g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
636. W|casquinha de peixe e siri congelada damm|6 unidades 330g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
637. W|casquinha de siri com camarao|4 unidade mare cheia 320g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
638. W|casquinha de sorvete barion kaskete com|18 unidades|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
639. W|casreli chitistvala|2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
640. W|casreli erekle|georgie|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
641. W|casreli kisi|2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
642. W|cass cold|brewed|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
643. W|cass estate grown backbone|syrah paso robles 2022|??|r|syrah|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
644. W|cass estate grown cab|cabernet sauvignon 2022|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
645. W|cass estate grown gsm|red wine 2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
646. W|cass estate grown mr|blanc 2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
647. W|cass estate grown mr|blanc 2024|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
648. W|cass estate grown|viognier 2024|??|w|viognier|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
649. W|cass fresh|6pk|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
650. W|cass paso robles|viognier|??|w|viognier|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
651. W|cass winery backbone|syrah 2017|??|r|syrah|??|??|2017|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
652. W|cassa|6 bottiglie di pinot grigio merlino 2021|??|w|pinot grigio|??|??|2021|12.5|??|leve|frutos do mar, peixes, saladas|seco
653. W|cassa|6 bottiglie di sauvignon blanc langhe doc 2020 marchesi di gresy|??|w|sauvignon blanc|??|??|2020|12.5|doc|leve|frutos do mar, peixes, saladas|seco
654. W|cassa|automatica|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
655. W|cassa barolo|selection 1 roberto voerzio|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
656. W|cassa barolo|selection 1 roberto voerzio|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=655
657. W|cassa barolo|selection 2 2019 roberto voerzio|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
658. W|cassa|branco 2019|??|w|??|??|??|2019|12.5|??|leve|frutos do mar, peixes, saladas|seco
659. W|cassa con sei vini|wine gift|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
660. W|cassa da|6 bollinger special cuvee|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
661. W|cassa degustazione il|palazzotto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
662. W|cassa di|cabernet riserva marchese di villamarina 2020|??|r|??|??|??|2020|13.5|riserva|encorpado|carne vermelha, massas, queijos curados|seco
663. W|cassa di cabraia|2019 toscana igt rosso|it|r|??|toscana|??|2019|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
664. W|cassa di|champagne rare millesime 2013 con 3 bottiglie|fr|s|??|champagne|??|2013|12|??|leve|aperitivos, frutos do mar, sushi|brut
665. W|cassa di cuvee blanche letrari trento|doc|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
666. W|cassa di el mos frizzante bio|6 bottiglie|??|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
667. W|cassa di falanghina sinuessa roccamonfina|igp 2022 villa matilde|??|r|??|??|??|2022|13.5|igp|medio|carne vermelha, massas, queijos curados|seco
668. W|cassa di santurbano|2018 amarone della valpolicella classico|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
669. W|cassa di terra di monteverro toscana|igt 2019|it|r|??|toscana|??|2019|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
670. W|cassa di valpolicella|classico superiore doc santurbano 2020 speri|??|r|??|??|??|2020|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
671. W|cassa di valpolicella ripasso|classico superiore 2021|??|r|??|??|??|2021|13.5|superiore|medio|carne vermelha, massas, queijos curados|seco
672. W|cassa|doc douro red|pt|r|??|douro|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
673. W|cassa|doc douro white|pt|w|??|douro|??|NV|12.5|doc|leve|frutos do mar, peixes, saladas|seco
674. W|cassa douro|branco portugal blanc|pt|w|??|douro|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
675. W|cassa el mos|rose bio 6 bottiglie|??|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
676. W|cassa in legno claudio cipressi|vignaiolo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
