W|landparty|rot rotwein bio halbtrocken deutschland|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancome|idole edp bl lash idole mascara ref654394|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancome|idole eau de parfum|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancome|idole eau de parfum|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=460
W|lancome|idole aura edp ref476164bot|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancome|hypnose wf edp spr|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancome|hypnose mascarabifacilkhol ref759068|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancome|hypnose homme edt h|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancome|hypnose edp spray ref235500bot|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancome|hypnose edp m|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancome|hypnose custom wear wp volume black mascara ref161825|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancome|hypnose custom wear volume black mascara ref161788|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancome|hydrazen kit wjuicytubetonique comfort ref680443|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancome|hydrazen day cream rosepeony ref158540|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lancome|hydra zen night cream ref533919|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
X
W|lancome|bif acil non oily eye cleanser duo ref5778011set|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancome|all eye need set mascaralinerbi facialgen ref648078|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancome|advanced genifique night cream|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancome|4 pcs miniatures collection ref559572|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancome|lancome|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancolie|lancolie|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lanciola|vin santo del chianti colli fiorentini|??|d|??|??|??|2010|10|??|encorpado|sobremesas; foie gras; queijos azuis|doce
W|lanciola|vin santo chianti colli fiorentini|??|d|??|??|??|2010|10|??|encorpado|sobremesas; foie gras; queijos azuis|doce
W|lanciola|vin santo chianti|??|d|??|??|??|NV|10|??|encorpado|sobremesas; foie gras; queijos azuis|doce
W|lanciola|ricciotto governo all uso toscana|it|r|??|toscana|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lanciola le|masse di greve chianti classico|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lanciola|chianti classico riserva|??|r|??|??|??|NV|13.5|riserva|medio|carnes vermelhas; massas; queijos|seco
W|lanciola|chianti classico res|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lanciola|chianti classico|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lanciola|chianti classico|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=487
W|lanciola|chianti classico|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lanciola|chianti|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lanciola|chianti|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lanciers|rouge|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancienne|mercerie les petites mains|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancienne|mercerie le champs perdus faugeres|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancienne|mercerie la guerre des boutons|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancienne|mercerie couture|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancienne|mercerie au bonheur des dames|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancienne|jam strawberry|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancienne|jam rhubarb|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancienne|jam pear vanilla|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancienne|jam fig|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancienne|jam apple pear walnut|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancien|corbieres castelmaure|fr|r|??|corbieres|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancien|corbieres castelmaure|fr|r|??|corbieres|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=503
W|lancien|beaujolais terres dorees jeanpaul brun|fr|r|??|beaujolais|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancien|beaujolais|fr|r|??|beaujolais|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancien|lancien|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancie|domaine penlois aoc lancie|??|r|??|??|??|2023|13.5|aoc|medio|carnes vermelhas; massas; queijos|seco
W|lancia|cold touch plus 1 piece|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancia|autosteam|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lanchonete|lanchonete|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lanchinho|sortido elma chips c|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lanchinho|micos 140g com 5 unid|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lanchid|konyak 07 pdd|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancheira|skip hop isolada unicorn 195862468157|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancheira|skip hop isolada raccoon 195862468256|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancheira|skip hop isolada gato 195862468171|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancheira|skip hop isolada dog 195862468454|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancheira|skip hop isolada de sorvete 195862468393|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancheira|skip hop isolada butterfly 195862468270|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancheira|skip hop isolada 195862468355|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancheira|skip hop isolada 195862468317|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancheira|skip hop isolada 195862468010|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancheira|skip hop dino isolada 195862468034|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancheira|skip hop de plastico 2 em 1|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancheira|escolar hot focu estojo termico s450di|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lanche|misto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lanche de|chourico 3un|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lanche|lanche|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancewood|double cream plain yoghurt 500g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancewood|double cream mixed berries yoghurt 500g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancewood|double cream fruit variety yoghurt 6 pack|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancewood|cultured full cream buttermilk|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lanceta|para lancetador daaz neo 100 unidades|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancestral|rose sparkling petnat|??|s|??|??|??|2022|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|lancestral|rose|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lancestral del|tros elegant natural sparkling|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|lancestral|blanc sparkling petnat|??|s|??|??|??|2022|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|lancestral|blanc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancestral|lancestral|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancers|white|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancers|semi espumoso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancers|sangria white|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancers|sangria tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancers|sangria red|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancers|sangria jose maria|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancers|rose vino rosado do portugal|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lancers|rose|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lancers|rose|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco|=548
W|lancers|rose|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco|=548
W|lancers|rose|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco|=548
W|lancers|rose|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco|=548
W|lancers|rose|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco|=548
W|lancers|rose|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco|=548
W|lancers|rosado semiespumoso|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lancers|rosado|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lancers|flag 41 years|??|r|??|??|??|1966|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancers|espumoso blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancers|espumante rose|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|lancers|espumante bruto rose|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|lancers|espumante bruto branco|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|lancers|espumante bruto branco|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco|=561
W|lancers|espumante bruto|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|lancers|branco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancers|branco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=564
W|lancers|blanco semiespumoso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancers|blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancers|lancers|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancers|lancers|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=568
W|lancer|rosado|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lancer|blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancer|lancer|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancement|20181920 cote rotie domaine stephane ogier|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancelotroyer|grand cru cuvee des chevaliers blanc de blancs brut nature|??|s|??|??|??|NV|12|grand cru|leve|aperitivos; frutos do mar; canapes|brut nature
W|lancelotroyer|grand cru blanc de blancs cuvee dualissime extra brut|??|s|??|??|??|NV|12|grand cru|leve|aperitivos; frutos do mar; canapes|extra brut
W|lancelotroyer|grand cru blanc de blancs brut cuvee milessime|??|s|??|??|??|2018|12|grand cru|leve|aperitivos; frutos do mar; canapes|brut
W|lancelotroyer|cuvee reserve rr blanc de blancs brut|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|lancelotroyer|cuvee reserve rr blanc de blancs brut|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut|=577
W|lancelotroyer|champagne grand cru millesime|fr|s|??|champagne|??|2013|12|grand cru|leve|aperitivos; frutos do mar; canapes|seco
W|lancelotroyer|champagne grand cru dualissme extra brut nv|fr|s|??|champagne|??|NV|12|grand cru|leve|aperitivos; frutos do mar; canapes|extra brut
W|lancelotroyer|champagne grand cru chevaliers nv|fr|s|??|champagne|??|NV|12|grand cru|leve|aperitivos; frutos do mar; canapes|seco
W|lancelotroyer|champagne grand cru chevaliers brut nv|fr|s|??|champagne|??|NV|12|grand cru|leve|aperitivos; frutos do mar; canapes|brut
W|lancelotroyer|champagne brut nature blanc de blancs grand cru cuvee de chevaliers|fr|s|??|champagne|??|NV|12|grand cru|leve|aperitivos; frutos do mar; canapes|brut nature
W|lancelotroyer|champagne brut nature blanc de blancs grand cru cuvee de chevaliers|fr|s|??|champagne|??|NV|12|grand cru|leve|aperitivos; frutos do mar; canapes|brut nature|=583
W|lancelotpienne|table rounde brut blanc de blancs grand cru nv|??|s|??|??|??|NV|12|grand cru|leve|aperitivos; frutos do mar; canapes|brut
W|lancelotpienne|table ronde blanc de blancs extra brut|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|lancelotpienne|table ronde|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancelotpienne|champagne grand cru extra brut table ronde nv 19 base|fr|s|??|champagne|??|NV|12|grand cru|leve|aperitivos; frutos do mar; canapes|extra brut
W|lancelotpienne|champagne grand cru blanc de blancs table ronde nv|fr|s|??|champagne|??|NV|12|grand cru|leve|aperitivos; frutos do mar; canapes|seco
W|lancelotpienne|champagne brut accord majeur nv 17 base|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|lancelotpienne|champagne blanc de blancs instant present nv 18 base|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|lancelotpienne|accordmajeur brut nv|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|lancelotpienne|accord majeur assemblage brut|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|lancelotpienne|accord majeur|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancelot|table ronde grand cru blanc de blancs champagne|fr|s|??|champagne|??|NV|12|grand cru|leve|aperitivos; frutos do mar; canapes|seco
W|lancelot|pienne grand cru blanc de blanc table ronde|??|r|??|??|??|NV|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|lancelot|pienne champagne dame du lac brut|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|lancelot|pienne champagne accord majeur assemblage brut|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|lancelot|pienne brut blanc de blanc instant present|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|lancelot|pienne brut|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|lancelot|philippe cramant grand cru extra brut|??|s|??|??|??|2015|12|grand cru|leve|aperitivos; frutos do mar; canapes|extra brut
W|lancelot|fils sur les gros monts grand cru oiry extra brut|??|s|??|??|??|2017|12|grand cru|leve|aperitivos; frutos do mar; canapes|extra brut
W|lancelot|fils les gros monts grand cru extra brut|??|s|??|??|??|2018|12|grand cru|leve|aperitivos; frutos do mar; canapes|extra brut
W|lancelot|courtoisvv grand cru champagne|fr|s|??|champagne|??|NV|12|grand cru|leve|aperitivos; frutos do mar; canapes|seco
W|lancelot|courtois croisee des terroirs grand cru champagne|fr|s|??|champagne|??|NV|12|grand cru|leve|aperitivos; frutos do mar; canapes|seco
W|lancelot|accord majeur brut champagne|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|lancellotti|family vineyards willamette valley chardonnay le mie figlie|us|w|chardonnay|willamette|??|2021|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lance|terre siciliane inzolia igp|it|r|??|sicilia|??|2024|13.5|igp|medio|carnes vermelhas; massas; queijos|seco
W|lance|sicilia syrah dop|it|r|syrah|sicilia|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lance|nero davola sicilia doc|it|r|??|sicilia|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lance|lance|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancatay|malbec|??|r|malbec|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lancatay|chardonnay|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lancatay|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lancaster|winemakers cuvee red blend|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancaster|winemaker cuvee|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancaster|red blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancaster|red|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancaster|portable uv sanitizing bag|??|f|??|??|??|NV|20|??|encorpado|queijos azuis; sobremesas; castanhas|doce
W|lancaster|estate winemakers cuvee red|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancaster|estate winemakers cuvee|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancaster|estate winemakers cuvee|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancaster|estate winemakers cuvee|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=622
W|lancaster|estate sophias hillside cuvee|??|r|??|??|??|2007|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancaster|estate sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lancaster|estate red wine winemakers cuvee alexander valley 12 bottle|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancaster|estate red wine winemakers cuvee alexander valley|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancaster|estate red wine winemakers cuvee alexander valley|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=627
W|lancaster|estate red wine winemakers cuvee alexander valley|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancaster|estate red wine winemakers cuvee|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancaster|estate nicoles|??|r|??|??|??|2011|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancaster|estate nicoles|??|r|??|??|??|2008|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancaster|estate cuvee red|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancaster|estate cuvee|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancaster|estate cabernet sauvignon alexander valley 12 bottles|??|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lancaster|estate cabernet sauvignon alexander valley|??|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lancaster|estate cabernet sauvignon alexander valley|??|r|cabernet sauvignon|??|??|2018|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lancaster|estate cabernet sauvignon alexander valley|??|r|cabernet sauvignon|??|??|2006|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lancaster|estate cabernet sauvignon alexander valley|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lancaster|estate cabernet sauvignon|??|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lancaster|estate cabernet sauvignon|??|r|cabernet sauvignon|??|??|2018|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lancaster|estate cabernet sauvignon|??|r|cabernet sauvignon|??|??|2007|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lancaster|estate cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lancaster|estate cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=643
W|lancaster|estate alexander winemakers cuvee red|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancaster|estate alexander valley nicoles|??|r|??|??|??|2010|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancaster|estate alexander cabernet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancaster|estate winemakers cuvee|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancaster|estate winemakers cuvee|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancaster|cabernet sauvignon napa valley|us|r|cabernet sauvignon|napa valley|??|2006|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lancaster|cabernet sauvignon alexander valley 6 case|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lancaster|cabernet sauvignon|??|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lancaster|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lancaster|blonde|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancaster|black|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancaster|amber|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancaster|alexander valley winemakers cuvee 6pk|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancaster|estate bottled cabernet sauvignon|??|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lancashire|mead thruds mead bramling cross hop mead 145|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
X
W|lancashire|mead company thors mead|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancashire|mead company krampus mead|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancashire|mead company jarl hawksmead|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancashire|mead company heimdalls mead|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancashire|mead company gift from the gods gift sets|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancashire|mead company freyas mead|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancashire|mead co vikings blood berry mead 145|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancashire|mead co thor metheglin mead 145|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancashire|mead co skadi medium sweet hydromel mead 145|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancashire|mead co odin metheglin mead 145|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancashire|mead co krampus spiced mead 145|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
X
W|lancashire|mead co freya orange melomel mead 145|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancashire|mead co aegir tannined melomel mead 145|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancashire|bomb vintage gold|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancashire|bomb garlic herb 230g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancashire|bomb chilli 230g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancashire|bomb 460g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancashire|bomb 230g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancas|tawny port|??|f|??|??|??|NV|20|??|encorpado|queijos azuis; sobremesas; castanhas|doce
W|lancas|ruby port|??|f|??|??|??|NV|20|??|encorpado|queijos azuis; sobremesas; castanhas|doce
W|lancamentovulcanici|sangiovese puglia igt|it|r|sangiovese|puglia|??|NV|13.5|igt|encorpado|carnes vermelhas; massas; queijos|seco
W|lancamentovulcanici|pinot grigio puglia igt|it|w|pinot grigio|puglia|??|NV|12.5|igt|medio|peixes; frutos do mar; aves|seco
W|lancamentovulcanici|montepulciano d abruzzo|it|r|montepulciano|abruzzo|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lancamentos|lancamentos|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lancamento|vinho fino tinto seco reserva arinarnoa|??|f|??|??|??|NV|20|reserva|encorpado|queijos azuis; sobremesas; castanhas|doce
W|lancamento|enxarrama|??|r|??|??|??|2014|13.5|??|medio|carnes vermelhas; massas; queijos|seco
