W|michele|portoghese fettucine 500gr|??|f|??|??|??|NV|20|??|encorpado|queijos, sobremesas|doce
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2022|13.5|??|medio|carne vermelha, queijo|seco|=77
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2022|13.5|??|medio|carne vermelha, queijo|seco|=77
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2022|13.5|??|medio|carne vermelha, queijo|seco|=77
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2022|13.5|??|medio|carne vermelha, queijo|seco|=77
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2022|13.5|??|medio|carne vermelha, queijo|seco|=77
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2022|13.5|??|medio|carne vermelha, queijo|seco|=77
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2021|13.5|??|medio|carne vermelha, queijo|seco|=79
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=126
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=126
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2020|13.5|??|medio|carne vermelha, queijo|seco|=101
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2022|13.5|docg|medio|carne vermelha, queijo|seco|=77
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2022|13.5|docg|medio|carne vermelha, queijo|seco|=77
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=126
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=126
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=126
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=126
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=126
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2017|13.5|docg|medio|carne vermelha, queijo|seco|=71
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, queijo|seco|=41
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, queijo|seco|=22
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, queijo|seco|=22
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, queijo|seco|=22
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, queijo|seco|=41
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2019|13.5|docg|medio|carne vermelha, queijo|seco|=23
X
X
X
X
X
X
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2019|13.5|docg|medio|carne vermelha, queijo|seco|=23
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2019|13.5|docg|medio|carne vermelha, queijo|seco|=23
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2015|13.5|docg|medio|carne vermelha, queijo|seco|=298
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2021|13.5|docg|medio|carne vermelha, queijo|seco|=22
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2021|13.5|docg|medio|carne vermelha, queijo|seco|=22
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2016|13.5|docg|medio|carne vermelha, queijo|seco|=60
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2015|13.5|docg|medio|carne vermelha, queijo|seco|=298
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2015|13.5|docg|medio|carne vermelha, queijo|seco|=298
W|michele|chiarlo barbaresco reyna|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2021|13.5|docg|medio|carne vermelha, queijo|seco|=22
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2019|13.5|docg|medio|carne vermelha, queijo|seco|=23
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2018|13.5|docg|medio|carne vermelha, queijo|seco|=20
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2018|13.5|docg|medio|carne vermelha, queijo|seco|=20
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2017|13.5|docg|medio|carne vermelha, queijo|seco|=71
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2015|13.5|docg|medio|carne vermelha, queijo|seco|=298
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2015|13.5|docg|medio|carne vermelha, queijo|seco|=298
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2014|13.5|docg|medio|carne vermelha, queijo|seco|=73
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2013|13.5|docg|medio|carne vermelha, queijo|seco|=35
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2013|13.5|docg|medio|carne vermelha, queijo|seco|=35
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, queijo|seco|=46
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, queijo|seco|=23
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, queijo|seco|=23
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, queijo|seco|=20
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2013|13.5|??|medio|carne vermelha, queijo|seco|=35
W|michele|chiarlo barbaresco reyna|it|r|??|??|??|2022|13.5|docg|medio|carne vermelha, queijo|seco|=41
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2019|13.5|docg|medio|carne vermelha, queijo|seco|=23
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2016|13.5|docg|medio|carne vermelha, queijo|seco|=60
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2015|13.5|docg|medio|carne vermelha, queijo|seco|=298
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|docg|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, queijo|seco|=60
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2015|13.5|??|medio|carne vermelha, queijo|seco|=298
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, queijo|seco|=41
W|michele|chiarlo barbaresco reyna|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, queijo|seco|=37
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, queijo|seco|=37
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, queijo|seco|=37
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=24
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2023|13.5|??|medio|carne vermelha, queijo|seco|=103
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2023|13.5|??|medio|carne vermelha, queijo|seco|=103
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, queijo|seco|=22
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, queijo|seco|=22
W|michele|chiarlo barbera dasti orme|??|r|barbera|??|??|2021|13.5|??|medio|carne vermelha, queijo|seco|=79
W|michele|chiarlo barbaresco reyna|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, queijo|seco|=46
W|damilano|barolo cerequio|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, queijo|seco|=338
W|michele|chiarlo barbera dasti orme|it|r|barbera|??|??|2019|13.5|docg|medio|carne vermelha, queijo|seco|=119
W|michele|chiarlo barbaresco reyna|it|r|nebbiolo|??|??|2014|14|docg|encorpado|carne vermelha, queijo|seco|=73
X
W|brigaldara|valpolicella ripasso superiore|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, queijo|seco
W|brigaldara|valpolicella ripasso superiore|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, queijo|seco
W|biscardo|ripasso valpolicella classico superiore|??|r|??|??|??|2020|13.5|do|medio|carne vermelha, queijo|seco
W|biscardo|ripasso valpolicella classico superiore|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, queijo|seco
S
W|michele|castellani valpolicella campo biotto rouge veneto|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
X
X
X
X
W|biscardo|ripasso valpolicella classico superiore|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, queijo|seco|=587
S
S
S
S
S
S
S
S
S
S
S
S
S
S
S
S
X
S
W|confraria|apreciadores vinho reserva douro tinto|pt|r|merlot|douro|??|2018|13.5|reserva|medio|carne vermelha, queijo|seco
W|confraria|apreciadores vinho reserva douro tinto|pt|r|cabernet sauvignon|douro|??|2020|14|reserva|encorpado|carne vermelha, queijo|seco
W|confraria|apreciadores vinho reserva douro tinto|pt|r|cabernet franc|douro|??|2020|13.5|reserva|medio|carne vermelha, queijo|seco|=614
W|michele|carraro vinho tinto reserva ancellotta|??|r|??|??|??|2020|13.5|reserva|medio|carne vermelha, queijo|seco
W|michele|chiarlo barbera dasti orme|it|r|barbera|??|??|2018|13.5|??|medio|carne vermelha, queijo|seco|=313
W|michele|carraro vinho tinto assemblage|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, queijo|seco
W|confraria|apreciadores vinho reserva douro tinto|it|r|??|douro|??|2020|13.5|reserva|medio|carne vermelha, queijo|seco|=614
W|michele|carraro vinho tinto carraro italia tempranillo|it|r|tempranillo|??|??|2020|14|??|encorpado|carne vermelha, queijo|seco
W|michele|carraro vinho tinto carraro italia rebo|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, queijo|seco
W|michele|carraro vinho tinto carraro italia marselan|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, queijo|seco
W|lidio|carraro faces pinot noir rose|??|s|pinot noir|??|??|NV|12|??|leve|aperitivos, frutos do mar|seco
W|casa|valduga premivm brut espumante|??|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar|brut
W|chateau|martinolles cremant limoux brut|??|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar|brut
X
X
X
X
X
X
X
X
X
X
W|campania|igt aglianico beneventano falanghina protetta|it|r|aglianico|??|??|2017|13.5|igt|medio|carne vermelha, queijo|seco
X
X
X
X
W|domaine|clef saint thomas clef st thomas chateauneufdupape blanc|??|w|syrah|??|??|2019|12.5|do|leve|peixes, frutos do mar|seco
W|domaine|faury ribaudes saintjoseph rouge|??|r|??|??|??|2017|13.5|do|medio|carne vermelha, queijo|seco
X
W|domaine|clef saint thomas clef st thomas chateauneufdupape blanc|??|w|??|??|??|NV|12.5|do|leve|peixes, frutos do mar|seco
X
W|michelas|st jemms hermitage terres darce rouge|??|r|??|??|??|2015|13.5|??|medio|carne vermelha, queijo|seco
X
X
W|chapelle|saint antonin reserve syrah|??|r|syrah|??|??|2022|14|igp|encorpado|carne vermelha, queijo|seco
W|graeme|julie bott cote rotie|??|r|??|??|??|2020|13.5|aop|medio|carne vermelha, queijo|seco
X
W|poggio|forino rosso toscano|??|r|??|??|??|NV|13.5|igt|medio|carne vermelha, queijo|seco
W|poggio|forino rosso toscano|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=652
W|tavernello|lambrusco emilia rosso frizzante|??|s|??|??|??|2022|12|ava|leve|aperitivos, frutos do mar|seco
W|tavernello|lambrusco emilia rosso frizzante|??|s|??|??|??|2022|12|ava|leve|aperitivos, frutos do mar|seco|=654
W|tavernello|lambrusco emilia rosso frizzante|??|s|??|??|??|2022|12|ava|leve|aperitivos, frutos do mar|seco|=654
W|tavernello|lambrusco emilia rosso frizzante|??|s|??|??|??|2022|12|ava|leve|aperitivos, frutos do mar|seco|=654
W|san|antonio winery kanaloa premium white|??|w|??|??|??|NV|12.5|igt|leve|peixes, frutos do mar|seco
W|fattoria|lucignano chianti riserva|??|r|??|??|??|NV|13.5|docg|medio|carne vermelha, queijo|seco
W|michelangelo|chianti doc|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, queijo|seco
W|castello|strozzavolpe gran selezione chianti classico|??|r|??|??|??|NV|13.5|docg|medio|carne vermelha, queijo|seco
X
X
X
X
W|micheladas|gordo watermelon rimming dip chamoy|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, queijo|seco
W|micheladas|gordo tamarindo rimming dip chamoy|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, queijo|seco
W|micheladas|gordo spicy mango rimming dip chamoy|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, queijo|seco
W|micheladas|gordo spicy cucumber rimming dip chamoy|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, queijo|seco
W|micheladas|gordo sandias sagronas|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, queijo|seco
W|micheladas|gordo pineapple rimming dip chamoy|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, queijo|seco
W|micheladas|gordo mango|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, queijo|seco
W|micheladas|gordo chamacos cabrones|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, queijo|seco
X
X
X
X
X
X
X
X
W|michel|wein vino merlot alcoholvrij|??|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|vino|skrobak chardonnay kabinetni vino|??|w|chardonnay|??|??|NV|12.5|do|leve|peixes, frutos do mar|seco
W|domaine|michel lafarge beaune 1er cru aigrots blanc|??|w|??|??|??|2020|12.5|do|leve|peixes, frutos do mar|seco
W|meocamuzet|cortoncharlemagne grand cru|??|r|??|??|??|2023|13.5|grand cru|medio|carne vermelha, queijo|seco
W|domaine|montille corton grand cru clos roi|??|r|??|??|??|1985|13.5|grand cru|medio|carne vermelha, queijo|seco
W|domaine|michel lafarge beaune 1er cru aigrots blanc|??|w|??|??|??|2023|12.5|do|leve|peixes, frutos do mar|seco
X
W|moreyblanc|aloxe corton 1er cru vercots|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar|seco
W|moreyblanc|aloxe corton 1er cru vercots|??|w|??|??|??|1985|12.5|??|leve|peixes, frutos do mar|seco
W|claude|riffault noue sancerre rose|??|p|??|??|??|2022|12.5|??|leve|saladas, frutos do mar|seco
W|claude|riffault noue sancerre rose|??|p|??|??|??|NV|12.5|??|leve|saladas, frutos do mar|seco
X
X
X
X
W|domaine|michel lafarge beaune 1er cru aigrots rouge|??|r|??|??|??|NV|13.5|aoc|medio|carne vermelha, queijo|seco
W|michel|vattan sancerre aoc cuvee op|??|r|??|??|??|NV|13.5|aoc|medio|carne vermelha, queijo|seco
X
X
W|chateau|sancerre petit connetable sauvignon blanc|fr|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar|seco
X
X
X
W|caviste|frederic savart x caviste blanc noirs champagne premier cru|fr|s|??|champagne|??|NV|12|ava|leve|aperitivos, frutos do mar|seco
X
W|pierre|moncuit cuvee reserve blanc blancs brut champagne grand cru mesnilsuroger|fr|s|??|champagne|??|NV|12|grand cru|leve|aperitivos, frutos do mar|brut
W|pierre|moncuit cuvee reserve blanc blancs brut champagne grand cru mesnilsuroger|fr|s|??|champagne|??|NV|12|grand cru|leve|aperitivos, frutos do mar|brut|=707
W|pierre|moncuit cuvee reserve blanc blancs brut champagne grand cru mesnilsuroger|fr|s|??|champagne|??|NV|12|grand cru|leve|aperitivos, frutos do mar|brut|=707
W|pierre|moncuit cuvee reserve blanc blancs brut champagne grand cru mesnilsuroger|fr|s|??|champagne|??|NV|12|grand cru|leve|aperitivos, frutos do mar|brut|=707
W|laurent|ponsot zero griotte chambertin grand cru|??|w|??|??|??|2000|12.5|grand cru|leve|peixes, frutos do mar|seco
W|domaine|michel lafarge pinot noir bourgogne|fr|r|pinot noir|bourgogne|??|1997|13.5|do|medio|carne vermelha, queijo|seco
X
X
W|taylors|select reserve port|??|f|malbec|??|??|NV|20|??|encorpado|queijos, sobremesas|doce
W|margarita|zancuo seleccion sevilla malbec|??|r|malbec|??|??|NV|14|??|encorpado|carne vermelha, queijo|seco
W|margarita|zancuo seleccion sevilla malbec|??|r|malbec|??|??|NV|14|??|encorpado|carne vermelha, queijo|seco|=716
W|morande|seleccion vinedos gran reserva sauvignon blanc|??|w|cabernet sauvignon, sauvignon blanc|??|??|NV|12.5|gran reserva|leve|peixes, frutos do mar|seco
W|morande|seleccion vinedos gran reserva sauvignon blanc|??|w|cabernet sauvignon, sauvignon blanc|??|??|NV|12.5|gran reserva|leve|peixes, frutos do mar|seco|=718
W|andre|clouet brut rose no champagne|fr|s|??|champagne|??|NV|12|??|leve|aperitivos, frutos do mar|brut
W|sottano|reserva familia 3s malbec|??|r|malbec|??|??|NV|14|reserva|encorpado|carne vermelha, queijo|seco
S
W|michel|torino malbec|??|r|malbec|??|??|NV|14|??|encorpado|carne vermelha, queijo|seco
W|michel|torino malbec|??|r|malbec|??|??|NV|14|??|encorpado|carne vermelha, queijo|seco|=723
W|michel|torino malbec|??|r|malbec|??|??|NV|14|??|encorpado|carne vermelha, queijo|seco|=723
W|stranger|days cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|14|??|encorpado|carne vermelha, queijo|seco
W|dean|david mile square swartland syrah|za|r|syrah|swartland|??|2005|14|do|encorpado|carne vermelha, queijo|seco
W|michael|david winery freakshow cabernet sauvignon|??|r|cabernet sauvignon|??|??|2005|14|do|encorpado|carne vermelha, queijo|seco
X
W|michel|torino cuma organic malbec|??|r|malbec|??|??|NV|14|??|encorpado|carne vermelha, queijo|seco
W|michel|torino cuma organic malbec|??|r|malbec|??|??|NV|14|??|encorpado|carne vermelha, queijo|seco|=730
W|michel|torino cuma organic malbec|??|r|malbec|??|??|NV|14|??|encorpado|carne vermelha, queijo|seco|=730
X
X
W|michel|torino coleccion shiraz|??|r|shiraz|??|??|NV|14|??|encorpado|carne vermelha, queijo|seco
W|domaine|michel lafarge beaune 1er cru aigrots blanc|??|w|sauvignon blanc|??|??|NV|12.5|do|leve|peixes, frutos do mar|seco
W|michel|torino coleccion rose|??|p|??|??|??|NV|12.5|??|leve|saladas, frutos do mar|seco
W|navarro|correas coleccion privada malbec|??|r|malbec|??|??|NV|14|ava|encorpado|carne vermelha, queijo|seco
W|navarro|correas coleccion privada malbec|??|r|malbec|??|??|NV|14|ava|encorpado|carne vermelha, queijo|seco|=738
W|navarro|correas coleccion privada malbec|??|r|malbec|??|??|NV|14|ava|encorpado|carne vermelha, queijo|seco|=738
W|navarro|correas coleccion privada malbec|??|r|malbec|??|??|NV|14|ava|encorpado|carne vermelha, queijo|seco|=738
W|navarro|correas coleccion privada malbec|??|r|malbec|??|??|NV|14|ava|encorpado|carne vermelha, queijo|seco|=738
W|michel|torino coleccion chardonnay|??|w|chardonnay|??|??|NV|12.5|do|leve|peixes, frutos do mar|seco
W|domaine|michel lafarge pinot noir bourgogne|fr|r|pinot noir|bourgogne|??|NV|13.5|do|medio|carne vermelha, queijo|seco
W|navarro|correas coleccion privada malbec|ar|r|malbec|cafayate|??|NV|14|ava|encorpado|carne vermelha, queijo|seco|=738
W|michel|torino coleccion cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|14|??|encorpado|carne vermelha, queijo|seco
W|michel|torino brut|??|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar|brut
X
W|michel|menage chassagnemontrachet premier cru|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|michel|menage chassagnemontrachet premier cru|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=749
W|jacques|tissot en barberon pinot noir cotes jura|fr|r|pinot noir|jura|??|2020|13.5|??|medio|carne vermelha, queijo|seco
W|domaine|gassier cotes rhone|fr|r|??|rhone|??|2019|13.5|do|medio|carne vermelha, queijo|seco
W|domaine|clef saint thomas clef st thomas chateauneufdupape blanc|??|w|??|??|??|2022|12.5|do|leve|peixes, frutos do mar|seco
W|michel|thomas fils sancerre terre blanche|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar|seco
W|claude|riffault noue sancerre rose|??|p|??|??|??|NV|12.5|??|leve|saladas, frutos do mar|seco|=692
X
X
W|patrick|javillier cuvee tete murger meursault|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|jean|deville beaujolais villages|fr|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
X
X
X
W|graeme|julie bott cote rotie|??|r|??|??|??|2022|13.5|aop|medio|carne vermelha, queijo|seco
W|graeme|julie bott cote rotie|??|r|??|??|??|2022|13.5|aop|medio|carne vermelha, queijo|seco|=763
W|graeme|julie bott cote rotie|??|r|??|??|??|2018|13.5|aop|medio|carne vermelha, queijo|seco
W|graeme|julie bott cote rotie|??|r|??|??|??|2018|13.5|aop|medio|carne vermelha, queijo|seco|=765
W|graeme|julie bott cote rotie|??|r|??|??|??|2018|13.5|aop|medio|carne vermelha, queijo|seco|=765
W|graeme|julie bott cote rotie|??|r|??|??|??|2018|13.5|aop|medio|carne vermelha, queijo|seco|=765
W|graeme|julie bott cote rotie|??|r|??|??|??|2015|13.5|aop|medio|carne vermelha, queijo|seco
W|graeme|julie bott cote rotie|??|r|??|??|??|2015|13.5|aop|medio|carne vermelha, queijo|seco|=769
W|graeme|julie bott cote rotie|??|r|??|??|??|2010|13.5|aop|medio|carne vermelha, queijo|seco
W|graeme|julie bott cote rotie|??|r|??|??|??|2010|13.5|aop|medio|carne vermelha, queijo|seco|=771
W|graeme|julie bott cote rotie|??|r|??|??|??|2010|13.5|aop|medio|carne vermelha, queijo|seco|=771
W|graeme|julie bott cote rotie|??|r|??|??|??|2010|13.5|aop|medio|carne vermelha, queijo|seco|=771
W|michel|stephane ogier vieilles vignes jacques vernay condrieu aop|??|r|??|??|??|2020|13.5|aop|medio|carne vermelha, queijo|seco
W|michel|stephane ogier vieilles vignes jacques vernay condrieu aop|??|r|??|??|??|2020|13.5|aop|medio|carne vermelha, queijo|seco|=775
W|graeme|julie bott cote rotie|??|r|??|??|??|2014|13.5|??|medio|carne vermelha, queijo|seco
W|domaine|michel lafarge beaune 1er cru aigrots rouge|fr|r|??|rhone|??|2022|13.5|aop|medio|carne vermelha, queijo|seco
W|michel|stephane ogier temps est venu cotes rhone aop|fr|r|??|rhone|??|2022|13.5|aop|medio|carne vermelha, queijo|seco
W|michel|stephane ogier temps est venu cotes rhone aop|fr|r|??|rhone|??|2022|13.5|aop|medio|carne vermelha, queijo|seco|=779
W|michel|stephane ogier temps est venu cotes rhone aop|fr|r|??|rhone|??|2022|13.5|aop|medio|carne vermelha, queijo|seco|=779
W|michel|stephane ogier temps est venu cotes rhone aop|fr|r|??|rhone|??|2022|13.5|aop|medio|carne vermelha, queijo|seco|=779
W|benedicte|stephane tissot cremant jura blanc|fr|s|??|jura|??|NV|12|aop|leve|aperitivos, frutos do mar|seco
W|benedicte|stephane tissot cremant jura blanc|fr|s|??|jura|??|2022|12|aop|leve|aperitivos, frutos do mar|seco
W|benedicte|stephane tissot cremant jura blanc|fr|s|??|jura|??|2022|12|aop|leve|aperitivos, frutos do mar|seco|=784
W|benedicte|stephane tissot cremant jura blanc|fr|s|??|jura|??|NV|12|aop|leve|aperitivos, frutos do mar|seco|=783
X
W|michel|stephane ogier passage saintjoseph aop|??|r|??|??|??|2021|13.5|aop|medio|carne vermelha, queijo|seco
W|michel|stephane ogier passage saintjoseph aop|??|r|??|??|??|2021|13.5|aop|medio|carne vermelha, queijo|seco|=788
W|michel|stephane ogier passage saintjoseph aop|??|r|??|??|??|2021|13.5|aop|medio|carne vermelha, queijo|seco|=788
W|michel|stephane ogier passage saintjoseph aop|??|r|??|??|??|2020|13.5|aop|medio|carne vermelha, queijo|seco
W|michel|stephane ogier passage saintjoseph aop|??|r|??|??|??|2020|13.5|aop|medio|carne vermelha, queijo|seco|=791
W|michel|stephane ogier passage saintjoseph aop|??|r|??|??|??|NV|13.5|aop|medio|carne vermelha, queijo|seco
W|benedicte|stephane tissot cremant jura blanc|fr|s|??|jura|??|2023|12|aop|leve|aperitivos, frutos do mar|seco
W|benedicte|stephane tissot cremant jura blanc|fr|s|??|jura|??|2023|12|aop|leve|aperitivos, frutos do mar|seco|=794
W|benedicte|stephane tissot cremant jura blanc|fr|s|??|jura|??|2021|12|aop|leve|aperitivos, frutos do mar|seco
W|benedicte|stephane tissot cremant jura blanc|fr|s|??|jura|??|2021|12|aop|leve|aperitivos, frutos do mar|seco|=796
W|graeme|julie bott cote rotie|??|r|??|??|??|2011|13.5|aop|medio|carne vermelha, queijo|seco
W|graeme|julie bott cote rotie|??|r|??|??|??|2011|13.5|aop|medio|carne vermelha, queijo|seco|=798
W|michel|stephane ogier lame soeur syrah seyssuel collines rhodaniennes igp|??|r|syrah|??|??|2018|14|igp|encorpado|carne vermelha, queijo|seco
W|michel|stephane ogier lame soeur syrah seyssuel collines rhodaniennes igp|??|r|syrah|??|??|2018|14|igp|encorpado|carne vermelha, queijo|seco|=800
W|michel|stephane ogier lame soeur syrah seyssuel collines rhodaniennes igp|??|r|syrah|??|??|2015|14|igp|encorpado|carne vermelha, queijo|seco
W|michel|stephane ogier lame soeur syrah seyssuel collines rhodaniennes igp|??|r|syrah|??|??|2015|14|igp|encorpado|carne vermelha, queijo|seco|=802
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
W|michel|stephane ogier rosine syrah collines rhodaniennes igp|??|r|syrah|??|??|2022|14|igp|encorpado|carne vermelha, queijo|seco
W|michel|stephane ogier rosine syrah collines rhodaniennes igp|??|r|syrah|??|??|2022|14|igp|encorpado|carne vermelha, queijo|seco|=820
W|michel|stephane ogier rosine syrah collines rhodaniennes igp|??|r|syrah|??|??|2020|14|igp|encorpado|carne vermelha, queijo|seco
W|michel|stephane ogier rosine syrah collines rhodaniennes igp|??|r|syrah|??|??|2020|14|igp|encorpado|carne vermelha, queijo|seco|=822
W|michel|stephane ogier rosine syrah collines rhodaniennes igp|??|r|syrah|??|??|2019|14|igp|encorpado|carne vermelha, queijo|seco
W|michel|stephane ogier rosine syrah collines rhodaniennes igp|??|r|syrah|??|??|2019|14|igp|encorpado|carne vermelha, queijo|seco|=824
W|michel|stephane ogier rosine syrah collines rhodaniennes igp|??|r|syrah|??|??|2015|14|igp|encorpado|carne vermelha, queijo|seco
W|michel|stephane ogier rosine syrah collines rhodaniennes igp|??|r|syrah|??|??|2015|14|igp|encorpado|carne vermelha, queijo|seco|=826
W|michel|stephane ogier rosine syrah collines rhodaniennes igp|??|r|syrah|??|??|NV|14|igp|encorpado|carne vermelha, queijo|seco
W|michel|stephane ogier rosine syrah|??|r|syrah|??|??|2022|14|??|encorpado|carne vermelha, queijo|seco
