1. W|carmenere|reserva|??|r|carmenere|??|??|2022|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
458. W|carminucci|viabore rosso piceno|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=457
459. W|carmol|csepp|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
460. W|carmol|csepp|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=459
461. W|carmonis|collio pinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
462. W|carmu|almaraminga|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
463. W|carn|mor ardmore 13yo 20092023 475|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
464. W|carn|mor auchentoshan 1992 30y|??|r|??|??|??|1992|13.5|??|medio|carne vermelha, massas, queijos curados|seco
465. W|carn|mor auchentoshan 22 year old 1998 cask 100696|??|r|??|??|??|1998|13.5|??|medio|carne vermelha, massas, queijos curados|seco
466. W|carn|mor auchentoshan 27 year old 1992 celebration of the cask|??|r|??|??|??|1992|13.5|??|medio|carne vermelha, massas, queijos curados|seco
467. W|carn|mor benriach 1998 sherry butt 26 years old celebration of the cask|??|f|??|??|??|1998|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
468. W|carn|mor benrinnes|??|r|??|??|??|1996|13.5|??|medio|carne vermelha, massas, queijos curados|seco
469. W|carn|mor benrinnes 22yo 20002022 485|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
470. W|carn|mor benrinnes 25 year old 1996 cask 962101|??|r|??|??|??|1996|13.5|??|medio|carne vermelha, massas, queijos curados|seco
471. W|carn|mor caol ila 8 year old 2012 strictly limited edition|??|r|??|??|??|2012|13.5|??|medio|carne vermelha, massas, queijos curados|seco
472. W|carn|mor celebration of the cask benrinnes 25 ar 1996 53|??|r|??|??|??|1996|13.5|??|medio|carne vermelha, massas, queijos curados|seco
473. W|carn|mor celebration of the cask bunnahabhain 2004 16yo|??|r|??|??|??|2004|13.5|??|medio|carne vermelha, massas, queijos curados|seco
474. W|carn|mor celebration of the cask glen grant 27yo bottle|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
475. W|carn|mor clynelish 11 year old 2014 german exclusive|??|r|??|??|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco
476. W|carn|mor craigellachie|??|r|??|??|??|2011|13.5|??|medio|carne vermelha, massas, queijos curados|seco
477. W|carn|mor dailuaine 24 year old 1995 celebration of the cask|??|r|??|??|??|1995|13.5|??|medio|carne vermelha, massas, queijos curados|seco
478. W|carn|mor glen grant|??|r|??|??|??|1994|13.5|??|medio|carne vermelha, massas, queijos curados|seco
479. W|carn|mor glen grant 1997 24y|??|r|??|??|??|1997|13.5|??|medio|carne vermelha, massas, queijos curados|seco
480. W|carn|mor glen keith 8yo 20132022 475|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
481. W|carn|mor glen spey 26 year old 1994 sherry cask|??|f|??|??|??|1994|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
482. W|carn|mor glenallachie 9 year old 2013 strictly limited edition|??|r|??|??|??|2013|13.5|??|medio|carne vermelha, massas, queijos curados|seco
483. W|carn|mor glenburgie 10yo 20112022 475|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
484. W|carn|mor glenburgie 2012 9yo|??|r|??|??|??|2012|13.5|??|medio|carne vermelha, massas, queijos curados|seco
485. W|carn|mor glenlossie 1993 27yo cask strength 473|??|r|??|??|??|1993|13.5|??|medio|carne vermelha, massas, queijos curados|seco
486. W|carn|mor glentauchers 2014 9 year old speyside 475|??|r|??|??|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco
487. W|carn|mor linkwood 12 year old 2008 strictly limited edition|??|r|??|??|??|2008|13.5|??|medio|carne vermelha, massas, queijos curados|seco
488. W|carn|mor linkwood|??|r|??|??|??|2011|13.5|??|medio|carne vermelha, massas, queijos curados|seco
489. W|carn|mor linkwood 8yo 20132022 475|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
490. W|carn|mor linkwood 9 ans 2013 sauternes finish 475vol|fr|d|??|??|??|2013|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
491. W|carn|mor linkwood 9 jaar 20112021|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
492. W|carn|mor linkwood 9yo 20112021 475|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
493. W|carn|mor linkwood tojaki|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
494. W|carn|mor longmorn 13 year old 2009 strictly limited edition|??|r|??|??|??|2009|13.5|??|medio|carne vermelha, massas, queijos curados|seco
495. W|carn|mor mannochmore 11yo 20102022 475|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
496. W|carn|mor mannochmore 2010 12 year old speyside|??|r|??|??|??|2010|13.5|??|medio|carne vermelha, massas, queijos curados|seco
497. W|carn|mor mannochmore 27 year old 1993 cask|??|r|??|??|??|1993|13.5|??|medio|carne vermelha, massas, queijos curados|seco
498. W|carn|mor miltonduff|??|r|??|??|??|2011|13.5|??|medio|carne vermelha, massas, queijos curados|seco
499. W|carn|mor mortlach 2008 moscatel 14yo|??|r|??|??|??|2008|13.5|??|medio|carne vermelha, massas, queijos curados|seco
500. W|carn|mor royal brackla|??|r|??|??|??|2009|13.5|??|medio|carne vermelha, massas, queijos curados|seco
501. W|carn|mor ruadh maor 11yo sherry cask glenturret|??|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
502. W|carn|mor ruadh maor glenturret 11 ars 2011 limited|??|r|??|??|??|2011|13.5|??|medio|carne vermelha, massas, queijos curados|seco
503. W|carn|mor strathmill 7 jaar sherry butt 20162023|??|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
504. W|carn|mor strictly limited ardmore 200912yo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
505. W|carn|mor strictly limited ardmore|??|r|??|??|??|2012|13.5|??|medio|carne vermelha, massas, queijos curados|seco
506. W|carn|mor strictly limited aultmore 201011yo exoloroso finish|??|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
507. W|carn|mor strictly limited benriach|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
508. W|carn|mor strictly limited benriach 8 year old|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
509. W|carn|mor strictly limited clynleish|??|r|??|??|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco
510. W|carn|mor strictly limited dalmunach|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
511. W|carn|mor strictly limited dalmunach 8yo|??|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
512. W|carn|mor strictly limited fettercairn 10yo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
513. W|carn|mor strictly limited glen keith 2013 9y|??|r|??|??|??|2013|13.5|??|medio|carne vermelha, massas, queijos curados|seco
514. W|carn|mor strictly limited glen ord 2012 9y ruby port finish 475|??|f|??|??|??|2012|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
515. W|carn|mor strictly limited glenallachie|??|r|??|??|??|2013|13.5|??|medio|carne vermelha, massas, queijos curados|seco
516. W|carn|mor strictly limited glentauchers 9 year old|??|r|??|??|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco
517. W|carn|mor strictly limited mannochmore|??|r|??|??|??|2010|13.5|??|medio|carne vermelha, massas, queijos curados|seco
518. W|carn|mor strictly limited miltonduff 2015 6y|??|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
519. W|carn|mor strictly limited mortlach distillery 2008 14y|??|r|??|??|??|2008|13.5|??|medio|carne vermelha, massas, queijos curados|seco
520. W|carn|mor strictly single cask craigellachie 10yo|??|r|??|??|??|2010|13.5|??|medio|carne vermelha, massas, queijos curados|seco
521. W|carn|mor tamdhu 24 year old 1997 german selection cask 71|??|r|??|??|??|1997|13.5|??|medio|carne vermelha, massas, queijos curados|seco
522. W|carn|mor tamdhu 24yo 19972021 48|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
523. W|carn|mor tomintoul 23 year old 1996 celebration of the cask 103|??|r|??|??|??|1996|13.5|??|medio|carne vermelha, massas, queijos curados|seco
524. W|carn|mor wardhead|??|r|??|??|??|1997|13.5|??|medio|carne vermelha, massas, queijos curados|seco
525. W|carn|morn aultmore 1993 28y|??|r|??|??|??|1993|13.5|??|medio|carne vermelha, massas, queijos curados|seco
526. W|carnaby|insulated lunch kit in polywash material with adjustable strap|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
527. W|carnaciori|cu salata|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
528. W|carnaciori|de buzunar|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
529. W|carnaciori|de casa porcvita semiafumati sam goods|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
530. W|carnaciori|din pui picnic 1kg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
531. W|carnaciori|din puicurcan camara cong|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
532. W|carnaciori|la gratar cu salata din varza|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
533. W|carnaciori|traditionali copti la cuptor|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
534. W|carnaciori|traditionali puiporc camara cong|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
535. W|carnaciori|vanatoresti la cuptor|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
536. W|carnaciori|vanatoresti porcvita camara cong|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
537. W|carnada|carmenere peralillo wines|??|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
538. X
539. W|carnalis|appassimento idi di marzo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
540. W|carnaroli|10 g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
541. W|carnaroli|classico organikus rizs 1000 g|??|r|??|??|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
542. W|carnaroli|reis|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
543. W|carnaroli|rijst|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
544. W|carnaroli|rijst 500g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
545. W|carnaroli|ris kologisk ris til risottoens fineste jeblikke 1 kg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
546. W|carnaroli|riserva gallo|??|r|??|??|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
547. W|carnaroli|risotto mit tomaten von lubarone beutel 250g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
548. W|carnaroli|risottoreis acquerello|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
549. W|carnaroli|risottoriisi 1kg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
550. W|carnaroli|risottoris|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
551. W|carnaroli|risottoris med trffel|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
552. W|carnarolireis|fur risotto 500g bio|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
553. W|carnat|de porc garn salata|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
554. W|carnati|afumati|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
555. W|carnati|afumati|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=554
556. W|carnati|afumati de cracovia|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
557. W|carnati|ardelenesti cu piper|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
558. W|carnati|ardelenesti picanti|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
559. W|carnati|bere marex|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
560. W|carnati|bio de miel si vita 120 g juffinger|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
561. W|carnati|bio de porc 80 g handl tyrol|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
562. W|carnati|bio de porc xxl 70 g handl tyrol|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
563. W|carnati|bio vegetali 380g okoland|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
564. W|carnati|cabanos 330g fox|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
565. W|carnati|cabanos cristim|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
566. W|carnati|cabanos marex|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
567. W|carnati|cabanos vid 300g marex|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
568. W|carnati|cerb 300g szekely|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
569. W|carnati|cu branza cretana de capra 360g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
570. W|carnati|cu condiment secuiesc iscusit|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
571. W|carnati|de casa|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
572. W|carnati|de curcan elit|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
573. W|carnati|de la nea sigmund|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
574. W|carnati|de mangalita|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
575. W|carnati|de pastrav 1kg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
576. W|carnati|de porc cu garnitura|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
577. W|carnati|debretin 500g marex|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
578. W|carnati|debretin marex|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
579. W|carnati|grill subtiri|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
580. W|carnati|grosi de casa porc afumati sam goods|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
581. W|carnati|italienesti|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
582. W|carnati|karditsa cu praz ceapa 360g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
583. W|carnati|petry alintati de gustul afinelor de padure desavarsite cu ceai de musetel|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
584. W|carnati|picanti cg marex|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
585. W|carnati|picanti din pastrav 1kg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
586. W|carnati|polonezi 500g marex|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
587. W|carnati|polonezi marex|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
588. W|carnati|porc in mat porc cg marex|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
589. W|carnati|proaspeti cei originali ca roua diminetii|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
590. W|carnati|rata cu mango|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
591. W|carnati|rulati cg marex|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
592. W|carnati|rulati rfmarex|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
593. W|carnati|semiafumati kupecheskaya|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
594. W|carnati|semiafumati marex|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
595. W|carnati|sticks 170g cristim|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
596. W|carnati|sticks 95g krakus elit|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
597. W|carnati|taranesti cu branza cretana 300gr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
598. W|carnati|taranesti cu ceapa si praz 300gr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
599. W|carnati|taranesti marex|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
600. W|carnati|traditionali puiporc camara|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
601. W|carnati|transilvaneni condimentati cu nuci proaspete delicioase si cu o mirodenie miraculoasa schinduf|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
602. W|carnati|urs semiafumati|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
603. W|carnati|vita si oaie refrigerati sam goods|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
604. W|carnati|vita si oaie semiafumati sam goods|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
605. W|carnatii|vanatorului pork sausage smoked 800g|us|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
606. X
607. W|carnation|bliss|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
608. X
609. W|carnation|bloom preserved flower|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
610. W|carnation|clavel leche evaporada 4 pzas de koz|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
611. W|carnation|condensada|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
612. W|carnation|condensada|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=611
613. W|carnation|condensada 388g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
614. W|carnation|dreamy love|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
615. W|carnation|evap|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
616. W|carnation|evap|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=615
617. W|carnation|evap|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=615
618. W|carnation|everyday creamer|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
619. W|carnation|express|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
620. W|carnation|green|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
621. W|carnation|hash brown 10s|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
622. W|carnation|light pink|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
623. W|carnation|medley|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
624. W|carnation|mini hash brown 18s|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
625. W|carnation|orange|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
626. W|carnation|plantof joy|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
627. W|carnation|plantof love|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
628. W|carnation|purple|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
629. W|carnation|red|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
630. W|carnation|shocking pink|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
631. W|carnation|spray|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
632. W|carnation|spray peach|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
633. W|carnation|spray pink|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
634. W|carnation|spray red|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
635. W|carnation|spray shock pink|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
636. W|carnation|spray two tone pink|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
637. W|carnation|spray two tone purple|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
638. W|carnation|vase 6|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
639. W|carnation|vase 7|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
640. W|carnation|vase 8|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
641. W|carnation|white|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
642. X
643. W|carnation|yellow|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
644. W|carnations|in a ceramic vase|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
645. W|carnauba|wax white|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
646. W|carnaval|cola|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
647. X
648. W|carnaval|na australia|??|r|??|??|??|2026|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
649. W|carnaval|refrescante|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
650. W|carnaza|palito res selecto brand todas las edades 15 piezas|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
651. W|carne|seca carnibar chile limon 100g|cl|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
652. W|carne|seca carnibar chile limon 30g|cl|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
653. W|carne|seca carnibar chiltepin 100g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
654. W|carne|seca carnibar chiltepin 30g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
655. W|carne|seca carnibar habanero 100g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
656. W|carne|seca carnibar habanero 30g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
657. W|carne|seca carnibar natural 30g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
658. W|carne|seca carnibar pimienta limon 100g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
659. W|carne|seca carnibar pimienta limon 30g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
660. W|carne|seca con chiltepin cecina el yaqui 100 gr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
661. W|carne|seca el mejicano natural 100g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
662. W|carne|seca leyva adobada|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
663. W|carne|seca leyva adobada 50 mg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
664. W|carne|seca leyva habanero|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
665. W|carne|seca leyva pimienta|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
666. W|carne|seca leyva pimienta 50 mg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
667. W|carne|seca natural cecina el yaqui 100 gr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
668. W|carne|seca viks jerky sal de mar 86|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
669. W|carned|kerner alto adige|it|r|??|alto adige|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
670. W|carned|kerner kaltern|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
671. W|carnegie|porter|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
672. W|carneiro estate|luz vinho verde 2024 portugal|pt|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
673. W|carneiro estate|tordo alvarinho 2024 portugal|pt|r|??|??|??|2024|13.5|do|medio|carne vermelha, massas, queijos curados|seco
674. W|carneiro|foral de atei azal|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
675. W|carneiro|luz blend white|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
676. W|carneiro|luz loureiro white|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
677. W|carneiro|luz rose blend|??|p|??|??|??|2024|12|??|leve|carne vermelha, massas, queijos curados|seco
678. W|carneiro|tordo alvarinho white|??|w|??|??|??|2024|12.5|do|medio|peixes, frutos do mar, saladas|seco
679. W|carnen|do quijada semillon|??|r|semillon|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
680. W|carner|rouge 2023 matassa|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
681. W|carner|rouge 2024 0|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
682. W|carnero|2 libra|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
683. W|carneros|carneros|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
684. W|carneros|avant garde pinot noir|??|r|pinot noir|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
685. W|carneros|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
686. W|carneros|creek cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
687. W|carneros|creek pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
688. W|carneros|creek turnbull fay vineyards cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
