1. W|carballal|rias baixas albarino sete cepas|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
484. W|carciofini|alla brace grilovane baby artycoky v oleji 320g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
485. W|carciofini|alla crudaiola 230 gr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
486. W|carciofini|arrosto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
487. W|carciofini|biologici a spicchi in olio evo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
488. W|carciofini|brace|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
489. W|carciofini|extra in olio extra vergine doliva|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
490. W|carciofini|extra serrano|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
491. W|carciofini|in olio|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
492. W|carciofini|in olio extra vergine de carlo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
493. W|carciofini|selvatici e cipolla di tropea igp in agrodolce di zinurra|??|r|??|??|??|NV|13.5|igp|medio|carne vermelha, massas, queijos curados|seco
494. W|carciofini|selvatici gr 200|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
495. W|carciofini|siciliani di nonna peppa alicos|it|r|??|sicilia|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
496. W|carciofini|tagliati in olio extra vergine 200 gr de carlo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
497. W|carciofino|sottolio violetto sardo|??|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
498. W|carciofo|aperitivo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
499. W|carciofo|sottolio azienda ambrosia|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
500. W|carciofo|spinoso sardo sottolio|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
501. W|carciofo|violetto crema spalmabile|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
502. W|carciofo|violetto sottolio cuore di carciofo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
503. W|carciuga|carciuga|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
504. W|carco|carco|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
505. W|carco|blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
506. W|carco|blanc|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
507. W|carco|patrimonio antoinemarie arena|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
508. W|carco|rouge|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
509. W|carco|rouge|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
510. W|carco|vermentino aop patrimonio domaine antoine arena|??|w|vermentino|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
511. W|carcones|para navidad|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
512. W|card|1|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
513. W|card|2|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
514. W|card|21 today birthday set of 4|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
515. W|card|3|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
516. W|card|age is just a number birthday set of 4|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
517. W|card|best wishes|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
518. W|card|bicycle happy birthday set of 4|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
519. W|card|body work u|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
520. W|card|cadou 100 ron|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
521. W|card|cadou 200 ron|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
522. W|card|cadou 50 ron|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
523. W|card|cadou 600 ron|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
524. W|card|cadou republica bio|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
525. W|card|cadou valoric winederful cu valori intre 1001000 ron|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
526. W|card|case city landmark singapore memories collection set of 2|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
527. W|card|case danger singapore memories collection set of 2|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
528. W|card|case evening set of 2|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
529. W|card|case grace changes everything faith collection set of 2|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
530. W|card|case iconic landmark singapore memories collection set of 2|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
531. W|card|case imagine morandi collection set of 2|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
532. W|card|case my faith my will my way faith collection set of 2|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
533. W|card|chin up get well soon set of 4|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
534. W|card|congrats bear set of 4|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
535. W|card|floral with love set of 4|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
536. W|card|game snap bilingual|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
537. W|card|games happy families bilingual|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
538. W|card|games memorygo fishold maid bilingual|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
539. W|card|games taste the grape trivia|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
540. W|card|games wine master|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
541. W|card|get your groove on birthday set of 4|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
542. X
543. X
544. X
545. W|card|girl feather arrow birthday set of 4|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
546. W|card|happy birthday balloons card birthday set of 4|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
547. W|card|happy birthday bubbles set of 4|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
548. W|card|hello handsome birthday set of 4|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
549. W|card|here comes the glamour birthday set of 4|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
550. W|card|hip hip hooray birthday set of 4|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
551. W|card|holder pure exclusiv|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
552. W|card|holder pure exclusiv nature|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
553. W|card|holder with flap and money pocket double b saffiano black|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
554. W|card|holder zip double b|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
555. W|card|holder zip iconic black|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
556. W|card|im so proud of you|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
557. W|card|its party time birthday set of 4|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
558. W|card|lets celebrate birthday set of 4|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
559. W|card|lovely birthday lady set of 4|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
560. W|card|make a wish cupcake birthday set of 4|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
561. W|card|make a wish on your birthday set of 4|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
562. W|card|many thanks offwhite|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
563. W|card|merci beaucoup french dog thank you set of 4|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
564. W|card|new baby set of 4|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
565. W|card|on your anniversary set of 4|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
566. W|card|protector black|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
567. W|card|protector titanium|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
568. W|card|sorry youre leaving set of 4|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
569. W|card|sparkle on your birthday set of 4|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
570. W|card|thank you|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
571. W|card|thank you with gold dots|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
572. W|card|the skys the limit set of 4|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
573. W|card|thinking of you set of 4|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
574. W|card|to a fabulous friend set of 4|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
575. X
576. W|card|today have a great day 21 birthday set of 4|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
577. W|card|todays all about you birthday set of 4|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
578. W|card|tool 9en1|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
579. W|card|tool manicure set|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
580. W|card|vavavoom birthday set of 4|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
581. W|card|wedding day set of 4|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
582. W|card|wishes birthday set of 4|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
583. W|card|wishing you a glamorous birthday set of 4|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
584. W|card|wishing you a happy birthday set of 4|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
585. W|card|you did it congratulations|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
586. W|cardal|cardal|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
587. W|cardal|tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
588. W|cardamom|cardamom|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
589. W|cardamom|7 export|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
590. W|cardamom|85|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
591. W|cardamom|bitter 52 14|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
592. W|cardamom|bitter fee brothers bitters|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
593. W|cardamom|first quality|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
594. W|cardamom|fruit 25g organic|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
595. W|cardamom|green|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
596. W|cardamom|ground|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
597. W|cardamom|organic|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
598. W|cardamom|pods|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
599. W|cardamom|pods green whole 20gm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
600. W|cardamom|powder 85g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
601. W|cardamom|second quality|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
602. W|cardamom|seed|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
603. W|cardamom|seed 25g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
604. W|cardamom|seed green whole 25gm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
605. W|cardamom|sweet truffle 1 for 1|??|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
606. W|cardamome|cardamome|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
607. W|cardamome|bio|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
608. W|cardamome|fruits 25g bio|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
609. W|cardamome|moulue 35g bio|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
610. W|cardamome|verte guatemala sarabar tube|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
611. W|cardamomo|cardamomo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
612. W|cardamomo|50g kardamom|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
613. W|cardamomo|em grao gardenia grain dor|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
614. W|cardamomo|em graos carmencita 30g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
615. W|cardamomo|em po 100g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
616. W|cardamomo|em po gardenia grain dor|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
617. W|cardamomo|en semillas quiero natural|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
618. W|cardamomo|entero|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
619. W|cardamomo|ew entero 100 gr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
620. W|cardamomo|molido|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
621. W|cardamomo|molido 50g trinidad|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
622. W|cardamomo|molido quiero natural|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
623. W|cardamomo|negro en semillas 25gr quiero natural|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
624. W|cardamomo|pereg 100gr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
625. W|cardamomo|semente 50g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
626. W|cardamomo|semillas 50g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
627. W|cardamomyelakkai|cardamomyelakkai|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
628. W|cardamon|seeds 500grs|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
629. W|cardamone|tramonti costa damalfi doc|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
630. W|cardanera|cardanera|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
631. W|cardanera|cardanera|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=630
632. W|cardanera|cardanera|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=630
633. W|cardanera|cantina argiolas|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
634. W|cardanera|carignano argiolas|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
635. W|cardanera|carignano del sulcis 2017 argiolas sardinien italien|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
636. W|cardanera|carignano del sulcis 20182019 argiolas sardinien italien|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
637. W|cardanera|carignano del sulcis doc|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
638. W|cardanera|carignano del sulcis doc|??|r|??|??|??|2021|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
639. W|cardanera|carignano del sulcis doc 2021 81 z|??|r|??|??|??|2021|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
640. W|cardanera|carignona del sulcis|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
641. W|cardano|blockchain|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
642. W|cardano estate|napa valley cabernet sauvignon|us|r|cabernet sauvignon|napa valley|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
643. W|cardano|reserve cabernet sauvignon atlas peak california|us|r|cabernet sauvignon|??|??|2019|13.5|reserve|encorpado|carne vermelha, massas, queijos curados|seco
644. W|cardano|reserve cabernet sauvignon atlas peak california|us|r|cabernet sauvignon|??|??|2019|13.5|reserve|encorpado|carne vermelha, massas, queijos curados|seco|=643
645. W|cardboard|accessories display|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
646. X
647. X
648. X
649. X
650. X
651. X
652. X
653. X
654. W|carde|doc cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
655. W|cardeal|corte bordales|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
656. W|cardeal|d guilherme tinto 135o|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
657. W|cardeal|dom guilherme|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
658. W|cardedu|cardedu|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
659. W|cardedu|monica di sardegna praja|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
660. W|cardedu|astili rosso|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
661. W|cardedu|astili rosso|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
662. W|cardedu|astili rosso sardegna|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
663. W|cardedu|astili sardinia italy|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
664. W|cardedu|bianco sardegna bucce maceratoorange|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
665. W|cardedu|bianco sardegna bucce nv maceratoorange|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
666. W|cardedu|bucce|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
667. W|cardedu|bucce bianco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
668. W|cardedu|bucce bianco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=667
669. W|cardedu|bucce bianco sardegna nv|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
670. W|cardedu|bucce sardinia italy|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
671. W|cardedu|bucce vermentino blend|??|w|vermentino|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
672. W|cardedu|bundle|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
673. W|cardedu|bundle|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=672
674. W|cardedu|caladu cannonau|??|r|cannonau|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
675. W|cardedu|caladu cannonau di sardegna|??|r|cannonau|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
676. W|cardedu|caladu cannonau sardegna|??|r|cannonau|??|??|2016|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
677. W|cardedu|caladu cannonau sardegna|??|r|cannonau|??|??|2017|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
678. W|cardedu|caladu canonau di sardegna|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
679. W|cardedu|caladu canonau di sardegna|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
680. W|cardedu|cannonau caladu|??|r|cannonau|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
681. W|cardedu|cannonau di sardegna|??|r|cannonau|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
682. W|cardedu|cannonau di sardegna caladu|??|r|cannonau|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
683. W|cardedu|cannonau di sardegna caladu|??|r|cannonau|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=682
684. W|cardedu|cannonau di sardegna caladu|??|r|cannonau|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
685. W|cardedu|cannonau di sardegna caladu|??|r|cannonau|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=684
686. W|cardedu|canonau di sardegna|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
687. W|cardedu|canonau di sardegna caladu 20|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
688. W|cardedu|monica di sardegna praja|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
689. W|cardedu|monica di sardegna praja|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=688
690. W|cardedu|monica di sardegna praja|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
691. W|cardedu|monica di sardegna praja|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
692. W|cardedu|monica di sardegna praja|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=659
693. W|cardedu|monica di sardegna praja 21|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
694. W|cardedu|monica praja 2022 sardinia italy|it|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
695. W|cardedu|monica praja|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
696. W|cardedu|nuo vermentino di sardegna|??|w|vermentino|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
697. W|cardedu|orange wine bucce 2020 sardinia italy|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
698. W|cardedu|praja monica|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
699. W|cardedu|praja monica di sardegna|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
700. W|cardedu|praja monica di sardegna|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=699
701. W|cardedu|praja monica di sardegna|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=699
702. W|cardedu|praja monica di sardegna|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
703. W|cardedu|rosso di sardegna astili nv|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
704. W|cardedu|vermentino di sardegna nuo|??|w|vermentino|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
705. W|cardedu|vermentino di sardegna nuo|??|w|vermentino|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
706. W|cardedu|vermentino di sardegna nuo|??|w|vermentino|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
707. W|cardedu|vermentino di sardegna nuo 22|??|w|vermentino|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
708. W|cardedu|vermentino nuo 2022 sardinia italy|it|w|vermentino|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
709. W|cardeira|alentejo tinto|pt|r|??|alentejo|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
710. W|cardeira|branco doc|??|w|??|??|??|NV|12.5|doc|medio|peixes, frutos do mar, saladas|seco
711. W|cardeira|branco reserva doc|??|w|??|??|??|NV|12.5|doc|medio|peixes, frutos do mar, saladas|seco
712. W|cardeira|colheita tardia alentejo branco|pt|w|??|alentejo|??|2013|12.5|??|medio|peixes, frutos do mar, saladas|seco
713. W|cardeira|doc branco|??|w|??|??|??|NV|12.5|doc|medio|peixes, frutos do mar, saladas|seco
714. W|cardeira|doc tinto|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
715. W|cardeira|renees alentejo rose|pt|p|??|alentejo|??|2021|12|??|leve|carne vermelha, massas, queijos curados|seco
716. W|cardeira|renees rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
717. W|cardeira|reserva tinto|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
718. W|cardeira|talha alentejo tinto|pt|r|??|alentejo|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
719. W|cardeira|tinto doc|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
720. W|cardeira|tinto reserva doc|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
721. W|cardeira|verdelho alentejo branco|pt|w|??|alentejo|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
722. W|cardeira|verdelho branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
723. W|cardela|crianza|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
724. W|cardellino|chardonnay elena walch|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
725. W|carden|cacen penblwydd hapus cake card|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
726. W|carden|diolch thank you card|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
727. W|carden|penblwydd hapus croc card|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
