W|portugues 2 flores|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|porto|fonseca siroco 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|fonseca siroco 0|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|fonseca ruby 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|fonseca ruby 0375|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|fonseca ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|fonseca ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=444
W|porto|fonseca lbv unfiltered|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|fonseca lbv unfiltered|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=446
W|porto|fonseca guimaraens vintage 2022 075|??|f|palomino|??|??|2022|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|fonseca guimaraens vintage 2018 075|??|f|palomino|??|??|2018|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|fonseca guimaraens vintage 2018 0375|??|f|palomino|??|??|2018|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|fonseca guimaraens vintage 2015 075|??|f|palomino|??|??|2015|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|fonseca guimaraens vintage 1995|??|f|palomino|??|??|1995|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|fonseca guimaraens vint2013 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|fonseca guimaraens vint2012 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|fonseca guimaraens vint2008 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|fonseca guimaraens vint2005 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|fonseca guimaraens vint2004 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|fonseca guimaraens vint2001 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|fonseca guimaraens vint1998 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|fonseca guimaraens vint1995 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|fonseca crusted bicentenario 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|fonseca bin 27 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|fonseca 10 year old|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|fonseca 10 year old|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=463
W|porto|flor do tua superior 17 tinto costa boal|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|finest reserve quinta do crasto|??|f|palomino|??|??|NV|20|Reserva|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|fine white taylors|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|fine tawny vieira de sousa|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|fine ruby vieira de sousa|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|ferreira white 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|ferreira white|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|ferreira vintage 2018 075|??|f|palomino|??|??|2018|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|ferreira vintage 2018|??|f|palomino|??|??|2018|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|ferreira vint2000 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|ferreira vint1994 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|ferreira tawny 1x|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|ferreira tawny 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|ferreira tawny 0|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|ferreira tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|ferreira tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=479
W|porto|ferreira tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=479
W|porto|ferreira tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=479
W|porto|ferreira tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=479
W|porto|ferreira ruby 1x|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|ferreira ruby 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|ferreira ruby 0|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|ferreira ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|ferreira ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=487
W|porto|ferreira ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=487
W|porto|ferreira ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=487
W|porto|ferreira dona antonia white 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|ferreira dona antonia tawny ccalice 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|ferreira dona antonia tawny 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|ferreira dona antonia reserva tawny com estojo|??|f|palomino|??|??|NV|20|Reserva|encorpado|quesos azuis, chocolate amargo, castanhas|doce
X|=80
W|porto|ferreira dona antonia 10 anos ccalice 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|ferreira dona antonia 10 anos 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|ferreira branco|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|ferreira 20 anos tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|ferreira 10 anos tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|feist tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|feist tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=501
W|porto|feist ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|feist ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=503
W|porto|feist 10 years old|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|feist 10 years old|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=505
W|porto|estreia branco|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|encostas da ribeira tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|encostas da ribeira ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|dows vintage 2017 075|??|f|palomino|??|??|2017|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|dows vintage 2016 075|??|f|palomino|??|??|2016|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|dows tawny 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|dows quinta senhora da ribeira vintage 2019 075|??|f|palomino|??|??|2019|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|dows quinta senhora da ribeira vintage 2018 075|??|f|palomino|??|??|2018|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|dows fine white|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|dows fine white|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=515
W|porto|dows fine tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|dows fine ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|dows fine ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=518
W|porto|dona matilde colheita 2010 075|??|f|palomino|??|??|2010|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|dona antonia douro|pt|f|palomino|douro|??|NV|20|DOC|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|dona antonia|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|don jose tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|dom manuel tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|dom jose tawny tinto|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|dom jose tawny 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|dom jose ruby tinto|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|dom jose ruby 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|dom jose ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|dom jose ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=529
W|porto|cruz white|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|cruz tawny 070|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|cruz tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|croft vintage 2017 075|??|f|palomino|??|??|2017|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|croft vintage 2016 075|??|f|palomino|??|??|2016|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|croft qtaroeda vint2012 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|croft pink 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|costa boal vintage|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|costa boal tawny very very old|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|costa boal tawny 50 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|costa boal tawny 30 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|costa boal tawny 20 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|cortes do reguengo 20 anos tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|conde monsul white|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|conde monsul tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|conde de monsul white|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|comenda tawny tinto|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|comenda ruby tinto|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|colheita vieira de sousa|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|colheita 1975 taylors|??|f|palomino|??|??|1975|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|cockburns tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|cockburns special reserve 075|??|f|palomino|??|??|NV|20|Reserva|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|cockburns ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|cockburns lbv 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|cockburns fine white 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|cockburns fine white|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|cockburns fine tawny 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|cockburns fine ruby 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|ceremony tawny de vidro|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|ceremony ruby garrafa|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|ceremony ruby de vidro|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|ceremony ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|ceremony branco seco|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|ceremony branco|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|castelo sulco|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|calem vintage 2011|??|f|palomino|??|??|2011|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|calem vintage 1999|??|f|palomino|??|??|1999|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|calem vintage 1999|??|f|palomino|??|??|1999|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=567
W|porto|calem vintage 1999|??|f|palomino|??|??|1999|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=567
W|porto|calem velhotes tawny 1x|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|calem velhotes tawny 0|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|calem velhotes tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|calem velhotes tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=572
W|porto|calem velhotes tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=572
W|porto|calem velhotes ruby tinto|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|calem velhotes ruby 1x|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|calem velhotes ruby 0|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|calem velhotes ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|calem velhotes ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=578
W|porto|calem velhotes ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=578
W|porto|calem velhotes fine white|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|calem velhotes fine white|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=581
W|porto|calem velhotes fine white|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=581
W|porto|calem tawny 40 years|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|calem tawny 40 years|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=584
W|porto|calem rose|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|calem lbv 2004|??|f|palomino|??|??|2004|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|calem colheita 2003|??|f|palomino|??|??|2003|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|calem colheita 1996|??|f|palomino|??|??|1996|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|calem colheita 1996|??|f|palomino|??|??|1996|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=589
W|porto|calem colheita 1990|??|f|palomino|??|??|1990|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|calem colheita 1990|??|f|palomino|??|??|1990|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=591
W|porto|calem colheita 1990|??|f|palomino|??|??|1990|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=591
W|porto|calem 30 years|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|calem 30 years|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=594
W|porto|calem 30 years|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=594
W|porto|calem 30 anos 0|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|calem 20 anos 0|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|calem 10 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|cadao white|pt|f|palomino|dao|??|NV|20|DOC|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|cadao tawny|pt|f|palomino|dao|??|NV|20|DOC|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|cadao ruby|pt|f|palomino|dao|??|NV|20|DOC|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|burtons tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|burtons ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|burtons 20 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|burtons 10 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|burtons 10 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=606
W|porto|burmester vintage 2003|??|f|palomino|??|??|2003|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|burmester tawny 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|burmester 20 anos 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|burmester 10 anos ccalice 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|burmester 10 anos 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|branco chip dry taylors|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|branco calem velhotes|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|borges white|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|borges vintage 2015 075|??|f|palomino|??|??|2015|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|borges tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|borges soalheira tawny 10 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|borges soalheira old white 10 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|borges soalheira old tawny 20 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|borges ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|borges reserve white|??|f|palomino|??|??|NV|20|Reserva|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|borges reserve tawny|??|f|palomino|??|??|NV|20|Reserva|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|borges reserve ruby|??|f|palomino|??|??|NV|20|Reserva|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|borges reserva tawny garrafa magnum 1|??|f|palomino|??|??|NV|20|Reserva|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|borges doce aloirado|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|borges coroa tawny garrafa magnum 1|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|borges coroa tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|borges coroa 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|blackett 10 anos 075|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|barros white|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|barros tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|barros ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|barros colheita 2008 0|??|f|palomino|??|??|2008|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|barros colheita 2007 0|??|f|palomino|??|??|2007|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|barros colheita 2005 0|??|f|palomino|??|??|2005|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|barros colheita 2002|??|f|palomino|??|??|2002|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|barros colheita 1998 0|??|f|palomino|??|??|1998|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|barros colheita 1995|??|f|palomino|??|??|1995|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|barros colheita 1974|??|f|palomino|??|??|1974|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|barros colheita 1964 0|??|f|palomino|??|??|1964|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|barriquinha tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|b 30 years old tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|andresen fine white|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|andresen fine tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|andresen fine ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|andresen 10 anos white|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|adriano reserva 1x|??|f|palomino|??|??|NV|20|Reserva|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|adriano ramos tinto adriano ramos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|adriano ramos pinto tto|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|adriano ramos pinto branco|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|adriano r pinto 10anos tawny tto 1x|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|20 anos taylors|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|10a cruz|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|porto|10 anos taylors|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|portillo|valle de uco sauvignon blanc dulce natural 2022|??|w|sauvignon blanc|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portillo|valle de uco sauvignon blanc 2022|??|w|sauvignon blanc|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|portillo|valle de uco pinot noir 2022|??|r|pinot noir|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portillo|valle de uco malbec 2022|??|r|malbec|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|portillo|valle de uco chardonnay 2022|??|w|chardonnay|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
