W|rapariga da quinta colheita seleccionada|seleccionada|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do morgado sc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do morgado rose suave|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|demi-sec
W|quinta|do morgado rosado suave|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|demi-sec
W|quinta|do morgado rosado suave|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|demi-sec|=442
W|quinta|do morgado rosado|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|quinta|do morgado rosado|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=444
W|quinta|do morgado reservado merlot seco|??|r|merlot|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta|do morgado reservado cabernet suave|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|demi-sec
W|quinta|do morgado reservado cabernet seco|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta|do morgado cabernet sauvignon tinto|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do morgado cabernet sauvignon suave tinto|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec
W|quinta|do morgado cabernet sauvignon suave|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec
W|quinta|do morgado cabernet sauvignon suave|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec|=451
W|quinta|do morgado cabernet sauvignon suave|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec|=451
W|quinta|do morgado cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do morgado cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=454
W|quinta|do morgado cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=454
W|quinta|do morgado branco suave|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|demi-sec
W|quinta|do morgado branco suave|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|demi-sec|=457
W|quinta|do morgado branco suave|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|demi-sec|=457
W|quinta|do morgado branco suave|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|demi-sec|=457
W|quinta|do morgado branco suave|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|demi-sec|=457
W|quinta|do morgado branco seco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta|do morgado branco seco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=462
W|quinta|do morgado branco seco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=462
W|quinta|do morgado branco seco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=462
W|quinta|do morgado bordo tinto seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do morgado bordo tinto seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=466
W|quinta|do morgado bordo suave tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec
X
W|quinta|do morgado bordo suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec
W|quinta|do morgado bordo suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec|=470
W|quinta|do morgado bordo suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec|=470
W|quinta|do morgado bordo suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec|=470
W|quinta|do morgado bordo suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec|=470
W|quinta|do morgado bordo suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec|=470
W|quinta|do morgado bordo suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec|=470
W|quinta|do morgado bordo suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec|=470
W|quinta|do morgado bordo suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec|=470
W|quinta|do morgado bordo seco tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do morgado bordo meio seco tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do morgado bordo meio seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do morgado bordo meio seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=481
W|quinta|do morgado bordo meio seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=481
W|quinta|do morgado bordo meio seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=481
W|quinta|do morgado bordo meio seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=481
W|quinta|do monte xisto oriente tinto 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do monte xisto orbita tinto 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do monte xisto 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do monte doiro tinto 2013|??|r|??|??|??|2013|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do monte doiro reserva tinto 2022|??|r|??|??|??|2022|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta|do monte doiro reserva tinto 2021|??|r|??|??|??|2021|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta|do monte doiro reserva branco 2022|??|w|??|??|??|2022|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|quinta|do monte d oiro reserva tinto 2020|??|r|??|??|??|2020|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta|do monte d oiro reserva tinto 2019|??|r|??|??|??|2019|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta|do monte d oiro petit verdot tinto 2020|??|r|petit verdot|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do monte d oiro parcela 24 tinto 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do monte d oiro cabernet franc tinto 2021|??|r|cabernet franc|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do monte branco suave|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|demi-sec
W|quinta|do monte branco suave|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|demi-sec|=498
W|quinta|do judeu reserva tinto doc|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta|do judeu reserva tinto doc|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=500
W|quinta|do judeu reserva branco doc|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|quinta|do judeu reserva branco doc|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco|=502
W|quinta|do jubair tinto suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec
W|quinta|do jubair tinto bordo suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec
W|quinta|do jubair bordo suave tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec
W|quinta|do gradil viosinho branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta|do gradil syrah touriga nacional rose 2018|??|p|syrah|??|??|2018|12.5|??|medio|saladas, sushi, petiscos|seco
W|quinta|do gradil syrah tinto 2017|??|r|syrah|??|??|2017|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do gradil sauvignon blanc arinto 2018 branco|??|w|sauvignon blanc|??|??|2018|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta|do gradil reserva tinto 2016|??|r|??|??|??|2016|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta|do gradil reserva tinto 2014|??|r|??|??|??|2014|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta|do gradil reserva branco 2017|??|w|??|??|??|2017|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|quinta|do gradil cabernet sauvignon tinta roriz tinto 2014|??|r|cabernet sauvignon|??|??|2014|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do estanho vinhas velhas grande reserva tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta|do estanho reserva tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta|do estanho colheita tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do espinho grande reserva douro|pt|r|??|douro|??|NV|14.5|DOC|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta|do espinho douro doc|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do cume selection tinto 2017|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do crasto xisto roquette cazes|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do crasto vintage 2018 0|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do crasto vinha velha reserva 1x|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta|do crasto vinha maria teresa tinto 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do crasto vinha maria teresa tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do crasto vinha maria teresa 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do crasto vinha maria teresa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do crasto vinha da ponte tinto 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do crasto vinha da ponte tinto 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=528
W|quinta|do crasto vinha da ponte tinto 2018 1|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do crasto vinha da ponte tinto 2016|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do crasto vinha da ponte tinto 2012|??|r|??|??|??|2012|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do crasto vinha da ponte tinto 2010|??|r|??|??|??|2010|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do crasto touringa nacional 2017|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do crasto touriga nacional tinto 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do crasto touriga nacional tinto 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do crasto touriga nacional tinto 2018 1|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do crasto touriga nacional tinto 2017|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do crasto touriga nacional tinto 2017|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=538
W|quinta|do crasto touriga nacional tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do crasto touriga nacional 2018 0|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do crasto touriga nacional|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do crasto touriga franca tinto 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do crasto touriga franca tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do crasto touriga franca 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do crasto touriga franca 2018 1|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do crasto touriga franca 2017|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do crasto touriga franca 0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do crasto tinto roriz 2012|??|r|??|??|??|2012|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do crasto tinta roriz tinto 0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do crasto tinta roriz tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do crasto tinta roriz tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=551
W|quinta|do crasto tinta roriz 2018|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do crasto tinta roriz 2017 1|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do crasto tinta roriz 2015|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do crasto tinta roriz|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do crasto superior tinto magnum|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do crasto superior tinto 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do crasto superior tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do crasto superior tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=559
W|quinta|do crasto superior tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=559
W|quinta|do crasto superior syrah tinto|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do crasto superior syrah 2020 tinto portugal|??|r|syrah|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do crasto superior syrah 0|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do crasto superior douro magnum tto 1x|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do crasto superior douro doc 1x|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do crasto superior douro 2021 tto|pt|r|??|douro|??|2021|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do crasto superior branco 2024|??|w|??|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta|do crasto superior branco 0|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta|do crasto superior branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta|do crasto superior branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=570
W|quinta|do crasto rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|quinta|do crasto roquette cazes doc douro|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do crasto reserva vinhas velhas tinto 2022|??|r|??|??|??|2022|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta|do crasto reserva vinhas velhas tinto 2022|??|r|??|??|??|2022|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=574
W|quinta|do crasto reserva vinhas velhas tinto 2022|??|r|??|??|??|2022|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=574
W|quinta|do crasto reserva vinhas velhas tinto 2022|??|r|??|??|??|2022|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=574
W|quinta|do crasto reserva vinhas velhas tinto 2020|??|r|??|??|??|2020|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta|do crasto reserva vinhas velhas tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta|do crasto reserva vinhas velhas tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=579
W|quinta|do crasto reserva vinhas velhas 2015|??|r|??|??|??|2015|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta|do crasto reserva vinhas velhas 1|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta|do crasto reserva vinhas velhas 0|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta|do crasto reserva vinhas velhas|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta|do crasto reserva vinhas velhas|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=584
W|quinta|do crasto reserva vinhas velhas|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=584
W|quinta|do crasto reserva tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta|do crasto porto vintage tinto|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|quinta|do crasto porto tawny 40 anos tinto|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|quinta|do crasto porto tawny 30 anos tinto|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|quinta|do crasto porto finest reserve tinto|??|f|palomino|??|??|NV|20|Reserva|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|quinta|do crasto porto finest reserve tinto|??|f|palomino|??|??|NV|20|Reserva|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=591
W|quinta|do crasto porto finest reserve tinto|??|f|palomino|??|??|NV|20|Reserva|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=591
W|quinta|do crasto porto finest reserve|??|f|palomino|??|??|NV|20|Reserva|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|quinta|do crasto porto colheita tinto|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|quinta|do crasto porto colheita 1998|??|f|palomino|??|??|1998|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|quinta|do crasto porto colheita 1997|??|f|palomino|??|??|1997|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|quinta|do crasto porto colheita 1997|??|f|palomino|??|??|1997|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce|=597
W|quinta|do crasto porto 10years tto 1x|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|quinta|do crasto maria teresa tinto 2017|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do crasto maria teresa tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do crasto maria teresa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do crasto honore tinto 2015|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do crasto honore 2015|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do crasto flor de crasto tinto 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do crasto finest reserve 0|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta|do crasto douro tinto 1x|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do crasto douro tinto 15lts|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do crasto douro rose|pt|p|??|douro|??|NV|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|quinta|do crasto douro reserva tinto|pt|r|??|douro|??|NV|14.5|DOC|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta|do crasto douro doc bco 1x|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do crasto douro doc|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do crasto branco 2024|??|w|??|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta|do crasto branco 0|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta|do crasto altitude 430 tinto 0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do crasto altitude 430 doc douro tinto|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do crasto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do cotto grande escolha doc tinto seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do cidro sauvignon blanc branco 2024|??|w|sauvignon blanc|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta|do cidro rose 2023|??|p|??|??|??|2023|12.5|??|medio|saladas, sushi, petiscos|seco
W|quinta|do cidro rose 2022|??|p|??|??|??|2022|12.5|??|medio|saladas, sushi, petiscos|seco
W|quinta|do cidro pinot noir tinto 2024|??|r|pinot noir|??|??|2024|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do cidro pinot noir tinto 2023|??|r|pinot noir|??|??|2023|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do cidro gewurztraminer branco 2024|??|w|??|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta|do cidro chardonnay branco 2024|??|w|chardonnay|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta|do cidro arinto branco 2023|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta|do castro touriga nacional tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do castro touriga franca tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do casal branco tinto|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta|do carmo rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|quinta|do carmo reserva|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta|do carmo ip branco 1x|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta|do carmo branco 2024|??|w|??|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta|do carmo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do cardo vinha do pombal tinto 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do cardo vinha do lomedo siria branco 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta|do cardo vinha do castelo tinto 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do cardo superior tinto 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do cardo superior branco 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta|do caleiro reserva douro|pt|r|??|douro|??|NV|14.5|DOC|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta|do caleiro reserva douro|pt|r|??|douro|??|NV|14.5|DOC|encorpado|carnes vermelhas, massas, queijos curados|seco|=640
W|quinta|do caleiro reserva douro|pt|r|??|douro|??|NV|14.5|DOC|encorpado|carnes vermelhas, massas, queijos curados|seco|=640
W|quinta|do cadeado branco portugues cadeado wines|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta|do cachao tto douro|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do cachao touriga nacional|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do cachao douro|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do cachao douro|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco|=646
W|quinta|do cachao|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do cachao|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=648
W|quinta|do boicao grande reserva lisboa igp|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|quinta|do azevedo loureiro escolha branco 2024|??|w|??|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|quinta|do ataide vinha do arco tinto 2016 0|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do ataide tinto 2018|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|quinta|do ataide tinto 2016 0|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
