W|finca las|moras malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca natalina|cabernet sauvignon 6 bottles|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca natalina|chardonnay|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca natalina|chardonnay|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco|=471
W|finca natalina|malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca natalina|malbec 2022|??|r|??|??|??|2022|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca navahermosa|sol cabernet sauvignon 2021|??|r|??|??|??|2021|13.5|ava|encorpado|carne vermelha; queijo curado; massas|seco
W|finca navahermosa|sol chardonnay 2021|??|w|??|??|??|2021|12.5|ava|leve|peixes; frutos do mar; saladas|seco
W|finca navahermosa|sol sauvignon blanc 2022|??|w|??|??|??|2022|12.5|ava|leve|peixes; frutos do mar; saladas|seco
W|finca navahermosa|sol verdejo|??|w|??|??|??|NV|12.5|ava|leve|peixes; frutos do mar; saladas|seco
W|finca notables|cabernet el esteco 2017|??|r|??|??|??|2017|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca notables|malbec el esteco|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca notables|malbec el esteco 2020|??|r|??|??|??|2020|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca nueva|2010 finca nueva gran reserva 10|??|r|??|??|??|2010|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca nueva|2018 rioja crianza|es|r|??|??|??|2018|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca nueva|barrel fermented rioja spanje 2021|es|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca nueva|crianza|??|r|??|??|??|NV|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca nueva|crianza|??|r|??|??|??|NV|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco|=485
W|finca nueva|crianza|??|r|??|??|??|NV|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco|=485
W|finca nueva|crianza|??|r|??|??|??|NV|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco|=485
W|finca nueva|crianza 2015|??|r|??|??|??|2015|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca nueva|crianza 2017|??|r|??|??|??|2017|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca nueva|crianza 2018|??|r|??|??|??|2018|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca nueva|crianza 2018|??|r|??|??|??|2018|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco|=491
W|finca nueva|crianza 2018|??|r|??|??|??|2018|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco|=491
W|finca nueva|crianza 2018|??|r|??|??|??|2018|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco|=491
W|finca nueva|crianza rioja|es|r|??|??|??|NV|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca nueva|crianza tempranillo 2018|??|r|??|??|??|2018|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca nueva|fermentado barrica 2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca nueva|gran reserva 2010|??|r|??|??|??|2010|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca nueva|gran reserve 2010|??|r|??|??|??|2010|13.5|reserve|medio|carne vermelha; queijo curado; massas|seco
W|finca nueva|reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca nueva|reserva 2014|??|r|??|??|??|2014|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca nueva|reserva 2014|??|r|??|??|??|2014|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco|=501
W|finca nueva|reserva 2016|??|r|??|??|??|2016|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca nueva|rioja|es|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca nueva|rioja barrel fermented blanco 2021|es|w|??|??|??|2021|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca nueva|rioja blanco fermentado barrica rioja spain|es|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca nueva|rioja rosado 2022|es|p|??|??|??|2022|12.5|??|leve|saladas; aves; queijos leves|seco
W|finca nueva|rioja viura white|es|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca nueva|rosado rioja|es|p|??|??|??|NV|12.5|??|leve|saladas; aves; queijos leves|seco
W|finca nueva|tempranillo reserva 2016|??|r|??|??|??|2016|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca nueva|vendimia 2018|??|r|??|??|??|2018|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca nueva|vendimia rioja doc 2020|es|r|??|??|??|2020|13.5|doc|medio|carne vermelha; queijo curado; massas|seco
W|finca nueva|viura 2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca nueva|viura 2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca nueva|viura rioja|es|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca o|pereiro 2023 albamar rias baixas spanien|??|r|??|??|??|2023|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca o|pereiro 2024 albamar rias baixas spanien|??|r|??|??|??|2024|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca o|pereiro albarino 2024|??|w|??|??|??|2024|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca o|perieiro albamar albarino|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca olivardots|vermell 2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca os|cobatos godello blanco|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca os|cobatos godello monterrei|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca os|cobatos monterrei godello 2024|??|r|??|??|??|2024|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca os|cobatos monterrei godello 2025|??|r|??|??|??|2025|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca os|loureiros 2023 de casal de arman|??|r|??|??|??|2023|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca parera|2016 sasso penedes|??|r|??|??|??|2016|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca parera|2022 khronos sumoll|??|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca parera|2023 fins als kullons|??|r|??|??|??|2023|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca parera|2023 penedes clar|??|r|??|??|??|2023|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca parera|2024 clar penedes white|??|w|??|??|??|2024|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca parera|clar|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca parera|clar 2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca parera|clar 2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=532
W|finca parera|clar penedes 2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca parera|doras delight mediterranean light white 1|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca parera|el clar vdm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca parera|el fosc vdm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca parera|fak|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca parera|faust 14 penedes do|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca parera|fins als kullons 2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca parera|fins als kullons 2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca parera|fins als kullons 2020 115|??|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca parera|fins als kullons 2021 penedes spain|es|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca parera|fins als kullons 2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca parera|fins als kullons penedes|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca parera|fins als kullons vdm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca parera|fins als kulons 2023 liter|??|r|??|??|??|2023|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca parera|fosc|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca parera|fosc|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=548
W|finca parera|fosc|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=548
W|finca parera|fosc 2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca parera|fosc 2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca parera|fosc 2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=552
W|finca parera|fosc tinto 2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca parera|hopp salvatge ancestral|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca parera|khronos vdm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca parera|litrona penedes white 2024|??|w|??|??|??|2024|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca parera|litrona white 2020|??|w|??|??|??|2020|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca parera|mala herba 2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca parera|mala herba ancestral xarello 2019 penedes spain|es|r|??|??|??|2019|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca parera|penedes fins als kullons|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca parera|penedes fins als kullons|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=561
W|finca parera|penedes khronos 2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca parera|penedes mala herba 2018|??|r|??|??|??|2018|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca parera|penedes mala herba sparkling 2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca parera|sasso 2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca parera|sasso natural wine xarello penedes spain|es|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca parera|sasso vdm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca pasion|miamor malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca paso|malo monastrell tinto ecologico final largo de bodegas lavia|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca passion|mi fuego syrah|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca passo|cuelo cabernet sauvignon tannat marselan 2020|??|r|??|??|??|2020|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca passo|cuelo merlot tannat marselan 2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca patagonia|expedicion single vineyard selection sauvignon blanc central valley do 2021|ar|w|??|??|??|2021|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca patagonia|expedicion single vineyard selection sauvignon blanc central valley do 2022|ar|w|??|??|??|2022|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca patagonia|expedicion single vineyard selection sauvignon blanc central valley do 2023|ar|w|??|??|??|2023|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca patagonia|expedicion single vineyard selection vinho tinto|ar|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca patagonia|single vineyard selection chardonnay central valley do 2022|ar|w|??|??|??|2022|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca patagonia|single vineyard selection merlot central valley do 2023|ar|r|??|??|??|2023|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca patagonia|single vineyard selection red blend|ar|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca patagonia|single vineyard selection sauvignon blanc central valley do 2022|ar|w|??|??|??|2022|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca pena|lobera|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca penapedre|2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca pepe|la majada 2020 bodegas algil|??|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca perdriel|2007 single vineyard|??|r|??|??|??|2007|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca perdriel|coleccion malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca perdriel|malbec mendoza argentina|ar|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca piedra|caliza malbec 2019|??|r|??|??|??|2019|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca piedra|caliza malbec 2020|??|r|??|??|??|2020|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca piedra|caliza malbec 2023|??|r|??|??|??|2023|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca piedra|caliza terroir hunting block 7 malbec organico 2021|??|r|??|??|??|2021|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca piedra|caliza terroir hunting block 9 cabernet sauvignon 2018|??|r|??|??|??|2018|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca piedra|infinita|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca piedra|infinita 2018|??|r|??|??|??|2018|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca piedra|infinita paraje altamira 2017 98pts parker|??|r|??|??|??|2017|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca piedra|infinita supercal 2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca piedra|infinita supercal 2019 100 pts rober parker|??|r|??|??|??|2019|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca piedra|infinita supercal 2019 setx3|??|r|??|??|??|2019|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca pombeiras|2015 adegas guimaro|??|r|??|??|??|2015|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca pombeiras|single vineyard mencia 2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca primera|malbecmoscatel|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca primera|sangioveseancellota|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca primera|torrontesugni blanc naranjo|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca punta|alta sauvignon blanc 2024|??|w|??|??|??|2024|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca racons|racons|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca ramon|ecologico|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca raton|reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca reboreda|ribeiro do a telleira parcelas|es|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca remota|malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca remota|malbec 2006 mendel wines mendoza argentina|ar|r|??|??|??|2006|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca remota|mendel wines malbec 6 bottles|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca resalso|resalso|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca resalso|resalso|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=612
W|finca resalso|resalso|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=612
W|finca resalso|resalso|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=612
W|finca resalso|resalso|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=612
W|finca resalso|resalso|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=612
W|finca resalso|resalso|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=612
W|finca resalso|resalso|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=612
W|finca resalso|resalso|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=612
W|finca resalso|2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca resalso|2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca resalso|2022 1 botella de|??|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca resalso|2023 ribera del duero|es|r|??|??|??|2023|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca resalso|2024|??|r|??|??|??|2024|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca resalso|2024|??|r|??|??|??|2024|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=625
W|finca resalso|2024|??|r|??|??|??|2024|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=625
W|finca resalso|em roble|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca resalso|emilio moro|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca resalso|emilio moro|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=629
W|finca resalso|emoro 2024|??|r|??|??|??|2024|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca resalso|joven|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca resalso|magnum 2024|??|r|??|??|??|2024|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca resalso|magnum emoro 2024|??|r|??|??|??|2024|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca resalso|ribera del duero|es|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca resalso|ribera del duero|es|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=635
W|finca resalso|ribera del duero|es|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=635
W|finca resalso|ribera del duero|es|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=635
W|finca resalso|ribera del duero|es|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=635
W|finca resalso|roble|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca resalso|roble emilio moro 075|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca resalso|tempranillo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca rio|negro|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca rio|negro|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=643
W|finca rio|negro|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=643
W|finca rio|negro 145vol 2018|??|r|??|??|??|2018|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca rio|negro 2016|??|r|??|??|??|2016|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca rio|negro 2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca rio|negro 2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=648
W|finca rio|negro 5 anos|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca rio|negro 5o ano|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca rio|negro 5o ano|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=651
W|finca rio|negro 5o ano|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=651
W|finca rio|negro 992|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca rio|negro 992|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=654
W|finca rio|negro 992|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=654
W|finca rio|negro 992|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=654
W|finca rio|negro blanco gewurztraminer|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca rio|negro cerro del lobo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca rio|negro cerro del lobo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=659
W|finca rio|negro crianza|??|r|??|??|??|NV|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca rio|negro crianza 2019|??|r|??|??|??|2019|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca rio|negro gewurstraminner|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca rio|negro gewurztraminer|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca rio|negro gewurztraminer 2024|??|w|??|??|??|2024|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca rio|negro gewurztraminer 2024|??|w|??|??|??|2024|12.5|??|leve|peixes; frutos do mar; saladas|seco|=665
W|finca rivadavia|bonarda gran reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca rivadavia|bonarda reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca rivadavia|bonarda reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco|=668
W|finca rivadavia|cabernet franc gran reserva|??|r|??|??|??|NV|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco
W|finca rivadavia|chardonnay reserva|??|w|??|??|??|NV|12.5|reserva|leve|peixes; frutos do mar; saladas|seco
W|finca rivadavia|chardonnay reserva|??|w|??|??|??|NV|12.5|reserva|leve|peixes; frutos do mar; saladas|seco|=671
W|finca rivadavia|gran reserva cabernet franc|??|r|??|??|??|NV|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco
W|finca rivadavia|gran reserva cabernet franc|??|r|??|??|??|NV|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco|=673
W|finca rivadavia|malbec reserva|??|r|??|??|??|NV|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco
W|finca rivadavia|malbec reserva|??|r|??|??|??|NV|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco|=675
W|finca rivadavia|reserva malbec|??|r|??|??|??|NV|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco
W|finca rivadavia|varietal torrontes|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca rodma|avizor|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca rodma|avizor 2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca rodma|avizor 2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca rodma|avizor 2021 finca rodma|??|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca rodma|avizor do ribeira del duero 2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca rodma|avizor ribera del duero 2020 spain|es|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca rodma|avizor ribera del duero spain 2020|es|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca rodma|degustations set|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca rodma|gran rodma do ribeira del duero 2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca rodma|seleccion|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca rodma|seleccion 2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca rodma|seleccion 2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca rodma|seleccion 2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=690
W|finca rodma|seleccion ribera del duero do|es|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca rodma|seleccion ribera del duero spain 2022|es|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca rosal|old vines monastrell 2017|??|r|??|??|??|2017|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca rotondo|2020 cabernet sauvignon organico|??|r|??|??|??|2020|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca rotondo|2020 malbec organico|??|r|??|??|??|2020|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca rotondo|2021 cabernet sauvignon|??|r|??|??|??|2021|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca rotondo|2021 malbec reserva|??|r|??|??|??|2021|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco
W|finca rotondo|2022 malbec|??|r|??|??|??|2022|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca rotondo|2022 malbec merlot cabernet sauvignon|??|r|??|??|??|2022|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca rotondo|2022 rose malbec|??|p|??|??|??|2022|12.5|??|encorpado|saladas; aves; queijos leves|seco
W|finca rotondo|2023 chardonnay|??|w|??|??|??|2023|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca rotondo|cabernet sauvignon reserva 2021|??|r|??|??|??|2021|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco
