1. W|casadei sogno mediterraneo|red wine mediterranean blend toscana italy 2017|pt|r|??|toscana|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
441. W|casal garcia|red|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=440
442. W|casal garcia|red|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=440
443. W|casal garcia|red sangria|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
444. W|casal garcia|red sangria|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=443
445. W|casal garcia|red sangria|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=443
446. W|casal garcia|red vinho tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
447. W|casal garcia|rosado|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
448. W|casal garcia|rosado vinho verde|pt|p|??|vinho verde|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
449. W|casal garcia|rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
450. W|casal garcia|rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=449
451. W|casal garcia|rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=449
452. W|casal garcia|rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=449
453. W|casal garcia|rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=449
454. W|casal garcia|rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=449
455. W|casal garcia|rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=449
456. W|casal garcia|rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=449
457. W|casal garcia|rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=449
458. W|casal garcia|rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=449
459. W|casal garcia|rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=449
460. W|casal garcia|rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=449
461. W|casal garcia|rose doc quinta da aveleda rosewein wein halbtrocken portugal|pt|p|??|??|??|NV|12.5|doc|leve|saladas, aves, queijos leves|seco
462. W|casal garcia|rose doc quinta da aveleda rosewein wein halbtrocken portugal|pt|p|??|??|??|NV|12.5|doc|leve|saladas, aves, queijos leves|seco|=461
463. W|casal garcia|rose doc quinta da aveleda rosewein wein halbtrocken portugal|pt|p|??|??|??|NV|12.5|doc|leve|saladas, aves, queijos leves|seco|=461
464. W|casal garcia|rose doc quinta da aveleda rosewein wein halbtrocken portugal|pt|p|??|??|??|NV|12.5|doc|leve|saladas, aves, queijos leves|seco|=461
465. W|casal garcia|rose meia garrafa|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
466. W|casal garcia|rose vinho verde|pt|p|??|vinho verde|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
467. W|casal garcia|rose vinho verde|pt|p|??|vinho verde|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=466
468. W|casal garcia|rose vinho verde|pt|p|??|vinho verde|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=466
469. W|casal garcia|rose vinho verde|pt|p|??|vinho verde|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=466
470. W|casal garcia|rose vinho verde doc ruzove polosuche 0|pt|p|??|vinho verde|??|NV|12.5|doc|leve|saladas, aves, queijos leves|seco
471. W|casal garcia|rose vinho verde x 6|pt|p|??|vinho verde|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
472. W|casal garcia|sangria|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
473. W|casal garcia|sangria|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=472
474. W|casal garcia|sangria|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=472
475. W|casal garcia sangria|blanc 75 vol|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
476. W|casal garcia sangria fruits rouges|8 vol|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
477. W|casal garcia sangria|red|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
478. W|casal garcia sangria sommerwein su|portugal|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
479. W|casal garcia sangria sommerwein su|portugal|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=478
480. W|casal garcia sangria sommerwein su|portugal|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=478
481. W|casal garcia sangria sommerwein su|portugal|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=478
482. W|casal garcia sangria tinta|75 vol|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
483. W|casal garcia sangria|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
484. W|casal garcia sangria|white|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
485. W|casal garcia sangria|white|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=484
486. W|casal garcia|sparkling rose bottle 115|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
487. W|casal garcia|sparkling rose meio seco|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
488. W|casal garcia|sparkling sangria|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
489. W|casal garcia|sweet|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
490. W|casal garcia|sweet|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=489
491. W|casal garcia sweet|branco|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
492. W|casal garcia sweet|branco|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=491
493. W|casal garcia sweet|branco|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=491
494. W|casal garcia sweet|branco|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=491
495. W|casal garcia sweet minho|2024 white sweet 9 075|pt|w|??|minho|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
496. W|casal garcia sweet quinta da aveleda trajadura weiwein wein su|portugal|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
497. W|casal garcia sweet quinta da aveleda trajadura weiwein wein su|portugal|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=496
498. W|casal garcia sweet quinta da aveleda trajadura weiwein wein su|portugal|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=496
499. W|casal garcia sweet quinta da aveleda trajadura weiwein wein su|portugal|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=496
500. W|casal garcia sweet|red rotwein wein su portugal|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
501. W|casal garcia sweet|red rotwein wein su portugal|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=500
502. W|casal garcia sweet|red rotwein wein su portugal|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=500
503. W|casal garcia sweet|rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
504. W|casal garcia sweet|rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=503
505. W|casal garcia sweet|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
506. W|casal garcia sweet|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=505
507. W|casal garcia sweet|tinto vinho regional lisboa cervene sladke 0|pt|r|??|lisboa|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
508. W|casal garcia sweet|vinho verde|pt|r|??|vinho verde|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
509. W|casal garcia sweet|vinho verde branco sladke|pt|w|??|vinho verde|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
510. W|casal garcia sweet|vinho verde branco sladke|pt|w|??|vinho verde|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=509
511. W|casal garcia sweet|vinho verde tinto sladke|pt|r|??|vinho verde|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
512. W|casal garcia sweet|vinho verde tinto sladke|pt|r|??|vinho verde|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=511
513. W|casal garcia|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
514. W|casal garcia|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=513
515. W|casal garcia|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=513
516. W|casal garcia|tinto 2019 vinho regional lisboa cervene suche 0|pt|r|??|lisboa|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
517. W|casal garcia v verde|rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
518. W|casal garcia verde|12 szt|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
519. W|casal garcia verde|6 szt|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
520. W|casal garcia verde|blanco kit viaje 0|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
521. W|casal garcia verde|blanco kit viaje 0|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=520
522. W|casal garcia verde|blanco rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
523. W|casal garcia verde|blanco rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=522
524. W|casal garcia verde|sweet|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
525. W|casal garcia verde|sweet|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=524
526. W|casal garcia vihno|verde|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
527. W|casal garcia vihno verde|rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
528. W|casal garcia|vinho branco verde aveleda sweet trajadura|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
529. W|casal garcia|vinho branco verde aveleda trajadura|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
530. W|casal garcia|vinho tinto ig lisboa rotwein wein trocken portugal|pt|r|??|lisboa|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
531. W|casal garcia|vinho tinto ig lisboa rotwein wein trocken portugal|pt|r|??|lisboa|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=530
532. W|casal garcia|vinho tinto ig lisboa rotwein wein trocken portugal|pt|r|??|lisboa|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=530
533. W|casal garcia|vinho tinto red|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
534. W|casal garcia|vinho verde|pt|r|??|vinho verde|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
535. W|casal garcia|vinho verde|pt|r|??|vinho verde|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=534
536. W|casal garcia|vinho verde|pt|r|??|vinho verde|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=534
537. W|casal garcia|vinho verde|pt|r|??|vinho verde|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=534
538. W|casal garcia|vinho verde|pt|r|??|vinho verde|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=534
539. W|casal garcia|vinho verde|pt|r|??|vinho verde|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=534
540. W|casal garcia|vinho verde|pt|r|??|vinho verde|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=534
541. W|casal garcia|vinho verde|pt|r|??|vinho verde|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=534
542. W|casal garcia|vinho verde|pt|r|??|vinho verde|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=534
543. W|casal garcia|vinho verde|pt|r|??|vinho verde|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=534
544. W|casal garcia|vinho verde|pt|r|??|vinho verde|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=534
545. W|casal garcia|vinho verde|pt|r|??|vinho verde|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=534
546. W|casal garcia|vinho verde|pt|r|??|vinho verde|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=534
547. W|casal garcia|vinho verde|pt|r|??|vinho verde|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=534
548. W|casal garcia|vinho verde|pt|r|??|vinho verde|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=534
549. W|casal garcia|vinho verde|pt|r|??|vinho verde|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=534
550. W|casal garcia|vinho verde|pt|r|??|vinho verde|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=534
551. W|casal garcia|vinho verde|pt|r|??|vinho verde|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=534
552. W|casal garcia|vinho verde|pt|r|??|vinho verde|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=534
553. W|casal garcia|vinho verde|pt|r|??|vinho verde|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=534
554. W|casal garcia|vinho verde|pt|r|??|vinho verde|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=534
555. W|casal garcia|vinho verde|pt|r|??|vinho verde|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=534
556. W|casal garcia|vinho verde blanco portugal|pt|r|??|vinho verde|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
557. W|casal garcia|vinho verde branco|pt|w|??|vinho verde|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
558. W|casal garcia|vinho verde branco|pt|w|??|vinho verde|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=557
559. W|casal garcia|vinho verde branco|pt|w|??|vinho verde|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=557
560. W|casal garcia|vinho verde branco|pt|w|??|vinho verde|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=557
561. W|casal garcia|vinho verde branco|pt|w|??|vinho verde|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=557
562. W|casal garcia|vinho verde branco bottle 10|pt|w|??|vinho verde|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
563. W|casal garcia|vinho verde nv portugal|pt|r|??|vinho verde|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
564. W|casal garcia|vinho verde portugal|pt|r|??|vinho verde|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
565. W|casal garcia|vinho verde portugal|pt|r|??|vinho verde|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=564
566. W|casal garcia|vinho verde portugal|pt|r|??|vinho verde|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=564
567. W|casal garcia|vinho verde quinta da aveleda trajadura weiwein wein halbtrocken portugal|pt|r|??|vinho verde|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
568. W|casal garcia|vinho verde quinta da aveleda trajadura weiwein wein halbtrocken portugal|pt|r|??|vinho verde|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=567
569. W|casal garcia|vinho verde quinta da aveleda trajadura weiwein wein halbtrocken portugal|pt|r|??|vinho verde|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=567
570. W|casal garcia|vinho verde quinta da aveleda trajadura weiwein wein halbtrocken portugal|pt|r|??|vinho verde|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=567
571. W|casal garcia|vinho verde rose|pt|p|??|vinho verde|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
572. W|casal garcia|vinho verde rose|pt|p|??|vinho verde|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=571
573. W|casal garcia|vinho verde rose|pt|p|??|vinho verde|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=571
574. W|casal garcia|vinho verde rose|pt|p|??|vinho verde|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=571
575. W|casal garcia|vinho verde rose|pt|p|??|vinho verde|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=571
576. W|casal garcia|vinho verde rose|pt|p|??|vinho verde|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=571
577. W|casal garcia|vinho verde rose|pt|p|??|vinho verde|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=571
578. W|casal garcia|vinho verde rose|pt|p|??|vinho verde|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=571
579. W|casal garcia|vinho verde rose|pt|p|??|vinho verde|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=571
580. W|casal garcia|vinho verde rose|pt|p|??|vinho verde|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=571
581. W|casal garcia|vinho verde rose|pt|p|??|vinho verde|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=571
582. W|casal garcia|vinho verde rose bottle 105|pt|p|??|vinho verde|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
583. W|casal garcia|vinho verde rose portugal|pt|p|??|vinho verde|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
584. W|casal garcia|vinho verde rose wine|pt|p|??|vinho verde|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
585. W|casal garcia|vinho verde sangria|pt|r|??|vinho verde|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
586. W|casal garcia|vinho verde sweet|pt|r|??|vinho verde|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
587. W|casal garcia|vinho verde sweet|pt|r|??|vinho verde|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=586
588. W|casal garcia|vinho verde sweet|pt|r|??|vinho verde|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=586
589. W|casal garcia|vinho verde sweet portugal|pt|r|??|vinho verde|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
590. W|casal garcia|vinho verde sweet white|pt|w|??|vinho verde|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
591. W|casal garcia|vinho verde sweet white wine|pt|w|??|vinho verde|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
592. W|casal garcia|vinho verde weisswein weiss halbtrocken portugal|pt|r|??|vinho verde|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
593. W|casal garcia|vinho verde weisswein weiss halbtrocken portugal|pt|r|??|vinho verde|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=592
594. W|casal garcia|vinho verde weisswein weiss halbtrocken portugal|pt|r|??|vinho verde|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=592
595. W|casal garcia|vinho verde white|pt|w|??|vinho verde|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
596. W|casal garcia|vinho verde white|pt|w|??|vinho verde|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=595
597. W|casal garcia|vinho verde white|pt|w|??|vinho verde|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=595
598. W|casal garcia|vinho verde white|pt|w|??|vinho verde|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=595
599. W|casal garcia|vinho verde white|pt|w|??|vinho verde|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=595
600. W|casal garcia|white|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
601. W|casal garcia|white|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=600
602. W|casal garcia|white|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=600
603. W|casal garcia|white|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=600
604. W|casal garcia|white|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=600
605. W|casal garcia|white sangria|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
606. W|casal garcia|white sangria|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=605
607. W|casal garcia|white sangria|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=605
608. W|casal garcia|white vinho verde|pt|w|??|vinho verde|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
609. W|casal garcia|white vinho verde x 6|pt|w|??|vinho verde|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
610. W|casal martins|doc tinto|pt|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
611. W|casal martins grande escolha|doc tejo 2017|pt|r|??|tejo|??|2017|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
612. W|casal medes|rose 105|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
613. W|casal|mendes|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
614. W|casal mendes|blue|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
615. W|casal mendes|blue|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=614
616. W|casal mendes|blue|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=614
617. W|casal mendes|blue|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=614
618. W|casal mendes|blue|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=614
619. W|casal mendes blue s|6500|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
620. W|casal mendes blue|x3|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
621. W|casal mendes|branco|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
622. W|casal mendes|branco|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=621
623. W|casal mendes portugues|vinho verde branco|pt|w|??|vinho verde|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
624. W|casal mendes|rosado|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
625. W|casal mendes|rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
626. W|casal mendes|rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=625
627. W|casal mendes|rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=625
628. W|casal mendes|rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=625
629. W|casal mendes|rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=625
630. W|casal mendes|rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=625
631. W|casal mendes|rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=625
632. W|casal mendes|rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=625
633. W|casal mendes|rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=625
634. W|casal mendes|rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=625
635. W|casal mendes|rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=625
636. W|casal mendes|rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=625
637. W|casal mendes|rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=625
638. W|casal mendes|rose 075|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
639. W|casal mendes|rose baga vinho verde portugal|pt|p|baga|vinho verde|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
640. W|casal mendes|rose bairrada|pt|p|??|bairrada|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
641. W|casal mendes|rose bairrada nv|pt|p|??|bairrada|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
642. W|casal mendes|rose nv|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
643. W|casal mendes|rose nv|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=642
644. W|casal mendes|rose nv|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=642
645. W|casal mendes|rose nv vinho de mesa portugal 105|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
646. W|casal mendes|rose wine|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
647. W|casal mendes|sangria|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
648. W|casal mendes sangria|branco|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
649. W|casal mendes sangria|rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
650. W|casal mendes sangria|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
651. W|casal mendes sangria|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=650
652. W|casal mendes|vinho rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
653. W|casal mendes|vinho rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=652
654. W|casal mendes|vinho rose portugal|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
655. W|casal mendes|vinho verde|pt|r|??|vinho verde|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
656. W|casal mendes|vinho verde|pt|r|??|vinho verde|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=655
657. W|casal mendes|vinho verde|pt|r|??|vinho verde|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=655
658. W|casal mendes|vinho verde|pt|r|??|vinho verde|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=655
659. W|casal mendes|vinho verde|pt|r|??|vinho verde|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=655
660. W|casal mendes|vinho verde blanco|pt|r|??|vinho verde|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
