1. W|cascina ghercina|barolo|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
416. W|cascina tavijn|bandita|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
417. W|cascina tavijn|bandita|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=416
418. W|cascina tavijn bandita|2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
419. W|cascina tavijn bandita|2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=418
420. W|cascina tavijn bandita|2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
421. W|cascina tavijn bandita|2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=420
422. W|cascina tavijn bandita|2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
423. W|cascina tavijn bandita|barbera 2016|??|r|barbera|??|??|2016|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
424. W|cascina tavijn|barbera b 2020|??|r|barbera|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
425. W|cascina tavijn|bianca|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
426. W|cascina tavijn bianca|2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
427. W|cascina tavijn la grande teresa|2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
428. W|cascina tavijn little teresa|2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
429. W|cascina tavijn little teresa|2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=428
430. W|cascina tavijn mostro|2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
431. W|cascina tavijn nadia verrua ottavio|2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
432. W|cascina tavijn nadia verrua rosetta|2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
433. W|cascina tavijn nadia verrua teresa|2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
434. W|cascina tavijn nadia verrua teresa|2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
435. W|cascina tavijn nadia verrua vino|rosso 2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
436. W|cascina tavijn nadia verrua vino|rosso 2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
437. W|cascina tavijn|ottavio|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
438. W|cascina tavijn|ottavio|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=437
439. W|cascina tavijn ottavio|2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
440. W|cascina tavijn ottavio|2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=439
441. W|cascina tavijn ottavio|2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
442. W|cascina tavijn ottavio|2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
443. W|cascina tavijn ottavio|2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
444. W|cascina tavijn ottavio|2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=443
445. W|cascina tavijn|rosso 68|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
446. W|cascina tavijn|rosso 68 2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
447. W|cascina tavijn ruschena|2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
448. W|cascina tavijn ruschena|2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=447
449. W|cascina tavijn ruschena|2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
450. W|cascina tavijn ruschena|2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=449
451. W|cascina tavijn|teresa|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
452. W|cascina tavijn teresa|2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
453. W|cascina tavijn teresa|2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=452
454. W|cascina tavijn teresa|2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
455. W|cascina tavijn teresa|2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
456. W|cascina tavijn teresa|2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=455
457. W|cascina tavijn teresa|2023 piedmont italy|it|r|??|piedmont|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
458. W|cascina tavijn teresa la|grande|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
459. W|cascina tavijn teresa la grande|2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
460. W|cascina tavijn teresa ruche|2017|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
461. W|cascina tavijn toc|1 2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
462. W|cascina tavijn toc|1 2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=461
463. W|cascina tavijn toc|1 2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
464. W|cascina tavijn vino|rosso|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
465. W|cascina tavijn vino|rosso 2018|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
466. W|cascina tavijn vino|rosso 2018 135|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
467. W|cascina tavijn vino|rosso 2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
468. W|cascina tavijn vino|rosso 2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=467
469. W|cascina tavijn vino|rosso 2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
470. W|cascina tavijn vino|rosso 2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=469
471. W|cascina tavijn vino|rosso 68 2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
472. W|cascina tavijn vino|rosso 68 2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=471
473. W|cascina tavijn vino|rosso ottavio grignolino 2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
474. W|cascina tavijn vino|rosso teresa|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
475. W|cascina tavijn vino|rosso teresa ruche 2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
476. W|cascina val de prete luet roero arneis|2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
477. W|cascina val del prete|barbera dalba serra de gatti|??|r|barbera|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
478. W|cascina val del prete|barbera dalba serra de gatti|??|r|barbera|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=477
479. W|cascina val del prete|barbera dalba serra de gatti piedmont 2024|it|r|barbera|piedmont|??|2024|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
480. W|cascina val del prete|bizzaro|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
481. W|cascina val del prete bizzarro roero arneis|2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
482. W|cascina val del prete carolina|barbera dalba superiore 2017|??|r|barbera|??|??|2017|13.5|superiore|encorpado|carne vermelha, massas, queijos curados|seco
483. W|cascina val del prete|nebbiolo dalba|??|r|nebbiolo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
484. W|cascina val del prete|nebbiolo dalba|??|r|nebbiolo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=483
485. W|cascina val del prete|nebbiolo dalba bricco medica 2018|??|r|nebbiolo|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
486. W|cascina val del prete roero arneis|luet|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
487. W|cascina val del prete roero|docg bricco medica 2019|??|r|??|??|??|2019|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
488. W|cascina val del prete roero lino|nebbiolo 2019|??|r|nebbiolo|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
489. W|cascina val del prete vigna di lino|nebbiolo dalba|??|r|nebbiolo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
490. W|cascina val del prete vino|rosato burbero 2023|??|p|??|??|??|2023|12.5|??|leve|saladas, aves, queijos leves|seco
491. W|cascina val liberata|anarkoide|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
492. W|cascina val liberata|anarkoide|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=491
493. W|cascina val liberata anarkoide|2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
494. W|cascina val liberata|cenerina|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
495. W|cascina val liberata|cenerina|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=494
496. W|cascina val liberata cenerina|2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
497. W|cascina val liberata cenerina slarina|2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
498. W|cascina val liberata chiaro|2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
499. W|cascina val liberata|collection|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
500. W|cascina val liberata groove|2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
501. W|cascina val liberata la|musa|us|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
502. W|cascina val liberata la|musa|us|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=501
503. W|cascina val liberata la musa|2022|us|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
504. W|cascina val liberata luce|2024|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
505. W|cascina valle asinari|2020 monferrato rosso ciuchino 2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
506. W|cascina valle asinari|barbera dasti|??|r|barbera|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
507. W|cascina valle asinari|barbera dasti|??|r|barbera|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=506
508. W|cascina valle asinari|barbera dasti|??|r|barbera|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=506
509. W|cascina valle asinari|barbera dasti 2021|??|r|barbera|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
510. W|cascina valle asinari|barbera dasti 2023|??|r|barbera|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
511. W|cascina valle asinari|barbera dasti superiore 2023|??|r|barbera|??|??|2023|13.5|superiore|encorpado|carne vermelha, massas, queijos curados|seco
512. W|cascina valle asinari ciuchino|2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
513. W|cascina valle asinari ciuchino|2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=512
514. W|cascina valle asinari ciuchino|2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=512
515. W|cascina valle asinari ciuchino|rosso monferrato|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
516. W|cascina valle asinari monferrato|rosso ciuchino 2020 piedmont italy|it|r|??|piedmont|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
517. W|cascina valle asinari nizza|2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
518. W|cascina valle asinari nizza|2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=517
519. W|cascina valle asinari nizza|2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=517
520. W|cascina vano barbaresco|docg canova|it|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
521. W|cascina vengore belgardo|nebbiolo terre alfieri 2020 case|??|r|nebbiolo|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
522. W|cascina vengore belgardo|nebbiolo terre alfieri 2021|??|r|nebbiolo|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
523. W|cascina vengore belgardo terre alfieri|docg nebbiolo 2023|??|r|nebbiolo|??|??|2023|13.5|docg|encorpado|carne vermelha, massas, queijos curados|seco
524. W|cascina vengore belgardo terre alfieri|nebbiolo|??|r|nebbiolo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
525. W|cascina vengore belgardo terre alfieri|nebbiolo 2022|??|r|nebbiolo|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
526. W|cascina vengore belgardo terre alfieri|nebbiolo org 2023 14 ck|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
527. W|cascina vengore campolungo asti|docg barbera|??|r|barbera|??|??|NV|13.5|docg|encorpado|carne vermelha, massas, queijos curados|seco
528. W|cascina vengore campolungo asti|docg barbera 2024|??|r|barbera|??|??|2024|13.5|docg|encorpado|carne vermelha, massas, queijos curados|seco
529. W|cascina vengore campolungo|barbera dasti 2023 bottle|??|r|barbera|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
530. W|cascina vengore campolungo|barbera dasti 2024|??|r|barbera|??|??|2024|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
531. W|cascina vengore campolungo|barbera dasti org 2024 14 ck|??|r|barbera|??|??|2024|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
532. W|cascina vengore mignane|nebbiolo|??|r|nebbiolo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
533. W|cascina vengore mignane|nebbiolo terre alfieri 2022|??|r|nebbiolo|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
534. W|cascina vengore mignane terre alfieri|nebbiolo 2023 14 ck|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
535. W|cascina vengore mompirone|barbera dasti superiore|??|r|barbera|??|??|NV|13.5|superiore|encorpado|carne vermelha, massas, queijos curados|seco
536. W|cascina vengore mompirone|barbera dasti superiore 2022|??|r|barbera|??|??|2022|13.5|superiore|encorpado|carne vermelha, massas, queijos curados|seco
537. W|cascina vengore mompirone|barbera dasti superiore org 2023 145 ck|??|r|barbera|??|??|2023|13.5|superiore|encorpado|carne vermelha, massas, queijos curados|seco
538. W|cascina vengore san rome arneis terre alfieri|docg|??|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
539. W|cascina vengore san rome terre alfieri|arneis|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
540. W|cascina vengore sanrome|arneis|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
541. W|cascina vengore sanrome|arneis|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=540
542. W|cascina vengore sanrome arneis terre alfieri|2024|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
543. W|cascina vengore sanrome arneis terre alfieri|docg|??|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
544. W|cascina vengore sanrome terre alfieri|arneis|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
545. W|cascina vengore sanrome terre alfieri|arneis|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=544
546. W|cascina vengore sanrome terre alfieri arneis|2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
547. W|cascina vengore sanrome terre alfieri arneis org|2024 135 ck|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
548. W|cascina vengore sanrome terre alfieri|docg arneis|??|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
549. W|cascina vengore sanrome terre alfieri|docg arneis 2024|??|r|??|??|??|2024|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
550. W|cascina vengore sanrome terre alfieri|docg arneis bio|??|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
551. W|cascina vengore sanrome terre alfieri|docg arneis italy organic|??|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
552. W|cascina vengore terre alfieri|docg belgardo nebbiolo bio|??|r|nebbiolo|??|??|NV|13.5|docg|encorpado|carne vermelha, massas, queijos curados|seco
553. W|cascina vengore terre alfieri|docg mignane nebbiolo|??|r|nebbiolo|??|??|NV|13.5|docg|encorpado|carne vermelha, massas, queijos curados|seco
554. W|cascina|zerbetta|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
555. W|cascina zerbetta|barbera del monferrato|??|r|barbera|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
556. W|cascina zerbetta|barbera del monferrato|??|r|barbera|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=555
557. W|cascina zerbetta|barbera del monferrato 2020|??|r|barbera|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
558. W|cascina zerbetta|barbera del monferrato 2020|??|r|barbera|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=557
559. W|cascina zerbetta|barbera del monferrato piedmont italy|it|r|barbera|piedmont|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
560. W|cascina zerbetta la zerbetta|2020 barbera del monferrato|??|r|barbera|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
561. W|cascina zerbetta nuvo nivo origine|barbera|??|r|barbera|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
562. W|cascina zerbetta piangalardo|2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
563. W|cascina zerbetta piangalardo monferrato|rosso|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
564. W|cascina zerbetta|quattrocento|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
565. W|cascina zerbetta quattrocento|2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
566. W|cascinacorte vigna|pirochetta|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
567. W|cascinaronchi|2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
568. W|cascinaronchi azienda agricola quarticel lo montecchio emilia|re|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
569. W|cascinaronchi|brut nature 2022|??|s|??|??|??|2022|12|??|leve|aperitivos, frutos do mar, sushi|brut nature
570. W|cascine grana padano|250g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
571. W|cascine parmigiano regiano|250g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
572. W|cascinetta vietti|2025 moscato d asti|??|w|moscato|??|??|2025|12.5|??|leve|frutos do mar, peixes, saladas|seco
573. W|cascinetta vietti|2025 moscato d asti|??|w|moscato|??|??|2025|12.5|??|leve|frutos do mar, peixes, saladas|seco|=572
574. W|cascinetta vietti|moscato d asti|??|w|moscato|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
575. W|cascinone|moscato dasti vendemmia tardiva palazzina|??|w|moscato|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
576. W|casco|antistress|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
577. W|casco de la cruz sherry pedro|ximenez|??|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
578. W|casco de la cruz sherry pedro|ximenez|??|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce|=577
579. W|casco de soldadura con oscurecimiento|automatico|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
580. W|casco de soldadura con vista grandeenergia solar oscurecimiento|automatico|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
581. W|casco de soldadura oscurecimiento|automatico|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
582. W|casco kira sweet golf balls|1 dozen characters pack of 12|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
583. W|casco para bicicleta|3 en 1 rockbros|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
584. W|casco para bicicleta rockbros con|visera|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
585. W|casco para bicicleta rockbros reflectante|l|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
586. W|casco para bicicleta rockbros reflectante|m|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
587. W|casco para patinadores y ciclistas roller derby h31 talle|l|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
588. W|casco rockbros infantil para bicicleta diseno|2 en 1|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
589. W|casco sapateira recheado|fresco cancer pagurus 250g uni|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
590. W|casco ultraliviano rockbros color negro y rojo talle|m|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
591. W|casco ultraliviano rockbros color titanio talle|m|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
592. W|casco varela|malbec cabernet red blend|??|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
593. W|casco verde|reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
594. W|casco viejo|blanco|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
595. W|casco viejo|blanco|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=594
596. W|casco viejo|blanco 40|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
597. W|casco viejo|gold|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
598. W|casco viejo|gran reserva|??|r|??|??|??|NV|13.5|gran reserva|medio|carne vermelha, massas, queijos curados|seco
599. W|casco viejo|reposado|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
600. W|casco viejo|reposado|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=599
601. W|casco viejo|reposado|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=599
602. W|casco viejo|reposado|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=599
603. W|casco viejo reposado|40|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
604. W|casco viejo|silver|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
605. W|casco womens kira sweet golf balls with character marks|pack of 4|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
606. W|c|c|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
607. W|cascola cascorez nao mais pregos|85g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
608. W|cascos naranja x|200 gr serge thiry|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
609. W|case|1|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
610. W|case|10 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
611. W|case|12 south edge chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
612. W|case|12 south edge pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
613. W|case|12 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
614. W|case|15 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
615. W|case|18 month prosciutto di parma golfera lbs|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
616. W|case|24 units|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
617. W|case 24month prosciutto di parma|domenicos|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
618. W|case|3|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
619. W|case|5|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
620. W|case|6 south edge chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
621. W|case|6 south edge pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
622. W|case a cocher une biere|damour|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
623. W|case alhambra|1925 reserva|??|r|??|??|??|1925|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
624. W|case alhambra especial cans|54|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
625. W|case alte|12 filari catarratto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
626. W|case alte|12 filari catarratto doc sicilia 2020|??|r|??|??|??|2020|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
627. W|case alte|4 filari grillo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
628. W|case alte|4 filari grillo sicilia doc bio 6 x|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
629. W|case alte grillo|4 filari 2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
630. W|case alte|nero davola 16 filari doc sicilia sicily italy|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
631. W|case alte tastingpaket|4 x 075 ltr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
