1. W|caselletti puglia|igp primitivo 2020|??|r|primitivo|??|??|2020|13.5|igp|encorpado|carne vermelha, massas, queijos curados|seco
442. W|casillero del diablo devil s carnaval fabulous|red|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=441
443. W|casillero del diablo devil s collection|red|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
444. W|casillero del diablo devil s collection|white|??|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
445. W|casillero del diablo devilish|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
446. W|casillero del diablo devils|brut|??|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
447. W|casillero del diablo devils carnaval|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
448. W|casillero del diablo devils carnaval fabulous|red|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
449. W|casillero del diablo devils carnaval fabulous|red|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=448
450. W|casillero del diablo devils carnaval fabulous|red|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=448
451. W|casillero del diablo devils carnaval fabulous|red|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=448
452. W|casillero del diablo devils carnaval fabulous|red|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=448
453. W|casillero del diablo devils carnaval fabulous|red|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=448
454. W|casillero del diablo devils carnaval phenomenal|sauvignon|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
455. W|casillero del diablo devils carnaval phenomenal|sauvignon|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=454
456. W|casillero del diablo devils carnaval phenomenal|sauvignon|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=454
457. W|casillero del diablo devils carnaval phenomenal|sauvignon|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=454
458. W|casillero del diablo devils carnaval phenomenal|sauvignon|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=454
459. W|casillero del diablo devils carnaval|sauvignon|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
460. W|casillero del diablo devils carnaval spectacular|cabernet|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
461. W|casillero del diablo devils carnaval spectacular|cabernet|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=460
462. W|casillero del diablo devils carnaval spectacular|cabernet|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=460
463. W|casillero del diablo devils carnaval spectacular|cabernet|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=460
464. W|casillero del diablo devils|colec|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
465. W|casillero del diablo devils|collection|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
466. W|casillero del diablo devils collection|red 2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
467. W|casillero del diablo devils collection|reserva assemblage 2020|??|r|??|??|??|2020|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
468. W|casillero del diablo devils collection|reserva especial branco 2020|??|w|??|??|??|2020|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
469. W|casillero del diablo devils collection|reserva rose 2021|??|p|??|??|??|2021|12.5|reserva|leve|saladas, aves, queijos leves|seco
470. W|casillero del diablo devils collection|rose|??|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
471. W|casillero del diablo devils collection|rose 2020|??|p|??|??|??|2020|12.5|??|leve|saladas, aves, queijos leves|seco
472. W|casillero del diablo devils collection|white 2019|??|w|??|??|??|2019|12.5|??|leve|frutos do mar, peixes, saladas|seco
473. W|casillero del diablo devils collection|white blend|??|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
474. W|casillero del diablo devils phenominal|sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
475. W|casillero del diablo devils|reserva blanco|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
476. W|casillero del diablo diablo dark|red 2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
477. W|casillero del diablo diablo|malbec|??|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
478. W|casillero del diablo diseno|rose 750cc|??|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
479. W|casillero del diablo jammy|red devil|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
480. W|casillero del diablo|late harvest|??|d|??|??|??|NV|10|??|encorpado|sobremesas, queijos azuis, foie gras|doce
481. W|casillero del diablo maipo valley|reserve privada cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserve|encorpado|carne vermelha, massas, queijos curados|seco
482. W|casillero del diablo|malbec|??|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
483. W|casillero del diablo|malbec|??|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=482
484. W|casillero del diablo|malbec|??|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=482
485. W|casillero del diablo|malbec|??|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=482
486. W|casillero del diablo|malbec|??|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=482
487. W|casillero del diablo|malbec|??|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=482
488. W|casillero del diablo|malbec|??|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=482
489. W|casillero del diablo|malbec|??|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=482
490. W|casillero del diablo|malbec|??|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=482
491. W|casillero del diablo|malbec|??|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=482
492. W|casillero del diablo|malbec|??|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=482
493. W|casillero del diablo|malbec|??|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=482
494. W|casillero del diablo|malbec|??|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=482
495. W|casillero del diablo|malbec 2021|??|r|malbec|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
496. W|casillero del diablo|malbec reserva|??|r|malbec|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
497. W|casillero del diablo|malbec reserva|??|r|malbec|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=496
498. W|casillero del diablo|malbec reserva|??|r|malbec|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=496
499. W|casillero del diablo|malbec reserva 2019|??|r|malbec|??|??|2019|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
500. W|casillero del diablo|malbec reserva valle central|??|r|malbec|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
501. W|casillero del diablo|malbec wine|??|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
502. W|casillero del diablo|malbec x|??|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
503. W|casillero del diablo marlbec|750cc|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
504. W|casillero del diablo|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
505. W|casillero del diablo|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=504
506. W|casillero del diablo|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=504
507. W|casillero del diablo|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=504
508. W|casillero del diablo|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=504
509. W|casillero del diablo|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=504
510. W|casillero del diablo|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=504
511. W|casillero del diablo|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=504
512. W|casillero del diablo|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=504
513. W|casillero del diablo|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=504
514. W|casillero del diablo|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=504
515. W|casillero del diablo|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=504
516. W|casillero del diablo|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=504
517. W|casillero del diablo|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=504
518. W|casillero del diablo|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=504
519. W|casillero del diablo|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=504
520. W|casillero del diablo|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=504
521. W|casillero del diablo|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=504
522. W|casillero del diablo|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=504
523. W|casillero del diablo|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=504
524. W|casillero del diablo|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=504
525. W|casillero del diablo|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=504
526. W|casillero del diablo|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=504
527. W|casillero del diablo|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=504
528. W|casillero del diablo|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=504
529. W|casillero del diablo|merlot 2019|??|r|merlot|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
530. W|casillero del diablo|merlot 2020|??|r|merlot|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
531. W|casillero del diablo|merlot 2021|??|r|merlot|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
532. W|casillero del diablo|merlot 750 mlt 135|??|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
533. W|casillero del diablo|merlot 750cc|??|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
534. W|casillero del diablo|merlot reserva|??|r|merlot|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
535. W|casillero del diablo|merlot reserva|??|r|merlot|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=534
536. W|casillero del diablo|merlot reserva|??|r|merlot|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=534
537. W|casillero del diablo|merlot reserva|??|r|merlot|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=534
538. W|casillero del diablo|merlot reserva|??|r|merlot|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=534
539. W|casillero del diablo|merlot reserva|??|r|merlot|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=534
540. W|casillero del diablo|merlot reserva 20202021|??|r|merlot|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
541. W|casillero del diablo|merlot reserva chilean red wine|??|r|merlot|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
542. W|casillero del diablo|merlot x|??|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
543. W|casillero del diablo|mlt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
544. W|casillero del diablo pedro|jimenez|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
545. W|casillero del diablo pedro jimenez|reserva 2020|??|r|??|??|??|2020|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
546. W|casillero del diablo phenomenal|sauvignon|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
547. W|casillero del diablo|pinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
548. W|casillero del diablo|pinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=547
549. W|casillero del diablo|pinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=547
550. W|casillero del diablo|pinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=547
551. W|casillero del diablo|pinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=547
552. W|casillero del diablo|pinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=547
553. W|casillero del diablo|pinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=547
554. W|casillero del diablo|pinot grigio bottle|??|w|pinot grigio|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
555. W|casillero del diablo|pinot grigio wine|??|w|pinot grigio|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
556. W|casillero del diablo|pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
557. W|casillero del diablo|pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=556
558. W|casillero del diablo|pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=556
559. W|casillero del diablo|pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=556
560. W|casillero del diablo|pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=556
561. W|casillero del diablo|pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=556
562. W|casillero del diablo|pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=556
563. W|casillero del diablo|pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=556
564. W|casillero del diablo|pinot noir 750cc|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
565. W|casillero del diablo|pinot noir concha y toro 2021|??|r|pinot noir|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
566. W|casillero del diablo|pinot noir reserva|??|r|pinot noir|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
567. W|casillero del diablo|pinot noir reserva 2021|??|r|pinot noir|??|??|2021|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
568. W|casillero del diablo|pnoir|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
569. W|casillero del diablo|red blend|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
570. W|casillero del diablo|red blend|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=569
571. W|casillero del diablo|red blend|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=569
572. W|casillero del diablo|red blend|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=569
573. W|casillero del diablo|red blend|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=569
574. W|casillero del diablo|red blend|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=569
575. W|casillero del diablo|red blend|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=569
576. W|casillero del diablo|red blend|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=569
577. W|casillero del diablo|red blend|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=569
578. W|casillero del diablo|red blend|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=569
579. W|casillero del diablo|red blend ensamblaje|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
580. W|casillero del diablo|red blend reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
581. W|casillero del diablo|red blend reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=580
582. W|casillero del diablo|red blend reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=580
583. W|casillero del diablo|red blnd|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
584. W|casillero del diablo|reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
585. W|casillero del diablo|reserva belight rose|??|p|??|??|??|NV|12.5|reserva|leve|saladas, aves, queijos leves|seco
586. W|casillero del diablo|reserva belight sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
587. W|casillero del diablo|reserva belight tinto|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
588. W|casillero del diablo|reserva cabernet s|??|r|??|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
589. W|casillero del diablo|reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
590. W|casillero del diablo|reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=589
591. W|casillero del diablo|reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=589
592. W|casillero del diablo|reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=589
593. W|casillero del diablo|reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=589
594. W|casillero del diablo|reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=589
595. W|casillero del diablo|reserva cabernet sauvignon 2007|??|r|cabernet sauvignon|??|??|2007|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
596. W|casillero del diablo|reserva cabernet sauvignon 2009|??|r|cabernet sauvignon|??|??|2009|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
597. W|casillero del diablo|reserva cabernet sauvignon 2010|??|r|cabernet sauvignon|??|??|2010|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
598. W|casillero del diablo|reserva cabernet sauvignon 2013|??|r|cabernet sauvignon|??|??|2013|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
599. W|casillero del diablo|reserva cabernet sauvignon 2019|??|r|cabernet sauvignon|??|??|2019|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
600. W|casillero del diablo|reserva cabernet sauvignon 2021|??|r|cabernet sauvignon|??|??|2021|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
601. W|casillero del diablo|reserva cabernet sauvignon 750cc|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
602. W|casillero del diablo|reserva cabernet sauvignon tinto|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
603. W|casillero del diablo|reserva carmenere|??|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
604. W|casillero del diablo|reserva carmenere|??|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=603
605. W|casillero del diablo|reserva carmenere|??|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=603
606. W|casillero del diablo|reserva carmenere|??|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=603
607. W|casillero del diablo|reserva carmenere|??|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=603
608. W|casillero del diablo|reserva carmenere 20|??|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
609. W|casillero del diablo|reserva carmenere 2008|??|r|carmenere|??|??|2008|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
610. W|casillero del diablo|reserva carmenere 750cc|??|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
611. W|casillero del diablo|reserva chardonnay|??|w|chardonnay|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
612. W|casillero del diablo|reserva chardonnay|??|w|chardonnay|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco|=611
613. W|casillero del diablo|reserva chardonnay|??|w|chardonnay|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco|=611
614. W|casillero del diablo|reserva chardonnay|??|w|chardonnay|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco|=611
615. W|casillero del diablo|reserva chardonnay 2022|??|w|chardonnay|??|??|2022|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
616. W|casillero del diablo|reserva chardonnay 750cc|??|w|chardonnay|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
617. W|casillero del diablo|reserva chile cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
618. W|casillero del diablo|reserva chile carmenere|??|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
619. W|casillero del diablo|reserva chile carmenere party pairs 4 bottles|??|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
620. W|casillero del diablo|reserva chile merlot|??|r|merlot|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
621. W|casillero del diablo|reserva devils brut blanco|??|s|??|??|??|NV|12|reserva|leve|aperitivos, frutos do mar, sushi|brut
622. W|casillero del diablo|reserva especial cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
623. W|casillero del diablo|reserva especial cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=622
624. W|casillero del diablo|reserva especial cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=622
625. W|casillero del diablo|reserva especial cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=622
626. W|casillero del diablo|reserva especial cabernet sauvignon 2021|??|r|cabernet sauvignon|??|??|2021|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
627. W|casillero del diablo|reserva especial carmenere|??|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
628. W|casillero del diablo|reserva especial chardonnay|??|w|chardonnay|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
629. W|casillero del diablo|reserva especial chardonnay|??|w|chardonnay|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco|=628
630. W|casillero del diablo|reserva especial chardonnay|??|w|chardonnay|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco|=628
631. W|casillero del diablo|reserva especial chardonnay 2021|??|w|chardonnay|??|??|2021|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
632. W|casillero del diablo|reserva especial devils sparkling brut|??|s|??|??|??|NV|12|reserva|leve|aperitivos, frutos do mar, sushi|brut
633. W|casillero del diablo|reserva especial merlot|??|r|merlot|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
634. W|casillero del diablo|reserva especial merlot 2021|??|r|merlot|??|??|2021|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
635. W|casillero del diablo|reserva especial sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
636. W|casillero del diablo|reserva especial sauvignon blanc 750 cc|??|w|sauvignon blanc|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
637. W|casillero del diablo|reserva intense red|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
638. W|casillero del diablo|reserva intense red|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=637
639. W|casillero del diablo|reserva malbec|??|r|malbec|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
640. W|casillero del diablo|reserva malbec|??|r|malbec|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=639
641. W|casillero del diablo|reserva malbec 2023|??|r|malbec|??|??|2023|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
642. W|casillero del diablo|reserva malbec 750cc|??|r|malbec|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
643. W|casillero del diablo|reserva merlot|??|r|merlot|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
644. W|casillero del diablo|reserva merlot|??|r|merlot|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=643
645. W|casillero del diablo|reserva merlot|??|r|merlot|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=643
646. W|casillero del diablo|reserva merlot|??|r|merlot|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=643
647. W|casillero del diablo|reserva merlot 750cc|??|r|merlot|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
648. W|casillero del diablo|reserva pedro jimenez|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
