W|languedoc|syrah domaine baume rg|fr|r|syrah|languedoc|??|2024|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langoa|barton c6 stjulien|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langoa|barton 200th anniversary label|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langoa|barton cb6 stjulien|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langoa|barton cb6 stjulien|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langoa|barton|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langoa|barton|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=434
W|langoa|barton|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langoa|barton|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langoa|barton|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langoa|barton cb6 stjulien|??|r|??|??|??|2013|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langoa|barton|??|r|??|??|??|2013|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langoa|barton|??|r|??|??|??|2012|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langoa|barton|??|r|??|??|??|2012|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=441
W|langoa|barton original wood case|??|r|??|??|??|2009|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langoa|barton saint julien|??|r|??|??|??|2004|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langoa|barton|??|r|??|??|??|2004|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langoa|barton|??|r|??|??|??|1999|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langoa|barton|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langoa|barton|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=447
W|langoa|barton|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=447
W|langoa|barton|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=447
W|langoa|barton|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=447
W|langoa|barton|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=447
W|langoa|barton|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=447
W|langoa|barton|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=447
W|langnese|oranjebloesem honing|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langnese|linde met bloemenhoning|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langnese|golden clear honey 500g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langnese|golden clear honey 125g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langnese|golden clear honey 1000g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langnese|black forest honey 500g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langnese|black forest honey 250g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langnese|bee easy wildflower honey 250g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langnese|bee easy acacia honey 250g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langnese|acacia met lentebloemen honing|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langmeil wines|valley floor shiraz|??|r|shiraz|??|??|2021|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langmeil wines|steadfast shiraz cabernet|??|r|shiraz|??|??|2021|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langmeil wines|blacksmith cabernet sauvignon|??|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langmeil wines|5th wave grenache|??|r|grenache|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langmeil winery|three gardens vmr 12 bottles|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langmeil winery|three gardens gsm 12 bottles|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langmeil winery|the freedom 1843 shiraz 6 bottles|??|r|shiraz|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langmeil winery|the fifth wave grenache 6 bottles|??|r|grenache|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langmeil winery|spring fever chardonnay 12 bottles|??|w|chardonnay|??|??|2025|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langmeil winery|rough diamond grenache 12 bottles|??|r|grenache|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langmeil winery|pure eden shiraz 6 bottles|??|r|shiraz|??|??|2021|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langmeil winery|orphan bank shiraz 6 bottles|??|r|shiraz|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langmeil winery|live wire riesling 12 bottles|??|w|riesling|??|??|2025|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langmeil winery|lineage shiraz 3 bottles|??|r|shiraz|??|??|2018|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langmeil winery|jackamans cabernet sauvignon 6 bottles|??|r|cabernet sauvignon|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langmeil winery|bella rouge rose 12 bottles|??|p|??|??|??|2025|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|langmeil|wild child cabernet sauvignon|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langmeil|wild child cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langmeil|wild child cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=482
W|langmeil|wattle brae riesling sec|??|w|riesling|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langmeil|wattle brae riesling|??|w|riesling|??|??|2022|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langmeil|wattle brae riesling|??|w|riesling|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langmeil|wattle brae eden valley riesling|??|w|riesling|??|??|2025|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langmeil|wattle brae eden valley riesling|??|w|riesling|??|??|2024|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langmeil|wattle brae dry riesling|??|w|riesling|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langmeil|wattle brae dry riesling|??|w|riesling|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=489
W|langmeil|wattle brae dry riesling|??|w|riesling|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=489
W|langmeil|wattle brae dry riesling|??|w|riesling|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=489
W|langmeil|wattle brae dry riesling|??|w|riesling|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=489
W|langmeil|watle brae dry riesling old vine|??|w|riesling|??|??|2022|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langmeil|vf shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langmeil valley|floor shiraz magnum|??|r|shiraz|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langmeil valley|floor shiraz dozen deal|??|r|shiraz|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langmeil valley|floor shiraz barossa valley|au|r|shiraz|barossa|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langmeil valley|floor shiraz barossa|au|r|shiraz|barossa|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langmeil valley|floor shiraz australia|??|r|shiraz|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langmeil valley|floor shiraz 12 bottles|??|r|shiraz|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langmeil valley|floor shiraz|??|r|shiraz|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langmeil valley|floor shiraz|??|r|shiraz|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=502
W|langmeil valley|floor shiraz 6pack|??|r|shiraz|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langmeil valley|floor shiraz|??|r|shiraz|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langmeil valley|floor shiraz|??|r|shiraz|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=505
W|langmeil valley|floor shiraz|??|r|shiraz|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=505
W|langmeil valley|floor shiraz|??|r|shiraz|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=505
W|langmeil valley|floor shiraz|??|r|shiraz|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=505
W|langmeil valley|floor shiraz|??|r|shiraz|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=505
W|langmeil valley|floor shiraz|??|r|shiraz|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=505
W|langmeil valley|floor shiraz|??|r|shiraz|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=505
W|langmeil valley|floor shiraz|??|r|shiraz|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=505
W|langmeil valley|floor shiraz|??|r|shiraz|??|??|2021|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langmeil valley|floor shiraz|??|r|shiraz|??|??|2021|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=514
W|langmeil valley|floor shiraz|??|r|shiraz|??|??|2021|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=514
W|langmeil valley|floor shiraz|??|r|shiraz|??|??|2021|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=514
W|langmeil valley|floor shiraz baroliassa valley south australia|??|r|shiraz|??|??|2020|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langmeil valley|floor shiraz 145 abv|??|r|shiraz|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langmeil valley|floor shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langmeil valley|floor shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=520
W|langmeil valley|floor shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=520
W|langmeil valley|floor shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=520
W|langmeil valley|floor shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=520
W|langmeil valley|floor shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=520
W|langmeil valley|floor shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=520
W|langmeil valley|floor shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=520
W|langmeil valley|floor shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=520
W|langmeil valley|floor shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=520
W|langmeil valley|floor shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=520
W|langmeil valley|floor shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=520
W|langmeil valley|floor shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=520
W|langmeil valley|floor shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=520
W|langmeil valley|floor barossa shiraz|au|r|shiraz|barossa|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langmeil valley|floor barossa shiraz|au|r|shiraz|barossa|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langmeil valley|floor|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langmeil|three gardens white|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langmeil|three gardens viogniermarsanneroussanne|??|w|viognier|??|??|2021|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langmeil|three gardens viogniermarsanneroussanne|??|w|viognier|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langmeil|three gardens viogniermarsanneroussanne|??|w|viognier|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=539
W|langmeil|three gardens viognier marsanne roussanne|??|w|viognier|??|??|2022|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langmeil|three gardens viognier marsanne roussanne|??|w|viognier|??|??|2020|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langmeil|three gardens viognier marsanne roussanne|??|w|viognier|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langmeil|three gardens viognier marsanne roussanne|??|w|viognier|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=543
W|langmeil|three gardens viognier marsanne rousanne barossa valley south australia|au|w|viognier|barossa|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langmeil|three gardens viognier marsanne rousanne|??|w|viognier|??|??|2021|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langmeil|three gardens smg grenache shiraz mataro|??|r|shiraz|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langmeil|three gardens shiraz mataro grenache|??|r|shiraz|??|??|2021|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langmeil|three gardens shiraz mataro grenache|??|r|shiraz|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langmeil|three gardens shiraz grenache mataro 20222023|??|r|shiraz|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langmeil|three gardens sgm|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langmeil|three gardens sgm|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=551
W|langmeil|three gardens gsm blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langmeil|three gardens gsm|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langmeil|three gardens gsm|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=554
W|langmeil|three gardens gsm|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=554
W|langmeil|three gardens gsm|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langmeil|three gardens gsm|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=557
W|langmeil|three gardens gsm|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langmeil|three gardens gsm|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=559
W|langmeil|three gardens gsm|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langmeil|three gardens gsm|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=561
W|langmeil|three gardens gsm|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=561
W|langmeil|three gardens gsm|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=561
W|langmeil|three gardens grenacheshirazmataro|??|r|shiraz|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langmeil|three gardens grenacheshirazmataro|??|r|shiraz|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langmeil|three gardens grenache shiraz mataro 6 pack|??|r|shiraz|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langmeil|three gardens grenache shiraz mataro|??|r|shiraz|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langmeil|three gardens grenache shiraz mataro|??|r|shiraz|??|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=568
W|langmeil|three gardens grenache shiraz mataro|??|r|shiraz|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langmeil|three gardens grenache barossa|au|r|grenache|barossa|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langmeil|three gardens barossa|au|r|??|barossa|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langmeil|three gardens|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langmeil|three gardens|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langmeil|the long mile shiraz|??|r|shiraz|??|??|2024|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langmeil|the long mile shiraz|??|r|shiraz|??|??|2024|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=575
W|langmeil|the long mile shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langmeil|the freedom shiraz|??|r|shiraz|??|??|2017|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langmeil|the freedom shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langmeil|the freedom|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langmeil|the freedom|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=580
W|langmeil|the freedom 1843 shiraz|??|r|shiraz|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langmeil|the freedom 1843 shiraz|??|r|shiraz|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=582
W|langmeil|the freedom 1843 shiraz|??|r|shiraz|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=582
W|langmeil|the freedom 1843 shiraz|??|r|shiraz|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=582
W|langmeil|the freedom 1843 shiraz|??|r|shiraz|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=582
W|langmeil|the freedom 1843 shiraz|??|r|shiraz|??|??|2021|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langmeil|the freedom 1843 shiraz|??|r|shiraz|??|??|2021|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=587
W|langmeil|the freedom 1843 shiraz|??|r|shiraz|??|??|2021|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=587
W|langmeil|the freedom 1843 shiraz|??|r|shiraz|??|??|2021|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=587
W|langmeil|the freedom 1843 shiraz|??|r|shiraz|??|??|2021|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=587
W|langmeil|the freedom 1843 shiraz|??|r|shiraz|??|??|2020|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langmeil|the freedom 1843 shiraz|??|r|shiraz|??|??|2020|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=592
W|langmeil|the freedom 1843 shiraz|??|r|shiraz|??|??|2020|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=592
W|langmeil|the freedom 1843 shiraz|??|r|shiraz|??|??|2019|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langmeil|the freedom 1843 shiraz|??|r|shiraz|??|??|2018|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langmeil|the freedom 1843 shiraz|??|r|shiraz|??|??|2017|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langmeil|the freedom 1843 shiraz|??|r|shiraz|??|??|2017|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=597
W|langmeil|the freedom 1843 shiraz|??|r|shiraz|??|??|2012|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langmeil|the freedom 1843 shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langmeil|the freedom 1843 shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=600
X
W|langmeil|the freedom 1843 barossa shiraz|au|r|shiraz|barossa|??|2021|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langmeil|the fifth wave old vine grenache|??|r|grenache|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langmeil|the fifth wave grenache barossa valley|au|r|grenache|barossa|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langmeil|the fifth wave grenache barossa valley|au|r|grenache|barossa|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langmeil|the fifth wave grenache|??|r|grenache|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langmeil|the fifth wave grenache|??|r|grenache|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=607
W|langmeil|the fifth wave grenache|??|r|grenache|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langmeil|the fifth wave grenache|??|r|grenache|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langmeil|the fifth wave grenache|??|r|grenache|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=610
W|langmeil|the fifth wave grenache|??|r|grenache|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langmeil|the fifth wave grenache|??|r|grenache|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|langmeil|the fifth wave grenache|??|r|grenache|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=613
W|langmeil|the fifth wave grenache|??|r|grenache|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=613
W|langmeil|the blacksmith cabernet sauvignon|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langmeil|stelle nere sparkling shiraz nv|??|s|shiraz|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|langmeil|stelle nere sparkling shiraz nv|??|s|shiraz|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco|=617
W|langmeil|stelle nere sparkling shiraz nv|??|s|shiraz|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco|=617
W|langmeil|stelle nere sparkling shiraz nv|??|s|shiraz|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco|=617
W|langmeil|stelle nere sparkling shiraz nv|??|s|shiraz|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco|=617
W|langmeil|stelle nere sparkling shiraz cuvee nv|??|s|shiraz|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|langmeil|steadfast shiraz cabernet sauvignon australien|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langmeil|steadfast shiraz cabernet rode wijn 1195 bekijk|??|r|shiraz|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langmeil|steadfast shiraz cabernet barossa valley rotwein wein trocken australien|au|r|shiraz|barossa|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langmeil|steadfast shiraz cabernet barossa valley rotwein wein trocken australien|au|r|shiraz|barossa|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=625
W|langmeil|steadfast shiraz cabernet barossa valley rotwein wein trocken australien|au|r|shiraz|barossa|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=625
W|langmeil|steadfast shiraz cabernet barossa valley rotwein wein trocken australien|au|r|shiraz|barossa|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=625
W|langmeil|steadfast shiraz cabernet barossa valley wo australia|au|r|shiraz|barossa|??|2018|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langmeil|steadfast shiraz cabernet|??|r|shiraz|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langmeil|steadfast shiraz cabernet|??|r|shiraz|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=630
W|langmeil|steadfast shiraz cabernet|??|r|shiraz|??|??|2021|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langmeil|steadfast shiraz cabernet|??|r|shiraz|??|??|2019|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langmeil|steadfast shiraz cabernet 145 abv|??|r|shiraz|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langmeil|steadfast shiraz cabernet|??|r|shiraz|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langmeil|steadfast shiraz cabernet|??|r|shiraz|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=635
W|langmeil|steadfast shiraz cabernet|??|r|shiraz|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=635
W|langmeil|steadfast shiraz cabernet|??|r|shiraz|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=635
W|langmeil|steadfast shiraz cabernet|??|r|shiraz|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=635
W|langmeil|steadfast shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|langmeil|spring fever chardonnay|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langmeil|spring fever chardonnay|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco|=641
W|langmeil|spring fever chardonnay|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco|=641
W|langmeil|spring fever chardonnay barossa wo australia|au|w|chardonnay|barossa|??|2020|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langmeil|spring fever chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|langmeil|spring fever chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=645
W|langmeil|spring fever chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=645
W|langmeil|spring fever chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco|=645
