1. W|cartuxa|branco|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
491. W|carugate|san michele soave classico|it|r|??|??|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
492. W|carugate|san michele soave classico|it|r|??|??|??|2023|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
493. W|carugate|san michele soave classico|it|r|??|??|??|2023|13.5|classico|medio|carne vermelha, massas, queijos curados|seco|=492
494. W|carugate|san michele soave classico|it|r|??|??|??|2024|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
495. W|carugate|san michele soave classico doc|it|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
496. W|carugate|soave classico doc monte fiorentine|it|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
497. W|carugate|soave classico doc monte fiorentine|it|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=496
498. W|carugate|soave classico monte fiorentine|it|r|??|??|??|2023|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
499. W|carugate|soave classico san michele|it|r|??|??|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
500. W|carugate|soave classico san michele|it|r|??|??|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco|=499
501. W|carugate|soave classico san michele|it|r|??|??|??|2024|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
502. W|carugate|soave classico san michele|it|r|??|??|??|2024|13.5|classico|medio|carne vermelha, massas, queijos curados|seco|=501
503. W|carugate|soave classico superiore bucciato|it|r|??|??|??|2022|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
504. W|carugate|valpolicella doc rio albo|it|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
505. W|carugate|valpolicella rio alba|it|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
506. W|carugate|valpolicella rio alba|it|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=505
507. W|carugate|valpolicella rio albo|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
508. W|carugate|valpolicella ripasso|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
509. W|carugate|valpolicella ripasso|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=508
510. W|carugate|valpolicella ripasso 2017 inkl proptrkker|it|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
511. W|carugate|valpolicella ripasso campo bastiglia|it|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
512. W|carugate|valpolicella ripasso campo bastiglia|it|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
513. W|carugate|valpolicella superiore campo lavei|it|r|??|??|??|2023|13.5|superiore|medio|carne vermelha, massas, queijos curados|seco
514. W|carugate|valpolicella superiore doc campo lavei|it|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
515. S
516. W|carula|carula|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
517. W|carulla|anchetas navidenas|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
518. W|caruna|franciacorta brut nature docg|??|s|??|??|??|2019|12|docg|leve|frutos do mar, aperitivos, sushi|brut nature
519. W|caruna|franciacorta brut nature docg|??|s|??|??|??|2020|12|docg|leve|frutos do mar, aperitivos, sushi|brut nature
520. W|caruna|franciacorta brut saten docg|??|s|??|??|??|NV|12|docg|leve|frutos do mar, aperitivos, sushi|brut
521. W|carupano|12|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
522. W|carupano|12 reserva exclusiva 0 40|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
523. W|carupano|18|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
524. W|carupano|18 anos reserva limitada|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
525. W|carupano|18 limitada|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
526. W|carupano|18 reserva limitada 0 40 darkova kazeta 2x sklenicky|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
527. W|carupano|18 reserva limitada 0 40 darkova krabicka|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
528. W|carupano|21 privada|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
529. W|carupano|21 reserva privada 0 40 darkova krabicka|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
530. W|carupano|6|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
531. W|carupano|6 reserva especial 0 40|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
532. W|carupano|anejo exclusiva 12 anos|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
533. W|carupano|anejo reserva 12 exclusiva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
534. W|carupano|extra 12 exclusiva|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
535. W|carupano|legendario 25 anos|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
536. W|carupano|legendario astucciato carupano|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
537. W|carupano|limited 18 year old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
538. W|carupano|limited 21 year old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
539. W|carupano|reserva 12 exclusiva carupano|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
540. W|carupano|reserva 12 exclusiva rom|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
541. W|carupano|reserva 18 limitada rom|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
542. W|carupano|reserva 18 limitada tubo carupano|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
543. W|carupano|reserva 1996 tubo prestige carupano|??|r|??|??|??|1996|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
544. W|carupano|reserva 21 privada rom|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
545. W|carupano|reserva 21 privada tubo carupano|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
546. W|carupano|reserva 6 anejo tradizione del venezuela|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
547. W|carupano|reserva 6 especial carupano|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
548. W|carupano|ron 12 anni cl70|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
549. W|carupano|ron 6 anni cl70|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
550. W|carupano|ron anejo 12 reserva exclusiva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
551. W|carupano|ron anejo|??|r|??|??|??|1996|13.5|??|medio|carne vermelha, massas, queijos curados|seco
552. W|carupano|ron anejo 21 reserva privada|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
553. W|carupano|ron anejo 6 reserva especial|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
554. W|carupano|ron anejo reserva 12 esclusiva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
555. W|carupano|ron anejo reserva 12 esclusiva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=554
556. W|carupano|ron anejo reserva 12 esclusiva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=554
557. W|carupano|ron anejo reserva 21 privada|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
558. W|carupano|ron anejo reserva 6 especial|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
559. W|carupano|ron anejo reserva especial 6 anos 0|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
560. W|carupano|ron anejo reserva especial 6 anos 40|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
561. W|carupano|ron anejo reserva exclusiva 12 anos 40|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
562. W|carupano|ron anejo reserva limitada 18|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
563. W|carupano|ron anejo reserva limitada 18 anos 40|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
564. W|carupano|ron anejo reserva privada 21 anos 40|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
565. W|carupano|ron anejo reserve 1996 special edition|??|r|??|??|??|1996|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
566. W|carupano|ron anejo xo antiques reserves|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
567. W|carupano|ron reserva exclusiva 12 anos 0|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
568. W|carupano|ron reserva limitada 18 anos 0|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
569. W|carupano|ron reserva privada 21 anos 0|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
570. W|carupano|run 18 anos|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
571. W|carupano|xo tubo prestige carupano|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
572. W|carus|chianti classico gran selezione gaudio docg|it|r|??|chianti classico|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
573. W|carus|chianti classico gran selezione gaudio docg|it|r|??|chianti classico|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=572
574. W|carus|gaudio chianti classico docg gran selezione|it|r|??|chianti classico|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
575. W|carus|robeo 2019 igt toscana rosso cabernet sauvignon|it|r|cabernet sauvignon|toscana|??|2019|13.5|igt|encorpado|carne vermelha, massas, queijos curados|seco
576. W|carus|syrah|??|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
577. W|carus|terzona igt|??|r|??|??|??|2021|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
578. W|carusel|150 grandma wilds|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
579. W|caruso|and minini arancino bianco macerato|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
580. W|caruso|and minini marsala superiore riserva 5 anni nv|??|f|??|??|??|NV|20|riserva|encorpado|sobremesas, queijos azuis, foie gras|doce
581. W|caruso|bianco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
582. W|caruso|cutaja nero davola|??|r|nero davola|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
583. W|caruso|e minini|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
584. W|caruso|e minini arancino|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
585. W|caruso|e minini arancino|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=584
586. W|caruso|e minini arancino organic 2023 12|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
587. W|caruso|e minini arancino organic sicilia doc 2023 12|it|r|??|sicilia|??|2023|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
588. W|caruso|e minini arancino organic sicilia doc 2024 12|it|r|??|sicilia|??|2024|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
589. W|caruso|e minini catarratto bio 2020 12|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
590. W|caruso|e minini catarratto bio 2021 12|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
591. W|caruso|e minini catarratto bio|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
592. W|caruso|e minini catarratto bio sicilia doc 2024 12|it|r|??|sicilia|??|2024|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
593. W|caruso|e minini frapello nerello mascalese|cl|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
594. W|caruso|e minini frapello red blend sicily italy|it|r|red blend|sicily|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
595. W|caruso|e minini frappato nerello mascalese frappello 2022 12|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
596. W|caruso|e minini frappato nerello mascalese frappello 2023 12|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
597. W|caruso|e minini frappato organic rose frappo 2023 12|??|p|??|??|??|2023|12|??|leve|carne vermelha, massas, queijos curados|seco
598. W|caruso|e minini frappato organic rose frappo 2024 12|??|p|??|??|??|2024|12|??|leve|carne vermelha, massas, queijos curados|seco
599. W|caruso|e minini frappello frappato nerello mascalese|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
600. W|caruso|e minini frappo rosato|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
601. W|caruso|e minini grillo|??|r|grillo|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
602. W|caruso|e minini grillo bio sicilia doc 2023 12|it|r|grillo|sicilia|??|2023|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
603. W|caruso|e minini grillo bio sicilia doc 2024 12|it|r|grillo|sicilia|??|2024|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
604. W|caruso|e minini grillo bio sicilia doc 2024 12|it|r|grillo|sicilia|??|2024|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=603
605. W|caruso|e minini grillo late harvest tagos sicilia doc 2021 12|it|d|grillo|sicilia|??|2021|10.5|doc|encorpado|sobremesas, frutas secas, queijos|doce
606. W|caruso|e minini grillo late harvest tagos sicilia doc 2021 12|it|d|grillo|sicilia|??|2021|10.5|doc|encorpado|sobremesas, frutas secas, queijos|doce|=605
607. W|caruso|e minini grillo naturalmente bio terre siciliane|it|r|grillo|sicilia|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
608. W|caruso|e minini inzolia 2021 12|??|r|inzolia|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
609. W|caruso|e minini inzolia sicilia doc 2020 12|it|r|inzolia|sicilia|??|2020|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
610. W|caruso|e minini inzolia zoli sicilia doc 2023 12|it|r|inzolia|sicilia|??|2023|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
611. W|caruso|e minini inzolia zoli sicilia doc 2024 12|it|r|inzolia|sicilia|??|2024|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
612. W|caruso|e minini inzolia zoli sicilia doc 2024 12|it|r|inzolia|sicilia|??|2024|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=611
613. W|caruso|e minini inzolia zoli sicilia doc 2025 12|it|r|inzolia|sicilia|??|2025|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
614. W|caruso|e minini marsala secco 5 anni 12|??|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
615. W|caruso|e minini naturalmente nero d avola|??|r|nero d avola|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
616. W|caruso|e minini nebacco nero davola|??|r|nero davola|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
617. W|caruso|e minini nebacco nero davola sicily|it|r|nero davola|sicily|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
618. W|caruso|e minini nero davola bio sicilia doc 2021 12|it|r|nero davola|sicilia|??|2021|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
619. W|caruso|e minini nero davola bio sicilia doc 2022 12|it|r|nero davola|sicilia|??|2022|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
620. W|caruso|e minini nero davola bio sicilia doc 2023 12|it|r|nero davola|sicilia|??|2023|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
621. W|caruso|e minini nero davola bio sicilia doc 2023 12|it|r|nero davola|sicilia|??|2023|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=620
622. W|caruso|e minini nero davola nebacco sicilia doc 2022 12|it|r|nero davola|sicilia|??|2022|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
623. W|caruso|e minini nero davola nebacco sicilia doc 2023 12|it|r|nero davola|sicilia|??|2023|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
624. W|caruso|e minini nero davola nebacco sicilia doc 2023 12|it|r|nero davola|sicilia|??|2023|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=623
625. W|caruso|e minini nero davola sicilia doc 2021 12|it|r|nero davola|sicilia|??|2021|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
626. W|caruso|e minini passito|??|d|??|??|??|1964|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
627. W|caruso|e minini passito|??|d|??|??|??|1964|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce|=626
628. W|caruso|e minini passito|??|d|??|??|??|1964|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce|=626
629. W|caruso|e minini perricone bio doc|??|r|??|??|??|2022|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
630. W|caruso|e minini perricone bio sicilia doc 2019 12|it|r|??|sicilia|??|2019|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
631. W|caruso|e minini perricone bio sicilia doc 2020 12|it|r|??|sicilia|??|2020|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
632. W|caruso|e minini perricone bio sicilia doc 2021 12|it|r|??|sicilia|??|2021|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
633. W|caruso|e minini perricone bio sicilia doc 2022 12|it|r|??|sicilia|??|2022|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
634. W|caruso|e minini perricone bio sicilia doc 2023 12|it|r|??|sicilia|??|2023|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
635. W|caruso|e minini perricone bio sicilia doc 2023 12|it|r|??|sicilia|??|2023|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=634
636. W|caruso|e minini perricone sicilia igt|it|r|??|sicilia|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
637. W|caruso|e minini zoli bianco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
638. W|caruso|e minini zoli inzolia terre di giumara bianco|??|w|inzolia|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
639. W|caruso|frapello organic|cl|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
640. W|caruso|minini|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
641. W|caruso|minini|??|r|??|??|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco
642. W|caruso|minini|??|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
643. W|caruso|minini|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
644. W|caruso|minini|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
645. W|caruso|minini|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
646. W|caruso|minini|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
647. W|caruso|minini|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
648. W|caruso|minini|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
649. W|caruso|minini|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
650. W|caruso|minini 5 anni marsala superiore riserva sicily italy|it|f|??|sicily|??|NV|20|riserva|encorpado|sobremesas, queijos azuis, foie gras|doce
651. W|caruso|minini arancino|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
652. W|caruso|minini arancino|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=651
653. W|caruso|minini arancino white blend|??|w|white blend|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
654. W|caruso|minini bibbo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
655. W|caruso|minini bibbo zibibbo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
656. W|caruso|minini bibbo zibibbo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=655
657. W|caruso|minini bibbo zibibbo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=655
658. W|caruso|minini bibbo zibibbo|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
659. W|caruso|minini bibbo zibibbo|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
660. W|caruso|minini bio sicilia igt perricone|it|r|??|sicilia|??|2017|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
661. W|caruso|minini catalu|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
662. W|caruso|minini catalu catarratto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
663. W|caruso|minini catalu catarratto|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
664. W|caruso|minini catarratto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
665. W|caruso|minini catarratto bio|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
666. W|caruso|minini catarratto naturalmente|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
667. W|caruso|minini catarratto naturalmente bio|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
668. W|caruso|minini cusora chardonnay 2019 italy|it|w|chardonnay|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
669. W|caruso|minini cusora chardonnay 2021 italy|it|w|chardonnay|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
670. W|caruso|minini cutaja doc riserva 2018 italy|it|r|??|??|??|2018|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
671. W|caruso|minini cutaja nero davola riserva|??|r|nero davola|??|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
672. W|caruso|minini cutaja nero davola riserva|??|r|nero davola|??|??|2013|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
673. W|caruso|minini cutaja nero davola riserva|??|r|nero davola|??|??|2019|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
674. W|caruso|minini cutaja nero davola riserva doc145|??|r|nero davola|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
675. W|caruso|minini frapello frappato|cl|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
676. W|caruso|minini frappatonerello|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
677. W|caruso|minini frappello|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
678. W|caruso|minini frappello|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=677
679. W|caruso|minini frappello|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=677
680. W|caruso|minini frappello frappato nerello mascalese|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
681. W|caruso|minini frappello italy|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
682. W|caruso|minini frappello nerello mascalese frappato|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
683. W|caruso|minini frappello sicily it|it|r|??|sicily|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
684. W|caruso|minini frappo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
685. W|caruso|minini frappo frappato rose terre siciliane igp|it|p|??|sicilia|??|2023|12|igp|leve|carne vermelha, massas, queijos curados|seco
686. W|caruso|minini frappo rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
687. W|caruso|minini frappo rose|??|p|??|??|??|2024|12|??|leve|carne vermelha, massas, queijos curados|seco
688. W|caruso|minini grillo|??|r|grillo|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
689. W|caruso|minini inzolia terre di giumara|??|r|inzolia|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
690. W|caruso|minini lillo grillo|??|r|grillo|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
691. W|caruso|minini lillo grillo 2025 spannende grillo met een uitnodigend aroma van rijpe rode appel en conferencepeer in de mond aangenaam droog en fris met een fijne tinteling heerlijk bij|??|r|grillo|??|??|2025|13.5|??|medio|carne vermelha, massas, queijos curados|seco
692. W|caruso|minini marsala superiore riserva|??|f|??|??|??|NV|20|riserva|encorpado|sobremesas, queijos azuis, foie gras|doce
693. W|caruso|minini naturalmente bio catarratto 2020 sicily italy|it|r|??|sicily|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
694. W|caruso|minini naturalmente bio grillo|??|r|grillo|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
695. W|caruso|minini naturalmente bio grillo sicilia doc sicily italy|it|r|grillo|sicilia|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
696. W|caruso|minini naturalmente bio nero davola|??|r|nero davola|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
697. W|caruso|minini nebacco|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
698. W|caruso|minini nebacco|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=697
699. W|caruso|minini nebacco davola|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
700. W|caruso|minini nebacco nero davola|??|r|nero davola|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
701. W|caruso|minini nebacco nero davola 22|??|r|nero davola|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
702. W|caruso|minini nero davola|??|r|nero davola|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
703. W|caruso|minini organic grillo 2018 italy|it|r|grillo|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
704. W|caruso|minini organic nero davola 2020 italy|it|r|nero davola|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
705. W|caruso|minini organic nero davola 2021 italy|it|r|nero davola|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
706. W|caruso|minini organic nero davola 2022 italy|it|r|nero davola|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
